# 2019 11 23 13  0 UTC  2020  3 24  1  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,23,1302,50.72,140.40,3.14,0,2,3,1.52,0,3
2,2019,11,23,1302,50.72,140.42,3.14,0,2,3,1.52,0,3
3,2019,11,23,1302,50.70,140.40,3.14,0,2,3,1.52,0,3
4,2019,11,23,1302,50.70,140.42,3.14,0,2,3,1.52,0,3
5,2019,11,23,1302,36.20,112.44,4.00,0,2,3,2.13,0,5
6,2019,11,23,1302,36.18,112.44,4.00,0,2,3,2.13,0,5
7,2019,11,23,1302,36.18,112.46,4.00,0,2,3,2.13,0,5
8,2019,11,23,1302,33.06,117.00,4.15,0,2,3,7.42,0,8
9,2019,11,23,1302,29.02,103.26,4.33,0,2,1,4.03,0,9
10,2019,11,23,1302,29.02,103.28,4.33,0,2,1,4.03,0,9
11,2019,11,23,1302,28.30,114.46,4.36,0,2,5,9.64,0,11
12,2019,11,23,1302,28.30,114.48,4.36,0,2,5,9.64,0,11
13,2019,11,23,1302,28.30,114.50,4.36,0,2,3,5.50,0,11
14,2019,11,23,1302,28.28,114.48,4.36,0,2,5,9.30,0,11
15,2019,11,23,1302,28.28,114.50,4.36,0,2,3,4.97,0,11
16,2019,11,23,1302,27.74,102.20,4.39,0,2,1,4.58,0,17
17,2019,11,23,1302,27.72,102.20,4.39,0,2,1,8.63,0,17
18,2019,11,23,1302,27.72,102.22,4.39,0,2,1,8.63,0,17
19,2019,11,23,1302,27.36,89.86,4.40,0,2,3,3.39,0,24
20,2019,11,23,1302,27.34,89.86,4.40,0,2,3,3.39,0,24
21,2019,11,23,1302,27.34,89.88,4.40,0,2,3,3.41,0,24
22,2019,11,23,1302,27.34,89.90,4.40,0,1,1,3.47,0,24
23,2019,11,23,1302,27.32,89.88,4.40,0,1,3,4.67,0,24
24,2019,11,23,1302,27.32,89.90,4.40,0,1,3,4.67,0,24
25,2019,11,23,1302,27.28,115.62,4.41,0,2,3,5.78,0,25
26,2019,11,23,1302,27.18,115.54,4.41,0,2,3,4.91,0,26
27,2019,11,23,1302,27.18,115.56,4.41,0,2,3,4.91,0,26
28,2019,11,23,1302,26.58,101.64,4.43,0,2,1,2.24,0,28
29,2019,11,23,1302,26.58,101.68,4.43,0,1,1,7.29,0,29
30,2019,11,23,1302,26.00,109.88,4.45,0,2,3,7.62,0,30
31,2019,11,23,1302,25.20,96.32,4.48,0,2,3,3.80,0,31
32,2019,11,23,1302,24.56,93.78,4.51,0,2,1,2.69,0,35
33,2019,11,23,1302,24.56,93.80,4.51,0,2,1,2.69,0,33
34,2019,11,23,1302,24.54,93.76,4.51,0,1,3,3.35,0,35
35,2019,11,23,1302,24.54,93.78,4.51,0,1,3,3.35,0,35
36,2019,11,23,1302,24.46,115.38,4.51,0,1,1,3.57,0,36
37,2019,11,23,1302,23.96,97.58,4.53,0,2,3,1.71,0,37
38,2019,11,23,1302,23.96,97.60,4.53,0,2,3,1.71,0,37
39,2019,11,23,1302,23.78,86.34,4.54,0,2,1,4.59,0,43
40,2019,11,23,1302,23.78,86.36,4.54,0,2,1,4.59,0,43
41,2019,11,23,1302,23.78,86.38,4.54,0,2,1,4.59,0,43
42,2019,11,23,1302,23.76,86.36,4.54,0,2,1,4.59,0,43
43,2019,11,23,1302,23.76,86.38,4.54,0,2,1,4.59,0,43
44,2019,11,23,1302,23.46,91.84,4.55,0,2,1,3.32,0,45
45,2019,11,23,1302,23.46,91.86,4.55,0,2,1,3.32,0,45
46,2019,11,23,1302,23.16,100.36,4.56,0,2,5,3.50,0,46
47,2019,11,23,1302,23.16,100.38,4.56,0,2,5,3.50,0,46
48,2019,11,23,1302,23.10,115.40,4.56,0,1,1,3.87,0,48
49,2019,11,23,1302,23.10,115.42,4.56,0,1,1,3.87,0,48
50,2019,11,23,1302,22.80,86.18,4.57,0,2,1,1.54,0,51
51,2019,11,23,1302,22.80,86.20,4.57,0,2,1,1.54,0,51
52,2019,11,23,1302,22.56,120.34,4.58,0,2,3,4.20,0,52
53,2019,11,23,1302,22.54,120.34,4.58,0,2,3,4.20,0,52
54,2019,11,23,1302,22.52,120.34,4.58,0,2,1,2.04,0,52
55,2019,11,23,1302,21.88,95.96,4.60,0,2,3,2.36,0,55
56,2019,11,23,1302,21.88,95.98,4.60,0,2,3,2.36,0,55
57,2019,11,23,1302,19.16,99.86,4.68,0,1,1,6.09,0,57
58,2019,11,23,1302,18.16,103.08,4.71,0,2,3,2.08,0,58
59,2019,11,23,1302,17.22,103.72,4.73,0,1,1,4.19,0,59
60,2019,11,23,1302,16.70,104.86,4.75,0,2,3,3.36,0,60
61,2019,11,23,1302,16.66,107.18,4.75,0,2,3,3.46,0,61
62,2019,11,23,1302,14.60,108.96,4.80,0,1,3,5.68,0,62
63,2019,11,23,1302,14.58,108.96,4.80,0,2,1,2.53,0,62
64,2019,11,23,1302,14.08,102.02,4.81,0,1,3,6.56,0,64
65,2019,11,23,1302,14.08,102.04,4.81,0,1,3,6.56,0,64
66,2019,11,23,1302,13.34,102.26,4.82,0,2,3,3.40,0,66
67,2019,11,23,1302,11.28,106.60,4.86,0,1,3,16.35,0,67
68,2019,11,23,1308,-3.98,121.78,4.94,0,2,1,9.34,0,70
69,2019,11,23,1308,-3.98,121.80,4.94,0,2,3,6.13,0,70
70,2019,11,23,1308,-4.00,121.78,4.94,0,2,1,10.85,0,70
71,2019,11,23,1308,-6.42,143.34,4.93,0,1,1,4.15,0,71
72,2019,11,23,1308,-11.62,142.56,4.86,0,2,1,1.77,0,72
73,2019,11,23,1308,-12.90,143.48,4.83,0,2,1,4.06,0,73
74,2019,11,23,1308,-13.12,143.00,4.83,0,2,3,5.39,0,74
75,2019,11,23,1308,-14.34,143.48,4.80,0,2,5,6.00,0,75
76,2019,11,23,1308,-14.36,143.48,4.80,0,2,3,2.26,0,75
77,2019,11,23,1308,-14.54,131.84,4.80,0,1,3,13.40,0,77
78,2019,11,23,1308,-14.62,127.98,4.80,0,2,5,22.05,0,78
79,2019,11,23,1308,-14.64,127.98,4.80,0,2,5,20.28,0,78
80,2019,11,23,1308,-14.64,128.00,4.80,0,2,3,8.27,0,78
81,2019,11,23,1308,-14.92,126.30,4.79,0,2,3,21.74,0,81
82,2019,11,23,1308,-15.04,145.02,4.79,0,2,3,2.83,0,82
83,2019,11,23,1308,-15.06,145.02,4.79,0,2,3,2.44,0,82
84,2019,11,23,1308,-15.12,126.08,4.79,0,2,3,16.22,0,85
85,2019,11,23,1308,-15.14,126.08,4.78,0,2,3,29.95,0,85
86,2019,11,23,1308,-15.28,143.84,4.78,0,2,3,3.52,0,86
87,2019,11,23,1308,-15.38,144.02,4.78,0,2,3,3.02,0,87
88,2019,11,23,1308,-15.40,144.04,4.78,0,2,5,4.24,0,88
89,2019,11,23,1308,-15.42,144.04,4.78,0,2,3,3.36,0,88
90,2019,11,23,1308,-15.60,144.26,4.77,0,2,3,3.52,0,90
91,2019,11,23,1308,-15.62,144.28,4.77,0,2,3,4.37,0,92
92,2019,11,23,1308,-15.64,144.28,4.77,0,2,3,5.48,0,92
93,2019,11,23,1308,-15.64,144.30,4.77,0,2,3,2.71,0,92
94,2019,11,23,1308,-15.66,144.28,4.77,0,2,3,4.21,0,92
95,2019,11,23,1308,-15.66,144.30,4.77,0,2,1,1.95,0,92
96,2019,11,23,1308,-15.74,144.08,4.77,0,2,3,4.52,0,96
97,2019,11,23,1308,-15.78,144.00,4.77,0,2,3,8.57,0,99
98,2019,11,23,1308,-15.78,144.02,4.77,0,2,3,4.53,0,99
99,2019,11,23,1308,-15.80,144.00,4.77,0,2,5,9.38,0,99
100,2019,11,23,1308,-15.88,144.06,4.77,0,2,3,7.80,0,100
101,2019,11,23,1308,-15.90,144.06,4.77,0,2,3,6.97,0,100
102,2019,11,23,1308,-15.92,144.06,4.77,0,2,3,5.56,0,100
103,2019,11,23,1308,-15.94,144.02,4.77,0,2,3,6.37,0,104
104,2019,11,23,1308,-15.96,144.02,4.77,0,2,3,7.46,0,104
105,2019,11,23,1308,-16.44,136.26,4.75,0,2,3,5.92,0,105
106,2019,11,23,1308,-16.50,136.32,4.75,0,2,3,10.28,0,109
107,2019,11,23,1308,-16.50,136.34,4.75,0,2,5,12.54,0,109
108,2019,11,23,1308,-16.52,136.32,4.75,0,2,3,8.19,0,109
109,2019,11,23,1308,-16.52,136.34,4.75,0,2,5,14.55,0,109
110,2019,11,23,1308,-16.74,123.72,4.75,0,2,3,53.84,0,110
111,2019,11,23,1308,-16.74,123.74,4.75,0,2,5,38.91,0,110
112,2019,11,23,1308,-16.88,145.40,4.74,0,1,3,8.44,0,112
113,2019,11,23,1308,-16.88,145.42,4.74,0,2,5,4.72,0,112
114,2019,11,23,1308,-16.90,137.70,4.74,0,2,3,3.50,0,115
115,2019,11,23,1308,-16.92,137.70,4.74,0,2,5,6.01,0,115
116,2019,11,23,1308,-16.94,137.70,4.74,0,2,5,5.49,0,115
117,2019,11,23,1308,-17.52,122.16,4.73,0,2,3,10.02,0,118
118,2019,11,23,1308,-17.54,122.16,4.73,0,2,5,35.11,0,118
119,2019,11,23,1308,-17.54,122.18,4.73,0,2,3,18.00,0,118
120,2019,11,23,1308,-17.54,122.20,4.73,0,2,3,16.87,0,118
121,2019,11,23,1308,-17.56,122.18,4.73,0,2,5,19.96,0,118
122,2019,11,23,1308,-17.56,122.20,4.73,0,2,3,13.57,0,118
123,2019,11,23,1308,-17.56,122.22,4.73,0,2,3,13.57,0,118
124,2019,11,23,1308,-18.02,139.72,4.71,0,2,5,5.69,0,125
125,2019,11,23,1308,-18.04,139.72,4.71,0,2,5,6.26,0,125
126,2019,11,23,1308,-18.12,123.04,4.71,0,2,3,9.64,0,127
127,2019,11,23,1308,-18.14,123.04,4.71,0,2,3,12.90,0,127
128,2019,11,23,1308,-18.14,123.08,4.71,0,2,3,12.78,0,128
129,2019,11,23,1308,-19.48,139.62,4.67,0,2,1,2.75,0,130
130,2019,11,23,1308,-19.50,139.62,4.67,0,2,3,3.64,0,130
131,2019,11,23,1308,-21.38,165.76,4.62,0,2,3,2.95,0,131
132,2019,11,23,1308,-22.62,150.26,4.58,0,2,3,5.09,0,133
133,2019,11,23,1308,-22.62,150.28,4.58,0,2,5,7.90,0,133
134,2019,11,23,1308,-22.64,140.32,4.57,0,2,3,4.70,0,135
135,2019,11,23,1308,-22.64,140.34,4.57,0,2,5,6.11,0,135
136,2019,11,23,1308,-22.64,150.28,4.57,0,2,3,5.01,0,133
137,2019,11,23,1308,-23.04,114.36,4.56,0,2,5,30.51,0,137
138,2019,11,23,1308,-23.04,114.38,4.56,0,2,5,24.71,0,137
139,2019,11,23,1308,-23.06,114.34,4.56,0,2,5,17.13,0,137
140,2019,11,23,1308,-23.06,114.36,4.56,0,2,5,17.13,0,137
141,2019,11,23,1308,-23.06,114.38,4.56,0,3,5,15.38,0,137
142,2019,11,23,1308,-23.28,129.42,4.55,0,1,1,4.74,0,142
143,2019,11,23,1308,-24.82,151.80,4.50,0,1,1,3.85,0,143
144,2019,11,23,1308,-24.86,151.82,4.50,0,1,1,6.52,0,144
145,2019,11,23,1308,-25.76,152.04,4.46,0,2,3,2.73,0,145
146,2019,11,23,1308,-27.36,146.64,4.40,0,1,3,13.58,0,146
147,2019,11,23,1308,-28.10,152.32,4.37,0,2,3,6.77,0,148
148,2019,11,23,1308,-28.12,152.32,4.37,0,2,3,6.77,0,148
149,2019,11,23,1308,-28.30,152.66,4.36,0,2,3,6.05,0,149
150,2019,11,23,1308,-28.32,152.66,4.36,0,2,3,5.36,0,149
151,2019,11,23,1308,-28.32,152.68,4.36,0,2,3,5.36,0,149
152,2019,11,23,1308,-28.38,152.74,4.36,0,2,3,6.66,0,154
153,2019,11,23,1308,-28.40,152.70,4.36,0,2,1,6.07,0,154
154,2019,11,23,1308,-28.40,152.72,4.36,0,2,5,10.56,0,154
155,2019,11,23,1308,-28.40,152.74,4.36,0,2,3,8.10,0,154
156,2019,11,23,1308,-28.42,152.68,4.36,0,2,3,7.89,0,154
157,2019,11,23,1308,-28.42,152.70,4.36,0,2,3,4.70,0,154
158,2019,11,23,1308,-28.46,125.20,4.36,0,2,3,2.67,0,158
159,2019,11,23,1308,-29.20,152.88,4.33,0,2,3,9.04,0,164
160,2019,11,23,1308,-29.20,152.90,4.33,0,2,5,7.90,0,164
161,2019,11,23,1308,-29.22,152.88,4.33,0,2,3,9.04,0,164
162,2019,11,23,1308,-29.22,152.90,4.33,0,2,5,7.90,0,164
163,2019,11,23,1308,-29.24,152.86,4.33,0,2,5,46.18,0,164
164,2019,11,23,1308,-29.24,152.88,4.33,0,2,5,101.54,0,164
165,2019,11,23,1308,-29.24,152.90,4.33,0,2,5,58.45,0,164
166,2019,11,23,1308,-29.24,153.26,4.33,0,2,3,6.27,0,224
167,2019,11,23,1308,-29.26,152.84,4.32,0,2,5,51.90,0,164
168,2019,11,23,1308,-29.26,152.86,4.32,0,2,5,86.63,0,164
169,2019,11,23,1308,-29.26,152.88,4.32,0,2,5,43.94,0,164
170,2019,11,23,1308,-29.26,152.90,4.32,0,2,5,13.10,0,164
171,2019,11,23,1308,-29.26,153.24,4.32,0,2,3,10.25,0,224
172,2019,11,23,1308,-29.26,153.26,4.32,0,2,3,5.07,0,224
173,2019,11,23,1308,-29.28,152.82,4.32,0,1,3,31.46,0,164
174,2019,11,23,1308,-29.28,152.84,4.32,0,2,5,42.46,0,164
175,2019,11,23,1308,-29.28,152.86,4.32,0,2,5,29.79,0,164
176,2019,11,23,1308,-29.28,152.88,4.32,0,2,3,6.77,0,164
177,2019,11,23,1308,-29.28,152.98,4.32,0,1,3,20.48,0,164
178,2019,11,23,1308,-29.28,153.20,4.32,0,2,3,6.99,0,224
179,2019,11,23,1308,-29.28,153.22,4.32,0,2,5,10.21,0,224
180,2019,11,23,1308,-29.28,153.24,4.32,0,2,5,15.14,0,224
181,2019,11,23,1308,-29.28,153.26,4.32,0,2,3,4.66,0,224
182,2019,11,23,1308,-29.30,152.82,4.32,0,2,3,10.09,0,164
183,2019,11,23,1308,-29.30,152.84,4.32,0,2,5,22.66,0,164
184,2019,11,23,1308,-29.30,152.86,4.32,0,2,5,9.78,0,164
185,2019,11,23,1308,-29.30,152.88,4.32,0,2,3,9.80,0,164
186,2019,11,23,1308,-29.30,152.90,4.32,0,2,3,9.80,0,164
187,2019,11,23,1308,-29.30,152.92,4.32,0,2,3,8.24,0,164
188,2019,11,23,1308,-29.30,152.94,4.32,0,2,3,7.79,0,164
189,2019,11,23,1308,-29.30,152.96,4.32,0,2,3,14.39,0,164
190,2019,11,23,1308,-29.30,152.98,4.32,0,2,5,16.38,0,164
191,2019,11,23,1308,-29.30,153.18,4.32,0,2,3,7.63,0,224
192,2019,11,23,1308,-29.30,153.20,4.32,0,2,3,5.16,0,224
193,2019,11,23,1308,-29.30,153.22,4.32,0,2,3,5.86,0,224
