# 2019 11 27  7  0 UTC  2020  3 24  2  5 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,27,0702,46.60,123.00,3.41,0,1,3,4.09,0,1
2,2019,11,27,0702,45.32,102.68,3.49,0,3,1,.74,0,2
3,2019,11,27,0702,44.12,124.56,3.56,0,2,5,1.84,0,5
4,2019,11,27,0702,44.12,124.58,3.56,0,2,5,1.84,0,5
5,2019,11,27,0702,44.10,124.58,3.56,0,2,5,1.84,0,5
6,2019,11,27,0702,44.02,124.52,3.56,0,2,5,1.24,0,6
7,2019,11,27,0702,43.72,111.62,3.58,0,2,1,.31,0,7
8,2019,11,27,0702,43.62,105.52,3.59,0,2,3,.80,0,8
9,2019,11,27,0702,42.08,122.28,3.68,0,2,5,4.21,0,9
10,2019,11,27,0702,42.06,122.28,3.68,0,2,5,4.21,0,9
11,2019,11,27,0702,42.04,122.28,3.68,0,2,3,1.39,0,9
12,2019,11,27,0702,42.04,122.30,3.68,0,2,3,1.39,0,9
13,2019,11,27,0702,41.50,123.06,3.71,0,2,1,1.14,0,13
14,2019,11,27,0702,41.46,121.88,3.71,0,1,1,4.94,0,14
15,2019,11,27,0702,41.46,121.90,3.71,0,1,3,4.94,0,14
16,2019,11,27,0702,41.04,122.48,3.74,0,2,3,.54,0,16
17,2019,11,27,0702,40.58,110.40,3.76,0,2,3,3.41,0,17
18,2019,11,27,0702,40.56,110.40,3.77,0,2,3,3.41,0,17
19,2019,11,27,0702,40.56,110.42,3.77,0,2,3,3.41,0,17
20,2019,11,27,0702,40.56,115.04,3.77,0,3,3,1.11,0,20
21,2019,11,27,0702,40.56,115.06,3.77,0,3,3,1.11,0,20
22,2019,11,27,0702,40.40,114.80,3.77,0,3,3,1.32,0,22
23,2019,11,27,0702,40.40,114.82,3.77,0,3,3,1.32,0,22
24,2019,11,27,0702,39.82,125.02,3.81,0,3,3,.99,0,24
25,2019,11,27,0702,39.80,125.02,3.81,0,3,3,.99,0,24
26,2019,11,27,0702,39.78,123.16,3.81,0,2,5,3.17,0,26
27,2019,11,27,0702,39.76,113.68,3.81,0,3,3,1.44,0,27
28,2019,11,27,0702,39.76,113.70,3.81,0,3,3,1.44,0,27
29,2019,11,27,0702,39.76,123.16,3.81,0,2,5,1.98,0,26
30,2019,11,27,0702,39.76,123.18,3.81,0,2,5,1.98,0,26
31,2019,11,27,0702,39.74,123.18,3.81,0,2,5,1.98,0,26
32,2019,11,27,0702,39.56,116.26,3.82,0,2,3,.90,0,32
33,2019,11,27,0702,39.48,110.52,3.83,0,1,1,16.14,0,33
34,2019,11,27,0702,39.44,110.44,3.83,0,2,1,1.04,0,35
35,2019,11,27,0702,39.44,110.46,3.83,0,2,1,1.04,0,35
36,2019,11,27,0702,39.28,116.90,3.84,0,2,3,1.33,0,36
37,2019,11,27,0702,38.78,109.64,3.86,0,3,1,3.45,0,37
38,2019,11,27,0702,38.78,109.66,3.86,0,3,1,3.44,0,37
39,2019,11,27,0702,24.92,97.08,4.50,0,3,1,1.81,0,39
40,2019,11,27,0702,24.82,93.90,4.50,0,2,1,1.28,0,41
