# 2019 11 30  2  0 UTC  2020  3 24  2 53 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,11,30,0204,43.02,101.12,3.62,0,2,1,1.06,0,2
2,2019,11,30,0204,43.02,101.14,3.62,0,2,1,1.06,0,2
3,2019,11,30,0204,43.02,101.16,3.62,0,3,1,.76,0,2
4,2019,11,30,0204,43.02,101.18,3.62,0,3,1,.76,0,2
5,2019,11,30,0204,35.50,137.84,4.04,0,3,1,1.42,0,5
6,2019,11,30,0204,35.34,139.86,4.04,0,3,1,1.66,0,7
7,2019,11,30,0204,35.34,139.88,4.04,0,3,1,1.66,0,7
8,2019,11,30,0204,35.12,126.76,4.05,0,3,1,.99,0,8
9,2019,11,30,0204,35.04,136.88,4.06,0,2,1,4.05,0,9
10,2019,11,30,0204,34.68,131.84,4.08,0,3,1,2.10,2,10
11,2019,11,30,0204,34.68,131.86,4.08,0,3,1,1.68,2,10
12,2019,11,30,0204,34.16,131.44,4.10,0,3,1,2.71,2,12
13,2019,11,30,0204,33.32,130.94,4.14,0,3,1,2.18,0,13
14,2019,11,30,0204,32.52,130.62,4.18,0,3,1,1.50,0,14
15,2019,11,30,0204,32.08,130.34,4.20,0,3,1,1.50,0,15
16,2019,11,30,0204,31.74,131.06,4.22,0,3,1,1.43,0,17
17,2019,11,30,0204,31.74,131.08,4.22,0,3,1,1.60,0,17
18,2019,11,30,0204,31.74,131.10,4.22,0,3,1,1.60,0,17
19,2019,11,30,0204,30.22,101.16,4.28,0,3,3,2.51,0,21
20,2019,11,30,0204,30.22,101.18,4.28,0,3,3,2.51,0,21
21,2019,11,30,0204,30.20,101.14,4.28,0,3,1,2.89,0,21
22,2019,11,30,0204,30.20,101.16,4.28,0,3,1,2.89,0,21
23,2019,11,30,0204,30.20,101.18,4.28,0,3,3,2.45,0,21
24,2019,11,30,0204,29.10,100.40,4.33,0,3,3,2.31,0,24
25,2019,11,30,0204,27.74,102.20,4.39,0,2,1,11.55,0,25
26,2019,11,30,0204,26.80,99.66,4.42,0,3,3,1.91,0,27
27,2019,11,30,0204,26.80,99.68,4.42,0,3,3,1.91,0,27
28,2019,11,30,0204,25.44,94.68,4.48,0,3,1,1.84,0,29
29,2019,11,30,0204,25.44,94.70,4.48,0,3,1,1.84,0,29
30,2019,11,30,0204,25.42,95.24,4.48,0,3,3,3.34,0,30
31,2019,11,30,0204,24.50,101.80,4.51,0,2,1,1.80,0,31
32,2019,11,30,0204,24.50,101.82,4.51,0,2,1,1.80,0,31
33,2019,11,30,0204,23.80,86.28,4.54,0,3,1,1.24,0,38
34,2019,11,30,0204,23.80,86.30,4.54,0,3,1,1.24,0,38
35,2019,11,30,0204,23.80,86.32,4.54,0,3,1,1.24,0,38
36,2019,11,30,0204,23.80,86.34,4.54,0,2,1,2.21,0,38
37,2019,11,30,0204,23.80,86.36,4.54,0,2,1,2.21,0,38
38,2019,11,30,0204,23.78,86.34,4.54,0,2,1,3.17,0,38
39,2019,11,30,0204,23.78,86.36,4.54,0,2,1,3.05,0,38
40,2019,11,30,0204,23.78,86.38,4.54,0,2,1,3.06,0,38
41,2019,11,30,0204,23.78,86.40,4.54,0,2,1,3.01,0,38
42,2019,11,30,0204,23.78,86.42,4.54,0,2,1,3.01,0,38
43,2019,11,30,0204,23.76,86.36,4.54,0,3,1,1.14,0,38
44,2019,11,30,0204,23.76,86.38,4.54,0,3,1,1.14,0,38
45,2019,11,30,0204,23.76,86.40,4.54,0,3,1,1.14,0,38
46,2019,11,30,0204,23.76,86.42,4.54,0,2,1,1.96,0,38
47,2019,11,30,0204,23.76,86.44,4.54,0,2,1,1.96,0,38
48,2019,11,30,0204,23.36,115.48,4.55,0,3,1,1.29,0,48
49,2019,11,30,0204,21.88,99.78,4.60,0,3,1,1.06,0,49
50,2019,11,30,0204,21.88,99.80,4.60,0,3,1,1.06,0,49
51,2019,11,30,0204,21.22,81.34,4.62,0,2,1,1.71,0,54
52,2019,11,30,0204,21.22,81.36,4.62,0,2,1,1.71,0,54
