# 2019 12  1  9 50 UTC  2020  3 19  1  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,1,0951,41.84,123.76,3.69,0,2,1,.63,0,1
2,2019,12,1,0951,41.32,124.18,3.72,0,2,3,2.58,0,2
3,2019,12,1,0951,41.30,124.18,3.72,0,2,3,2.58,0,2
4,2019,12,1,0951,41.28,119.38,3.72,0,2,1,1.57,0,4
5,2019,12,1,0951,41.28,119.40,3.72,0,2,1,1.57,0,4
6,2019,12,1,0951,41.28,123.72,3.72,0,2,1,1.11,0,6
7,2019,12,1,0951,41.26,119.40,3.73,0,2,1,1.57,0,4
8,2019,12,1,0951,41.26,123.72,3.73,0,2,1,1.11,0,6
9,2019,12,1,0951,41.16,120.98,3.73,0,2,3,1.88,0,12
10,2019,12,1,0951,41.16,121.00,3.73,0,2,3,1.88,0,12
11,2019,12,1,0951,41.16,122.98,3.73,0,2,1,2.30,0,14
12,2019,12,1,0951,41.14,121.00,3.73,0,2,1,2.52,0,12
13,2019,12,1,0951,41.14,122.96,3.73,0,2,1,3.03,0,14
14,2019,12,1,0951,41.14,122.98,3.73,0,2,1,3.21,0,14
15,2019,12,1,0951,41.12,122.98,3.73,0,2,1,3.21,0,14
16,2019,12,1,0951,41.12,123.00,3.73,0,2,1,3.21,0,14
17,2019,12,1,0951,40.64,109.70,3.76,0,2,1,3.49,0,18
18,2019,12,1,0951,40.64,109.72,3.76,0,2,1,6.21,0,18
19,2019,12,1,0951,40.64,109.74,3.76,0,2,1,6.19,0,18
20,2019,12,1,0951,40.58,115.06,3.76,0,2,3,1.09,0,22
21,2019,12,1,0951,40.58,115.08,3.76,0,2,3,1.09,0,22
22,2019,12,1,0951,40.58,115.10,3.76,0,2,1,1.18,0,22
23,2019,12,1,0951,40.24,119.02,3.78,0,2,3,.85,0,24
24,2019,12,1,0951,40.22,119.02,3.78,0,2,3,.85,0,24
25,2019,12,1,0951,40.22,119.04,3.78,0,2,3,.85,0,24
26,2019,12,1,0951,39.96,118.54,3.80,0,2,1,2.48,0,26
27,2019,12,1,0951,39.96,118.56,3.80,0,2,1,1.51,0,26
28,2019,12,1,0951,39.94,118.56,3.80,0,2,1,1.40,0,26
29,2019,12,1,0951,39.94,118.58,3.80,0,2,1,1.40,0,26
30,2019,12,1,0951,39.92,118.58,3.80,0,2,1,1.40,0,26
31,2019,12,1,0951,39.68,118.88,3.81,0,2,1,2.98,0,31
32,2019,12,1,0951,39.68,118.90,3.81,0,2,1,2.98,0,31
33,2019,12,1,0951,39.66,118.40,3.82,0,2,1,1.56,0,33
34,2019,12,1,0951,39.66,118.42,3.82,0,2,1,1.56,0,33
35,2019,12,1,0951,39.66,118.90,3.82,0,2,1,2.98,0,31
36,2019,12,1,0951,39.52,110.48,3.82,0,2,1,1.53,0,40
37,2019,12,1,0951,39.52,110.50,3.82,0,2,1,1.53,0,40
38,2019,12,1,0951,39.50,110.46,3.82,0,2,3,1.04,0,40
39,2019,12,1,0951,39.50,110.48,3.82,0,2,3,1.04,0,40
40,2019,12,1,0951,39.50,110.50,3.82,0,2,1,3.38,0,40
41,2019,12,1,0951,39.48,110.52,3.83,0,2,1,3.11,0,41
42,2019,12,1,0951,39.44,110.44,3.83,0,2,1,1.68,0,42
43,2019,12,1,0951,39.44,110.46,3.83,0,2,1,1.68,0,42
44,2019,12,1,0951,39.38,106.94,3.83,0,2,1,2.38,0,44
45,2019,12,1,0951,39.14,116.74,3.84,0,2,5,1.67,0,45
46,2019,12,1,0951,39.12,116.74,3.85,0,2,5,1.67,0,45
47,2019,12,1,0951,39.10,110.74,3.85,0,2,1,.78,0,47
48,2019,12,1,0951,39.10,110.76,3.85,0,2,1,.78,0,47
49,2019,12,1,0951,38.94,106.40,3.86,0,2,1,3.06,0,49
50,2019,12,1,0951,38.94,106.42,3.86,0,2,1,3.06,0,49
51,2019,12,1,0951,38.94,106.44,3.86,0,2,1,1.03,0,49
52,2019,12,1,0951,38.92,106.46,3.86,0,2,1,.99,0,52
53,2019,12,1,0951,38.20,106.62,3.90,0,2,1,.60,0,53
54,2019,12,1,0951,38.08,111.86,3.90,0,2,3,1.52,0,54
55,2019,12,1,0951,38.00,108.56,3.91,0,2,5,.95,0,55
56,2019,12,1,0951,38.00,108.58,3.91,0,2,5,.95,0,55
57,2019,12,1,0951,37.94,112.52,3.91,0,2,1,2.16,0,57
58,2019,12,1,0951,37.92,112.52,3.91,0,2,1,1.28,0,57
59,2019,12,1,0951,37.92,112.54,3.91,0,2,1,1.28,0,57
60,2019,12,1,0951,37.72,115.70,3.92,0,2,1,1.14,0,60
61,2019,12,1,0951,37.62,112.28,3.93,0,2,3,.98,0,61
62,2019,12,1,0951,37.60,112.28,3.93,0,2,1,.98,0,61
63,2019,12,1,0951,37.60,112.30,3.93,0,2,1,.98,0,61
64,2019,12,1,0951,36.90,117.74,3.96,0,2,1,1.08,0,64
65,2019,12,1,0951,36.90,117.76,3.96,0,2,1,.77,0,64
66,2019,12,1,0951,36.86,116.22,3.97,0,2,1,.96,0,66
67,2019,12,1,0951,36.86,116.24,3.97,0,2,1,.96,0,66
68,2019,12,1,0951,36.84,116.24,3.97,0,2,1,.96,0,66
69,2019,12,1,0951,36.62,114.42,3.98,0,2,1,.99,0,69
70,2019,12,1,0951,36.58,114.10,3.98,0,2,3,1.62,0,70
