# 2019 12  1 11 30 UTC  2020  3 19  1  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,1,1132,41.50,126.54,3.71,0,2,1,1.86,0,1
2,2019,12,1,1132,41.28,123.72,3.72,0,2,1,1.31,0,2
3,2019,12,1,1132,41.26,123.72,3.73,0,2,1,1.31,0,2
4,2019,12,1,1132,41.22,123.60,3.73,0,2,1,1.27,0,4
5,2019,12,1,1132,41.16,122.98,3.73,0,2,1,2.44,0,8
6,2019,12,1,1132,41.14,121.00,3.73,0,2,1,1.58,0,6
7,2019,12,1,1132,41.14,122.96,3.73,0,2,1,2.23,0,8
8,2019,12,1,1132,41.14,122.98,3.73,0,2,1,2.70,0,8
9,2019,12,1,1132,41.12,122.98,3.73,0,2,1,2.70,0,8
10,2019,12,1,1132,41.12,123.00,3.73,0,2,1,2.70,0,8
11,2019,12,1,1132,40.66,122.56,3.76,0,2,1,.96,0,11
12,2019,12,1,1132,40.64,122.56,3.76,0,2,1,.96,0,11
13,2019,12,1,1132,40.62,115.04,3.76,0,2,1,.91,0,16
14,2019,12,1,1132,40.62,115.06,3.76,0,2,1,.91,0,16
15,2019,12,1,1132,40.60,115.06,3.76,0,2,1,.91,0,16
16,2019,12,1,1132,40.58,115.06,3.76,0,2,3,1.12,0,16
17,2019,12,1,1132,40.58,115.08,3.76,0,2,3,1.12,0,16
18,2019,12,1,1132,40.58,115.10,3.76,0,2,3,.66,0,16
19,2019,12,1,1132,40.24,119.02,3.78,0,2,3,1.01,0,19
20,2019,12,1,1132,40.22,118.30,3.78,0,2,3,1.71,0,20
21,2019,12,1,1132,40.18,119.04,3.79,0,2,1,1.27,0,21
22,2019,12,1,1132,40.18,119.06,3.79,0,2,1,1.27,0,21
23,2019,12,1,1132,39.96,118.54,3.80,0,2,1,1.97,0,23
24,2019,12,1,1132,39.96,118.56,3.80,0,2,1,1.83,0,23
25,2019,12,1,1132,39.68,118.88,3.81,0,2,1,2.39,0,25
26,2019,12,1,1132,39.68,118.90,3.81,0,2,1,2.39,0,25
27,2019,12,1,1132,39.66,118.90,3.82,0,2,1,2.39,0,25
28,2019,12,1,1132,39.62,118.44,3.82,0,2,1,1.37,0,28
29,2019,12,1,1132,39.62,118.46,3.82,0,2,3,1.37,0,28
30,2019,12,1,1132,39.60,118.46,3.82,0,2,3,1.37,0,28
31,2019,12,1,1132,39.52,118.08,3.82,0,2,3,1.39,0,31
32,2019,12,1,1132,39.28,110.14,3.84,0,2,1,.84,0,32
33,2019,12,1,1132,39.28,110.16,3.84,0,2,1,.84,0,32
34,2019,12,1,1132,39.10,110.74,3.85,0,2,1,.79,0,34
35,2019,12,1,1132,39.10,110.76,3.85,0,2,1,.79,0,34
36,2019,12,1,1132,38.52,102.18,3.88,0,2,1,.66,0,36
37,2019,12,1,1132,38.00,108.56,3.91,0,3,3,.59,0,37
38,2019,12,1,1132,38.00,108.58,3.91,0,3,3,.59,0,37
39,2019,12,1,1132,37.76,106.76,3.92,0,2,3,.75,0,41
40,2019,12,1,1132,37.76,106.78,3.92,0,2,3,.75,0,41
41,2019,12,1,1132,37.74,106.78,3.92,0,2,3,.75,0,41
42,2019,12,1,1132,37.06,114.44,3.96,0,2,1,.51,0,42
43,2019,12,1,1132,36.82,115.70,3.97,0,2,1,.54,0,43
44,2019,12,1,1132,36.82,115.72,3.97,0,2,1,.54,0,43
45,2019,12,1,1132,36.48,113.08,3.99,0,2,1,.71,0,45
46,2019,12,1,1132,36.48,113.10,3.99,0,2,1,.71,0,45
47,2019,12,1,1132,36.46,115.98,3.99,0,2,1,.59,0,47
48,2019,12,1,1132,36.38,118.52,3.99,0,2,1,2.02,0,48
49,2019,12,1,1132,36.28,113.04,4.00,0,2,1,.81,0,49
50,2019,12,1,1132,36.22,116.52,4.00,0,1,1,2.28,0,50
51,2019,12,1,1132,36.10,117.82,4.00,0,1,1,2.13,0,51
52,2019,12,1,1132,36.08,117.82,4.01,0,1,1,2.13,0,51
53,2019,12,1,1132,36.08,117.84,4.01,0,1,1,2.13,0,51
54,2019,12,1,1132,35.94,140.68,4.01,0,2,1,2.02,0,54
55,2019,12,1,1132,35.70,111.42,4.03,0,2,1,2.18,0,55
56,2019,12,1,1132,35.70,111.44,4.03,0,2,1,2.18,0,55
57,2019,12,1,1132,35.68,111.44,4.03,0,2,1,2.18,0,55
58,2019,12,1,1132,34.76,118.84,4.07,0,2,1,1.90,0,58
59,2019,12,1,1132,33.74,114.88,4.12,0,2,1,.91,0,59
60,2019,12,1,1132,32.84,110.76,4.16,0,2,1,1.60,0,60
61,2019,12,1,1132,32.82,110.80,4.17,0,2,3,1.40,0,61
62,2019,12,1,1132,32.58,108.82,4.18,0,2,3,2.49,0,62
63,2019,12,1,1132,32.22,115.94,4.19,0,2,1,1.36,0,63
64,2019,12,1,1132,32.22,115.96,4.19,0,2,1,1.36,0,63
65,2019,12,1,1132,31.76,115.36,4.21,0,2,3,1.30,0,65
66,2019,12,1,1132,31.66,115.84,4.22,0,2,3,1.15,0,66
67,2019,12,1,1132,31.30,114.58,4.24,0,2,1,1.62,0,67
68,2019,12,1,1132,30.86,110.98,4.25,0,1,3,6.59,0,68
69,2019,12,1,1132,30.84,110.98,4.26,0,1,3,6.59,0,68
70,2019,12,1,1132,30.82,110.98,4.26,0,2,3,3.17,0,68
71,2019,12,1,1132,30.82,111.00,4.26,0,2,3,3.17,0,68
72,2019,12,1,1132,30.70,111.28,4.26,0,2,3,2.42,0,72
73,2019,12,1,1132,30.64,114.42,4.26,0,2,1,2.05,0,73
74,2019,12,1,1132,30.64,114.44,4.26,0,2,1,2.05,0,73
75,2019,12,1,1132,30.60,115.48,4.27,0,2,1,1.28,0,75
76,2019,12,1,1132,30.60,115.50,4.27,0,2,1,1.28,0,75
77,2019,12,1,1132,30.58,115.50,4.27,0,2,1,1.28,0,75
78,2019,12,1,1132,29.84,86.80,4.30,0,2,1,1.63,0,79
