# 2019 12  1 23 20 UTC  2020  3 19  0 45 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,1,2321,41.14,122.98,3.73,0,1,1,9.33,0,3
2,2019,12,1,2321,41.12,122.98,3.73,0,1,1,9.33,0,3
3,2019,12,1,2321,41.12,123.00,3.73,0,1,1,9.33,0,3
4,2019,12,1,2321,40.78,125.56,3.75,0,3,1,.63,0,4
5,2019,12,1,2321,40.48,125.02,3.77,0,2,1,2.24,0,6
6,2019,12,1,2321,40.46,125.02,3.77,0,2,3,2.24,0,6
7,2019,12,1,2321,40.40,115.78,3.77,0,2,1,.94,0,7
8,2019,12,1,2321,40.22,118.30,3.78,0,1,3,2.78,0,8
9,2019,12,1,2321,39.98,118.56,3.80,0,2,3,1.36,0,11
10,2019,12,1,2321,39.96,118.54,3.80,0,2,1,.83,0,11
11,2019,12,1,2321,39.96,118.56,3.80,0,2,1,1.97,0,11
12,2019,12,1,2321,39.68,118.88,3.81,0,2,1,2.62,0,12
13,2019,12,1,2321,39.68,118.90,3.81,0,2,1,2.62,0,12
14,2019,12,1,2321,39.66,118.40,3.82,0,2,1,1.07,0,14
15,2019,12,1,2321,39.66,118.42,3.82,0,2,1,1.07,0,14
16,2019,12,1,2321,39.66,118.90,3.82,0,2,1,2.62,0,12
17,2019,12,1,2321,39.04,117.48,3.85,0,2,1,.59,0,17
18,2019,12,1,2321,38.88,115.46,3.86,0,2,1,.64,0,18
19,2019,12,1,2321,38.88,115.48,3.86,0,2,1,.64,0,18
20,2019,12,1,2321,38.74,114.48,3.87,0,2,1,2.59,0,20
21,2019,12,1,2321,38.36,113.96,3.89,0,1,3,5.62,0,22
22,2019,12,1,2321,38.34,113.96,3.89,0,1,3,5.62,0,22
23,2019,12,1,2321,38.32,113.98,3.89,0,1,3,5.02,0,23
24,2019,12,1,2321,38.12,116.84,3.90,0,2,1,2.01,0,24
25,2019,12,1,2321,38.12,116.86,3.90,0,2,1,2.01,0,24
26,2019,12,1,2321,37.94,112.52,3.91,0,1,1,3.27,0,26
27,2019,12,1,2321,37.58,112.22,3.93,0,2,1,1.30,0,27
28,2019,12,1,2321,37.58,115.58,3.93,0,2,1,1.05,0,28
29,2019,12,1,2321,37.58,115.60,3.93,0,2,1,1.05,0,28
30,2019,12,1,2321,37.06,112.76,3.96,0,1,3,1.97,0,30
31,2019,12,1,2321,37.06,112.78,3.96,0,1,3,1.97,0,30
32,2019,12,1,2321,37.04,114.16,3.96,0,2,3,1.28,0,32
33,2019,12,1,2321,36.94,116.64,3.96,0,2,1,.61,0,33
34,2019,12,1,2321,36.94,116.66,3.96,0,2,1,.61,0,33
35,2019,12,1,2321,36.92,116.66,3.96,0,2,1,.61,0,33
36,2019,12,1,2321,36.90,117.74,3.96,0,2,1,1.18,0,36
37,2019,12,1,2321,36.86,116.22,3.97,0,1,1,2.28,0,37
38,2019,12,1,2321,36.86,116.24,3.97,0,1,1,2.28,0,37
39,2019,12,1,2321,36.84,116.24,3.97,0,1,1,2.28,0,37
40,2019,12,1,2321,36.82,116.74,3.97,0,2,1,.94,0,40
41,2019,12,1,2321,36.68,114.18,3.98,0,1,1,3.31,0,41
42,2019,12,1,2321,36.60,116.20,3.98,0,1,1,2.40,0,42
43,2019,12,1,2321,36.58,114.12,3.98,0,1,1,5.51,0,43
44,2019,12,1,2321,36.58,116.22,3.98,0,1,3,1.83,0,44
45,2019,12,1,2321,36.58,116.24,3.98,0,1,3,1.83,0,44
46,2019,12,1,2321,36.56,116.24,3.98,0,1,3,1.83,0,44
47,2019,12,1,2321,36.54,118.10,3.98,0,1,3,3.23,0,49
48,2019,12,1,2321,36.52,118.10,3.98,0,1,3,3.23,0,49
49,2019,12,1,2321,36.52,118.12,3.98,0,1,3,3.23,0,49
50,2019,12,1,2321,36.26,114.20,4.00,0,2,1,1.18,0,50
51,2019,12,1,2321,36.12,117.82,4.00,0,2,1,.84,0,56
52,2019,12,1,2321,36.10,117.82,4.00,0,2,1,1.08,0,56
53,2019,12,1,2321,36.08,111.50,4.01,0,2,1,.42,0,53
54,2019,12,1,2321,36.08,111.54,4.01,0,2,1,.78,0,54
55,2019,12,1,2321,36.08,117.82,4.01,0,2,1,1.08,0,56
56,2019,12,1,2321,36.08,117.84,4.01,0,2,1,1.08,0,56
57,2019,12,1,2321,35.86,114.00,4.02,0,2,1,.68,0,59
58,2019,12,1,2321,35.86,114.02,4.02,0,2,1,.68,0,59
59,2019,12,1,2321,35.86,114.04,4.02,0,2,3,1.57,0,59
60,2019,12,1,2321,35.84,114.04,4.02,0,2,1,1.56,0,59
61,2019,12,1,2321,35.70,111.42,4.03,0,2,1,1.59,0,61
62,2019,12,1,2321,35.70,111.44,4.03,0,2,1,1.59,0,61
63,2019,12,1,2321,35.68,111.44,4.03,0,2,1,1.59,0,61
64,2019,12,1,2321,35.62,110.56,4.03,0,2,1,2.40,0,64
65,2019,12,1,2321,35.62,110.58,4.03,0,2,1,2.40,0,64
66,2019,12,1,2321,35.58,117.30,4.03,0,1,3,3.51,0,67
67,2019,12,1,2321,35.58,117.32,4.03,0,1,3,3.51,0,67
68,2019,12,1,2321,35.42,111.28,4.04,0,2,1,.87,0,68
69,2019,12,1,2321,34.94,110.80,4.06,0,2,3,2.05,0,71
70,2019,12,1,2321,34.94,110.82,4.06,0,2,3,2.05,0,71
71,2019,12,1,2321,34.92,110.82,4.06,0,2,3,2.05,0,71
72,2019,12,1,2321,34.64,115.40,4.08,0,1,3,2.11,0,72
73,2019,12,1,2321,34.46,107.22,4.09,0,2,3,2.43,0,73
74,2019,12,1,2321,34.46,107.24,4.09,0,2,3,2.43,0,73
75,2019,12,1,2321,34.44,107.24,4.09,0,2,3,2.43,0,73
76,2019,12,1,2321,34.44,115.06,4.09,0,2,1,1.00,0,76
77,2019,12,1,2321,34.42,115.06,4.09,0,2,1,1.00,0,76
78,2019,12,1,2321,34.42,119.84,4.09,0,2,1,3.70,0,78
79,2019,12,1,2321,34.40,119.84,4.09,0,2,1,3.70,0,78
80,2019,12,1,2321,34.34,108.68,4.09,0,2,1,.66,0,80
81,2019,12,1,2321,33.74,112.74,4.12,0,1,1,7.63,0,81
82,2019,12,1,2321,33.74,112.76,4.12,0,1,1,7.63,0,81
83,2019,12,1,2321,33.74,113.18,4.12,0,1,1,5.58,0,83
84,2019,12,1,2321,33.32,112.58,4.14,0,2,3,3.21,0,85
