# 2019 12  2  8 30 UTC  2020  3 19  0 31 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,2,0832,42.26,123.98,3.67,0,2,3,1.81,0,1
2,2019,12,2,0832,42.26,124.00,3.67,0,2,3,1.64,0,1
3,2019,12,2,0832,42.24,124.00,3.67,0,2,3,1.64,0,1
4,2019,12,2,0832,42.24,124.02,3.67,0,2,3,1.64,0,1
5,2019,12,2,0832,42.02,121.64,3.68,0,2,1,1.24,0,5
6,2019,12,2,0832,42.00,121.64,3.68,0,2,1,1.24,0,5
7,2019,12,2,0832,42.00,121.66,3.68,0,2,1,1.24,0,5
8,2019,12,2,0832,41.88,124.12,3.69,0,1,1,3.46,0,8
9,2019,12,2,0832,41.88,124.14,3.69,0,2,3,1.99,0,8
10,2019,12,2,0832,41.86,124.12,3.69,0,1,1,3.28,0,8
11,2019,12,2,0832,41.84,124.12,3.69,0,1,1,3.28,0,8
12,2019,12,2,0832,41.74,120.98,3.70,0,2,1,1.59,0,16
13,2019,12,2,0832,41.72,120.98,3.70,0,2,1,1.59,0,16
14,2019,12,2,0832,41.70,120.96,3.70,0,2,3,1.44,0,16
15,2019,12,2,0832,41.70,120.98,3.70,0,1,1,3.34,0,16
16,2019,12,2,0832,41.70,121.00,3.70,0,1,1,3.34,0,16
17,2019,12,2,0832,41.50,123.06,3.71,0,2,3,1.39,0,17
18,2019,12,2,0832,41.50,123.08,3.71,0,2,3,1.08,0,17
19,2019,12,2,0832,41.48,123.06,3.71,0,2,3,.71,0,17
20,2019,12,2,0832,41.48,123.10,3.71,0,2,3,1.14,0,20
21,2019,12,2,0832,41.46,123.06,3.71,0,2,3,.71,0,17
22,2019,12,2,0832,41.46,123.08,3.71,0,2,1,.71,0,17
23,2019,12,2,0832,41.28,123.72,3.72,0,2,1,2.09,0,23
24,2019,12,2,0832,41.28,123.74,3.72,0,2,1,.86,0,23
25,2019,12,2,0832,41.26,123.72,3.73,0,2,1,2.09,0,23
26,2019,12,2,0832,41.26,123.74,3.73,0,2,1,.86,0,23
27,2019,12,2,0832,41.22,123.60,3.73,0,2,1,1.15,0,27
28,2019,12,2,0832,41.16,120.98,3.73,0,2,3,1.33,0,32
29,2019,12,2,0832,41.16,121.00,3.73,0,2,3,1.33,0,32
30,2019,12,2,0832,41.16,122.94,3.73,0,2,1,.53,0,30
31,2019,12,2,0832,41.16,122.98,3.73,0,2,1,2.04,0,35
32,2019,12,2,0832,41.14,121.00,3.73,0,2,1,1.80,0,32
33,2019,12,2,0832,41.14,121.10,3.73,0,2,3,1.21,0,40
34,2019,12,2,0832,41.14,121.12,3.73,0,2,3,1.21,0,40
35,2019,12,2,0832,41.14,122.96,3.73,0,2,1,3.28,0,35
36,2019,12,2,0832,41.14,122.98,3.73,0,2,1,3.18,0,35
37,2019,12,2,0832,41.12,121.12,3.73,0,2,3,1.21,0,40
38,2019,12,2,0832,41.12,122.98,3.73,0,2,1,3.18,0,35
39,2019,12,2,0832,41.12,123.00,3.73,0,2,1,3.18,0,35
40,2019,12,2,0832,41.10,121.12,3.74,0,2,3,1.51,0,40
41,2019,12,2,0832,40.66,122.40,3.76,0,1,1,4.14,0,41
42,2019,12,2,0832,40.66,125.30,3.76,0,2,3,2.07,0,42
43,2019,12,2,0832,40.66,125.32,3.76,0,2,3,2.07,0,42
44,2019,12,2,0832,40.64,125.32,3.76,0,2,3,2.07,0,42
45,2019,12,2,0832,40.62,115.04,3.76,0,2,1,1.45,0,47
46,2019,12,2,0832,40.62,115.06,3.76,0,2,1,1.45,0,47
47,2019,12,2,0832,40.60,115.06,3.76,0,2,1,1.45,0,47
48,2019,12,2,0832,40.56,120.14,3.77,0,2,1,1.18,0,48
49,2019,12,2,0832,40.56,120.16,3.77,0,2,3,1.18,0,48
50,2019,12,2,0832,40.52,125.00,3.77,0,2,3,2.25,0,50
51,2019,12,2,0832,40.44,118.26,3.77,0,2,1,.63,0,51
52,2019,12,2,0832,40.42,113.16,3.77,0,2,1,2.45,0,52
53,2019,12,2,0832,40.24,119.02,3.78,0,2,3,1.04,0,54
54,2019,12,2,0832,40.22,119.02,3.78,0,2,3,1.04,0,54
55,2019,12,2,0832,40.22,119.04,3.78,0,2,3,1.04,0,54
56,2019,12,2,0832,40.18,119.02,3.79,0,2,3,1.11,0,57
57,2019,12,2,0832,40.18,119.04,3.79,0,2,1,1.40,0,57
58,2019,12,2,0832,40.18,119.06,3.79,0,2,1,1.40,0,57
59,2019,12,2,0832,40.16,119.02,3.79,0,2,1,.77,0,57
60,2019,12,2,0832,40.16,119.04,3.79,0,2,1,.77,0,57
61,2019,12,2,0832,40.14,119.04,3.79,0,2,1,.77,0,57
62,2019,12,2,0832,40.06,124.12,3.79,0,2,3,1.18,0,62
63,2019,12,2,0832,40.00,125.46,3.80,0,2,1,.83,0,63
64,2019,12,2,0832,40.00,125.50,3.80,0,2,5,2.14,0,64
65,2019,12,2,0832,39.98,123.06,3.80,0,2,3,1.34,0,65
66,2019,12,2,0832,39.98,125.46,3.80,0,2,1,.83,0,63
67,2019,12,2,0832,39.98,125.50,3.80,0,2,3,2.14,0,64
68,2019,12,2,0832,39.98,125.52,3.80,0,2,5,2.14,0,64
69,2019,12,2,0832,39.96,123.06,3.80,0,2,3,1.34,0,65
70,2019,12,2,0832,39.92,124.28,3.80,0,2,3,1.21,0,70
71,2019,12,2,0832,39.82,118.18,3.81,0,2,1,1.08,0,71
72,2019,12,2,0832,39.76,118.06,3.81,0,2,1,1.25,0,72
73,2019,12,2,0832,39.76,118.08,3.81,0,2,1,1.25,0,72
74,2019,12,2,0832,39.68,118.88,3.81,0,1,1,3.38,0,74
75,2019,12,2,0832,39.68,118.90,3.81,0,1,1,3.38,0,74
76,2019,12,2,0832,39.66,118.90,3.82,0,1,1,3.38,0,74
77,2019,12,2,0832,39.52,110.48,3.82,0,2,1,1.12,0,81
78,2019,12,2,0832,39.52,110.50,3.82,0,2,1,1.12,0,81
79,2019,12,2,0832,39.50,110.46,3.82,0,2,3,2.48,0,81
80,2019,12,2,0832,39.50,110.48,3.82,0,2,3,2.48,0,81
81,2019,12,2,0832,39.50,110.50,3.82,0,2,1,2.78,0,81
82,2019,12,2,0832,39.48,110.52,3.83,0,2,1,2.58,0,82
83,2019,12,2,0832,39.46,118.42,3.83,0,2,3,1.27,0,83
84,2019,12,2,0832,39.44,118.44,3.83,0,2,3,1.23,0,84
85,2019,12,2,0832,39.38,106.94,3.83,0,1,1,2.39,0,85
86,2019,12,2,0832,39.12,127.66,3.85,0,1,3,5.40,0,86
87,2019,12,2,0832,39.04,117.48,3.85,0,2,1,.80,0,87
88,2019,12,2,0832,38.94,106.40,3.86,0,2,1,2.11,0,88
89,2019,12,2,0832,38.94,106.42,3.86,0,2,1,2.11,0,88
90,2019,12,2,0832,38.94,126.42,3.86,0,2,3,.62,0,90
91,2019,12,2,0832,38.92,126.42,3.86,0,2,3,.62,0,90
92,2019,12,2,0832,38.92,126.44,3.86,0,2,3,.62,0,90
93,2019,12,2,0832,38.74,114.48,3.87,0,2,1,.72,0,93
94,2019,12,2,0832,38.72,125.42,3.87,0,2,3,3.14,0,95
95,2019,12,2,0832,38.72,125.44,3.87,0,1,3,3.48,0,95
96,2019,12,2,0832,38.72,125.46,3.87,0,1,3,3.48,0,95
