# 2019 12  4  2 20 UTC  2020  3 18 23 31 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,4,0221,43.02,101.12,3.62,0,2,1,1.34,0,2
2,2019,12,4,0221,43.02,101.14,3.62,0,2,1,1.34,0,2
3,2019,12,4,0221,43.02,101.16,3.62,0,3,1,1.00,0,2
4,2019,12,4,0221,43.02,101.18,3.62,0,3,1,1.00,0,2
5,2019,12,4,0221,36.62,117.70,3.98,0,3,5,3.16,0,5
6,2019,12,4,0221,36.62,117.72,3.98,0,3,5,3.16,0,5
7,2019,12,4,0221,36.00,129.36,4.01,0,2,1,1.67,0,9
8,2019,12,4,0221,36.00,129.38,4.01,0,1,1,9.80,0,9
9,2019,12,4,0221,36.00,129.40,4.01,0,1,1,9.80,0,9
10,2019,12,4,0221,35.94,140.66,4.01,0,2,1,3.03,0,10
11,2019,12,4,0221,35.20,112.74,4.05,0,2,3,2.62,0,13
12,2019,12,4,0221,35.20,112.76,4.05,0,2,3,2.62,0,13
13,2019,12,4,0221,35.20,112.78,4.05,0,2,5,4.11,0,13
14,2019,12,4,0221,35.18,112.78,4.05,0,2,5,4.11,0,13
15,2019,12,4,0221,35.12,126.76,4.05,0,3,3,1.18,0,15
16,2019,12,4,0221,34.76,126.44,4.07,0,3,3,2.14,2,16
17,2019,12,4,0221,34.42,119.84,4.09,0,2,1,7.15,0,17
18,2019,12,4,0221,34.40,119.84,4.09,0,2,1,7.15,0,17
19,2019,12,4,0221,33.78,119.80,4.12,0,3,1,.83,0,19
20,2019,12,4,0221,33.70,118.74,4.12,0,3,1,.81,0,20
21,2019,12,4,0221,32.74,120.10,4.17,0,2,1,1.03,0,21
22,2019,12,4,0221,32.42,120.52,4.18,0,3,3,1.28,0,22
23,2019,12,4,0221,32.40,120.52,4.18,0,3,3,1.28,0,22
24,2019,12,4,0221,32.40,120.54,4.18,0,3,3,1.28,0,22
25,2019,12,4,0221,32.38,120.54,4.19,0,3,3,1.18,0,22
26,2019,12,4,0221,30.64,114.46,4.26,0,2,1,2.93,0,26
27,2019,12,4,0221,30.52,111.42,4.27,0,3,3,1.34,0,27
28,2019,12,4,0221,30.38,109.30,4.28,0,3,3,1.87,2,28
29,2019,12,4,0221,30.24,110.46,4.28,0,3,1,1.26,0,29
30,2019,12,4,0221,30.22,110.46,4.28,0,3,1,1.26,0,29
31,2019,12,4,0221,30.14,121.08,4.29,0,3,1,1.61,0,32
32,2019,12,4,0221,30.12,121.08,4.29,0,3,3,2.12,0,32
33,2019,12,4,0221,29.54,115.06,4.31,0,3,1,1.96,0,33
34,2019,12,4,0221,29.52,115.10,4.31,0,3,1,2.29,0,34
35,2019,12,4,0221,29.50,115.10,4.31,0,3,1,2.29,0,34
36,2019,12,4,0221,29.50,121.14,4.31,0,3,3,2.20,2,36
37,2019,12,4,0221,29.22,114.08,4.33,0,3,3,1.47,0,37
38,2019,12,4,0221,28.72,109.78,4.35,0,3,3,2.20,2,38
39,2019,12,4,0221,28.62,118.82,4.35,0,3,3,2.48,0,42
40,2019,12,4,0221,28.62,118.84,4.35,0,3,3,2.61,0,42
41,2019,12,4,0221,28.60,118.80,4.35,0,3,3,2.69,0,42
42,2019,12,4,0221,28.60,118.82,4.35,0,3,3,3.26,0,42
43,2019,12,4,0221,28.60,118.84,4.35,0,3,3,3.26,0,42
44,2019,12,4,0221,28.08,119.12,4.37,0,3,1,1.53,0,44
45,2019,12,4,0221,28.08,119.14,4.37,0,3,3,1.42,2,44
46,2019,12,4,0221,27.88,118.32,4.38,0,2,3,1.88,0,46
47,2019,12,4,0221,27.66,118.80,4.39,0,3,3,1.54,0,47
48,2019,12,4,0221,27.52,118.48,4.40,0,2,5,22.91,0,48
49,2019,12,4,0221,27.50,118.48,4.40,0,2,5,21.31,0,48
50,2019,12,4,0221,27.30,118.22,4.40,0,2,5,11.15,0,52
51,2019,12,4,0221,27.28,117.74,4.41,0,2,5,11.18,0,51
52,2019,12,4,0221,27.28,118.22,4.41,0,2,5,12.02,0,52
53,2019,12,4,0221,27.28,118.24,4.41,0,2,5,12.02,0,52
54,2019,12,4,0221,27.26,117.74,4.41,0,2,5,9.32,0,51
55,2019,12,4,0221,27.26,118.24,4.41,0,2,5,12.02,0,52
56,2019,12,4,0221,27.24,118.74,4.41,0,2,5,10.00,0,56
57,2019,12,4,0221,27.24,118.76,4.41,0,2,5,10.00,0,56
58,2019,12,4,0221,27.24,118.78,4.41,0,2,5,6.97,0,56
59,2019,12,4,0221,27.22,118.76,4.41,0,2,5,10.00,0,56
60,2019,12,4,0221,27.22,118.78,4.41,0,2,5,6.97,0,56
61,2019,12,4,0221,27.16,113.06,4.41,0,3,1,1.83,0,62
62,2019,12,4,0221,27.14,113.06,4.41,0,3,1,2.23,0,62
63,2019,12,4,0221,27.04,118.26,4.41,0,2,3,7.62,0,63
64,2019,12,4,0221,27.02,118.26,4.42,0,2,3,7.62,0,63
65,2019,12,4,0221,27.02,118.28,4.42,0,2,3,7.62,0,63
66,2019,12,4,0221,26.98,114.70,4.42,0,3,1,1.48,0,66
67,2019,12,4,0221,26.98,117.62,4.42,0,2,5,19.90,0,67
68,2019,12,4,0221,26.98,117.64,4.42,0,2,5,19.90,0,67
69,2019,12,4,0221,26.96,114.68,4.42,0,3,3,1.68,0,69
70,2019,12,4,0221,26.88,117.32,4.42,0,2,5,22.42,0,76
71,2019,12,4,0221,26.88,117.34,4.42,0,2,5,22.39,0,76
72,2019,12,4,0221,26.88,117.36,4.42,0,2,3,5.37,0,76
73,2019,12,4,0221,26.88,118.10,4.42,0,2,3,7.02,0,74
74,2019,12,4,0221,26.88,118.12,4.42,0,2,5,12.26,0,74
75,2019,12,4,0221,26.88,118.26,4.42,0,2,5,52.09,0,75
76,2019,12,4,0221,26.86,117.34,4.42,0,2,5,33.28,0,76
77,2019,12,4,0221,26.86,117.36,4.42,0,2,5,10.24,0,76
78,2019,12,4,0221,26.86,118.26,4.42,0,2,5,19.39,0,75
79,2019,12,4,0221,26.66,117.50,4.43,0,3,3,2.16,0,79
80,2019,12,4,0221,26.66,117.84,4.43,0,3,3,1.14,0,80
81,2019,12,4,0221,26.66,117.86,4.43,0,3,3,1.14,0,80
82,2019,12,4,0221,26.42,117.76,4.44,0,3,1,2.56,2,82
83,2019,12,4,0221,26.42,117.78,4.44,0,3,1,2.56,2,82
84,2019,12,4,0221,26.02,116.80,4.45,0,2,5,33.53,0,84
85,2019,12,4,0221,26.02,116.82,4.45,0,2,5,11.30,0,84
86,2019,12,4,0221,25.34,118.40,4.48,0,2,3,17.21,0,86
87,2019,12,4,0221,25.10,113.64,4.49,0,3,1,1.09,0,87
88,2019,12,4,0221,24.92,112.56,4.50,0,3,3,2.47,0,88
89,2019,12,4,0221,24.74,112.46,4.50,0,3,5,3.81,0,90
90,2019,12,4,0221,24.74,112.48,4.50,0,2,5,13.53,0,90
91,2019,12,4,0221,24.74,112.50,4.50,0,2,5,13.53,0,90
92,2019,12,4,0221,24.18,111.02,4.52,0,2,5,9.09,0,92
93,2019,12,4,0221,24.18,111.04,4.52,0,2,3,4.21,0,92
94,2019,12,4,0221,23.84,111.36,4.53,0,2,5,13.83,0,95
95,2019,12,4,0221,23.82,111.36,4.53,0,2,5,17.57,0,95
96,2019,12,4,0221,23.82,111.38,4.53,0,2,5,17.57,0,95
97,2019,12,4,0221,23.80,86.34,4.54,0,3,1,2.23,0,102
98,2019,12,4,0221,23.80,86.36,4.54,0,3,1,2.23,0,102
99,2019,12,4,0221,23.80,111.38,4.54,0,2,5,17.57,0,95
100,2019,12,4,0221,23.78,86.34,4.54,0,2,1,2.70,0,102
101,2019,12,4,0221,23.78,86.36,4.54,0,2,1,2.70,0,102
102,2019,12,4,0221,23.78,86.38,4.54,0,2,1,2.70,0,102
103,2019,12,4,0221,23.78,86.40,4.54,0,3,1,2.65,0,102
104,2019,12,4,0221,23.78,86.42,4.54,0,3,1,2.66,0,102
105,2019,12,4,0221,23.76,86.42,4.54,0,2,1,2.46,0,102
106,2019,12,4,0221,23.76,86.44,4.54,0,2,1,2.47,0,102
107,2019,12,4,0221,23.74,90.38,4.54,0,3,3,.75,0,110
108,2019,12,4,0221,23.74,90.40,4.54,0,3,3,.75,0,110
109,2019,12,4,0221,23.72,90.38,4.54,0,3,3,.92,0,110
110,2019,12,4,0221,23.72,90.40,4.54,0,3,3,.92,0,110
111,2019,12,4,0221,23.70,90.40,4.54,0,3,3,.63,0,110
112,2019,12,4,0221,23.70,90.42,4.54,0,3,3,.63,0,110
113,2019,12,4,0221,23.70,109.56,4.54,0,2,5,3.13,0,113
114,2019,12,4,0221,22.66,108.72,4.57,0,2,3,1.82,0,114
115,2019,12,4,0221,22.66,108.74,4.57,0,2,3,1.82,0,114
116,2019,12,4,0221,22.34,82.52,4.58,0,3,1,1.44,0,116
117,2019,12,4,0221,22.16,110.10,4.59,0,2,5,3.37,0,117
118,2019,12,4,0221,22.14,108.08,4.59,0,3,1,1.15,0,118
119,2019,12,4,0221,21.84,112.48,4.60,0,3,3,2.65,0,119
120,2019,12,4,0221,21.84,112.50,4.60,0,3,3,2.65,0,119
121,2019,12,4,0221,21.62,108.46,4.61,0,3,3,2.06,0,121
122,2019,12,4,0221,21.44,97.30,4.61,0,3,3,1.46,0,122
123,2019,12,4,0221,21.44,97.32,4.61,0,3,3,1.46,0,122
124,2019,12,4,0221,21.04,106.92,4.63,0,2,3,6.43,0,124
125,2019,12,4,0221,21.04,106.94,4.63,0,2,3,6.43,0,124
126,2019,12,4,0221,21.04,107.26,4.63,0,3,1,1.60,0,132
127,2019,12,4,0221,21.04,107.28,4.63,0,3,1,2.14,0,132
128,2019,12,4,0221,21.04,107.30,4.63,0,3,1,2.14,0,132
129,2019,12,4,0221,21.04,107.32,4.63,0,3,1,2.11,0,132
130,2019,12,4,0221,21.02,105.82,4.63,0,3,1,1.14,0,133
131,2019,12,4,0221,21.02,107.30,4.63,0,3,1,2.05,0,132
132,2019,12,4,0221,21.02,107.32,4.63,0,2,1,2.27,0,132
133,2019,12,4,0221,21.00,105.82,4.63,0,3,1,1.33,2,133
134,2019,12,4,0221,20.96,85.12,4.63,0,2,1,1.95,0,136
135,2019,12,4,0221,20.96,85.14,4.63,0,2,1,1.95,0,136
136,2019,12,4,0221,20.96,85.16,4.63,0,2,1,1.95,0,136
137,2019,12,4,0221,20.96,85.18,4.63,0,3,1,1.79,0,136
138,2019,12,4,0221,20.96,85.20,4.63,0,3,1,1.79,0,136
139,2019,12,4,0221,19.82,105.76,4.66,0,3,1,1.63,0,139
140,2019,12,4,0221,19.82,105.78,4.66,0,3,1,1.63,0,139
141,2019,12,4,0221,19.64,103.10,4.67,0,3,3,1.80,0,141
142,2019,12,4,0221,19.44,103.06,4.67,0,3,3,1.69,0,142
143,2019,12,4,0221,19.22,96.28,4.68,0,3,3,1.77,0,145
144,2019,12,4,0221,19.20,96.28,4.68,0,3,3,1.77,0,145
145,2019,12,4,0221,19.20,96.30,4.68,0,3,3,1.77,0,145
146,2019,12,4,0221,18.80,97.40,4.69,0,3,1,3.51,2,146
147,2019,12,4,0221,18.78,97.40,4.69,0,3,1,3.14,2,146
148,2019,12,4,0221,18.78,97.42,4.69,0,3,1,3.14,2,146
149,2019,12,4,0221,18.76,97.42,4.69,0,3,1,3.14,2,146
150,2019,12,4,0221,18.32,99.72,4.71,0,3,1,1.81,0,150
151,2019,12,4,0221,18.18,102.18,4.71,0,3,1,1.83,0,151
152,2019,12,4,0226,16.18,102.90,4.76,0,3,3,1.89,0,152
153,2019,12,4,0226,15.58,101.22,4.77,0,2,5,4.25,0,153
154,2019,12,4,0226,15.58,101.24,4.77,0,3,3,1.97,0,153
155,2019,12,4,0226,15.58,101.26,4.77,0,3,3,1.97,0,153
156,2019,12,4,0226,15.56,101.22,4.77,0,3,1,1.70,0,153
157,2019,12,4,0226,14.76,106.84,4.79,0,2,5,14.88,0,158
158,2019,12,4,0226,14.76,106.86,4.79,0,2,5,19.45,0,158
159,2019,12,4,0226,14.74,106.84,4.79,0,3,3,7.83,0,158
160,2019,12,4,0226,14.74,106.86,4.79,0,3,5,10.10,0,158
161,2019,12,4,0226,14.74,106.88,4.79,0,3,5,10.10,0,158
162,2019,12,4,0226,12.44,98.60,4.84,0,3,3,2.32,2,162
163,2019,12,4,0226,11.94,102.82,4.85,0,2,1,3.93,0,163
