# 2019 12  7  7  0 UTC  2020  3 18 21 36 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,7,0702,51.32,113.16,3.10,0,2,3,1.00,0,4
2,2019,12,7,0702,51.32,113.18,3.10,0,2,3,1.00,0,4
3,2019,12,7,0702,51.30,113.18,3.10,0,2,3,1.00,0,4
4,2019,12,7,0702,51.30,113.20,3.10,0,2,3,1.00,0,4
5,2019,12,7,0702,44.52,131.74,3.53,0,2,5,6.93,0,5
6,2019,12,7,0702,44.52,131.76,3.53,0,2,5,6.93,0,5
7,2019,12,7,0702,44.50,127.20,3.54,0,2,3,.84,0,8
8,2019,12,7,0702,44.50,127.22,3.54,0,2,5,4.03,0,8
9,2019,12,7,0702,44.50,127.24,3.54,0,2,3,1.39,0,8
10,2019,12,7,0702,44.50,127.26,3.54,0,2,3,1.39,0,8
11,2019,12,7,0702,44.50,131.76,3.54,0,2,5,6.92,0,5
12,2019,12,7,0702,44.48,127.22,3.54,0,2,5,4.03,0,8
13,2019,12,7,0702,44.48,127.24,3.54,0,2,5,4.03,0,8
14,2019,12,7,0702,44.48,127.26,3.54,0,2,3,1.39,0,8
15,2019,12,7,0702,44.48,131.76,3.54,0,2,3,4.48,0,5
16,2019,12,7,0702,44.46,127.22,3.54,0,2,3,1.88,0,8
17,2019,12,7,0702,44.46,127.24,3.54,0,2,3,1.88,0,8
18,2019,12,7,0702,44.46,127.26,3.54,0,2,5,3.62,0,8
19,2019,12,7,0702,43.62,105.52,3.59,0,3,3,.92,0,19
20,2019,12,7,0702,43.32,126.04,3.61,0,2,5,3.15,0,20
21,2019,12,7,0702,43.32,126.06,3.61,0,2,3,1.40,0,20
22,2019,12,7,0702,43.32,126.08,3.61,0,2,3,1.40,0,20
23,2019,12,7,0702,43.30,126.04,3.61,0,2,5,3.15,0,20
24,2019,12,7,0702,43.30,126.06,3.61,0,2,5,3.15,0,20
25,2019,12,7,0702,43.30,126.08,3.61,0,2,3,1.40,0,20
26,2019,12,7,0702,43.28,126.04,3.61,0,2,3,1.45,0,20
27,2019,12,7,0702,43.28,126.06,3.61,0,2,3,1.45,0,20
28,2019,12,7,0702,40.74,95.46,3.76,0,3,1,2.29,0,28
29,2019,12,7,0702,40.22,118.22,3.78,0,2,1,.91,0,29
30,2019,12,7,0702,40.00,123.94,3.80,0,2,3,.90,0,30
31,2019,12,7,0702,39.98,123.94,3.80,0,2,3,.90,0,30
32,2019,12,7,0702,39.90,123.50,3.80,0,3,3,.76,0,32
33,2019,12,7,0702,39.76,118.06,3.81,0,2,1,1.91,0,35
34,2019,12,7,0702,39.76,118.08,3.81,0,2,1,1.91,0,35
35,2019,12,7,0702,39.76,118.10,3.81,0,2,1,1.93,0,35
36,2019,12,7,0702,39.04,117.48,3.85,0,2,1,2.07,0,36
37,2019,12,7,0702,38.78,109.64,3.86,0,3,3,8.22,0,37
38,2019,12,7,0702,38.78,109.66,3.86,0,3,3,8.22,0,37
39,2019,12,7,0702,38.76,109.66,3.87,0,3,3,8.22,0,37
40,2019,12,7,0702,37.54,113.62,3.93,0,2,3,4.53,0,40
41,2019,12,7,0702,37.54,113.64,3.93,0,2,3,4.53,0,40
42,2019,12,7,0702,37.52,113.64,3.93,0,2,3,4.52,0,40
43,2019,12,7,0702,36.00,129.38,4.01,0,1,1,8.12,0,43
44,2019,12,7,0702,36.00,129.40,4.01,0,1,1,8.12,0,43
45,2019,12,7,0702,35.92,109.34,4.01,0,2,3,.89,0,45
46,2019,12,7,0702,34.42,119.84,4.09,0,3,1,3.35,0,46
47,2019,12,7,0702,34.40,119.84,4.09,0,3,1,3.35,0,46
48,2019,12,7,0702,32.80,117.92,4.17,0,3,3,1.42,0,50
49,2019,12,7,0702,32.80,117.94,4.17,0,3,3,1.42,0,50
50,2019,12,7,0702,32.78,117.94,4.17,0,2,3,1.75,0,50
51,2019,12,7,0702,32.76,119.46,4.17,0,3,3,.71,0,51
52,2019,12,7,0702,32.46,118.74,4.18,0,2,3,1.46,0,54
53,2019,12,7,0702,32.46,118.76,4.18,0,2,3,1.46,0,54
54,2019,12,7,0702,32.46,118.78,4.18,0,2,3,1.62,0,54
55,2019,12,7,0702,32.40,117.04,4.18,0,2,5,3.07,0,55
56,2019,12,7,0702,32.38,117.04,4.19,0,2,5,3.07,0,55
57,2019,12,7,0702,32.38,117.06,4.19,0,2,5,3.07,0,55
58,2019,12,7,0702,32.36,117.06,4.19,0,2,3,1.99,0,55
59,2019,12,7,0702,32.30,116.58,4.19,0,2,3,1.35,0,59
60,2019,12,7,0702,32.28,116.58,4.19,0,2,3,1.35,0,59
61,2019,12,7,0702,32.26,116.56,4.19,0,2,3,1.99,0,61
62,2019,12,7,0702,32.24,117.66,4.19,0,2,5,7.30,0,62
63,2019,12,7,0702,32.22,117.66,4.19,0,2,5,6.30,0,62
64,2019,12,7,0702,32.22,117.68,4.19,0,2,5,6.30,0,62
65,2019,12,7,0702,32.18,115.92,4.20,0,3,3,1.30,0,65
66,2019,12,7,0702,32.16,116.92,4.20,0,2,5,3.14,0,69
67,2019,12,7,0702,32.16,117.54,4.20,0,2,3,1.50,0,67
68,2019,12,7,0702,32.14,116.68,4.20,0,2,3,1.74,0,70
69,2019,12,7,0702,32.14,116.92,4.20,0,2,3,4.37,0,69
70,2019,12,7,0702,32.12,116.68,4.20,0,2,5,2.60,0,70
71,2019,12,7,0702,32.02,117.06,4.20,0,3,3,1.73,0,71
72,2019,12,7,0702,32.00,117.06,4.20,0,3,3,1.73,0,71
73,2019,12,7,0702,32.00,117.08,4.20,0,3,3,1.73,0,71
74,2019,12,7,0702,32.00,117.96,4.20,0,2,3,1.16,0,74
75,2019,12,7,0702,31.94,116.10,4.21,0,2,3,1.27,0,75
76,2019,12,7,0702,31.88,115.46,4.21,0,3,3,.98,0,76
77,2019,12,7,0702,31.86,115.46,4.21,0,3,3,.98,0,76
78,2019,12,7,0702,31.86,115.48,4.21,0,3,3,.98,0,76
79,2019,12,7,0702,31.86,116.10,4.21,0,2,3,1.49,0,79
