# 2019 12  7 22 10 UTC  2020  3 18 21 16 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,7,2213,41.34,124.16,3.72,0,1,1,1.91,0,1
2,2019,12,7,2213,41.28,123.72,3.72,0,2,1,.99,0,2
3,2019,12,7,2213,41.26,123.72,3.73,0,2,1,.99,0,2
4,2019,12,7,2213,41.16,122.98,3.73,0,2,1,4.08,0,7
5,2019,12,7,2213,41.16,123.00,3.73,0,2,1,1.95,0,7
6,2019,12,7,2213,41.14,122.96,3.73,0,2,1,1.29,0,7
7,2019,12,7,2213,41.14,122.98,3.73,0,1,1,7.42,0,7
8,2019,12,7,2213,41.12,122.98,3.73,0,1,1,7.42,0,7
9,2019,12,7,2213,41.12,123.00,3.73,0,1,1,7.42,0,7
10,2019,12,7,2213,40.54,141.50,3.77,0,2,1,13.63,0,10
11,2019,12,7,2213,40.10,124.70,3.79,0,2,3,.55,0,11
12,2019,12,7,2213,40.10,124.72,3.79,0,2,3,.55,0,11
13,2019,12,7,2213,40.02,109.90,3.80,0,2,5,1.18,0,13
14,2019,12,7,2213,40.02,109.92,3.80,0,2,5,1.18,0,13
15,2019,12,7,2213,39.90,126.56,3.80,0,2,3,.70,0,15
16,2019,12,7,2213,39.74,110.18,3.81,0,2,1,.69,0,16
17,2019,12,7,2213,39.74,110.20,3.81,0,2,1,.69,0,16
18,2019,12,7,2213,39.72,110.20,3.81,0,2,3,.69,0,16
19,2019,12,7,2213,39.66,125.82,3.82,0,2,3,1.18,0,19
20,2019,12,7,2213,39.64,125.82,3.82,0,2,3,1.18,0,19
21,2019,12,7,2213,39.64,125.84,3.82,0,2,3,1.18,0,19
22,2019,12,7,2213,39.62,125.84,3.82,0,2,1,.98,0,19
23,2019,12,7,2213,39.52,110.48,3.82,0,2,1,1.46,0,25
24,2019,12,7,2213,39.52,110.50,3.82,0,2,1,1.36,0,25
25,2019,12,7,2213,39.50,110.50,3.82,0,2,1,2.78,0,25
26,2019,12,7,2213,39.48,110.52,3.83,0,2,1,2.28,0,26
27,2019,12,7,2213,39.42,110.60,3.83,0,2,1,1.25,0,27
28,2019,12,7,2213,39.40,110.62,3.83,0,2,1,1.35,0,28
29,2019,12,7,2213,39.28,110.16,3.84,0,2,1,.78,0,29
30,2019,12,7,2213,39.10,110.74,3.85,0,2,1,1.19,0,30
31,2019,12,7,2213,39.10,110.76,3.85,0,2,1,1.19,0,30
32,2019,12,7,2213,39.06,110.64,3.85,0,2,3,.58,0,32
33,2019,12,7,2213,39.06,110.66,3.85,0,2,3,.58,0,32
34,2019,12,7,2213,38.32,125.72,3.89,0,2,3,1.10,0,34
35,2019,12,7,2213,38.32,125.74,3.89,0,2,3,.91,0,34
36,2019,12,7,2213,38.32,125.76,3.89,0,2,3,.91,0,34
37,2019,12,7,2213,37.72,106.76,3.92,0,2,3,.76,0,37
38,2019,12,7,2213,37.58,112.24,3.93,0,2,1,1.05,0,38
39,2019,12,7,2213,36.88,118.72,3.96,0,2,1,.94,0,40
40,2019,12,7,2213,36.88,118.74,3.96,0,2,3,1.00,0,40
