# 2019 12  8  3  0 UTC  2020  3 18 21  7 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,8,0300,43.86,119.66,3.57,0,3,3,1.43,0,2
2,2019,12,8,0300,43.86,119.68,3.57,0,3,3,1.43,0,2
3,2019,12,8,0300,38.12,113.00,3.90,0,3,3,3.90,0,3
4,2019,12,8,0300,36.36,127.42,3.99,0,3,1,.72,0,4
5,2019,12,8,0300,35.94,128.26,4.01,0,3,1,1.15,0,5
6,2019,12,8,0300,35.92,128.26,4.01,0,3,3,1.15,0,5
7,2019,12,8,0300,35.92,128.28,4.01,0,3,3,1.15,0,5
8,2019,12,8,0300,35.86,128.50,4.02,0,3,1,2.00,0,8
9,2019,12,8,0300,35.84,127.14,4.02,0,3,1,.78,0,9
10,2019,12,8,0300,35.34,139.86,4.04,0,3,1,2.24,0,11
11,2019,12,8,0300,35.34,139.88,4.04,0,3,1,2.24,0,11
12,2019,12,8,0300,35.04,136.88,4.06,0,2,1,4.31,0,12
13,2019,12,8,0300,32.94,117.46,4.16,0,3,3,2.32,0,13
14,2019,12,8,0300,32.94,117.48,4.16,0,3,3,2.16,0,13
15,2019,12,8,0300,32.94,117.50,4.16,0,3,3,2.16,0,13
16,2019,12,8,0300,31.82,130.30,4.21,0,3,1,2.01,0,16
17,2019,12,8,0300,31.74,130.76,4.22,0,3,1,2.11,0,17
18,2019,12,8,0300,31.74,131.06,4.22,0,3,1,1.67,0,18
19,2019,12,8,0300,31.74,131.08,4.22,0,3,1,1.61,0,18
20,2019,12,8,0300,31.74,131.10,4.22,0,3,1,1.61,0,18
21,2019,12,8,0300,31.68,108.10,4.22,0,3,1,1.59,2,21
22,2019,12,8,0300,30.80,116.18,4.26,0,3,1,1.34,0,22
23,2019,12,8,0300,30.80,116.20,4.26,0,3,1,1.34,0,22
24,2019,12,8,0300,30.78,116.20,4.26,0,3,3,1.34,0,22
25,2019,12,8,0300,30.64,114.46,4.26,0,2,1,4.02,0,25
26,2019,12,8,0300,30.62,114.46,4.27,0,3,1,2.25,0,25
27,2019,12,8,0300,30.52,104.20,4.27,0,3,3,1.94,0,28
28,2019,12,8,0300,30.52,104.22,4.27,0,3,3,1.94,0,28
29,2019,12,8,0300,30.52,111.42,4.27,0,3,3,1.77,0,29
30,2019,12,8,0300,30.46,113.02,4.27,0,3,1,.92,0,30
31,2019,12,8,0300,29.54,115.06,4.31,0,3,1,2.68,0,31
32,2019,12,8,0300,29.54,115.08,4.31,0,3,3,1.71,0,31
33,2019,12,8,0300,29.52,115.10,4.31,0,3,1,2.41,0,33
34,2019,12,8,0300,29.52,115.12,4.31,0,3,1,2.37,0,33
35,2019,12,8,0300,29.50,115.10,4.31,0,3,1,2.41,0,33
36,2019,12,8,0300,29.50,115.12,4.31,0,3,1,2.37,0,33
37,2019,12,8,0300,29.48,115.16,4.31,0,3,3,2.16,0,37
38,2019,12,8,0300,29.24,118.42,4.33,0,3,3,1.54,0,38
39,2019,12,8,0300,29.24,118.44,4.33,0,3,1,1.23,0,38
40,2019,12,8,0300,29.24,118.46,4.33,0,3,1,1.23,0,38
41,2019,12,8,0300,29.22,114.08,4.33,0,3,3,1.25,0,41
42,2019,12,8,0300,29.04,117.72,4.33,0,3,3,1.54,0,42
43,2019,12,8,0300,28.58,112.38,4.35,0,2,3,1.18,0,43
44,2019,12,8,0300,28.58,112.40,4.35,0,2,3,1.18,0,43
45,2019,12,8,0300,28.36,114.84,4.36,0,3,1,1.56,0,45
46,2019,12,8,0300,28.10,119.54,4.37,0,3,1,1.77,0,47
47,2019,12,8,0300,28.10,119.56,4.37,0,3,1,2.93,2,47
48,2019,12,8,0300,28.08,119.54,4.37,0,3,3,1.24,0,47
49,2019,12,8,0300,27.94,119.04,4.38,0,3,3,1.40,0,49
50,2019,12,8,0300,27.78,120.04,4.39,0,2,5,4.60,0,50
51,2019,12,8,0300,27.76,120.04,4.39,0,2,3,2.15,0,50
52,2019,12,8,0300,27.76,120.06,4.39,0,2,1,2.15,0,50
53,2019,12,8,0300,27.44,111.86,4.40,0,3,3,2.60,0,53
54,2019,12,8,0300,27.44,111.88,4.40,0,3,3,2.60,0,53
55,2019,12,8,0300,27.34,117.46,4.40,0,3,1,1.45,0,55
56,2019,12,8,0300,27.34,117.48,4.40,0,3,1,1.45,0,55
57,2019,12,8,0300,27.30,106.36,4.40,0,2,1,1.54,0,57
58,2019,12,8,0300,27.30,116.92,4.40,0,3,3,1.64,2,58
59,2019,12,8,0300,27.16,113.06,4.41,0,3,1,2.31,0,61
60,2019,12,8,0300,27.16,113.08,4.41,0,3,3,1.79,0,61
61,2019,12,8,0300,27.14,113.06,4.41,0,3,1,3.56,0,61
62,2019,12,8,0300,26.86,118.16,4.42,0,2,3,2.90,0,62
63,2019,12,8,0300,26.86,118.18,4.42,0,2,3,2.90,0,62
64,2019,12,8,0300,26.78,109.46,4.42,0,2,1,1.18,0,64
65,2019,12,8,0300,26.78,109.48,4.42,0,2,1,1.18,0,64
66,2019,12,8,0300,26.74,117.46,4.43,0,3,3,1.75,2,66
67,2019,12,8,0300,26.44,100.00,4.44,0,3,3,2.28,0,68
68,2019,12,8,0300,26.44,100.02,4.44,0,3,3,2.28,0,68
69,2019,12,8,0300,26.42,94.98,4.44,0,3,1,1.64,0,70
70,2019,12,8,0300,26.42,95.00,4.44,0,3,1,1.64,0,70
71,2019,12,8,0300,26.42,117.76,4.44,0,3,1,2.88,2,71
72,2019,12,8,0300,26.42,117.78,4.44,0,3,1,2.88,2,71
73,2019,12,8,0300,26.40,117.78,4.44,0,3,1,2.22,0,71
74,2019,12,8,0300,26.38,118.22,4.44,0,3,3,1.75,0,74
75,2019,12,8,0300,26.12,110.06,4.45,0,3,1,1.27,0,75
76,2019,12,8,0300,26.00,109.66,4.45,0,3,5,2.62,0,79
77,2019,12,8,0300,26.00,109.68,4.45,0,3,5,2.62,0,79
78,2019,12,8,0300,26.00,117.36,4.45,0,3,1,1.26,0,78
79,2019,12,8,0300,25.98,109.68,4.46,0,2,5,8.86,0,79
80,2019,12,8,0300,25.68,96.32,4.47,0,3,1,2.10,2,80
81,2019,12,8,0300,25.68,116.72,4.47,0,3,1,2.80,2,81
82,2019,12,8,0300,25.66,96.32,4.47,0,3,1,2.09,0,80
83,2019,12,8,0300,25.66,96.34,4.47,0,3,1,2.09,0,80
84,2019,12,8,0300,25.64,96.28,4.47,0,3,1,1.55,0,87
85,2019,12,8,0300,25.62,96.28,4.47,0,3,1,1.77,0,87
86,2019,12,8,0300,25.62,96.30,4.47,0,3,1,1.53,0,87
87,2019,12,8,0300,25.60,96.26,4.47,0,3,1,2.18,2,87
88,2019,12,8,0300,25.60,96.28,4.47,0,3,1,2.18,2,87
89,2019,12,8,0300,25.44,94.68,4.48,0,3,1,2.33,0,90
90,2019,12,8,0300,25.44,94.70,4.48,0,3,1,2.33,0,90
91,2019,12,8,0300,25.40,97.36,4.48,0,3,1,.95,0,91
92,2019,12,8,0300,25.34,108.90,4.48,0,2,3,3.15,0,92
93,2019,12,8,0300,25.32,103.00,4.48,0,3,1,1.63,0,95
94,2019,12,8,0300,25.32,103.02,4.48,0,3,1,1.63,0,95
95,2019,12,8,0300,25.32,103.04,4.48,0,3,3,1.94,0,95
96,2019,12,8,0300,25.24,96.92,4.48,0,3,3,1.61,0,96
97,2019,12,8,0300,25.10,113.64,4.49,0,3,1,1.69,0,97
98,2019,12,8,0300,25.06,117.30,4.49,0,3,1,1.63,0,98
99,2019,12,8,0300,24.98,107.66,4.49,0,3,3,1.86,0,100
100,2019,12,8,0300,24.96,107.64,4.49,0,3,3,2.55,0,100
101,2019,12,8,0300,24.96,107.66,4.49,0,3,1,1.35,0,100
102,2019,12,8,0300,24.96,107.68,4.49,0,3,3,1.79,0,100
103,2019,12,8,0300,24.94,107.66,4.49,0,3,3,2.55,0,100
104,2019,12,8,0300,24.94,107.68,4.49,0,3,3,1.99,0,100
105,2019,12,8,0300,24.92,102.46,4.50,0,2,3,1.42,0,105
106,2019,12,8,0300,24.74,108.66,4.50,0,2,5,3.00,0,106
107,2019,12,8,0300,24.72,116.38,4.50,0,3,1,2.66,2,107
108,2019,12,8,0300,24.64,109.76,4.51,0,3,3,2.34,0,108
109,2019,12,8,0300,24.64,109.78,4.51,0,3,3,2.34,0,108
110,2019,12,8,0300,24.58,109.18,4.51,0,2,5,16.70,0,111
111,2019,12,8,0300,24.56,109.18,4.51,0,2,5,22.33,0,111
112,2019,12,8,0300,24.46,106.06,4.51,0,3,1,1.26,0,112
113,2019,12,8,0300,24.32,116.08,4.52,0,3,1,1.94,2,113
114,2019,12,8,0300,24.32,116.10,4.52,0,3,1,1.46,0,113
115,2019,12,8,0300,24.32,116.12,4.52,0,3,1,1.46,0,113
116,2019,12,8,0300,24.30,109.70,4.52,0,2,3,4.28,0,118
117,2019,12,8,0300,24.28,109.68,4.52,0,2,3,3.30,0,118
118,2019,12,8,0300,24.28,109.70,4.52,0,2,5,5.44,0,118
119,2019,12,8,0300,24.28,109.72,4.52,0,2,5,5.44,0,118
120,2019,12,8,0300,24.28,116.10,4.52,0,3,1,1.24,0,120
121,2019,12,8,0300,24.16,82.66,4.52,0,3,1,1.47,0,122
122,2019,12,8,0300,24.16,82.68,4.52,0,3,1,1.47,0,122
123,2019,12,8,0300,24.14,115.68,4.52,0,3,3,2.10,0,123
124,2019,12,8,0300,24.14,115.70,4.52,0,3,3,2.10,0,123
125,2019,12,8,0300,24.14,115.72,4.52,0,3,1,1.97,0,123
126,2019,12,8,0300,24.08,111.06,4.53,0,2,1,1.05,0,126
127,2019,12,8,0300,24.08,111.08,4.53,0,2,1,1.05,0,126
128,2019,12,8,0300,24.02,111.40,4.53,0,2,3,1.65,0,128
129,2019,12,8,0300,24.00,112.82,4.53,0,3,3,2.26,0,129
130,2019,12,8,0300,23.98,112.38,4.53,0,3,1,1.01,0,130
131,2019,12,8,0300,23.92,110.70,4.53,0,2,3,2.41,0,131
132,2019,12,8,0300,23.88,106.64,4.53,0,3,1,1.51,2,132
133,2019,12,8,0300,23.78,86.40,4.54,0,2,1,1.86,0,134
134,2019,12,8,0300,23.78,86.42,4.54,0,2,1,1.86,0,134
135,2019,12,8,0300,23.78,109.90,4.54,0,3,3,1.58,0,135
136,2019,12,8,0300,23.70,110.34,4.54,0,1,3,23.36,0,136
137,2019,12,8,0300,23.62,111.30,4.54,0,2,5,3.89,0,137
138,2019,12,8,0300,23.48,107.72,4.55,0,2,3,3.81,0,138
139,2019,12,8,0300,23.10,110.30,4.56,0,2,3,1.94,0,139
140,2019,12,8,0300,22.96,112.76,4.56,0,2,5,5.26,0,140
141,2019,12,8,0300,22.96,112.78,4.56,0,2,3,5.26,0,140
142,2019,12,8,0300,22.90,110.60,4.57,0,2,3,3.60,0,142
143,2019,12,8,0300,22.70,106.84,4.57,0,2,5,2.19,0,143
144,2019,12,8,0300,22.68,106.84,4.57,0,2,5,2.19,0,143
145,2019,12,8,0300,22.68,110.60,4.57,0,2,3,8.20,0,146
146,2019,12,8,0300,22.68,110.62,4.57,0,2,5,9.98,0,146
147,2019,12,8,0300,22.66,110.62,4.57,0,2,3,4.48,0,146
148,2019,12,8,0306,22.34,82.50,4.58,0,2,1,1.75,0,149
149,2019,12,8,0306,22.34,82.52,4.58,0,2,1,1.75,0,149
150,2019,12,8,0306,22.34,82.54,4.58,0,3,3,1.35,0,149
151,2019,12,8,0306,22.34,82.56,4.58,0,3,3,1.35,0,149
152,2019,12,8,0306,22.34,82.58,4.58,0,3,1,1.35,0,149
153,2019,12,8,0300,22.26,110.44,4.59,0,2,5,3.69,0,153
154,2019,12,8,0300,22.24,110.44,4.59,0,2,5,3.05,0,153
155,2019,12,8,0300,22.24,110.46,4.59,0,2,5,3.05,0,153
156,2019,12,8,0300,22.06,105.70,4.59,0,2,3,2.46,0,159
157,2019,12,8,0300,22.06,105.72,4.59,0,2,3,2.46,0,159
158,2019,12,8,0300,22.06,111.54,4.59,0,2,5,4.11,0,158
159,2019,12,8,0300,22.04,105.72,4.59,0,2,3,2.99,0,159
160,2019,12,8,0300,22.04,108.90,4.59,0,2,3,2.45,0,162
161,2019,12,8,0300,22.04,108.92,4.59,0,2,1,2.37,0,162
162,2019,12,8,0300,22.02,108.90,4.60,0,1,3,10.17,0,162
163,2019,12,8,0300,22.02,108.92,4.60,0,2,3,3.29,0,162
164,2019,12,8,0300,21.98,106.18,4.60,0,2,3,2.21,0,166
165,2019,12,8,0300,21.98,106.20,4.60,0,2,3,2.21,0,166
166,2019,12,8,0300,21.96,106.20,4.60,0,2,3,5.79,0,166
167,2019,12,8,0306,21.92,83.32,4.60,0,2,1,2.38,0,168
168,2019,12,8,0306,21.92,83.34,4.60,0,2,1,2.38,0,168
169,2019,12,8,0300,21.78,104.90,4.60,0,2,5,3.35,0,169
170,2019,12,8,0300,21.78,106.12,4.60,0,2,3,1.56,0,171
171,2019,12,8,0300,21.78,106.14,4.60,0,2,5,5.49,0,171
172,2019,12,8,0300,21.78,106.16,4.60,0,2,5,5.49,0,171
173,2019,12,8,0306,21.76,83.84,4.60,0,3,1,.94,0,175
174,2019,12,8,0306,21.76,83.86,4.60,0,3,1,.94,0,175
175,2019,12,8,0306,21.76,83.88,4.60,0,3,3,.94,0,175
176,2019,12,8,0300,21.76,106.16,4.60,0,2,3,2.29,0,171
177,2019,12,8,0300,21.42,106.44,4.61,0,2,5,8.42,0,177
178,2019,12,8,0300,21.42,106.46,4.61,0,2,5,8.42,0,177
179,2019,12,8,0300,21.34,105.36,4.62,0,3,3,1.21,0,179
180,2019,12,8,0300,21.34,105.38,4.62,0,3,1,1.21,0,179
181,2019,12,8,0306,21.06,106.82,4.63,0,2,5,16.48,0,181
182,2019,12,8,0306,21.02,103.00,4.63,0,2,5,5.36,0,182
183,2019,12,8,0306,21.02,103.02,4.63,0,2,3,5.36,0,182
184,2019,12,8,0306,20.96,85.12,4.63,0,2,1,1.76,0,188
185,2019,12,8,0306,20.96,85.14,4.63,0,2,1,1.76,0,188
186,2019,12,8,0306,20.96,85.16,4.63,0,2,1,1.76,0,188
187,2019,12,8,0306,20.96,85.18,4.63,0,3,1,1.94,0,188
188,2019,12,8,0306,20.96,85.20,4.63,0,3,1,1.94,0,188
189,2019,12,8,0306,20.24,92.80,4.65,0,3,3,1.79,0,189
190,2019,12,8,0306,19.56,100.12,4.67,0,2,3,3.71,0,190
191,2019,12,8,0306,19.50,100.18,4.67,0,3,3,2.92,0,191
192,2019,12,8,0306,19.48,100.18,4.67,0,3,3,2.91,0,191
193,2019,12,8,0306,19.22,96.28,4.68,0,3,1,2.36,0,195
194,2019,12,8,0306,19.20,96.28,4.68,0,3,3,2.36,0,195
195,2019,12,8,0306,19.20,96.30,4.68,0,3,1,2.36,0,195
196,2019,12,8,0306,18.66,102.26,4.70,0,2,1,1.87,0,196
197,2019,12,8,0306,18.32,99.72,4.71,0,3,1,2.27,0,197
198,2019,12,8,0306,17.88,103.22,4.72,0,2,3,1.51,0,198
199,2019,12,8,0306,15.48,120.58,4.78,0,3,3,2.71,0,199
200,2019,12,8,0306,15.16,120.58,4.78,0,2,1,3.59,0,201
201,2019,12,8,0306,15.14,120.58,4.78,0,2,1,4.00,0,201
202,2019,12,8,0306,13.84,105.48,4.81,0,3,3,3.41,0,203
203,2019,12,8,0306,13.84,105.50,4.81,0,3,5,5.66,0,203
204,2019,12,8,0306,13.82,105.46,4.81,0,3,3,2.86,0,203
205,2019,12,8,0306,13.82,105.48,4.81,0,2,3,2.84,0,203
206,2019,12,8,0306,13.68,106.64,4.82,0,3,5,5.92,0,206
207,2019,12,8,0306,13.66,106.64,4.82,0,2,3,5.17,0,206
208,2019,12,8,0306,13.56,106.38,4.82,0,3,5,10.26,0,208
209,2019,12,8,0306,13.56,106.40,4.82,0,3,5,10.26,0,208
210,2019,12,8,0306,13.54,106.40,4.82,0,3,3,8.10,0,208
211,2019,12,8,0306,12.60,106.64,4.84,0,2,3,2.84,0,211
212,2019,12,8,0306,12.60,106.66,4.84,0,2,3,2.84,0,211
213,2019,12,8,0306,11.82,102.88,4.85,0,2,3,6.22,0,213
214,2019,12,8,0306,11.54,106.88,4.86,0,3,3,2.26,0,214
215,2019,12,8,0306,11.54,106.90,4.86,0,3,3,1.93,0,214
216,2019,12,8,0306,11.52,106.88,4.86,0,3,3,1.93,0,214
217,2019,12,8,0306,10.96,103.18,4.87,0,2,3,3.99,0,217
218,2019,12,8,0306,10.96,103.20,4.87,0,3,3,3.66,0,217
219,2019,12,8,0306,10.52,103.64,4.87,0,3,3,6.24,0,219
220,2019,12,8,0306,10.04,105.76,4.88,0,3,1,3.55,2,220
221,2019,12,8,0306,10.02,105.76,4.88,0,3,1,2.88,0,220
222,2019,12,8,0306,10.00,105.10,4.88,0,3,3,1.34,0,222
223,2019,12,8,0306,9.96,98.62,4.88,0,3,1,3.03,2,223
224,2019,12,8,0306,9.60,105.98,4.89,0,3,1,2.56,0,224
225,2019,12,8,0306,4.14,117.64,4.94,0,3,1,4.35,0,225
226,2019,12,8,0306,3.72,117.76,4.95,0,2,3,8.79,0,226
227,2019,12,8,0306,-1.32,122.22,4.96,0,1,1,34.57,0,227
228,2019,12,8,0306,-3.58,143.62,4.95,0,3,1,2.23,0,228
229,2019,12,8,0306,-3.78,143.52,4.95,0,3,3,2.54,0,229
230,2019,12,8,0306,-3.82,143.78,4.95,0,3,3,2.49,0,230
231,2019,12,8,0306,-4.04,143.78,4.94,0,3,3,4.83,2,231
232,2019,12,8,0306,-4.06,143.78,4.94,0,3,3,4.56,2,231
233,2019,12,8,0306,-4.10,144.40,4.94,0,3,5,11.51,0,233
234,2019,12,8,0306,-4.12,144.40,4.94,0,3,5,10.15,0,233
235,2019,12,8,0306,-5.86,143.42,4.93,0,3,1,8.67,0,238
236,2019,12,8,0306,-5.86,143.44,4.93,0,2,1,44.93,0,238
