# 2019 12 13  5 50 UTC  2020  3 18 18 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,13,0549,43.82,143.92,3.58,0,3,3,.91,0,1
2,2019,12,13,0549,43.80,143.92,3.58,0,2,3,.80,0,1
3,2019,12,13,0549,43.78,143.92,3.58,0,2,3,.80,0,1
4,2019,12,13,0549,43.02,101.12,3.62,0,3,1,1.00,0,5
5,2019,12,13,0549,43.02,101.14,3.62,0,3,1,1.00,0,5
6,2019,12,13,0549,43.02,101.16,3.62,0,3,1,.77,0,5
7,2019,12,13,0549,43.02,101.18,3.62,0,3,1,.77,0,5
8,2019,12,13,0549,42.40,92.92,3.66,0,3,1,1.55,0,11
9,2019,12,13,0549,42.40,92.94,3.66,0,3,1,1.55,0,11
10,2019,12,13,0549,42.38,92.94,3.66,0,3,1,1.55,0,11
11,2019,12,13,0549,42.38,92.96,3.66,0,3,1,1.55,0,11
12,2019,12,13,0549,39.82,117.60,3.81,0,2,3,2.90,0,12
13,2019,12,13,0549,39.82,117.62,3.81,0,2,3,2.90,0,12
14,2019,12,13,0549,39.80,117.62,3.81,0,2,3,2.90,0,12
15,2019,12,13,0554,39.52,110.48,3.82,0,2,1,2.37,0,15
16,2019,12,13,0554,39.52,110.50,3.82,0,2,1,2.37,0,15
17,2019,12,13,0554,37.90,116.18,3.91,0,3,3,1.02,0,19
18,2019,12,13,0554,37.90,116.20,3.91,0,3,3,1.02,0,19
19,2019,12,13,0554,37.88,116.20,3.91,0,3,3,1.02,0,19
20,2019,12,13,0554,37.78,115.94,3.92,0,2,5,3.00,0,20
21,2019,12,13,0554,37.76,115.94,3.92,0,2,5,3.00,0,20
22,2019,12,13,0554,37.76,115.96,3.92,0,2,5,3.00,0,20
23,2019,12,13,0554,37.58,113.34,3.93,0,2,3,3.69,0,23
24,2019,12,13,0554,36.90,111.56,3.96,0,3,1,1.47,0,24
25,2019,12,13,0554,36.88,111.56,3.96,0,3,1,1.34,0,24
26,2019,12,13,0554,36.88,111.58,3.96,0,3,1,1.34,0,24
27,2019,12,13,0554,36.66,118.06,3.98,0,3,3,1.21,0,27
28,2019,12,13,0554,32.90,117.26,4.16,0,3,3,1.79,0,28
29,2019,12,13,0554,32.86,117.38,4.16,0,3,1,1.29,0,29
30,2019,12,13,0554,32.86,118.78,4.16,0,2,5,8.49,0,30
31,2019,12,13,0554,32.84,117.40,4.16,0,2,1,1.52,0,31
32,2019,12,13,0554,32.84,117.80,4.16,0,2,5,16.43,0,32
33,2019,12,13,0554,32.82,117.40,4.17,0,3,1,1.43,0,31
34,2019,12,13,0554,32.82,117.80,4.17,0,2,5,16.43,0,32
35,2019,12,13,0554,32.80,117.80,4.17,0,2,3,6.54,0,32
36,2019,12,13,0554,32.80,117.82,4.17,0,2,3,6.54,0,32
37,2019,12,13,0554,32.76,118.88,4.17,0,2,5,8.70,0,37
38,2019,12,13,0554,32.74,120.10,4.17,0,2,1,1.14,0,38
39,2019,12,13,0554,32.72,118.74,4.17,0,2,3,3.23,0,39
40,2019,12,13,0554,32.72,120.10,4.17,0,2,3,1.02,0,38
41,2019,12,13,0554,32.70,118.88,4.17,0,2,3,6.18,0,41
42,2019,12,13,0554,32.70,120.12,4.17,0,3,1,1.15,0,42
43,2019,12,13,0554,32.68,118.88,4.17,0,2,3,6.18,0,41
44,2019,12,13,0554,32.56,117.56,4.18,0,3,3,1.30,0,44
45,2019,12,13,0554,32.42,119.02,4.18,0,2,5,4.46,0,45
46,2019,12,13,0554,32.42,119.04,4.18,0,2,5,4.46,0,45
47,2019,12,13,0554,32.40,119.04,4.18,0,2,3,2.37,0,45
48,2019,12,13,0554,32.34,118.36,4.19,0,3,3,1.30,0,48
49,2019,12,13,0554,32.34,118.38,4.19,0,3,3,1.30,0,48
50,2019,12,13,0554,32.32,118.38,4.19,0,3,3,1.30,0,48
51,2019,12,13,0554,32.30,118.58,4.19,0,2,3,3.73,0,51
52,2019,12,13,0554,32.16,116.80,4.20,0,2,5,7.81,0,52
53,2019,12,13,0554,32.14,117.00,4.20,0,2,5,7.32,0,53
54,2019,12,13,0554,32.12,117.00,4.20,0,2,5,7.32,0,53
55,2019,12,13,0554,32.10,117.02,4.20,0,3,3,2.44,0,55
56,2019,12,13,0554,32.08,120.00,4.20,0,2,3,1.96,0,56
57,2019,12,13,0554,32.06,117.50,4.20,0,2,3,1.88,0,58
58,2019,12,13,0554,32.04,117.50,4.20,0,2,5,6.94,0,58
59,2019,12,13,0554,32.02,117.50,4.20,0,2,3,2.73,0,58
60,2019,12,13,0554,32.02,117.52,4.20,0,2,3,2.73,0,58
61,2019,12,13,0554,31.98,116.08,4.20,0,2,5,12.19,0,61
62,2019,12,13,0554,31.96,116.08,4.21,0,2,3,9.79,0,61
63,2019,12,13,0554,31.96,116.10,4.21,0,2,3,9.79,0,61
64,2019,12,13,0554,31.52,118.10,4.23,0,3,3,1.84,0,64
65,2019,12,13,0554,31.02,117.68,4.25,0,3,3,3.70,0,65
66,2019,12,13,0554,31.02,117.70,4.25,0,3,3,3.70,0,65
67,2019,12,13,0554,30.98,118.18,4.25,0,2,5,16.62,0,67
68,2019,12,13,0554,30.62,118.24,4.27,0,3,3,1.07,0,68
69,2019,12,13,0554,30.58,115.10,4.27,0,3,3,2.87,0,70
70,2019,12,13,0554,30.56,115.10,4.27,0,2,5,5.16,0,70
71,2019,12,13,0554,30.22,116.68,4.28,0,3,3,2.55,0,71
72,2019,12,13,0554,30.22,116.70,4.28,0,3,3,2.55,0,71
73,2019,12,13,0554,30.18,113.40,4.28,0,2,3,3.66,0,73
74,2019,12,13,0554,29.76,121.38,4.30,0,3,3,2.11,0,74
75,2019,12,13,0554,29.52,115.10,4.31,0,3,1,1.93,0,75
76,2019,12,13,0554,29.50,115.10,4.31,0,3,1,1.93,0,75
77,2019,12,13,0554,29.36,114.40,4.32,0,3,5,10.80,0,79
78,2019,12,13,0554,29.34,114.38,4.32,0,2,5,31.91,0,79
79,2019,12,13,0554,29.34,114.40,4.32,0,2,5,62.96,0,79
80,2019,12,13,0554,29.34,114.42,4.32,0,2,5,62.95,0,79
81,2019,12,13,0554,29.34,114.44,4.32,0,2,5,17.60,0,79
82,2019,12,13,0554,29.34,116.70,4.32,0,3,5,4.43,0,82
83,2019,12,13,0554,29.32,116.72,4.32,0,3,5,4.54,0,83
84,2019,12,13,0554,29.30,116.72,4.32,0,3,3,3.11,0,83
85,2019,12,13,0554,29.16,114.56,4.33,0,3,3,4.84,0,85
86,2019,12,13,0554,29.14,114.58,4.33,0,3,3,4.97,0,86
87,2019,12,13,0554,29.14,116.48,4.33,0,3,5,8.45,0,87
88,2019,12,13,0554,29.12,114.58,4.33,0,2,5,4.62,0,86
89,2019,12,13,0554,29.06,116.86,4.33,0,2,5,4.31,0,89
90,2019,12,13,0554,28.54,116.74,4.35,0,3,3,3.11,0,91
91,2019,12,13,0554,28.54,116.76,4.35,0,2,3,3.56,0,91
92,2019,12,13,0554,28.40,114.44,4.36,0,2,5,4.07,0,92
93,2019,12,13,0554,28.40,118.24,4.36,0,2,3,3.10,0,93
94,2019,12,13,0554,28.40,118.26,4.36,0,2,3,3.10,0,93
95,2019,12,13,0554,28.38,115.68,4.36,0,3,5,5.47,0,95
96,2019,12,13,0554,28.36,115.68,4.36,0,2,3,4.67,0,95
97,2019,12,13,0554,28.36,115.70,4.36,0,2,3,4.67,0,95
98,2019,12,13,0554,28.36,117.32,4.36,0,2,5,5.12,0,98
99,2019,12,13,0554,28.34,117.32,4.36,0,2,3,3.65,0,98
100,2019,12,13,0554,28.28,116.86,4.36,0,3,3,2.53,0,106
101,2019,12,13,0554,28.28,116.88,4.36,0,2,3,3.42,0,106
102,2019,12,13,0554,28.26,116.86,4.37,0,2,3,4.30,0,106
103,2019,12,13,0554,28.26,116.88,4.37,0,3,3,2.53,0,106
104,2019,12,13,0554,28.26,116.90,4.37,0,2,3,3.42,0,106
105,2019,12,13,0554,28.24,116.88,4.37,0,2,3,4.30,0,106
106,2019,12,13,0554,28.24,116.90,4.37,0,2,3,4.71,0,106
107,2019,12,13,0554,28.18,115.96,4.37,0,2,5,5.71,0,107
108,2019,12,13,0554,28.12,114.60,4.37,0,2,3,1.83,0,108
109,2019,12,13,0554,28.10,119.56,4.37,0,3,1,1.83,0,109
110,2019,12,13,0554,27.86,113.82,4.38,0,2,3,5.77,0,110
111,2019,12,13,0554,27.82,116.14,4.38,0,2,3,3.51,0,111
112,2019,12,13,0554,27.70,113.16,4.39,0,3,3,1.94,0,113
113,2019,12,13,0554,27.70,113.18,4.39,0,2,5,4.36,0,113
114,2019,12,13,0554,27.68,113.18,4.39,0,2,5,4.36,0,113
115,2019,12,13,0554,27.66,109.66,4.39,0,2,5,4.45,0,118
116,2019,12,13,0554,27.66,109.68,4.39,0,2,5,4.45,0,118
117,2019,12,13,0554,27.64,109.68,4.39,0,2,5,4.45,0,118
118,2019,12,13,0554,27.64,109.70,4.39,0,2,5,9.91,0,118
119,2019,12,13,0554,27.48,119.38,4.40,0,3,3,1.13,0,119
120,2019,12,13,0554,27.32,115.46,4.40,0,3,5,6.75,0,120
121,2019,12,13,0554,27.30,115.46,4.40,0,3,5,6.75,0,120
122,2019,12,13,0554,27.30,115.48,4.40,0,3,5,6.75,0,120
123,2019,12,13,0554,27.30,115.50,4.40,0,2,3,5.83,0,120
124,2019,12,13,0554,27.16,109.70,4.41,0,3,1,1.37,0,125
125,2019,12,13,0554,27.14,109.70,4.41,0,2,3,2.45,0,125
126,2019,12,13,0554,27.14,113.06,4.41,0,3,1,1.91,0,126
127,2019,12,13,0554,27.14,119.50,4.41,0,3,3,3.14,0,127
128,2019,12,13,0554,26.94,113.62,4.42,0,3,3,3.85,0,128
129,2019,12,13,0554,26.88,111.12,4.42,0,3,3,2.15,0,129
130,2019,12,13,0554,26.60,118.54,4.43,0,2,3,3.62,0,130
131,2019,12,13,0554,26.60,118.56,4.43,0,3,3,3.34,0,130
132,2019,12,13,0554,26.56,108.24,4.43,0,3,3,1.94,0,137
133,2019,12,13,0554,26.56,109.28,4.43,0,3,3,1.45,0,138
134,2019,12,13,0554,26.56,109.30,4.43,0,3,3,1.45,0,138
135,2019,12,13,0554,26.54,108.24,4.43,0,3,3,1.94,0,137
136,2019,12,13,0554,26.54,108.26,4.43,0,3,3,1.94,0,137
137,2019,12,13,0554,26.54,108.28,4.43,0,3,5,3.05,0,137
138,2019,12,13,0554,26.54,109.30,4.43,0,2,5,5.74,0,138
139,2019,12,13,0554,26.52,108.28,4.44,0,2,3,2.65,0,137
140,2019,12,13,0554,26.44,116.94,4.44,0,3,1,2.66,2,140
141,2019,12,13,0554,26.42,116.96,4.44,0,3,3,2.68,2,141
142,2019,12,13,0554,26.30,111.64,4.44,0,2,3,1.66,0,142
143,2019,12,13,0554,26.14,105.58,4.45,0,2,3,3.34,0,143
144,2019,12,13,0554,26.12,105.60,4.45,0,2,3,3.56,0,144
145,2019,12,13,0554,26.08,109.94,4.45,0,2,3,1.98,0,145
146,2019,12,13,0554,26.08,109.96,4.45,0,2,3,1.98,0,145
147,2019,12,13,0554,25.98,114.60,4.46,0,2,3,3.60,0,147
148,2019,12,13,0554,25.96,114.60,4.46,0,2,3,3.60,0,147
149,2019,12,13,0554,25.94,114.60,4.46,0,3,3,3.14,0,147
150,2019,12,13,0554,25.88,116.58,4.46,0,2,3,3.95,0,150
151,2019,12,13,0554,25.86,116.42,4.46,0,3,3,2.37,0,151
152,2019,12,13,0554,25.82,112.38,4.46,0,2,5,10.82,0,152
153,2019,12,13,0554,25.82,112.40,4.46,0,2,5,10.82,0,152
154,2019,12,13,0554,25.82,112.42,4.46,0,2,5,6.40,0,152
155,2019,12,13,0554,25.66,96.32,4.47,0,3,1,2.57,0,156
156,2019,12,13,0554,25.66,96.34,4.47,0,3,1,2.57,0,156
157,2019,12,13,0554,25.44,115.46,4.48,0,2,3,3.23,0,157
158,2019,12,13,0554,25.44,115.48,4.48,0,3,3,2.91,0,157
159,2019,12,13,0554,25.36,109.28,4.48,0,3,3,1.33,0,159
160,2019,12,13,0554,25.34,109.28,4.48,0,3,3,1.33,0,159
161,2019,12,13,0554,25.10,113.64,4.49,0,3,1,2.00,0,161
162,2019,12,13,0554,25.08,98.12,4.49,0,3,3,2.42,0,162
163,2019,12,13,0554,25.06,117.30,4.49,0,3,1,1.57,0,163
164,2019,12,13,0554,24.96,107.64,4.49,0,3,5,3.84,0,164
165,2019,12,13,0554,24.94,107.66,4.49,0,2,5,4.25,0,165
166,2019,12,13,0554,24.94,107.68,4.49,0,3,3,2.58,2,165
167,2019,12,13,0554,24.86,95.38,4.50,0,3,3,1.56,0,167
168,2019,12,13,0554,24.78,94.84,4.50,0,3,1,2.90,0,169
169,2019,12,13,0554,24.78,94.86,4.50,0,3,1,2.90,0,169
170,2019,12,13,0554,24.76,94.82,4.50,0,3,3,2.50,0,169
171,2019,12,13,0554,24.76,94.84,4.50,0,3,3,2.50,0,169
172,2019,12,13,0554,24.74,108.78,4.50,0,3,3,2.36,0,172
173,2019,12,13,0554,24.74,108.80,4.50,0,3,3,2.36,0,172
174,2019,12,13,0554,24.64,108.42,4.51,0,3,1,1.37,0,174
175,2019,12,13,0554,24.62,112.64,4.51,0,2,3,3.55,0,175
176,2019,12,13,0554,24.60,112.66,4.51,0,2,5,3.68,0,176
177,2019,12,13,0554,24.58,106.30,4.51,0,3,3,2.91,0,177
178,2019,12,13,0554,24.38,89.74,4.51,0,3,1,3.17,0,179
179,2019,12,13,0554,24.38,89.76,4.51,0,3,1,3.17,0,179
180,2019,12,13,0554,24.36,89.74,4.52,0,3,3,3.17,0,179
181,2019,12,13,0554,24.32,108.32,4.52,0,3,3,1.85,0,181
182,2019,12,13,0554,24.32,115.94,4.52,0,2,1,3.98,0,182
183,2019,12,13,0554,24.20,115.76,4.52,0,2,5,7.50,0,183
184,2019,12,13,0554,24.20,115.78,4.52,0,2,5,7.50,0,183
185,2019,12,13,0554,24.18,115.78,4.52,0,2,3,5.08,0,183
186,2019,12,13,0554,23.78,105.14,4.54,0,2,1,3.21,0,186
187,2019,12,13,0554,23.78,105.16,4.54,0,2,3,3.21,0,186
188,2019,12,13,0554,23.70,111.76,4.54,0,3,3,2.51,0,188
189,2019,12,13,0554,23.68,111.78,4.54,0,3,3,2.59,0,189
190,2019,12,13,0554,23.12,100.32,4.56,0,3,3,1.82,0,192
191,2019,12,13,0554,23.12,100.34,4.56,0,3,3,1.82,0,192
192,2019,12,13,0554,23.12,100.36,4.56,0,3,3,1.92,0,192
193,2019,12,13,0554,23.10,100.38,4.56,0,3,3,1.63,0,193
194,2019,12,13,0554,22.90,111.02,4.57,0,2,3,6.42,0,194
195,2019,12,13,0554,22.58,99.46,4.58,0,2,3,4.66,0,195
196,2019,12,13,0554,22.46,100.76,4.58,0,3,3,2.75,2,196
197,2019,12,13,0554,22.46,108.64,4.58,0,3,3,2.93,0,198
