# 2019 12 21  4 20 UTC  2020  3 18 14  9 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,21,0419,42.66,130.96,3.65,0,3,3,7.64,0,1
2,2019,12,21,0419,42.66,130.98,3.65,0,3,3,7.64,0,1
3,2019,12,21,0424,38.64,115.52,3.87,0,3,3,.65,0,3
4,2019,12,21,0424,26.60,95.08,4.43,0,3,5,5.50,0,4
5,2019,12,21,0424,26.60,95.10,4.43,0,3,5,5.50,0,4
6,2019,12,21,0424,21.54,100.32,4.61,0,3,1,1.79,0,6
7,2019,12,21,0424,21.32,103.00,4.62,0,3,3,4.33,0,7
8,2019,12,21,0424,21.32,103.02,4.62,0,3,3,4.33,0,7
9,2019,12,21,0424,20.34,98.00,4.65,0,3,1,2.71,0,9
10,2019,12,21,0424,20.34,98.02,4.65,0,3,1,2.71,0,9
11,2019,12,21,0424,18.90,96.36,4.69,0,3,3,2.63,0,12
12,2019,12,21,0424,18.90,96.38,4.69,0,3,3,2.68,0,12
13,2019,12,21,0424,18.90,96.40,4.69,0,3,3,2.68,0,12
14,2019,12,21,0424,18.80,97.36,4.69,0,3,1,2.18,0,16
15,2019,12,21,0424,18.80,97.38,4.69,0,3,3,2.18,0,16
16,2019,12,21,0424,18.80,97.40,4.69,0,3,1,4.50,0,16
17,2019,12,21,0424,18.78,97.40,4.69,0,3,1,4.20,0,16
18,2019,12,21,0424,18.78,97.42,4.69,0,3,1,4.20,0,16
19,2019,12,21,0424,18.76,97.42,4.69,0,3,1,4.20,0,16
20,2019,12,21,0424,16.28,102.32,4.76,0,2,3,4.09,0,20
21,2019,12,21,0424,16.14,99.94,4.76,0,2,3,8.58,0,21
22,2019,12,21,0424,16.14,99.96,4.76,0,2,3,8.58,0,21
23,2019,12,21,0424,15.68,102.26,4.77,0,3,3,3.06,0,23
24,2019,12,21,0424,15.68,102.28,4.77,0,3,3,3.06,0,23
25,2019,12,21,0424,15.58,101.16,4.77,0,2,5,10.76,0,26
26,2019,12,21,0424,15.56,101.16,4.77,0,1,5,37.67,0,26
27,2019,12,21,0424,15.56,101.18,4.77,0,1,5,37.67,0,26
28,2019,12,21,0424,14.92,106.44,4.79,0,2,1,6.78,0,29
29,2019,12,21,0424,14.92,106.46,4.79,0,2,3,12.00,0,29
30,2019,12,21,0424,14.16,104.72,4.81,0,2,3,7.03,0,30
31,2019,12,21,0424,13.84,105.48,4.81,0,3,3,3.60,0,33
