# 2019 12 26 17  0 UTC  2020  3 18 11 21 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,26,1704,40.24,126.40,3.78,0,2,3,1.07,0,1
2,2019,12,26,1704,40.22,126.40,3.78,0,2,3,1.07,0,1
3,2019,12,26,1704,39.96,118.54,3.80,0,2,1,1.89,0,4
4,2019,12,26,1704,39.96,118.56,3.80,0,1,1,3.05,0,4
5,2019,12,26,1704,39.88,106.86,3.80,0,2,1,1.97,0,5
6,2019,12,26,1704,39.88,106.88,3.80,0,2,1,1.97,0,5
7,2019,12,26,1704,39.88,118.54,3.80,0,2,3,1.09,0,7
8,2019,12,26,1704,39.76,118.10,3.81,0,1,1,2.48,0,8
9,2019,12,26,1704,39.70,118.88,3.81,0,2,3,1.36,0,9
10,2019,12,26,1704,39.68,118.88,3.81,0,2,1,1.36,0,9
11,2019,12,26,1704,39.68,118.90,3.81,0,2,1,1.36,0,9
12,2019,12,26,1704,39.66,118.40,3.82,0,2,1,2.52,0,12
13,2019,12,26,1704,39.66,118.42,3.82,0,2,1,2.52,0,12
14,2019,12,26,1704,39.66,118.90,3.82,0,2,1,1.36,0,9
15,2019,12,26,1704,39.60,117.94,3.82,0,2,1,.88,0,16
16,2019,12,26,1704,39.60,117.96,3.82,0,2,3,1.19,0,16
17,2019,12,26,1704,39.60,117.98,3.82,0,2,3,1.19,0,16
18,2019,12,26,1704,39.58,127.08,3.82,0,2,1,1.69,0,18
19,2019,12,26,1704,39.48,118.68,3.83,0,2,1,.50,0,19
20,2019,12,26,1704,39.48,118.70,3.83,0,2,1,.50,0,19
21,2019,12,26,1704,39.44,118.46,3.83,0,2,1,1.52,0,21
22,2019,12,26,1704,39.38,106.94,3.83,0,1,1,3.11,0,22
23,2019,12,26,1704,39.04,117.48,3.85,0,2,1,1.82,0,23
24,2019,12,26,1704,38.94,106.40,3.86,0,2,1,3.21,0,26
25,2019,12,26,1704,38.94,106.42,3.86,0,2,1,3.21,0,26
