# 2019 12 31 19 50 UTC  2020  3 18  8 39 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,12,31,1953,39.04,117.48,3.85,0,2,1,4.28,0,1
2,2019,12,31,1953,39.02,117.50,3.85,0,2,1,2.40,0,2
3,2019,12,31,1953,39.00,117.50,3.85,0,2,1,2.40,0,2
4,2019,12,31,1953,37.58,112.18,3.93,0,2,1,.68,0,4
5,2019,12,31,1953,37.58,112.20,3.93,0,2,3,.68,0,4
6,2019,12,31,1953,36.62,113.76,3.98,0,2,3,.77,0,6
7,2019,12,31,1953,36.62,113.78,3.98,0,2,3,.77,0,6
8,2019,12,31,1953,36.28,103.54,4.00,0,2,3,1.00,0,8
9,2019,12,31,1953,36.26,103.54,4.00,0,2,3,1.00,0,8
10,2019,12,31,1953,36.26,103.56,4.00,0,2,3,1.00,0,8
11,2019,12,31,1953,36.12,114.28,4.00,0,2,1,.99,0,11
12,2019,12,31,1953,36.10,114.30,4.00,0,2,1,.69,0,12
13,2019,12,31,1953,36.08,138.10,4.01,0,2,3,1.11,0,13
14,2019,12,31,1953,36.06,138.10,4.01,0,2,3,1.11,0,13
15,2019,12,31,1953,36.04,138.06,4.01,0,2,3,1.40,0,15
16,2019,12,31,1953,36.04,138.08,4.01,0,2,3,1.40,0,15
17,2019,12,31,1953,35.86,103.18,4.02,0,2,1,1.62,0,17
18,2019,12,31,1953,35.74,128.94,4.02,0,2,3,1.01,0,18
19,2019,12,31,1953,35.72,111.42,4.02,0,2,3,.92,0,19
20,2019,12,31,1953,35.70,111.42,4.03,0,2,1,.92,0,19
21,2019,12,31,1953,35.70,111.44,4.03,0,2,1,.92,0,19
22,2019,12,31,1953,35.68,111.44,4.03,0,2,1,.92,0,19
23,2019,12,31,1953,35.62,110.56,4.03,0,2,1,1.87,0,23
24,2019,12,31,1953,35.62,110.58,4.03,0,2,1,1.87,0,23
25,2019,12,31,1953,35.42,111.28,4.04,0,2,1,.96,0,25
26,2019,12,31,1953,35.04,136.86,4.06,0,2,1,6.63,0,26
27,2019,12,31,1953,35.04,136.88,4.06,0,2,1,2.85,0,26
28,2019,12,31,1953,34.90,110.80,4.07,0,2,1,.63,0,28
29,2019,12,31,1953,34.48,133.42,4.09,0,2,1,2.60,0,31
30,2019,12,31,1953,34.48,133.44,4.09,0,2,1,2.60,0,31
31,2019,12,31,1953,34.46,133.44,4.09,0,2,1,6.59,0,31
32,2019,12,31,1953,34.42,119.84,4.09,0,2,1,3.82,0,32
33,2019,12,31,1953,34.40,119.84,4.09,0,2,1,3.82,0,32
34,2019,12,31,1953,32.26,119.46,4.19,0,1,1,3.57,0,34
35,2019,12,31,1953,32.24,119.62,4.19,0,2,1,2.39,0,35
36,2019,12,31,1953,32.20,118.74,4.19,0,2,1,1.54,0,36
37,2019,12,31,1953,32.20,118.76,4.19,0,2,1,1.54,0,36
38,2019,12,31,1953,32.20,118.96,4.19,0,2,3,2.37,0,38
39,2019,12,31,1953,32.20,118.98,4.19,0,2,3,2.37,0,38
40,2019,12,31,1953,32.18,118.98,4.20,0,2,3,2.37,0,38
41,2019,12,31,1953,32.00,120.34,4.20,0,1,3,4.64,0,41
42,2019,12,31,1953,32.00,120.36,4.20,0,1,3,4.64,0,41
43,2019,12,31,1953,31.96,120.34,4.21,0,1,3,6.48,0,43
44,2019,12,31,1953,30.32,105.32,4.28,0,2,1,2.28,0,45
45,2019,12,31,1953,30.32,105.34,4.28,0,2,1,2.28,0,45
46,2019,12,31,1953,30.30,105.30,4.28,0,1,1,3.71,0,46
47,2019,12,31,1953,29.94,121.06,4.30,0,2,3,3.38,0,47
48,2019,12,31,1953,26.62,101.58,4.43,0,2,1,2.29,0,48
49,2019,12,31,1953,26.62,101.60,4.43,0,2,1,2.29,0,48
50,2019,12,31,1953,25.16,96.32,4.49,0,1,1,5.05,0,50
51,2019,12,31,1953,24.68,93.52,4.50,0,2,3,.85,0,52
52,2019,12,31,1953,24.68,93.54,4.50,0,2,1,.85,0,52
53,2019,12,31,1953,22.86,101.78,4.57,0,2,3,2.24,0,53
54,2019,12,31,1953,22.86,101.80,4.57,0,2,3,2.24,0,53
55,2019,12,31,1953,21.40,103.36,4.61,0,1,1,4.17,0,55
56,2019,12,31,1953,21.40,103.38,4.61,0,1,3,4.17,0,55
57,2019,12,31,1953,20.96,85.12,4.63,0,2,1,3.24,0,59
58,2019,12,31,1953,20.96,85.14,4.63,0,2,1,3.25,0,59
59,2019,12,31,1953,20.96,85.16,4.63,0,2,1,3.25,0,59
60,2019,12,31,1953,20.96,85.18,4.63,0,2,1,2.50,0,59
61,2019,12,31,1953,20.96,85.20,4.63,0,2,1,2.50,0,59
62,2019,12,31,1953,20.82,106.00,4.63,0,2,1,2.48,0,62
63,2019,12,31,1953,20.82,106.02,4.63,0,2,1,2.48,0,62
64,2019,12,31,1953,16.18,101.16,4.76,0,2,3,2.70,0,64
65,2019,12,31,1953,15.14,105.74,4.78,0,2,1,1.57,0,65
