# 2020  1  2 20  0 UTC  2020  3 18  0 28 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,1,2,2004,43.60,144.54,3.59,1,1,1,3.97,0,1
2,2020,1,2,2004,43.58,144.54,3.59,1,1,1,3.97,0,1
3,2020,1,2,2004,42.62,130.82,3.65,0,2,1,1.18,0,3
4,2020,1,2,2004,40.66,122.56,3.76,0,3,1,.59,0,5
5,2020,1,2,2004,40.66,122.58,3.76,0,2,1,.94,0,5
6,2020,1,2,2004,40.64,122.56,3.76,0,3,1,.59,0,5
7,2020,1,2,2004,40.64,122.58,3.76,0,2,1,.94,0,5
8,2020,1,2,2004,40.48,140.86,3.77,0,1,3,3.81,0,8
9,2020,1,2,2004,40.02,125.50,3.80,0,2,1,.84,0,9
10,2020,1,2,2004,40.00,125.52,3.80,0,2,1,.98,0,10
11,2020,1,2,2004,39.68,118.88,3.81,0,2,1,2.60,0,11
12,2020,1,2,2004,39.68,118.90,3.81,0,2,1,2.60,0,11
13,2020,1,2,2004,39.66,118.40,3.82,0,2,1,1.47,0,13
14,2020,1,2,2004,39.66,118.42,3.82,0,2,1,1.47,0,13
15,2020,1,2,2004,39.66,118.90,3.82,0,2,1,2.60,0,11
16,2020,1,2,2004,39.58,127.08,3.82,0,2,1,.98,0,16
17,2020,1,2,2004,39.44,118.46,3.83,0,2,1,1.41,0,17
18,2020,1,2,2004,38.92,106.46,3.86,0,2,1,1.83,0,18
19,2020,1,2,2004,38.30,116.84,3.89,0,2,1,.43,0,19
20,2020,1,2,2004,38.26,114.24,3.89,0,2,1,1.03,0,20
21,2020,1,2,2004,38.26,114.26,3.89,0,2,1,1.03,0,20
22,2020,1,2,2004,38.26,114.28,3.89,0,2,3,1.03,0,20
23,2020,1,2,2004,38.12,116.84,3.90,0,2,1,1.58,0,23
24,2020,1,2,2004,38.12,116.86,3.90,0,2,1,1.58,0,23
25,2020,1,2,2004,37.94,112.52,3.91,0,2,1,1.90,0,25
26,2020,1,2,2004,37.64,115.58,3.92,0,2,3,.83,0,26
27,2020,1,2,2004,37.64,115.60,3.92,0,2,3,.83,0,26
28,2020,1,2,2004,37.62,115.60,3.93,0,2,3,.83,0,26
29,2020,1,2,2004,37.60,115.60,3.93,0,2,3,.83,0,26
30,2020,1,2,2004,37.60,115.62,3.93,0,2,3,.83,0,26
31,2020,1,2,2004,36.90,117.76,3.96,0,2,1,.72,0,31
32,2020,1,2,2004,36.90,117.78,3.96,0,2,1,.72,0,31
33,2020,1,2,2004,36.84,107.36,3.97,0,2,1,.74,0,33
34,2020,1,2,2004,36.84,107.38,3.97,0,2,1,.74,0,33
35,2020,1,2,2004,36.74,114.10,3.97,0,2,1,1.80,0,35
36,2020,1,2,2004,36.62,114.42,3.98,0,2,1,.85,0,37
37,2020,1,2,2004,36.62,114.44,3.98,0,2,1,1.39,0,37
38,2020,1,2,2004,36.60,114.10,3.98,0,2,3,1.24,0,38
39,2020,1,2,2004,36.60,114.44,3.98,0,2,1,.85,0,37
40,2020,1,2,2004,36.60,114.46,3.98,0,2,1,1.39,0,37
41,2020,1,2,2004,36.10,117.82,4.00,0,2,1,1.34,0,41
42,2020,1,2,2004,36.08,117.82,4.01,0,2,1,1.34,0,41
43,2020,1,2,2004,36.08,117.84,4.01,0,2,1,1.34,0,41
44,2020,1,2,2004,35.86,118.82,4.02,0,2,3,.88,0,47
45,2020,1,2,2004,35.86,118.84,4.02,0,2,3,.88,0,47
46,2020,1,2,2004,35.84,118.84,4.02,0,2,3,1.35,0,47
47,2020,1,2,2004,35.82,118.84,4.02,0,2,1,1.90,0,47
48,2020,1,2,2004,35.56,128.02,4.03,0,2,1,2.07,0,48
49,2020,1,2,2004,35.56,140.10,4.03,0,2,1,4.22,0,49
50,2020,1,2,2004,28.32,114.92,4.36,0,2,3,1.65,0,50
51,2020,1,2,2004,22.32,80.92,4.59,0,2,1,3.44,0,52
52,2020,1,2,2004,22.32,80.94,4.59,0,2,1,3.44,0,52
53,2020,1,2,2004,18.36,103.24,4.70,0,2,3,2.02,0,53
54,2020,1,2,2004,13.06,109.26,4.83,0,1,3,7.20,0,54
55,2020,1,2,2004,5.22,102.56,4.94,0,1,1,5.64,0,55
56,2020,1,2,2004,2.02,101.00,4.95,0,1,1,7.23,0,56
57,2020,1,2,2004,-4.04,121.58,4.94,0,1,1,18.71,0,57
58,2020,1,2,2004,-6.44,144.86,4.93,0,1,1,5.65,0,58
59,2020,1,2,2004,-7.74,141.36,4.91,0,1,3,5.57,0,60
60,2020,1,2,2004,-7.74,141.38,4.91,0,1,3,6.26,0,60
61,2020,1,2,2004,-8.02,142.98,4.91,0,1,3,5.60,0,61
62,2020,1,2,2009,-16.30,137.74,4.76,0,2,5,24.76,0,64
63,2020,1,2,2009,-16.32,137.72,4.76,0,2,5,14.32,0,64
64,2020,1,2,2009,-16.32,137.74,4.76,0,2,5,25.55,0,64
65,2020,1,2,2009,-17.42,145.22,4.73,0,2,3,2.42,0,65
66,2020,1,2,2009,-17.90,143.36,4.72,0,2,3,3.63,0,66
67,2020,1,2,2009,-18.06,144.78,4.71,0,2,3,3.29,0,67
68,2020,1,2,2009,-18.12,144.02,4.71,0,2,3,3.93,0,69
69,2020,1,2,2009,-18.12,144.04,4.71,0,2,5,6.67,0,69
70,2020,1,2,2009,-18.12,144.06,4.71,0,2,5,5.48,0,69
71,2020,1,2,2009,-18.14,144.04,4.71,0,2,5,6.25,0,69
72,2020,1,2,2009,-18.14,144.06,4.71,0,2,5,6.19,0,69
73,2020,1,2,2009,-18.18,142.94,4.71,0,2,3,8.85,0,75
74,2020,1,2,2009,-18.20,142.94,4.71,0,2,5,8.25,0,75
75,2020,1,2,2009,-18.20,142.96,4.71,0,2,3,10.73,0,75
76,2020,1,2,2009,-18.22,142.96,4.71,0,1,3,9.61,0,75
77,2020,1,2,2009,-18.52,143.76,4.70,0,2,3,3.02,0,77
