# 2020  1  3 12 10 UTC  2020  3 18  0  7 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,1,3,1211,41.42,126.48,3.72,0,2,3,1.66,0,1
2,2020,1,3,1211,41.42,126.50,3.72,0,2,3,1.66,0,1
3,2020,1,3,1211,41.40,126.50,3.72,0,2,3,1.53,0,1
4,2020,1,3,1211,41.38,126.50,3.72,0,2,3,1.53,0,1
5,2020,1,3,1211,41.34,124.16,3.72,0,2,3,1.26,0,5
6,2020,1,3,1211,41.34,124.18,3.72,0,2,3,1.26,0,5
7,2020,1,3,1211,41.28,123.72,3.72,0,2,1,2.23,0,7
8,2020,1,3,1211,41.26,123.72,3.73,0,2,1,2.23,0,7
9,2020,1,3,1211,41.22,123.62,3.73,0,2,1,1.64,0,9
10,2020,1,3,1211,41.16,122.98,3.73,0,2,1,3.07,0,12
11,2020,1,3,1211,41.16,123.00,3.73,0,2,1,2.09,0,12
12,2020,1,3,1211,41.14,122.98,3.73,0,2,1,3.97,0,12
13,2020,1,3,1211,41.12,122.98,3.73,0,2,1,3.97,0,12
14,2020,1,3,1211,41.12,123.00,3.73,0,2,1,3.97,0,12
15,2020,1,3,1211,40.70,114.36,3.76,0,2,1,1.46,0,15
16,2020,1,3,1211,40.66,122.40,3.76,0,2,1,1.47,0,16
17,2020,1,3,1211,40.66,122.56,3.76,0,2,1,.74,0,19
18,2020,1,3,1211,40.64,122.56,3.76,0,2,1,.74,0,19
19,2020,1,3,1211,40.62,122.56,3.76,0,2,1,1.37,0,19
20,2020,1,3,1211,39.96,118.54,3.80,0,2,1,2.38,0,20
21,2020,1,3,1211,39.88,106.86,3.80,0,2,1,1.35,0,22
22,2020,1,3,1211,39.88,106.88,3.80,0,2,1,1.35,0,22
23,2020,1,3,1211,39.68,118.88,3.81,0,2,1,1.26,0,23
24,2020,1,3,1211,39.68,118.90,3.81,0,2,1,1.26,0,23
25,2020,1,3,1211,39.66,118.40,3.82,0,1,1,5.27,0,25
26,2020,1,3,1211,39.66,118.42,3.82,0,1,1,5.27,0,25
27,2020,1,3,1211,39.66,118.90,3.82,0,2,1,1.26,0,23
28,2020,1,3,1211,39.48,118.68,3.83,0,2,1,.56,0,28
29,2020,1,3,1211,39.42,110.60,3.83,0,2,1,2.24,0,29
30,2020,1,3,1211,39.40,110.62,3.83,0,2,1,2.57,0,30
31,2020,1,3,1211,39.38,106.94,3.83,0,2,1,2.21,0,31
32,2020,1,3,1211,39.38,110.62,3.83,0,2,3,2.00,0,30
33,2020,1,3,1211,39.38,110.64,3.83,0,2,3,2.00,0,30
34,2020,1,3,1211,39.28,110.14,3.84,0,2,1,2.10,0,34
35,2020,1,3,1211,39.28,110.16,3.84,0,2,1,2.10,0,34
36,2020,1,3,1211,38.94,106.40,3.86,0,2,1,2.08,0,36
37,2020,1,3,1211,38.94,106.42,3.86,0,2,1,2.08,0,36
38,2020,1,3,1211,38.92,106.46,3.86,0,2,1,.64,0,38
39,2020,1,3,1211,38.48,106.22,3.88,0,2,1,.60,0,41
40,2020,1,3,1211,38.48,106.24,3.88,0,2,1,.60,0,41
41,2020,1,3,1211,38.46,106.24,3.88,0,2,1,.60,0,41
42,2020,1,3,1211,38.18,106.60,3.90,0,2,1,1.26,0,42
43,2020,1,3,1211,37.94,112.52,3.91,0,2,1,2.44,0,43
44,2020,1,3,1211,37.94,127.88,3.91,0,2,1,1.62,0,44
45,2020,1,3,1211,37.86,102.92,3.91,0,2,3,1.54,0,46
46,2020,1,3,1211,37.86,102.94,3.91,0,2,5,1.70,0,46
47,2020,1,3,1211,37.86,102.96,3.91,0,2,5,1.70,0,46
48,2020,1,3,1211,37.68,103.00,3.92,0,2,1,.63,0,49
49,2020,1,3,1211,37.68,103.02,3.92,0,2,1,.63,0,49
50,2020,1,3,1211,37.48,103.44,3.93,0,2,3,1.59,0,52
51,2020,1,3,1211,37.48,103.46,3.93,0,2,3,1.59,0,52
52,2020,1,3,1211,37.46,103.46,3.93,0,2,3,2.30,0,52
53,2020,1,3,1211,36.90,117.74,3.96,0,2,1,1.27,0,54
54,2020,1,3,1211,36.90,117.76,3.96,0,2,1,1.34,0,54
55,2020,1,3,1211,36.90,117.78,3.96,0,2,1,1.34,0,54
56,2020,1,3,1211,36.66,101.72,3.98,0,2,1,.60,0,56
57,2020,1,3,1211,36.64,101.74,3.98,0,2,1,.57,0,57
58,2020,1,3,1211,36.08,117.82,4.01,0,2,1,1.26,0,58
59,2020,1,3,1211,36.08,117.84,4.01,0,2,1,1.26,0,58
60,2020,1,3,1211,35.56,140.10,4.03,0,1,1,3.98,0,60
61,2020,1,3,1211,35.48,116.84,4.04,0,2,1,.75,0,61
62,2020,1,3,1211,35.48,116.86,4.04,0,2,1,.75,0,61
63,2020,1,3,1211,35.04,136.86,4.06,0,2,1,5.77,0,63
64,2020,1,3,1211,29.02,103.24,4.33,0,2,3,1.23,0,64
65,2020,1,3,1211,27.72,102.18,4.39,0,2,3,6.87,0,65
66,2020,1,3,1211,26.92,115.34,4.42,0,2,1,2.39,0,68
67,2020,1,3,1211,26.90,115.32,4.42,0,2,1,2.34,0,68
68,2020,1,3,1211,26.90,115.34,4.42,0,2,3,4.51,0,68
69,2020,1,3,1211,26.54,86.02,4.43,0,1,1,4.01,0,70
70,2020,1,3,1211,26.54,86.04,4.43,0,1,3,4.01,0,70
71,2020,1,3,1211,25.02,81.90,4.49,0,2,1,2.43,0,72
72,2020,1,3,1211,25.02,81.92,4.49,0,2,1,2.43,0,72
73,2020,1,3,1211,23.98,116.94,4.53,0,2,3,2.00,0,75
74,2020,1,3,1211,23.98,116.96,4.53,0,2,3,2.00,0,75
75,2020,1,3,1211,23.98,116.98,4.53,0,2,5,2.70,0,75
76,2020,1,3,1211,23.78,86.34,4.54,0,2,1,6.01,0,78
77,2020,1,3,1211,23.78,86.36,4.54,0,2,1,6.01,0,78
78,2020,1,3,1211,23.78,86.38,4.54,0,2,1,6.01,0,78
79,2020,1,3,1211,22.40,108.68,4.58,0,1,3,5.02,0,80
80,2020,1,3,1211,22.38,108.68,4.58,0,1,5,11.27,0,80
81,2020,1,3,1211,22.38,108.70,4.58,0,1,5,11.27,0,80
82,2020,1,3,1211,17.94,103.38,4.72,0,2,3,5.77,0,82
83,2020,1,3,1211,17.94,103.40,4.72,0,2,3,5.77,0,82
84,2020,1,3,1211,17.66,102.18,4.72,0,3,3,1.44,0,84
85,2020,1,3,1211,17.66,102.20,4.72,0,3,3,1.44,0,84
86,2020,1,3,1211,17.62,102.50,4.72,0,2,3,1.69,0,86
87,2020,1,3,1211,17.44,101.90,4.73,0,2,3,2.67,0,88
