# 2020  1  5  8  0 UTC  2020  3 17 23 13 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,1,5,0804,43.64,122.24,3.59,0,2,1,1.47,0,1
2,2020,1,5,0804,43.64,122.26,3.59,0,2,1,1.47,0,1
3,2020,1,5,0804,43.62,122.26,3.59,0,2,1,.89,0,1
4,2020,1,5,0804,43.60,122.26,3.59,0,2,1,.89,0,1
5,2020,1,5,0804,43.60,122.28,3.59,0,2,1,.89,0,1
6,2020,1,5,0804,41.30,125.46,3.72,0,2,1,.59,0,6
7,2020,1,5,0804,41.28,123.72,3.72,0,2,1,.82,0,8
8,2020,1,5,0804,41.28,123.74,3.72,0,1,1,2.38,0,8
9,2020,1,5,0804,41.26,123.72,3.73,0,2,1,.82,0,8
10,2020,1,5,0804,41.26,123.74,3.73,0,1,1,2.38,0,8
11,2020,1,5,0804,41.22,123.62,3.73,0,2,1,1.00,0,11
12,2020,1,5,0804,41.14,122.98,3.73,0,2,1,5.00,0,12
13,2020,1,5,0804,41.12,122.98,3.73,0,2,1,5.00,0,12
14,2020,1,5,0804,41.12,123.00,3.73,0,2,1,5.00,0,12
15,2020,1,5,0804,40.54,141.50,3.77,0,2,1,2.98,0,15
16,2020,1,5,0804,36.02,129.38,4.01,0,2,1,3.76,0,16
17,2020,1,5,0804,36.00,129.38,4.01,0,2,1,2.72,0,16
18,2020,1,5,0804,35.60,140.52,4.03,0,1,1,4.18,0,18
19,2020,1,5,0804,35.56,140.10,4.03,0,2,1,1.59,0,19
20,2020,1,5,0804,35.48,140.02,4.04,0,3,1,1.25,0,20
21,2020,1,5,0804,35.04,136.86,4.06,0,2,1,4.58,0,21
22,2020,1,5,0804,35.04,136.88,4.06,0,2,1,2.90,0,21
23,2020,1,5,0804,27.60,114.60,4.39,0,2,5,3.48,0,23
24,2020,1,5,0804,27.60,114.62,4.39,0,2,5,3.48,0,23
25,2020,1,5,0804,27.56,117.20,4.39,0,2,5,11.62,0,25
26,2020,1,5,0804,27.56,117.22,4.39,0,3,3,5.23,0,25
27,2020,1,5,0804,27.54,117.20,4.39,0,2,5,11.62,0,25
28,2020,1,5,0804,27.54,117.22,4.39,0,3,3,5.23,0,25
29,2020,1,5,0804,27.54,117.24,4.39,0,3,3,5.23,0,25
30,2020,1,5,0804,27.50,114.12,4.40,0,3,3,1.04,0,30
31,2020,1,5,0804,27.50,114.14,4.40,0,3,1,.98,0,30
32,2020,1,5,0804,27.30,114.94,4.40,0,3,3,1.22,0,32
33,2020,1,5,0804,27.18,114.24,4.41,0,2,5,6.20,0,33
34,2020,1,5,0804,27.18,114.26,4.41,0,2,5,6.20,0,33
35,2020,1,5,0804,27.16,114.26,4.41,0,2,5,6.06,0,33
36,2020,1,5,0804,27.14,112.76,4.41,0,2,5,2.28,0,36
37,2020,1,5,0804,26.76,111.38,4.43,0,3,3,3.05,2,37
38,2020,1,5,0804,26.76,111.40,4.43,0,3,3,3.05,2,37
39,2020,1,5,0804,26.06,112.96,4.45,0,2,1,2.49,0,39
40,2020,1,5,0804,25.82,112.10,4.46,0,2,5,2.72,0,40
41,2020,1,5,0804,25.82,112.24,4.46,0,2,1,1.62,0,41
42,2020,1,5,0804,25.62,112.46,4.47,0,3,1,1.90,0,42
43,2020,1,5,0804,25.52,112.30,4.47,0,2,3,3.55,0,45
44,2020,1,5,0804,25.52,112.32,4.47,0,2,3,3.55,0,45
45,2020,1,5,0804,25.50,112.32,4.47,0,2,5,7.26,0,45
46,2020,1,5,0804,25.50,112.34,4.47,0,3,5,3.74,0,45
47,2020,1,5,0804,25.14,112.78,4.49,0,2,5,12.94,0,47
48,2020,1,5,0804,25.14,112.80,4.49,0,2,5,12.94,0,47
49,2020,1,5,0804,25.12,112.80,4.49,0,2,3,6.91,0,47
50,2020,1,5,0804,24.80,109.64,4.50,0,2,5,7.95,0,50
51,2020,1,5,0804,24.14,109.12,4.52,0,2,3,3.16,0,51
52,2020,1,5,0804,24.14,109.14,4.52,0,2,3,2.39,0,51
53,2020,1,5,0804,23.60,109.88,4.54,0,2,3,4.16,0,53
54,2020,1,5,0804,23.60,111.30,4.54,0,2,3,2.86,0,56
55,2020,1,5,0804,23.60,111.32,4.54,0,2,3,2.86,0,56
56,2020,1,5,0804,23.58,111.32,4.54,0,2,5,5.30,0,56
