# 2020  2  1  9 40 UTC  2020  3 15 18  1 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,2,1,0939,41.94,122.18,3.69,0,2,5,1.20,0,8
2,2020,2,1,0939,41.94,122.20,3.69,0,2,3,.67,0,8
3,2020,2,1,0939,41.94,122.22,3.69,0,2,3,.67,0,8
4,2020,2,1,0939,41.92,122.18,3.69,0,2,3,1.20,0,8
5,2020,2,1,0939,41.92,122.20,3.69,0,2,3,1.20,0,8
6,2020,2,1,0939,41.90,122.16,3.69,0,2,3,2.21,0,8
7,2020,2,1,0939,41.90,122.18,3.69,0,2,3,2.21,0,8
8,2020,2,1,0939,41.90,122.20,3.69,0,2,5,3.97,0,8
9,2020,2,1,0939,41.90,122.22,3.69,0,2,3,1.29,0,8
10,2020,2,1,0939,41.88,122.18,3.69,0,2,3,2.04,0,8
11,2020,2,1,0939,41.88,122.20,3.69,0,2,5,3.56,0,8
12,2020,2,1,0939,41.86,122.18,3.69,0,2,3,2.04,0,8
13,2020,2,1,0939,41.86,122.20,3.69,0,2,5,3.55,0,8
14,2020,2,1,0939,41.86,122.22,3.69,0,2,5,3.55,0,8
15,2020,2,1,0939,41.84,122.22,3.69,0,2,3,2.57,0,8
16,2020,2,1,0939,41.84,123.76,3.69,0,2,1,1.37,0,16
17,2020,2,1,0939,41.82,122.16,3.69,0,2,3,3.46,0,17
18,2020,2,1,0939,41.82,122.18,3.69,0,2,3,3.46,0,17
19,2020,2,1,0939,41.82,122.20,3.69,0,2,1,1.36,0,17
20,2020,2,1,0939,41.80,122.14,3.70,0,2,3,2.91,0,17
21,2020,2,1,0939,41.80,122.16,3.70,0,2,3,2.91,0,17
22,2020,2,1,0939,41.78,122.16,3.70,0,2,3,2.91,0,17
23,2020,2,1,0939,41.74,122.68,3.70,0,2,5,1.07,0,43
24,2020,2,1,0939,41.74,122.70,3.70,0,3,3,.24,0,43
25,2020,2,1,0939,41.74,122.72,3.70,0,3,3,.24,0,43
26,2020,2,1,0939,41.72,122.44,3.70,0,2,5,4.44,0,43
27,2020,2,1,0939,41.72,122.46,3.70,0,2,5,4.44,0,43
28,2020,2,1,0939,41.72,122.48,3.70,0,2,5,6.46,0,43
29,2020,2,1,0939,41.72,122.50,3.70,0,2,5,19.12,0,43
30,2020,2,1,0939,41.72,122.52,3.70,0,2,5,11.06,0,43
31,2020,2,1,0939,41.72,122.54,3.70,0,2,5,11.06,0,43
32,2020,2,1,0939,41.72,122.56,3.70,0,2,5,2.37,0,43
33,2020,2,1,0939,41.72,122.58,3.70,0,2,5,.93,0,43
34,2020,2,1,0939,41.72,122.60,3.70,0,2,3,.36,0,43
35,2020,2,1,0939,41.72,122.62,3.70,0,2,3,.36,0,43
36,2020,2,1,0939,41.72,122.66,3.70,0,2,3,.85,0,43
37,2020,2,1,0939,41.72,122.68,3.70,0,2,5,.95,0,43
38,2020,2,1,0939,41.72,122.70,3.70,0,2,5,.95,0,43
39,2020,2,1,0939,41.70,122.42,3.70,0,1,3,10.92,0,43
40,2020,2,1,0939,41.70,122.44,3.70,0,1,3,10.92,0,43
41,2020,2,1,0939,41.70,122.46,3.70,0,2,5,5.56,0,43
42,2020,2,1,0939,41.70,122.48,3.70,0,2,5,15.47,0,43
43,2020,2,1,0939,41.70,122.50,3.70,0,2,5,33.41,0,43
44,2020,2,1,0939,41.70,122.52,3.70,0,2,5,33.41,0,43
45,2020,2,1,0939,41.70,122.54,3.70,0,2,5,13.53,0,43
46,2020,2,1,0939,41.70,122.58,3.70,0,2,5,.93,0,43
47,2020,2,1,0939,41.70,122.60,3.70,0,2,5,.93,0,43
48,2020,2,1,0939,41.70,122.62,3.70,0,2,3,.36,0,43
49,2020,2,1,0939,41.70,122.66,3.70,0,2,3,.85,0,43
50,2020,2,1,0939,41.70,122.68,3.70,0,2,3,.85,0,43
51,2020,2,1,0939,41.70,122.70,3.70,0,2,5,.95,0,43
52,2020,2,1,0939,41.68,122.44,3.70,0,1,3,10.92,0,43
53,2020,2,1,0939,41.68,122.46,3.70,0,2,5,5.56,0,43
54,2020,2,1,0939,41.68,122.48,3.70,0,2,5,15.47,0,43
55,2020,2,1,0939,41.68,122.50,3.70,0,2,5,15.46,0,43
56,2020,2,1,0939,41.68,122.52,3.70,0,2,5,33.41,0,43
57,2020,2,1,0939,41.68,122.54,3.70,0,2,5,13.53,0,43
58,2020,2,1,0939,41.68,122.60,3.70,0,2,3,1.14,0,43
59,2020,2,1,0939,41.68,122.62,3.70,0,2,3,1.56,0,43
60,2020,2,1,0939,41.68,122.64,3.70,0,2,1,.39,0,43
61,2020,2,1,0939,41.68,122.66,3.70,0,2,3,.39,0,43
62,2020,2,1,0939,41.66,122.44,3.70,0,2,5,4.63,0,43
63,2020,2,1,0939,41.66,122.46,3.70,0,2,5,4.34,0,43
64,2020,2,1,0939,41.66,122.48,3.70,0,2,5,4.34,0,43
65,2020,2,1,0939,41.66,122.50,3.70,0,2,5,3.67,0,43
66,2020,2,1,0939,41.66,122.52,3.70,0,2,5,4.69,0,43
67,2020,2,1,0939,41.66,122.64,3.70,0,2,1,.58,0,43
68,2020,2,1,0939,41.66,122.66,3.70,0,2,3,.61,0,43
69,2020,2,1,0939,41.64,122.42,3.70,0,2,3,4.39,0,43
70,2020,2,1,0939,41.64,122.44,3.70,0,2,5,6.49,0,43
71,2020,2,1,0939,41.64,122.46,3.70,0,2,5,6.49,0,43
72,2020,2,1,0939,41.64,122.48,3.70,0,2,5,5.37,0,43
73,2020,2,1,0939,41.64,122.66,3.70,0,2,3,.61,0,43
74,2020,2,1,0939,41.62,122.40,3.71,0,2,3,2.26,0,43
75,2020,2,1,0939,41.62,122.42,3.71,0,1,3,4.96,0,43
76,2020,2,1,0939,41.62,122.44,3.71,0,1,3,4.96,0,43
77,2020,2,1,0939,41.62,122.46,3.71,0,2,5,6.49,0,43
78,2020,2,1,0939,41.62,122.48,3.71,0,2,5,5.37,0,43
79,2020,2,1,0939,41.60,122.40,3.71,0,2,3,2.26,0,43
80,2020,2,1,0939,41.60,122.42,3.71,0,2,3,2.26,0,43
81,2020,2,1,0939,41.60,122.44,3.71,0,1,3,4.96,0,43
