# 2020  2 20  7  0 UTC  2020  3 14  4  6 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,2,20,0702,33.32,130.94,4.14,0,3,1,2.15,0,1
2,2020,2,20,0702,32.94,117.36,4.16,0,2,1,3.29,0,2
3,2020,2,20,0702,32.42,120.28,4.18,0,2,3,8.43,0,3
4,2020,2,20,0702,32.10,119.46,4.20,0,3,3,3.52,0,7
5,2020,2,20,0702,32.10,119.48,4.20,0,3,3,4.29,0,7
6,2020,2,20,0702,32.08,119.46,4.20,0,2,3,4.66,0,7
7,2020,2,20,0702,32.08,119.48,4.20,0,2,3,5.95,0,7
8,2020,2,20,0702,32.08,119.50,4.20,0,2,3,5.95,0,7
9,2020,2,20,0702,32.00,117.22,4.20,0,3,3,2.57,0,10
10,2020,2,20,0702,31.98,117.22,4.20,0,2,3,2.73,0,10
11,2020,2,20,0702,31.84,117.70,4.21,0,3,3,1.44,0,11
12,2020,2,20,0702,31.84,117.72,4.21,0,3,3,1.44,0,11
13,2020,2,20,0702,31.80,117.10,4.21,0,3,3,3.44,0,13
14,2020,2,20,0702,31.80,117.12,4.21,0,3,3,3.44,0,13
15,2020,2,20,0702,31.70,115.14,4.22,0,2,3,2.28,0,15
16,2020,2,20,0702,31.70,115.16,4.22,0,3,3,2.18,0,15
17,2020,2,20,0702,31.70,115.18,4.22,0,3,3,2.18,0,15
18,2020,2,20,0702,31.66,117.10,4.22,0,3,1,2.25,0,18
19,2020,2,20,0702,31.66,119.02,4.22,0,3,1,.99,0,19
20,2020,2,20,0702,31.66,119.04,4.22,0,3,3,.99,0,19
21,2020,2,20,0702,31.52,116.72,4.23,0,3,3,1.59,0,26
22,2020,2,20,0702,31.52,116.74,4.23,0,3,3,1.59,0,26
23,2020,2,20,0702,31.50,113.90,4.23,0,3,5,2.90,0,23
24,2020,2,20,0702,31.50,116.74,4.23,0,3,3,1.59,0,26
25,2020,2,20,0702,31.48,113.90,4.23,0,2,3,2.17,0,23
26,2020,2,20,0702,31.48,116.74,4.23,0,2,3,2.62,0,26
27,2020,2,20,0702,31.36,117.44,4.23,0,1,3,6.05,0,27
28,2020,2,20,0702,31.16,118.60,4.24,0,3,1,.97,0,28
29,2020,2,20,0702,31.12,114.06,4.24,0,2,3,2.78,0,29
30,2020,2,20,0702,31.04,114.24,4.25,0,2,3,3.61,0,31
31,2020,2,20,0702,31.04,114.26,4.25,0,2,5,5.43,0,31
32,2020,2,20,0702,31.02,114.24,4.25,0,2,1,2.81,0,31
33,2020,2,20,0702,31.02,114.26,4.25,0,2,3,3.96,0,31
34,2020,2,20,0702,31.02,114.28,4.25,0,2,5,3.96,0,31
35,2020,2,20,0702,30.76,116.00,4.26,0,3,1,1.48,0,35
36,2020,2,20,0702,30.74,116.02,4.26,0,3,1,1.59,0,36
37,2020,2,20,0702,30.68,118.90,4.26,0,3,3,2.23,0,37
38,2020,2,20,0702,30.44,114.04,4.27,0,3,1,1.95,0,38
39,2020,2,20,0702,29.84,112.88,4.30,0,2,1,1.23,0,41
40,2020,2,20,0702,29.84,112.90,4.30,0,3,1,1.57,0,41
41,2020,2,20,0702,29.84,112.92,4.30,0,3,1,1.57,0,41
42,2020,2,20,0702,29.82,112.90,4.30,0,3,3,1.36,0,41
43,2020,2,20,0702,29.82,112.92,4.30,0,3,3,1.42,0,41
44,2020,2,20,0702,29.58,116.70,4.31,0,3,3,2.49,0,44
45,2020,2,20,0702,29.58,116.72,4.31,0,3,3,2.49,0,44
46,2020,2,20,0702,29.46,117.44,4.32,0,3,3,3.75,0,48
47,2020,2,20,0702,29.46,117.46,4.32,0,3,3,3.05,0,48
48,2020,2,20,0702,29.44,117.44,4.32,0,2,5,23.88,0,48
49,2020,2,20,0702,29.44,117.46,4.32,0,2,5,8.14,0,48
50,2020,2,20,0702,29.44,117.48,4.32,0,2,5,8.14,0,48
51,2020,2,20,0702,29.42,117.44,4.32,0,2,5,19.10,0,48
52,2020,2,20,0702,29.42,117.46,4.32,0,2,5,19.10,0,48
53,2020,2,20,0702,29.38,113.12,4.32,0,3,3,1.45,0,53
54,2020,2,20,0702,29.36,113.14,4.32,0,3,1,1.05,0,54
55,2020,2,20,0702,29.06,118.00,4.33,0,3,3,1.83,0,56
56,2020,2,20,0702,29.04,118.00,4.33,0,2,3,2.59,0,56
57,2020,2,20,0702,29.04,118.02,4.33,0,2,3,2.59,0,56
58,2020,2,20,0702,28.92,121.20,4.34,0,3,3,2.22,0,58
59,2020,2,20,0702,28.84,114.50,4.34,0,3,5,4.44,0,61
60,2020,2,20,0702,28.84,114.52,4.34,0,3,3,2.25,0,61
61,2020,2,20,0702,28.82,114.50,4.34,0,3,5,4.50,0,61
62,2020,2,20,0702,28.82,114.52,4.34,0,3,3,2.15,0,61
63,2020,2,20,0702,28.74,120.78,4.35,0,2,3,3.45,0,63
64,2020,2,20,0702,28.72,120.78,4.35,0,2,3,3.45,0,63
65,2020,2,20,0702,28.72,120.80,4.35,0,2,3,3.45,0,63
66,2020,2,20,0702,28.56,115.88,4.35,0,3,1,1.93,0,67
67,2020,2,20,0702,28.54,115.88,4.35,0,3,1,2.11,0,67
68,2020,2,20,0702,28.18,114.34,4.37,0,2,3,3.02,0,68
69,2020,2,20,0702,28.10,119.56,4.37,0,3,1,1.74,0,69
70,2020,2,20,0702,27.96,113.82,4.38,0,2,5,10.54,0,70
71,2020,2,20,0702,27.96,113.84,4.38,0,3,3,4.90,0,70
72,2020,2,20,0702,27.94,113.84,4.38,0,3,3,4.90,0,70
73,2020,2,20,0702,27.94,114.50,4.38,0,2,3,2.42,0,73
74,2020,2,20,0702,27.94,116.38,4.38,0,3,1,1.59,0,74
75,2020,2,20,0702,27.92,118.34,4.38,0,2,3,3.86,0,75
76,2020,2,20,0702,27.92,118.36,4.38,0,2,3,3.86,0,75
77,2020,2,20,0702,27.92,118.38,4.38,0,3,3,2.29,0,75
78,2020,2,20,0702,27.90,118.36,4.38,0,2,5,3.75,0,75
79,2020,2,20,0702,27.90,118.38,4.38,0,3,3,2.59,0,75
80,2020,2,20,0702,27.86,116.22,4.38,0,2,5,6.01,0,80
81,2020,2,20,0702,27.86,116.24,4.38,0,3,5,2.46,0,80
82,2020,2,20,0702,27.84,114.98,4.38,0,2,1,1.09,0,83
83,2020,2,20,0702,27.84,115.00,4.38,0,3,1,1.48,0,83
84,2020,2,20,0702,27.82,114.90,4.38,0,3,1,1.35,0,87
85,2020,2,20,0702,27.80,114.88,4.38,0,3,1,1.59,0,87
86,2020,2,20,0702,27.80,114.90,4.38,0,3,1,1.59,0,87
87,2020,2,20,0702,27.80,114.92,4.38,0,2,1,1.66,0,87
