# 2020  3  7 13  0 UTC  2020  3 13 20 46 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,3,7,1302,40.64,109.72,3.76,0,1,1,2.44,0,1
2,2020,3,7,1302,40.54,141.50,3.77,0,2,1,7.74,0,2
3,2020,3,7,1302,40.50,141.50,3.77,0,3,1,1.29,0,3
4,2020,3,7,1302,40.42,113.16,3.77,0,1,1,4.20,0,4
5,2020,3,7,1302,39.88,118.16,3.80,0,2,1,2.80,0,5
6,2020,3,7,1302,39.86,118.16,3.80,0,2,1,2.80,0,5
7,2020,3,7,1302,39.86,118.18,3.80,0,2,1,2.80,0,5
8,2020,3,7,1302,39.66,118.40,3.82,0,2,1,1.82,0,8
9,2020,3,7,1302,39.66,118.42,3.82,0,2,1,1.82,0,8
10,2020,3,7,1302,39.62,118.44,3.82,0,2,1,1.86,0,10
11,2020,3,7,1302,39.62,118.46,3.82,0,2,3,1.86,0,10
12,2020,3,7,1302,39.60,118.46,3.82,0,2,3,1.86,0,10
13,2020,3,7,1302,39.38,106.94,3.83,0,1,1,3.78,0,13
14,2020,3,7,1302,39.28,110.14,3.84,0,1,1,4.43,0,14
15,2020,3,7,1302,39.28,110.16,3.84,0,1,1,4.43,0,14
16,2020,3,7,1302,39.14,111.68,3.84,0,2,1,2.01,0,18
17,2020,3,7,1302,39.14,111.70,3.84,0,2,1,2.01,0,18
18,2020,3,7,1302,39.12,111.70,3.85,0,2,5,5.97,0,18
19,2020,3,7,1302,39.10,111.68,3.85,0,2,3,4.36,0,18
20,2020,3,7,1302,39.10,111.70,3.85,0,2,3,4.36,0,18
21,2020,3,7,1302,39.10,111.72,3.85,0,2,3,4.33,0,18
22,2020,3,7,1302,38.94,106.42,3.86,0,2,1,1.90,0,22
23,2020,3,7,1302,37.94,112.52,3.91,0,2,1,3.75,0,23
24,2020,3,7,1302,37.92,112.52,3.91,0,2,1,2.31,0,23
25,2020,3,7,1302,37.92,112.54,3.91,0,2,1,2.31,0,23
26,2020,3,7,1302,37.78,115.20,3.92,0,2,3,.89,0,26
27,2020,3,7,1302,37.44,116.28,3.94,0,2,1,.99,0,27
28,2020,3,7,1302,37.36,115.38,3.94,0,2,1,1.33,0,28
29,2020,3,7,1302,36.90,117.76,3.96,0,2,1,1.53,0,29
30,2020,3,7,1302,36.90,117.78,3.96,0,2,1,1.53,0,29
31,2020,3,7,1302,36.86,115.68,3.97,0,2,1,2.00,0,33
32,2020,3,7,1302,36.86,115.70,3.97,0,2,1,2.00,0,33
33,2020,3,7,1302,36.84,115.70,3.97,0,2,3,2.62,0,33
34,2020,3,7,1302,36.82,115.70,3.97,0,2,1,2.62,0,33
35,2020,3,7,1302,36.82,115.72,3.97,0,2,1,2.62,0,33
36,2020,3,7,1302,36.82,118.02,3.97,0,2,1,.87,0,36
37,2020,3,7,1302,36.62,114.44,3.98,0,2,1,1.32,0,37
38,2020,3,7,1302,36.60,114.46,3.98,0,2,1,.83,0,38
39,2020,3,7,1302,36.46,115.98,3.99,0,2,1,1.66,0,39
40,2020,3,7,1302,36.10,117.82,4.00,0,1,1,4.29,0,40
41,2020,3,7,1302,36.08,117.82,4.01,0,1,1,4.29,0,40
42,2020,3,7,1302,36.08,117.84,4.01,0,1,1,4.29,0,40
43,2020,3,7,1302,35.72,116.48,4.02,0,2,1,2.06,0,43
44,2020,3,7,1302,35.42,109.56,4.04,0,2,3,2.73,0,45
45,2020,3,7,1302,35.42,109.58,4.04,0,2,3,3.19,0,45
46,2020,3,7,1302,35.42,109.60,4.04,0,2,3,3.19,0,45
47,2020,3,7,1302,35.40,109.56,4.04,0,3,3,1.35,0,45
48,2020,3,7,1302,35.40,109.58,4.04,0,3,3,1.35,0,45
49,2020,3,7,1302,35.40,109.60,4.04,0,3,3,1.70,0,45
50,2020,3,7,1302,34.42,119.84,4.09,0,2,1,5.15,0,50
51,2020,3,7,1302,34.40,119.84,4.09,0,2,1,5.15,0,50
52,2020,3,7,1302,33.04,106.14,4.16,0,2,1,1.37,0,54
53,2020,3,7,1302,33.04,106.16,4.16,0,2,1,1.37,0,54
54,2020,3,7,1302,33.02,106.16,4.16,0,2,3,1.37,0,54
55,2020,3,7,1302,30.92,112.90,4.25,0,1,3,10.59,0,55
56,2020,3,7,1302,30.64,114.42,4.26,0,1,1,4.05,0,58
57,2020,3,7,1302,30.64,114.44,4.26,0,1,1,4.05,0,58
58,2020,3,7,1302,30.64,114.46,4.26,0,1,1,4.73,0,58
59,2020,3,7,1302,28.50,112.48,4.36,0,2,3,2.26,0,59
60,2020,3,7,1302,28.50,112.50,4.36,0,2,3,2.26,0,59
61,2020,3,7,1302,27.26,118.08,4.41,0,1,1,2.61,0,61
62,2020,3,7,1302,26.58,101.64,4.43,0,2,1,4.21,0,63
63,2020,3,7,1302,26.58,101.66,4.43,0,1,1,14.96,0,63
64,2020,3,7,1302,26.58,101.68,4.43,0,1,1,14.96,0,63
65,2020,3,7,1302,26.32,105.32,4.44,0,2,3,1.58,0,65
66,2020,3,7,1302,25.66,106.08,4.47,0,2,3,2.26,0,69
67,2020,3,7,1302,25.64,105.98,4.47,0,2,3,1.83,0,67
68,2020,3,7,1302,25.64,106.08,4.47,0,2,3,2.26,0,69
69,2020,3,7,1302,25.64,106.10,4.47,0,2,3,2.30,0,69
70,2020,3,7,1302,25.64,106.12,4.47,0,2,3,2.30,0,69
71,2020,3,7,1302,25.60,105.02,4.47,0,2,3,2.42,0,71
