# 2020  3 20 14 30 UTC  2020  3 20 15 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,3,20,1432,51.90,114.76,3.06,0,2,3,.83,0,4
2,2020,3,20,1432,51.90,114.78,3.06,0,2,3,.83,0,4
3,2020,3,20,1432,51.88,114.78,3.06,0,2,3,.83,0,4
4,2020,3,20,1432,51.88,114.80,3.06,0,2,3,.83,0,4
5,2020,3,20,1432,50.88,115.66,3.13,0,2,1,.77,0,7
6,2020,3,20,1432,50.86,115.66,3.13,0,2,1,.77,0,7
7,2020,3,20,1432,50.86,115.68,3.13,0,2,1,.77,0,7
8,2020,3,20,1432,49.56,128.94,3.22,0,2,3,.95,0,8
9,2020,3,20,1432,49.54,128.94,3.22,0,2,3,.95,0,8
10,2020,3,20,1432,49.54,128.96,3.22,0,2,3,.95,0,8
11,2020,3,20,1432,48.46,132.18,3.29,0,3,3,.74,0,11
12,2020,3,20,1432,48.46,132.20,3.29,0,3,3,.74,0,11
13,2020,3,20,1432,48.44,132.18,3.29,0,3,3,.74,0,11
14,2020,3,20,1432,48.44,132.20,3.29,0,3,3,.74,0,11
15,2020,3,20,1432,47.96,132.14,3.32,0,2,3,1.51,0,16
16,2020,3,20,1432,47.96,132.16,3.32,0,2,5,2.12,0,16
17,2020,3,20,1432,47.96,132.18,3.32,0,2,5,2.12,0,16
18,2020,3,20,1432,47.94,132.14,3.32,0,2,3,1.51,0,16
19,2020,3,20,1432,47.94,132.16,3.32,0,2,5,2.12,0,16
20,2020,3,20,1432,47.94,132.18,3.32,0,2,5,2.12,0,16
21,2020,3,20,1432,46.96,121.70,3.38,0,2,5,1.28,0,21
22,2020,3,20,1432,46.94,121.70,3.38,0,2,5,1.28,0,21
23,2020,3,20,1432,46.94,121.72,3.38,0,2,5,1.28,0,21
24,2020,3,20,1432,46.90,122.20,3.39,0,1,3,2.58,0,24
25,2020,3,20,1432,46.90,122.22,3.39,0,2,3,1.78,0,24
26,2020,3,20,1432,46.90,122.24,3.39,0,2,3,1.78,0,24
27,2020,3,20,1432,46.88,122.24,3.39,0,2,3,1.78,0,24
28,2020,3,20,1432,46.72,122.68,3.40,0,2,3,2.15,0,28
29,2020,3,20,1432,46.72,122.70,3.40,0,2,3,2.15,0,28
30,2020,3,20,1432,46.72,122.72,3.40,0,2,3,1.59,0,28
31,2020,3,20,1432,46.70,122.70,3.40,0,2,3,2.15,0,28
32,2020,3,20,1432,46.70,122.72,3.40,0,2,3,1.59,0,28
33,2020,3,20,1432,46.70,122.74,3.40,0,2,3,1.59,0,28
34,2020,3,20,1432,46.04,122.74,3.44,0,2,3,1.21,0,34
35,2020,3,20,1432,45.82,121.62,3.45,0,2,5,1.27,0,35
36,2020,3,20,1432,45.82,121.64,3.45,0,2,5,1.27,0,35
37,2020,3,20,1432,45.80,121.64,3.46,0,2,5,1.27,0,35
38,2020,3,20,1432,45.74,122.44,3.46,0,2,5,11.24,0,38
39,2020,3,20,1432,45.74,122.46,3.46,0,2,5,11.24,0,38
40,2020,3,20,1432,45.74,122.48,3.46,0,2,3,3.76,0,38
41,2020,3,20,1432,45.72,122.46,3.46,0,2,5,5.74,0,38
42,2020,3,20,1432,45.70,122.46,3.46,0,2,5,5.74,0,38
43,2020,3,20,1432,45.54,121.96,3.47,0,2,3,1.05,0,43
44,2020,3,20,1432,45.54,121.98,3.47,0,2,3,1.05,0,43
45,2020,3,20,1432,45.54,122.78,3.47,0,2,3,9.88,0,45
46,2020,3,20,1432,45.52,122.80,3.47,0,2,3,9.93,0,46
47,2020,3,20,1432,45.42,122.82,3.48,0,2,3,9.17,0,47
48,2020,3,20,1432,45.42,122.84,3.48,0,2,3,9.17,0,47
49,2020,3,20,1432,45.40,122.84,3.48,0,2,3,9.17,0,47
50,2020,3,20,1432,45.14,124.80,3.50,0,2,1,.65,0,50
51,2020,3,20,1432,45.14,124.82,3.50,0,2,1,.65,0,50
52,2020,3,20,1432,44.92,121.54,3.51,0,2,3,.81,0,54
53,2020,3,20,1432,44.92,121.56,3.51,0,2,3,.81,0,54
54,2020,3,20,1432,44.92,121.58,3.51,0,2,3,.94,0,54
55,2020,3,20,1432,44.90,121.56,3.51,0,2,3,.81,0,54
56,2020,3,20,1432,44.90,121.58,3.51,0,2,3,.94,0,54
57,2020,3,20,1432,44.18,119.48,3.55,0,2,1,.83,0,57
58,2020,3,20,1432,44.16,119.48,3.56,0,2,1,.83,0,57
59,2020,3,20,1432,43.90,124.66,3.57,0,2,3,1.09,0,63
60,2020,3,20,1432,43.90,124.68,3.57,0,2,3,1.09,0,63
61,2020,3,20,1432,43.88,124.64,3.57,0,2,5,2.67,0,63
62,2020,3,20,1432,43.88,124.66,3.57,0,2,5,2.67,0,63
63,2020,3,20,1432,43.88,124.68,3.57,0,2,5,2.83,0,63
64,2020,3,20,1432,43.86,124.64,3.57,0,2,3,2.67,0,63
65,2020,3,20,1432,43.86,124.66,3.57,0,2,3,2.67,0,63
66,2020,3,20,1432,43.86,124.68,3.57,0,2,5,2.83,0,63
67,2020,3,20,1432,43.68,124.38,3.58,0,2,5,6.17,0,67
68,2020,3,20,1432,43.68,124.40,3.58,0,2,3,2.07,0,67
69,2020,3,20,1432,43.66,124.38,3.59,0,2,5,6.17,0,67
70,2020,3,20,1432,43.66,124.40,3.59,0,2,3,2.07,0,67
71,2020,3,20,1432,43.66,124.42,3.59,0,2,3,2.07,0,67
72,2020,3,20,1432,43.64,124.38,3.59,0,2,5,2.45,0,67
73,2020,3,20,1432,43.64,124.40,3.59,0,2,5,2.45,0,67
74,2020,3,20,1432,42.96,123.78,3.63,0,2,3,.91,0,74
75,2020,3,20,1432,42.88,120.66,3.63,0,2,3,1.28,0,77
76,2020,3,20,1432,42.86,120.66,3.63,0,2,3,1.28,0,77
77,2020,3,20,1432,42.86,120.68,3.63,0,2,3,1.28,0,77
78,2020,3,20,1432,42.58,123.42,3.65,0,2,1,.77,0,78
79,2020,3,20,1432,42.56,123.58,3.65,0,2,3,1.41,0,79
80,2020,3,20,1432,42.54,123.42,3.65,0,2,3,.66,0,80
81,2020,3,20,1432,42.54,123.44,3.65,0,2,3,.66,0,80
82,2020,3,20,1432,42.42,123.70,3.66,0,2,3,1.40,0,84
83,2020,3,20,1432,42.42,123.72,3.66,0,2,3,1.40,0,84
84,2020,3,20,1432,42.42,123.74,3.66,0,2,5,2.64,0,84
85,2020,3,20,1432,42.42,123.76,3.66,0,2,5,1.78,0,84
86,2020,3,20,1432,42.40,123.72,3.66,0,2,3,1.40,0,84
87,2020,3,20,1432,42.40,123.74,3.66,0,2,5,2.64,0,84
88,2020,3,20,1432,42.40,123.76,3.66,0,2,5,1.78,0,84
89,2020,3,20,1432,42.40,123.78,3.66,0,2,5,1.78,0,84
90,2020,3,20,1432,42.34,123.38,3.66,0,2,5,3.34,0,91
91,2020,3,20,1432,42.34,123.40,3.66,0,2,5,9.53,0,91
92,2020,3,20,1432,42.34,123.42,3.66,0,2,5,9.53,0,91
93,2020,3,20,1432,42.32,123.38,3.66,0,2,5,3.12,0,91
94,2020,3,20,1432,42.32,123.40,3.66,0,2,5,3.12,0,91
95,2020,3,20,1432,42.32,123.42,3.66,0,2,5,7.44,0,91
96,2020,3,20,1432,42.30,123.40,3.67,0,2,5,3.12,0,91
97,2020,3,20,1432,42.30,123.42,3.67,0,2,5,7.44,0,91
98,2020,3,20,1432,42.14,123.34,3.68,0,2,3,1.38,0,100
99,2020,3,20,1432,42.14,123.36,3.68,0,2,3,1.00,0,100
100,2020,3,20,1432,42.12,123.32,3.68,0,2,5,24.62,0,100
101,2020,3,20,1432,42.12,123.34,3.68,0,2,5,9.86,0,100
102,2020,3,20,1432,42.12,123.36,3.68,0,2,5,8.40,0,100
103,2020,3,20,1432,42.12,123.38,3.68,0,2,5,8.40,0,100
104,2020,3,20,1432,42.12,123.40,3.68,0,2,3,1.50,0,100
105,2020,3,20,1432,42.10,123.32,3.68,0,2,5,24.62,0,100
106,2020,3,20,1432,42.10,123.34,3.68,0,2,5,9.86,0,100
107,2020,3,20,1432,42.10,123.36,3.68,0,2,5,9.86,0,100
108,2020,3,20,1432,42.10,123.38,3.68,0,2,5,8.39,0,100
109,2020,3,20,1432,42.10,123.40,3.68,0,2,3,1.50,0,100
110,2020,3,20,1432,42.08,123.30,3.68,0,2,5,9.08,0,100
111,2020,3,20,1432,42.08,123.32,3.68,0,2,5,19.26,0,100
112,2020,3,20,1432,42.08,123.34,3.68,0,2,5,19.26,0,100
113,2020,3,20,1432,42.08,123.36,3.68,0,2,5,7.22,0,100
114,2020,3,20,1432,42.08,123.38,3.68,0,2,5,10.92,0,100
115,2020,3,20,1432,41.94,122.88,3.69,0,2,3,1.14,0,115
116,2020,3,20,1432,41.94,122.90,3.69,0,2,3,1.14,0,115
117,2020,3,20,1432,41.92,122.90,3.69,0,2,3,1.14,0,115
118,2020,3,20,1432,41.86,123.02,3.69,0,2,1,1.04,0,119
119,2020,3,20,1432,41.86,123.04,3.69,0,2,5,1.88,0,119
120,2020,3,20,1432,41.86,123.06,3.69,0,2,5,1.88,0,119
121,2020,3,20,1432,41.86,123.08,3.69,0,2,5,1.81,0,119
122,2020,3,20,1432,41.30,123.74,3.72,0,2,1,.99,0,123
123,2020,3,20,1432,41.28,123.74,3.72,0,2,1,2.03,0,123
124,2020,3,20,1432,41.26,123.74,3.73,0,2,1,2.03,0,123
125,2020,3,20,1432,41.22,123.62,3.73,0,2,1,.70,0,125
