# 2020  4  8 21 20 UTC  2020  4  8 22  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,4,8,2123,58.48,107.52,2.59,0,2,1,2.90,0,7
2,2020,4,8,2123,58.48,107.54,2.59,0,2,1,2.90,0,7
3,2020,4,8,2123,58.48,107.56,2.59,0,2,1,2.91,0,7
4,2020,4,8,2123,58.46,107.54,2.59,0,2,1,2.91,0,7
5,2020,4,8,2123,58.46,107.56,2.59,0,2,1,2.91,0,7
6,2020,4,8,2123,58.46,107.58,2.59,0,2,1,2.91,0,7
7,2020,4,8,2123,58.44,107.58,2.59,0,2,1,2.91,0,7
8,2020,4,8,2123,58.44,107.60,2.59,0,2,1,2.91,0,7
9,2020,4,8,2123,58.08,106.46,2.62,0,3,1,2.51,0,9
10,2020,4,8,2123,58.06,106.48,2.62,0,3,1,2.80,0,14
11,2020,4,8,2123,58.06,106.50,2.62,0,3,1,2.80,0,14
12,2020,4,8,2123,58.06,106.52,2.62,0,3,1,2.80,0,14
13,2020,4,8,2123,58.04,106.50,2.62,0,3,1,2.80,0,14
14,2020,4,8,2123,58.04,106.52,2.62,0,3,1,2.81,0,14
15,2020,4,8,2123,58.04,106.54,2.62,0,3,1,2.81,0,14
16,2020,4,8,2123,57.90,105.84,2.63,0,3,1,4.88,0,18
17,2020,4,8,2123,57.90,105.86,2.63,0,3,1,4.88,0,18
18,2020,4,8,2123,57.88,105.86,2.64,0,3,1,4.88,0,18
19,2020,4,8,2123,57.88,105.88,2.64,0,3,1,4.88,0,18
20,2020,4,8,2123,51.46,135.30,3.09,0,2,3,3.61,0,20
21,2020,4,8,2123,51.44,128.72,3.09,0,2,3,.81,0,24
22,2020,4,8,2123,51.44,135.30,3.09,0,2,3,3.61,0,20
23,2020,4,8,2123,51.42,128.72,3.09,0,2,3,.81,0,24
24,2020,4,8,2123,51.42,128.74,3.09,0,2,3,.81,0,24
25,2020,4,8,2123,51.42,135.30,3.09,0,2,3,2.26,0,20
26,2020,4,8,2123,51.42,135.32,3.09,0,2,3,2.26,0,20
27,2020,4,8,2123,51.40,135.28,3.09,0,2,1,1.70,0,20
28,2020,4,8,2123,51.40,135.30,3.09,0,2,3,2.26,0,20
29,2020,4,8,2123,51.40,135.32,3.09,0,2,3,2.26,0,20
