# 2020  5  4  2  0 UTC  2020  5  4  2 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,5,4,0158,56.16,101.10,2.76,0,3,1,1.18,0,1
2,2020,5,4,0158,53.74,105.20,2.93,0,2,1,.97,0,2
3,2020,5,4,0158,53.74,105.22,2.93,0,2,1,.97,0,2
4,2020,5,4,0158,53.48,126.88,2.95,0,2,1,3.91,0,5
5,2020,5,4,0158,53.46,126.88,2.95,0,2,1,3.91,0,5
6,2020,5,4,0158,53.46,126.90,2.95,0,2,1,3.91,0,5
7,2020,5,4,0158,53.40,106.14,2.96,0,3,1,1.49,0,7
8,2020,5,4,0158,52.86,126.46,2.99,0,2,3,2.91,0,10
9,2020,5,4,0158,52.86,126.48,2.99,0,2,3,2.91,0,10
10,2020,5,4,0158,52.84,126.48,2.99,0,2,3,2.91,0,10
11,2020,5,4,0158,51.70,124.36,3.07,0,3,3,1.37,0,14
12,2020,5,4,0158,51.70,124.38,3.07,0,3,3,1.37,0,14
13,2020,5,4,0158,51.68,124.36,3.07,0,3,3,1.37,0,14
14,2020,5,4,0158,51.68,124.38,3.07,0,3,3,1.37,0,14
15,2020,5,4,0158,51.66,103.66,3.07,0,3,1,1.35,0,15
16,2020,5,4,0158,51.62,128.72,3.08,0,1,3,18.94,0,18
17,2020,5,4,0158,51.62,128.74,3.08,0,1,3,18.94,0,18
18,2020,5,4,0158,51.60,128.74,3.08,0,1,3,18.94,0,18
19,2020,5,4,0158,51.18,114.08,3.11,0,2,3,2.96,0,21
20,2020,5,4,0158,51.18,114.10,3.11,0,2,3,2.96,0,21
21,2020,5,4,0158,51.16,114.10,3.11,0,2,3,2.96,0,21
22,2020,5,4,0158,51.16,114.12,3.11,0,2,3,2.96,0,21
23,2020,5,4,0158,49.82,129.54,3.20,0,2,3,16.51,0,23
24,2020,5,4,0158,49.80,129.54,3.20,0,2,3,16.51,0,23
25,2020,5,4,0158,49.80,129.56,3.20,0,2,3,16.51,0,23
26,2020,5,4,0204,37.38,138.56,3.94,0,3,1,3.57,0,26
27,2020,5,4,0204,37.36,138.56,3.94,0,3,1,3.57,0,26
28,2020,5,4,0204,35.70,127.90,4.03,0,3,1,2.90,2,28
29,2020,5,4,0204,35.52,134.82,4.03,0,3,1,2.91,0,29
30,2020,5,4,0204,33.64,115.16,4.13,0,3,1,2.70,0,32
31,2020,5,4,0204,33.64,115.18,4.13,0,3,1,2.70,0,32
32,2020,5,4,0204,33.64,115.20,4.13,0,3,1,2.71,0,32
33,2020,5,4,0204,33.60,116.56,4.13,0,3,3,2.12,0,33
34,2020,5,4,0204,33.60,116.58,4.13,0,3,3,2.12,0,33
35,2020,5,4,0204,33.60,116.60,4.13,0,3,1,1.44,0,33
36,2020,5,4,0204,33.56,117.54,4.13,0,3,1,2.14,2,37
37,2020,5,4,0204,33.54,117.54,4.13,0,3,1,3.10,2,37
38,2020,5,4,0204,33.50,116.16,4.13,0,3,1,2.29,2,42
39,2020,5,4,0204,33.50,116.18,4.13,0,3,3,2.29,2,42
40,2020,5,4,0204,33.50,116.20,4.13,0,3,1,3.40,2,40
41,2020,5,4,0204,33.50,116.22,4.13,0,3,3,1.94,0,40
42,2020,5,4,0204,33.48,116.18,4.13,0,3,1,2.36,2,42
43,2020,5,4,0204,33.48,117.86,4.13,0,3,1,2.65,2,43
44,2020,5,4,0204,33.48,117.88,4.13,0,3,1,2.38,0,43
45,2020,5,4,0204,33.48,117.90,4.13,0,3,1,2.38,0,43
46,2020,5,4,0204,33.38,115.08,4.14,0,3,1,2.23,0,46
47,2020,5,4,0204,33.38,115.10,4.14,0,3,1,2.23,0,46
48,2020,5,4,0204,33.28,116.52,4.14,0,3,1,1.44,0,49
49,2020,5,4,0204,33.28,116.54,4.14,0,3,1,1.84,0,49
50,2020,5,4,0204,33.26,116.56,4.14,0,3,1,1.49,0,51
51,2020,5,4,0204,33.24,116.56,4.15,0,3,1,1.88,2,51
52,2020,5,4,0204,33.16,115.62,4.15,0,3,1,2.55,0,52
53,2020,5,4,0204,33.16,115.64,4.15,0,3,1,2.55,0,52
54,2020,5,4,0204,32.24,120.24,4.19,0,3,1,1.59,0,54
55,2020,5,4,0204,31.16,118.58,4.24,0,3,1,3.64,0,55
56,2020,5,4,0204,31.16,118.60,4.24,0,3,1,3.64,0,55
57,2020,5,4,0204,30.94,118.70,4.25,0,3,3,2.23,0,57
58,2020,5,4,0204,30.92,118.30,4.25,0,3,1,2.34,0,58
59,2020,5,4,0204,30.92,119.44,4.25,0,3,3,2.30,0,63
60,2020,5,4,0204,30.92,119.46,4.25,0,3,1,2.30,0,63
61,2020,5,4,0204,30.90,118.30,4.25,0,3,1,2.34,0,58
62,2020,5,4,0204,30.90,119.46,4.25,0,3,1,2.30,0,63
63,2020,5,4,0204,30.88,119.46,4.25,0,3,3,2.61,0,63
64,2020,5,4,0204,30.70,118.40,4.26,0,3,1,2.26,0,64
65,2020,5,4,0204,30.70,118.42,4.26,0,3,1,2.26,0,64
66,2020,5,4,0204,30.60,118.96,4.27,0,3,1,2.66,0,66
67,2020,5,4,0204,30.58,118.94,4.27,0,3,3,2.65,0,67
68,2020,5,4,0204,30.30,118.12,4.28,0,3,1,2.43,0,69
69,2020,5,4,0204,30.28,118.12,4.28,0,3,3,2.47,0,69
70,2020,5,4,0204,29.92,117.94,4.30,0,3,3,2.05,0,70
71,2020,5,4,0204,29.90,118.44,4.30,0,3,1,3.54,0,71
72,2020,5,4,0204,29.70,120.14,4.31,0,3,3,3.39,0,72
73,2020,5,4,0204,28.86,120.72,4.34,0,3,1,2.98,0,74
74,2020,5,4,0204,28.84,120.72,4.34,0,3,1,3.04,0,74
75,2020,5,4,0204,28.68,118.22,4.35,0,3,1,2.00,0,75
76,2020,5,4,0204,28.54,119.10,4.35,0,3,3,2.63,0,76
77,2020,5,4,0204,28.52,119.08,4.36,0,3,3,2.38,0,76
78,2020,5,4,0204,28.52,119.10,4.36,0,3,1,2.24,0,76
79,2020,5,4,0204,28.50,119.06,4.36,0,3,3,2.34,0,79
80,2020,5,4,0204,28.40,119.86,4.36,0,3,1,3.44,0,80
81,2020,5,4,0204,28.38,119.86,4.36,0,3,1,3.38,0,80
82,2020,5,4,0204,28.10,119.54,4.37,0,3,1,3.43,0,83
83,2020,5,4,0204,28.10,119.56,4.37,0,3,1,4.12,0,83
84,2020,5,4,0204,28.08,119.12,4.37,0,3,1,2.30,0,88
85,2020,5,4,0204,28.08,119.32,4.37,0,3,3,2.08,0,85
86,2020,5,4,0204,28.08,119.54,4.37,0,3,3,3.32,0,83
87,2020,5,4,0204,28.08,119.56,4.37,0,3,3,3.38,0,83
88,2020,5,4,0204,28.06,119.10,4.37,0,3,1,2.84,0,88
89,2020,5,4,0204,28.06,119.12,4.37,0,3,1,2.61,0,88
90,2020,5,4,0204,27.96,116.36,4.38,0,2,1,4.56,0,90
91,2020,5,4,0204,23.50,111.24,4.55,0,3,1,2.31,0,91
92,2020,5,4,0204,21.02,105.80,4.63,0,3,1,1.76,0,94
93,2020,5,4,0204,21.02,105.82,4.63,0,3,1,2.43,0,94
94,2020,5,4,0204,21.00,105.82,4.63,0,3,1,2.66,0,94
95,2020,5,4,0204,21.00,105.84,4.63,0,3,1,2.12,0,94
