# 2020  7  7 19  0 UTC  2020  7  7 19 43 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,7,7,1902,58.08,106.46,2.62,0,3,1,2.97,0,1
2,2020,7,7,1902,58.06,106.48,2.62,0,3,1,3.37,0,11
3,2020,7,7,1902,58.06,106.50,2.62,0,3,1,3.38,0,11
4,2020,7,7,1902,58.06,106.52,2.62,0,3,1,3.38,0,11
5,2020,7,7,1902,58.06,106.54,2.62,0,3,1,3.67,0,11
6,2020,7,7,1902,58.06,106.56,2.62,0,3,1,3.67,0,11
7,2020,7,7,1902,58.04,106.50,2.62,0,3,1,3.38,0,11
8,2020,7,7,1902,58.04,106.52,2.62,0,3,1,3.38,0,11
9,2020,7,7,1902,58.04,106.54,2.62,0,3,1,3.38,0,11
10,2020,7,7,1902,58.04,106.56,2.62,0,3,1,3.67,0,11
11,2020,7,7,1902,58.04,106.58,2.62,0,3,1,3.67,0,11
12,2020,7,7,1902,47.96,123.44,3.32,0,2,1,2.57,0,13
13,2020,7,7,1902,47.94,123.44,3.32,0,2,1,2.57,0,13
14,2020,7,7,1902,46.92,137.24,3.39,0,1,3,1.76,0,15
15,2020,7,7,1902,46.90,137.24,3.39,0,1,3,1.76,0,15
16,2020,7,7,1902,46.64,142.92,3.40,0,2,3,1.95,0,16
17,2020,7,7,1902,46.12,123.24,3.44,0,2,1,2.76,0,18
18,2020,7,7,1902,46.10,123.24,3.44,0,2,1,2.76,0,18
19,2020,7,7,1902,45.90,119.48,3.45,0,1,1,7.29,0,21
20,2020,7,7,1902,45.90,119.50,3.45,0,1,1,7.29,0,21
21,2020,7,7,1902,45.88,119.50,3.45,0,1,1,7.29,0,21
22,2020,7,7,1902,43.30,116.90,3.61,0,1,1,10.60,0,22
23,2020,7,7,1902,43.30,116.92,3.61,0,1,1,10.60,0,22
24,2020,7,7,1902,43.22,124.82,3.61,0,1,1,5.45,0,24
25,2020,7,7,1902,43.20,124.82,3.61,0,1,1,5.45,0,24
26,2020,7,7,1902,43.20,124.84,3.61,0,1,1,5.45,0,24
