# 2020  8  8  7 20 UTC  2020  8  8  8  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,8,8,0719,60.00,138.76,2.48,0,1,3,20.67,0,1
2,2020,8,8,0719,60.00,138.78,2.48,0,1,3,20.67,0,1
3,2020,8,8,0719,60.00,138.80,2.48,0,2,3,4.20,0,1
4,2020,8,8,0719,60.00,138.82,2.48,0,2,3,4.20,0,1
5,2020,8,8,0719,52.54,139.88,3.01,0,3,1,.91,0,5
6,2020,8,8,0724,37.98,109.00,3.91,0,2,3,13.62,0,9
7,2020,8,8,0724,37.96,109.00,3.91,0,2,3,13.62,0,9
8,2020,8,8,0724,37.96,109.02,3.91,0,2,3,13.62,0,9
9,2020,8,8,0724,37.94,109.02,3.91,0,3,5,17.16,0,9
10,2020,8,8,0724,37.94,115.22,3.91,0,3,1,2.31,0,11
11,2020,8,8,0724,37.92,115.20,3.91,0,2,1,3.18,0,11
12,2020,8,8,0724,37.92,115.22,3.91,0,2,1,2.64,0,11
13,2020,8,8,0724,37.92,115.24,3.91,0,2,1,2.64,0,11
14,2020,8,8,0724,37.90,115.24,3.91,0,2,1,2.64,0,11
15,2020,8,8,0724,37.82,108.88,3.92,0,3,3,12.34,2,15
16,2020,8,8,0724,37.80,108.88,3.92,0,3,3,9.04,0,15
17,2020,8,8,0724,37.80,108.90,3.92,0,3,3,9.04,0,15
18,2020,8,8,0724,37.78,108.90,3.92,0,3,3,9.04,0,15
19,2020,8,8,0724,25.76,119.58,4.46,0,2,3,14.30,0,19
20,2020,8,8,0724,25.76,119.60,4.46,0,2,3,14.30,0,19
21,2020,8,8,0724,25.74,119.60,4.46,0,2,3,14.30,0,19
22,2020,8,8,0724,4.80,115.88,4.94,0,2,1,16.59,0,23
23,2020,8,8,0724,4.80,115.90,4.94,0,2,1,18.85,0,23
24,2020,8,8,0724,3.16,102.54,4.95,0,2,1,8.28,0,29
25,2020,8,8,0724,3.16,102.56,4.95,0,2,1,8.28,0,29
26,2020,8,8,0724,3.16,102.58,4.95,0,2,1,9.44,0,29
27,2020,8,8,0724,3.14,102.54,4.95,0,2,1,49.56,0,29
28,2020,8,8,0724,3.14,102.56,4.95,0,2,1,49.56,0,29
29,2020,8,8,0724,3.14,102.58,4.95,0,2,1,80.96,0,29
30,2020,8,8,0724,3.12,102.58,4.95,0,2,1,6.94,0,29
31,2020,8,8,0724,2.26,111.22,4.95,0,2,1,3.48,0,31
32,2020,8,8,0724,2.26,111.24,4.95,0,2,1,3.48,0,31
33,2020,8,8,0724,1.06,110.20,4.96,0,2,1,12.19,0,35
34,2020,8,8,0724,1.06,110.22,4.96,0,3,1,7.87,0,35
35,2020,8,8,0724,1.04,110.20,4.96,0,2,1,30.69,0,35
36,2020,8,8,0724,1.04,110.22,4.96,0,2,1,18.00,0,35
37,2020,8,8,0724,.90,108.98,4.96,0,3,1,3.05,0,37
38,2020,8,8,0724,.78,109.72,4.96,0,2,1,40.76,0,38
39,2020,8,8,0724,.66,111.08,4.96,0,2,1,17.36,0,41
40,2020,8,8,0724,.64,110.42,4.96,0,2,1,36.55,0,40
41,2020,8,8,0724,.64,111.08,4.96,0,2,1,71.31,0,41
42,2020,8,8,0724,.60,110.72,4.96,0,2,1,20.71,0,42
43,2020,8,8,0724,.42,101.42,4.96,0,3,3,2.25,0,43
44,2020,8,8,0724,.36,111.12,4.96,0,1,1,20.55,0,44
45,2020,8,8,0724,.32,102.34,4.96,0,2,1,12.92,0,45
46,2020,8,8,0724,.32,110.10,4.96,0,2,1,20.70,0,46
47,2020,8,8,0724,.32,110.12,4.96,0,2,1,20.70,0,46
48,2020,8,8,0724,.26,116.60,4.96,0,2,1,3.94,0,48
49,2020,8,8,0724,-.64,110.50,4.96,0,2,1,25.47,0,49
50,2020,8,8,0724,-1.24,116.84,4.96,0,3,1,2.39,0,50
51,2020,8,8,0724,-2.00,110.50,4.95,0,2,1,3.38,0,51
52,2020,8,8,0724,-2.32,105.84,4.95,0,2,3,14.56,0,52
53,2020,8,8,0724,-2.32,105.86,4.95,0,2,3,14.56,0,52
54,2020,8,8,0724,-2.82,106.42,4.95,0,2,3,6.24,0,54
55,2020,8,8,0724,-3.22,103.50,4.95,0,3,3,2.07,0,55
56,2020,8,8,0724,-3.46,104.88,4.95,0,2,1,6.60,0,56
57,2020,8,8,0724,-11.38,130.46,4.86,0,2,3,9.63,0,60
58,2020,8,8,0724,-11.38,130.48,4.86,0,2,1,6.05,0,60
59,2020,8,8,0724,-11.40,130.44,4.86,0,2,3,7.80,0,60
60,2020,8,8,0724,-11.40,130.46,4.86,0,2,5,12.82,0,60
61,2020,8,8,0724,-11.42,130.46,4.86,0,2,3,10.45,0,60
62,2020,8,8,0724,-11.44,130.20,4.86,0,2,3,12.21,0,65
63,2020,8,8,0724,-11.44,130.22,4.86,0,2,3,10.28,0,65
64,2020,8,8,0724,-11.44,130.36,4.86,0,2,1,9.06,0,64
65,2020,8,8,0724,-11.46,130.20,4.86,0,2,3,12.99,0,65
66,2020,8,8,0724,-11.46,130.22,4.86,0,2,3,11.96,0,65
67,2020,8,8,0724,-11.46,130.36,4.86,0,2,3,7.99,0,64
68,2020,8,8,0724,-11.66,130.66,4.85,0,2,5,14.85,0,69
69,2020,8,8,0724,-11.68,130.66,4.85,0,2,5,106.30,0,69
70,2020,8,8,0724,-11.68,130.68,4.85,0,2,5,34.42,0,69
71,2020,8,8,0724,-12.16,134.54,4.85,0,2,3,3.84,0,71
72,2020,8,8,0724,-12.24,134.06,4.84,0,2,5,14.46,0,72
73,2020,8,8,0724,-12.24,134.08,4.84,0,2,5,7.87,0,72
74,2020,8,8,0724,-12.26,134.06,4.84,0,2,5,10.46,0,72
75,2020,8,8,0724,-12.50,134.12,4.84,0,2,3,4.74,0,75
76,2020,8,8,0724,-12.66,131.08,4.84,0,2,3,21.71,0,80
77,2020,8,8,0724,-12.66,131.10,4.84,0,2,5,75.13,0,80
78,2020,8,8,0724,-12.66,131.12,4.84,0,2,5,21.13,0,80
79,2020,8,8,0724,-12.68,131.08,4.84,0,2,5,24.05,0,80
80,2020,8,8,0724,-12.68,131.10,4.84,0,2,5,110.16,0,80
81,2020,8,8,0724,-12.68,131.12,4.84,0,2,5,27.12,0,80
82,2020,8,8,0724,-12.68,136.10,4.84,0,2,1,2.60,0,82
83,2020,8,8,0724,-12.70,136.08,4.84,0,2,3,3.45,0,83
84,2020,8,8,0724,-12.92,136.04,4.83,0,2,3,4.75,0,84
85,2020,8,8,0724,-12.92,136.06,4.83,0,2,5,3.87,0,84
86,2020,8,8,0724,-12.96,141.68,4.83,0,3,1,7.34,0,86
87,2020,8,8,0724,-13.00,135.30,4.83,0,2,5,17.98,0,87
88,2020,8,8,0724,-13.00,135.32,4.83,0,2,3,5.16,0,87
89,2020,8,8,0724,-13.02,135.30,4.83,0,1,3,14.76,0,87
90,2020,8,8,0724,-13.52,130.48,4.82,0,2,3,11.52,0,90
91,2020,8,8,0724,-13.66,132.12,4.82,0,2,3,5.73,0,92
92,2020,8,8,0724,-13.68,132.12,4.82,0,1,3,14.46,0,92
93,2020,8,8,0724,-13.88,130.52,4.81,0,2,3,7.52,0,93
94,2020,8,8,0724,-13.92,130.34,4.81,0,2,3,5.43,0,94
95,2020,8,8,0724,-14.26,129.90,4.80,0,2,3,5.41,0,96
96,2020,8,8,0724,-14.26,129.92,4.80,0,2,5,12.31,0,96
97,2020,8,8,0724,-14.42,133.26,4.80,0,2,3,4.32,0,97
98,2020,8,8,0724,-15.10,130.42,4.79,0,2,3,6.49,0,99
99,2020,8,8,0724,-15.12,130.42,4.79,0,2,3,7.17,0,99
100,2020,8,8,0724,-15.98,136.32,4.77,0,2,5,6.43,0,100
101,2020,8,8,0724,-16.08,128.82,4.76,0,3,1,1.82,0,101
102,2020,8,8,0724,-16.14,126.96,4.76,0,3,3,2.05,0,102
103,2020,8,8,0724,-16.40,127.28,4.75,0,3,1,1.89,0,103
104,2020,8,8,0724,-16.42,127.28,4.75,0,3,1,1.88,0,103
105,2020,8,8,0730,-19.78,147.18,4.66,0,2,1,9.24,0,106
106,2020,8,8,0730,-19.78,147.20,4.66,0,3,3,10.42,0,106
107,2020,8,8,0730,-20.88,118.58,4.63,0,2,1,1.90,0,107
108,2020,8,8,0730,-21.70,114.98,4.61,0,3,1,10.45,0,109
