# 2020  8 23 12  0 UTC  2020  8 23 12 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,8,23,1200,59.96,109.42,2.48,0,2,3,5.76,0,1
2,2020,8,23,1200,59.94,109.44,2.48,0,2,3,5.27,0,7
3,2020,8,23,1200,59.94,109.46,2.48,0,2,3,5.27,0,7
4,2020,8,23,1200,59.94,109.48,2.48,0,2,3,5.27,0,7
5,2020,8,23,1200,59.92,109.46,2.48,0,2,3,5.28,0,7
6,2020,8,23,1200,59.92,109.48,2.48,0,2,3,5.28,0,7
7,2020,8,23,1200,59.92,109.50,2.48,0,2,3,5.28,0,7
8,2020,8,23,1200,58.08,106.46,2.62,0,2,1,8.35,0,8
9,2020,8,23,1200,58.06,106.48,2.62,0,2,1,8.48,0,14
10,2020,8,23,1200,58.06,106.50,2.62,0,2,1,8.48,0,14
11,2020,8,23,1200,58.06,106.52,2.62,0,2,1,8.48,0,14
12,2020,8,23,1200,58.04,106.50,2.62,0,2,1,8.49,0,14
13,2020,8,23,1200,58.04,106.52,2.62,0,2,1,8.49,0,14
14,2020,8,23,1200,58.04,106.54,2.62,0,2,1,8.50,0,14
15,2020,8,23,1200,56.06,156.08,2.77,0,2,3,1.89,0,21
16,2020,8,23,1200,56.06,156.10,2.77,0,2,3,1.89,0,21
17,2020,8,23,1200,56.06,156.12,2.77,0,2,3,2.46,0,21
18,2020,8,23,1200,56.06,156.14,2.77,0,2,3,2.45,0,21
19,2020,8,23,1200,56.04,156.06,2.77,0,2,1,1.89,0,21
20,2020,8,23,1200,56.04,156.08,2.77,0,2,1,1.89,0,21
21,2020,8,23,1200,56.04,156.10,2.77,0,2,3,2.46,0,21
22,2020,8,23,1200,56.04,156.12,2.77,0,2,3,2.46,0,21
23,2020,8,23,1200,52.40,136.22,3.02,0,2,3,.79,0,24
24,2020,8,23,1200,52.38,136.22,3.03,0,2,3,.79,0,24
25,2020,8,23,1200,51.10,120.40,3.11,0,2,1,1.47,0,25
26,2020,8,23,1200,49.88,121.28,3.19,0,2,3,1.90,0,27
27,2020,8,23,1200,49.88,121.30,3.19,0,2,3,1.90,0,27
28,2020,8,23,1200,49.84,136.24,3.20,0,1,3,4.90,0,28
29,2020,8,23,1200,49.84,136.26,3.20,0,1,3,4.90,0,28
30,2020,8,23,1200,48.36,99.08,3.29,0,2,3,1.51,0,34
31,2020,8,23,1200,48.36,99.10,3.29,0,2,3,1.51,0,34
32,2020,8,23,1200,48.34,99.10,3.29,0,2,3,1.51,0,34
33,2020,8,23,1200,48.34,99.12,3.29,0,2,3,1.52,0,34
34,2020,8,23,1200,48.34,99.14,3.29,0,2,3,1.52,0,34
35,2020,8,23,1200,43.00,140.52,3.63,0,1,3,5.13,0,35
36,2020,8,23,1200,42.60,140.90,3.65,0,2,1,3.34,0,36
37,2020,8,23,1200,37.32,94.74,3.94,0,2,1,4.29,0,38
38,2020,8,23,1200,37.32,94.76,3.94,0,2,1,4.29,0,38
39,2020,8,23,1200,37.30,94.76,3.94,0,2,1,2.99,0,38
40,2020,8,23,1200,37.30,94.78,3.94,0,2,1,2.99,0,38
41,2020,8,23,1200,37.28,94.78,3.94,0,2,1,2.99,0,38
