# 2020  9 30 23 20 UTC  2020 10  1  0  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,9,30,2321,47.64,93.60,3.34,0,2,3,3.84,0,1
2,2020,9,30,2321,46.74,96.68,3.40,0,1,3,4.32,0,3
3,2020,9,30,2321,46.74,96.70,3.40,0,1,3,4.35,0,3
4,2020,9,30,2321,46.72,96.72,3.40,0,1,3,3.28,0,4
5,2020,9,30,2321,44.76,90.18,3.52,0,2,1,2.29,0,9
6,2020,9,30,2321,44.76,90.20,3.52,0,2,1,2.29,0,9
7,2020,9,30,2321,44.74,90.20,3.52,0,2,1,2.29,0,9
8,2020,9,30,2321,44.74,90.22,3.52,0,2,1,2.30,0,9
9,2020,9,30,2321,44.74,90.24,3.52,0,2,1,2.30,0,9
10,2020,9,30,2321,44.26,132.80,3.55,0,3,1,.84,0,10
11,2020,9,30,2321,44.22,132.78,3.55,0,3,3,.86,0,11
12,2020,9,30,2321,44.22,132.80,3.55,0,3,3,.86,0,11
13,2020,9,30,2321,41.50,103.78,3.71,0,3,1,.52,0,16
14,2020,9,30,2321,41.50,103.80,3.71,0,3,1,.52,0,16
15,2020,9,30,2321,41.50,103.82,3.71,0,3,1,.62,0,16
16,2020,9,30,2321,41.48,103.82,3.71,0,3,1,.62,0,16
17,2020,9,30,2321,40.58,96.28,3.76,0,2,1,2.57,0,20
18,2020,9,30,2321,40.58,96.30,3.76,0,2,1,2.57,0,20
19,2020,9,30,2321,40.56,96.30,3.77,0,2,3,2.57,0,20
20,2020,9,30,2321,40.56,96.32,3.77,0,2,1,2.57,0,20
21,2020,9,30,2321,40.30,98.76,3.78,0,2,1,1.54,0,21
22,2020,9,30,2321,39.54,92.24,3.82,0,2,1,1.58,0,22
23,2020,9,30,2321,38.06,92.84,3.90,0,2,1,2.13,0,27
24,2020,9,30,2321,38.06,92.86,3.90,0,2,1,2.13,0,27
