# 2020  9 30 23 50 UTC  2020 10  1  0 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,9,30,2349,60.00,142.50,2.48,0,3,1,1.01,0,1
2,2020,9,30,2349,60.00,142.52,2.48,0,3,1,1.01,0,1
3,2020,9,30,2349,60.00,145.98,2.48,0,3,3,.80,0,5
4,2020,9,30,2349,60.00,146.00,2.48,0,3,1,.80,0,5
5,2020,9,30,2349,60.00,146.02,2.48,0,3,3,.98,0,5
6,2020,9,30,2349,60.00,146.04,2.48,0,3,3,.98,0,5
7,2020,9,30,2349,57.26,134.90,2.68,0,3,1,.67,0,8
8,2020,9,30,2349,57.24,134.90,2.68,0,3,1,.67,0,8
9,2020,9,30,2349,54.94,136.74,2.85,0,3,1,.55,0,11
10,2020,9,30,2349,54.92,136.74,2.85,0,3,1,.55,0,11
11,2020,9,30,2349,54.90,136.74,2.85,0,3,1,.55,0,11
12,2020,9,30,2349,53.34,132.28,2.96,0,3,3,1.10,2,12
13,2020,9,30,2349,53.32,132.28,2.96,0,3,1,1.10,2,12
14,2020,9,30,2349,52.10,139.94,3.04,0,3,1,.76,0,15
15,2020,9,30,2349,52.08,139.94,3.05,0,3,1,.76,0,15
16,2020,9,30,2349,52.06,133.48,3.05,0,3,1,.67,0,16
17,2020,9,30,2349,51.72,138.52,3.07,0,3,3,1.07,0,18
18,2020,9,30,2349,51.70,138.52,3.07,0,3,1,1.07,0,18
19,2020,9,30,2349,48.48,95.06,3.29,0,1,1,7.88,0,20
20,2020,9,30,2349,48.48,95.08,3.29,0,1,1,7.89,0,20
21,2020,9,30,2349,44.84,129.66,3.51,0,3,3,.89,0,21
22,2020,9,30,2349,44.76,90.18,3.52,0,2,1,1.32,0,26
23,2020,9,30,2349,44.76,90.20,3.52,0,2,1,1.33,0,26
24,2020,9,30,2349,44.74,90.20,3.52,0,2,1,1.33,0,26
25,2020,9,30,2349,44.74,90.22,3.52,0,2,1,1.33,0,26
26,2020,9,30,2349,44.74,90.24,3.52,0,2,1,1.33,0,26
27,2020,9,30,2349,44.50,128.32,3.54,0,3,3,1.53,0,28
28,2020,9,30,2349,44.48,128.32,3.54,0,3,3,1.53,0,28
29,2020,9,30,2349,43.16,129.74,3.62,0,3,3,1.22,2,29
30,2020,9,30,2349,42.86,130.36,3.63,0,3,1,.83,0,31
31,2020,9,30,2349,42.84,130.36,3.63,0,3,1,.83,0,31
32,2020,9,30,2354,40.64,87.40,3.76,0,2,3,1.93,0,32
33,2020,9,30,2354,40.62,87.44,3.76,0,2,3,1.88,0,34
34,2020,9,30,2354,40.62,87.46,3.76,0,2,3,1.88,0,34
35,2020,9,30,2349,40.30,110.02,3.78,0,3,3,.91,0,37
36,2020,9,30,2349,40.28,110.02,3.78,0,3,3,.91,0,37
37,2020,9,30,2349,40.28,110.04,3.78,0,3,3,.91,0,37
38,2020,9,30,2354,39.54,92.98,3.82,0,2,1,1.68,0,38
39,2020,9,30,2354,37.78,90.86,3.92,0,2,1,1.13,0,39
40,2020,9,30,2354,35.98,90.46,4.01,0,1,1,3.35,0,41
41,2020,9,30,2354,35.98,90.48,4.01,0,1,1,3.35,0,41
42,2020,9,30,2354,35.90,128.56,4.02,0,3,3,1.41,0,44
43,2020,9,30,2354,35.90,128.58,4.02,0,3,3,.94,0,44
44,2020,9,30,2354,35.88,128.54,4.02,0,3,3,1.44,2,44
45,2020,9,30,2354,35.88,128.56,4.02,0,3,3,1.36,0,44
46,2020,9,30,2354,35.88,128.58,4.02,0,3,3,1.08,0,44
47,2020,9,30,2354,35.86,128.50,4.02,0,3,1,1.69,2,47
48,2020,9,30,2354,35.86,128.54,4.02,0,3,3,1.44,2,44
49,2020,9,30,2354,35.86,128.56,4.02,0,3,3,1.36,0,44
50,2020,9,30,2354,35.86,128.58,4.02,0,3,3,1.08,0,44
51,2020,9,30,2354,35.84,128.50,4.02,0,3,1,1.69,2,47
52,2020,9,30,2354,35.84,128.54,4.02,0,3,1,.81,0,44
53,2020,9,30,2354,35.82,128.50,4.02,0,3,1,1.67,0,47
54,2020,9,30,2354,35.28,89.40,4.05,0,1,3,3.49,0,54
55,2020,9,30,2354,35.26,89.42,4.05,0,1,1,3.63,0,55
56,2020,9,30,2354,35.22,128.66,4.05,0,3,1,1.65,0,56
57,2020,9,30,2354,35.04,136.88,4.06,0,2,1,3.08,0,57
58,2020,9,30,2354,34.60,90.76,4.08,0,1,3,4.75,0,58
59,2020,9,30,2354,34.52,82.98,4.08,0,2,1,1.43,0,60
60,2020,9,30,2354,34.52,83.00,4.08,0,2,1,1.43,0,60
61,2020,9,30,2354,34.46,90.94,4.09,0,1,3,2.46,0,61
62,2020,9,30,2354,34.36,89.56,4.09,0,1,3,2.44,0,64
63,2020,9,30,2354,34.36,89.58,4.09,0,1,3,2.45,0,64
64,2020,9,30,2354,34.36,89.60,4.09,0,1,3,2.45,0,64
65,2020,9,30,2354,34.16,131.44,4.10,0,3,1,1.56,0,65
66,2020,9,30,2354,34.14,90.10,4.10,0,2,5,2.51,0,67
67,2020,9,30,2354,34.14,90.12,4.10,0,2,5,2.51,0,67
68,2020,9,30,2354,34.10,85.42,4.10,0,1,3,5.24,0,70
69,2020,9,30,2354,34.10,85.44,4.10,0,1,3,5.24,0,70
70,2020,9,30,2354,34.10,85.46,4.10,0,1,3,5.24,0,70
71,2020,9,30,2354,34.08,85.48,4.11,0,2,3,3.79,0,71
72,2020,9,30,2354,34.08,131.76,4.11,0,3,1,1.34,0,72
73,2020,9,30,2354,34.08,131.78,4.11,0,3,1,1.34,0,72
74,2020,9,30,2354,34.00,85.14,4.11,0,2,3,2.37,0,79
75,2020,9,30,2354,34.00,85.16,4.11,0,2,1,2.37,0,79
76,2020,9,30,2354,34.00,85.18,4.11,0,2,3,2.37,0,79
77,2020,9,30,2354,34.00,86.28,4.11,0,2,1,2.25,0,77
78,2020,9,30,2354,33.98,85.18,4.11,0,2,3,2.37,0,79
79,2020,9,30,2354,33.98,85.20,4.11,0,2,3,2.38,0,79
80,2020,9,30,2354,33.98,87.88,4.11,0,2,3,1.54,0,83
81,2020,9,30,2354,33.98,87.90,4.11,0,2,3,1.54,0,83
82,2020,9,30,2354,33.96,87.90,4.11,0,2,3,1.54,0,83
83,2020,9,30,2354,33.96,87.92,4.11,0,2,3,1.54,0,83
84,2020,9,30,2354,33.92,91.04,4.11,0,1,3,2.67,0,85
85,2020,9,30,2354,33.92,91.06,4.11,0,1,3,2.67,0,85
86,2020,9,30,2354,33.80,90.48,4.12,0,1,3,3.39,0,86
87,2020,9,30,2354,33.78,90.50,4.12,0,2,3,2.30,0,87
88,2020,9,30,2354,33.78,90.52,4.12,0,2,3,2.16,0,87
89,2020,9,30,2354,33.74,135.38,4.12,0,3,1,1.43,0,89
90,2020,9,30,2354,33.18,84.94,4.15,0,2,1,.71,0,90
91,2020,9,30,2354,33.16,93.08,4.15,0,1,1,4.41,0,91
92,2020,9,30,2354,33.00,84.30,4.16,0,2,3,2.04,0,94
93,2020,9,30,2354,33.00,84.32,4.16,0,2,3,2.05,0,94
94,2020,9,30,2354,33.00,84.34,4.16,0,2,3,2.05,0,94
95,2020,9,30,2354,32.86,82.06,4.16,0,2,1,1.52,0,97
96,2020,9,30,2354,32.86,82.08,4.16,0,2,1,1.52,0,97
97,2020,9,30,2354,32.86,82.10,4.16,0,2,3,1.52,0,97
98,2020,9,30,2354,32.78,84.06,4.17,0,2,3,2.74,0,100
99,2020,9,30,2354,32.78,84.08,4.17,0,2,3,2.75,0,100
