# 2020 10  1 21 20 UTC  2020 10  1 22  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,1,2123,58.08,106.46,2.62,0,3,1,4.77,0,1
2,2020,10,1,2123,58.06,106.48,2.62,0,3,1,5.09,0,6
3,2020,10,1,2123,58.06,106.50,2.62,0,3,1,5.09,0,6
4,2020,10,1,2123,58.06,106.52,2.62,0,3,1,5.09,0,6
5,2020,10,1,2123,58.04,106.50,2.62,0,3,1,5.09,0,6
6,2020,10,1,2123,58.04,106.52,2.62,0,3,1,5.09,0,6
7,2020,10,1,2123,58.04,106.54,2.62,0,3,1,5.09,0,6
8,2020,10,1,2123,57.90,105.84,2.63,0,3,1,4.25,0,10
9,2020,10,1,2123,57.90,105.86,2.63,0,3,1,4.25,0,10
10,2020,10,1,2123,57.88,105.86,2.64,0,3,1,4.25,0,10
11,2020,10,1,2123,57.88,105.88,2.64,0,3,1,4.25,0,10
12,2020,10,1,2123,47.10,87.84,3.37,0,2,1,1.26,0,12
13,2020,10,1,2123,47.08,87.88,3.38,0,2,3,1.97,0,13
14,2020,10,1,2123,44.76,90.18,3.52,0,2,1,4.90,0,18
15,2020,10,1,2123,44.76,90.20,3.52,0,2,1,4.90,0,18
16,2020,10,1,2123,44.74,90.20,3.52,0,2,1,4.90,0,18
17,2020,10,1,2123,44.74,90.22,3.52,0,2,1,4.90,0,18
18,2020,10,1,2123,44.74,90.24,3.52,0,2,1,4.90,0,18
19,2020,10,1,2123,42.48,110.62,3.66,0,2,5,3.50,0,21
20,2020,10,1,2123,42.48,110.64,3.66,0,2,5,3.50,0,21
21,2020,10,1,2123,42.46,110.64,3.66,0,2,5,3.50,0,21
22,2020,10,1,2123,42.44,110.66,3.66,0,2,1,2.22,0,22
23,2020,10,1,2123,40.66,122.56,3.76,0,2,1,2.04,0,23
24,2020,10,1,2123,40.64,109.70,3.76,0,2,1,2.35,0,25
25,2020,10,1,2123,40.64,109.72,3.76,0,2,1,4.76,0,25
26,2020,10,1,2123,40.64,109.74,3.76,0,2,1,4.76,0,25
27,2020,10,1,2123,40.64,122.56,3.76,0,2,1,2.04,0,23
28,2020,10,1,2123,40.56,120.14,3.77,0,2,3,3.31,0,28
29,2020,10,1,2123,40.56,120.16,3.77,0,2,3,3.31,0,28
30,2020,10,1,2123,40.54,141.50,3.77,0,2,1,5.59,0,30
31,2020,10,1,2123,40.42,113.16,3.77,0,2,1,1.07,0,31
32,2020,10,1,2123,40.40,115.78,3.77,0,1,1,4.93,0,32
33,2020,10,1,2123,40.26,106.84,3.78,0,2,1,2.64,0,34
34,2020,10,1,2123,40.26,106.86,3.78,0,2,1,2.64,0,34
35,2020,10,1,2123,39.96,118.54,3.80,0,2,1,1.96,0,35
36,2020,10,1,2123,39.22,108.94,3.84,0,2,1,1.97,0,36
37,2020,10,1,2123,39.22,108.96,3.84,0,2,1,1.97,0,36
38,2020,10,1,2123,38.52,102.16,3.88,0,2,1,1.66,0,39
39,2020,10,1,2123,38.52,102.18,3.88,0,2,1,1.66,0,39
40,2020,10,1,2123,38.16,90.70,3.90,0,1,1,3.71,0,42
41,2020,10,1,2123,38.16,90.72,3.90,0,1,3,3.71,0,42
42,2020,10,1,2123,38.16,90.74,3.90,0,1,1,3.71,0,42
43,2020,10,1,2123,36.76,88.86,3.97,0,2,1,.83,0,47
44,2020,10,1,2123,36.76,88.88,3.97,0,2,1,.84,0,47
45,2020,10,1,2123,36.74,88.88,3.97,0,2,1,.84,0,47
46,2020,10,1,2123,36.74,88.90,3.97,0,2,1,.84,0,47
47,2020,10,1,2123,36.74,88.92,3.97,0,2,1,.84,0,47
48,2020,10,1,2123,35.60,97.06,4.03,0,2,3,1.07,0,48
49,2020,10,1,2123,35.30,90.74,4.05,0,2,1,2.94,0,52
