# 2020 10  3  6 10 UTC  2020 10  3  6 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,3,0611,54.36,103.38,2.89,0,1,3,57.35,0,1
2,2020,10,3,0611,54.34,103.40,2.89,0,2,3,23.19,0,4
3,2020,10,3,0611,54.34,103.42,2.89,0,2,3,23.19,0,4
4,2020,10,3,0611,54.32,103.42,2.89,0,2,3,23.19,0,4
5,2020,10,3,0611,54.32,103.44,2.89,0,2,3,22.86,0,4
6,2020,10,3,0611,43.92,126.56,3.57,0,3,1,.71,0,7
7,2020,10,3,0611,43.90,126.56,3.57,0,3,1,.71,0,7
8,2020,10,3,0611,43.86,126.54,3.57,0,1,1,4.15,0,8
9,2020,10,3,0611,43.80,126.56,3.58,0,2,1,.90,0,9
10,2020,10,3,0611,43.78,126.58,3.58,0,3,1,.91,0,10
11,2020,10,3,0611,43.74,127.30,3.58,0,2,1,1.58,0,12
12,2020,10,3,0611,43.74,127.32,3.58,0,2,1,1.58,0,12
13,2020,10,3,0611,43.36,128.20,3.60,0,2,3,1.59,0,15
14,2020,10,3,0611,43.36,128.22,3.60,0,2,3,1.59,0,15
15,2020,10,3,0611,43.34,128.22,3.60,0,2,3,1.59,0,15
16,2020,10,3,0611,42.90,129.50,3.63,0,2,1,1.46,0,16
17,2020,10,3,0611,42.56,103.72,3.65,0,3,1,1.75,0,22
18,2020,10,3,0611,42.56,103.74,3.65,0,3,1,1.93,0,22
19,2020,10,3,0611,42.56,103.76,3.65,0,3,1,1.93,0,22
20,2020,10,3,0611,42.54,103.72,3.65,0,3,1,1.75,0,22
21,2020,10,3,0611,42.54,103.74,3.65,0,3,1,1.75,0,22
22,2020,10,3,0611,42.54,103.76,3.65,0,3,1,1.93,0,22
23,2020,10,3,0611,42.34,127.26,3.66,0,3,1,1.40,0,23
24,2020,10,3,0611,42.18,127.48,3.67,0,3,1,1.19,0,24
25,2020,10,3,0611,42.16,127.48,3.67,0,3,1,1.06,0,24
26,2020,10,3,0611,42.16,127.50,3.67,0,3,1,1.06,0,24
27,2020,10,3,0611,42.10,121.80,3.68,0,3,3,1.53,0,29
28,2020,10,3,0611,42.08,121.80,3.68,0,3,3,1.53,0,29
29,2020,10,3,0611,42.08,121.82,3.68,0,3,3,1.53,0,29
30,2020,10,3,0611,42.06,121.78,3.68,0,3,1,1.00,0,30
31,2020,10,3,0611,41.84,122.30,3.69,0,2,3,3.93,0,31
32,2020,10,3,0611,41.28,119.38,3.72,0,1,1,5.85,0,33
33,2020,10,3,0611,41.28,119.40,3.72,0,1,1,5.85,0,33
34,2020,10,3,0611,41.26,119.40,3.73,0,1,1,5.85,0,33
35,2020,10,3,0611,40.64,109.72,3.76,0,2,1,25.90,0,35
36,2020,10,3,0611,40.64,109.74,3.76,0,2,1,25.90,0,35
37,2020,10,3,0611,40.54,110.36,3.77,0,2,3,4.84,0,37
38,2020,10,3,0611,40.54,110.38,3.77,0,2,3,4.84,0,37
39,2020,10,3,0611,27.38,118.08,4.40,0,3,1,2.58,0,39
40,2020,10,3,0611,27.38,118.10,4.40,0,3,1,2.58,0,39
41,2020,10,3,0611,27.36,118.10,4.40,0,3,1,2.17,0,39
42,2020,10,3,0611,27.34,118.10,4.40,0,3,3,1.80,0,39
43,2020,10,3,0611,27.06,118.30,4.41,0,3,1,1.98,0,43
44,2020,10,3,0611,27.04,118.32,4.41,0,3,1,1.97,0,44
45,2020,10,3,0611,26.42,117.76,4.44,0,3,1,3.57,0,45
