# 2020 10  5  9 20 UTC  2020 10  5 10  5 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,5,0923,58.48,107.52,2.59,0,2,1,4.47,0,2
2,2020,10,5,0923,58.48,107.54,2.59,0,2,1,4.47,0,2
3,2020,10,5,0923,58.48,107.56,2.59,0,2,1,4.47,0,2
4,2020,10,5,0923,58.46,107.54,2.59,0,2,1,4.39,0,2
5,2020,10,5,0923,58.46,107.56,2.59,0,2,1,4.39,0,2
6,2020,10,5,0923,58.46,107.58,2.59,0,2,1,4.39,0,2
7,2020,10,5,0923,58.44,107.58,2.59,0,2,1,4.40,0,2
8,2020,10,5,0923,58.44,107.60,2.59,0,2,1,4.40,0,2
9,2020,10,5,0923,58.08,106.46,2.62,0,2,1,6.24,0,9
10,2020,10,5,0923,58.06,106.48,2.62,0,2,1,5.75,0,15
11,2020,10,5,0923,58.06,106.50,2.62,0,2,1,5.75,0,15
12,2020,10,5,0923,58.06,106.52,2.62,0,2,1,5.76,0,15
13,2020,10,5,0923,58.04,106.50,2.62,0,2,1,5.76,0,15
14,2020,10,5,0923,58.04,106.52,2.62,0,2,1,5.76,0,15
15,2020,10,5,0923,58.04,106.54,2.62,0,2,1,5.76,0,15
16,2020,10,5,0923,58.00,106.78,2.63,0,3,1,1.26,0,16
17,2020,10,5,0923,58.00,106.80,2.63,0,3,1,1.26,0,16
18,2020,10,5,0923,57.98,106.82,2.63,0,3,1,1.39,0,21
19,2020,10,5,0923,57.98,106.84,2.63,0,3,1,1.39,0,21
20,2020,10,5,0923,57.96,106.84,2.63,0,3,1,1.40,0,21
21,2020,10,5,0923,57.96,106.86,2.63,0,3,1,1.40,0,21
22,2020,10,5,0923,54.70,100.70,2.86,0,2,3,1.28,0,22
23,2020,10,5,0923,54.70,100.72,2.86,0,2,3,1.16,0,22
24,2020,10,5,0923,54.68,100.72,2.87,0,2,3,1.17,0,22
25,2020,10,5,0923,54.68,100.74,2.87,0,2,3,1.17,0,22
26,2020,10,5,0923,54.68,100.76,2.87,0,2,3,1.17,0,22
27,2020,10,5,0923,54.28,101.34,2.89,0,2,3,5.37,0,34
28,2020,10,5,0923,54.28,101.36,2.89,0,2,3,5.38,0,34
29,2020,10,5,0923,54.28,101.38,2.89,0,2,3,2.72,0,34
30,2020,10,5,0923,54.28,101.40,2.89,0,2,3,2.72,0,34
31,2020,10,5,0923,54.28,101.42,2.89,0,2,3,2.73,0,34
32,2020,10,5,0923,54.26,101.36,2.90,0,2,3,5.38,0,34
33,2020,10,5,0923,54.26,101.38,2.90,0,2,3,5.38,0,34
34,2020,10,5,0923,54.26,101.40,2.90,0,2,3,5.38,0,34
35,2020,10,5,0923,54.26,101.42,2.90,0,2,3,2.73,0,34
36,2020,10,5,0923,54.26,101.44,2.90,0,2,3,2.73,0,34
37,2020,10,5,0923,54.24,101.44,2.90,0,2,3,2.73,0,34
38,2020,10,5,0923,54.24,101.46,2.90,0,2,3,2.73,0,34
39,2020,10,5,0923,53.98,102.36,2.91,0,2,3,1.02,0,42
40,2020,10,5,0923,53.98,102.38,2.91,0,2,3,1.02,0,42
41,2020,10,5,0923,53.96,102.38,2.92,0,2,3,1.03,0,42
42,2020,10,5,0923,53.96,102.40,2.92,0,2,3,1.03,0,42
43,2020,10,5,0923,53.94,102.28,2.92,0,2,3,1.27,0,46
44,2020,10,5,0923,53.94,102.30,2.92,0,2,3,1.27,0,46
45,2020,10,5,0923,53.92,102.30,2.92,0,2,3,1.28,0,46
