# 2020 10  6  9 30 UTC  2020 10  6 10 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,6,0928,59.62,143.02,2.51,0,2,3,1.00,0,3
2,2020,10,6,0928,59.62,143.04,2.51,0,2,3,1.00,0,3
3,2020,10,6,0928,59.60,143.02,2.51,0,2,3,1.00,0,3
4,2020,10,6,0928,59.60,143.04,2.51,0,2,3,1.00,0,3
5,2020,10,6,0928,59.56,151.48,2.51,0,2,3,1.30,0,5
6,2020,10,6,0928,59.56,151.50,2.51,0,2,3,1.30,0,5
7,2020,10,6,0928,59.20,153.82,2.54,0,2,1,1.34,0,7
8,2020,10,6,0928,59.20,153.84,2.54,0,2,1,1.34,0,7
9,2020,10,6,0928,53.98,102.36,2.91,0,2,5,2.48,0,12
10,2020,10,6,0928,53.98,102.38,2.91,0,2,5,2.48,0,12
11,2020,10,6,0928,53.96,102.38,2.92,0,2,5,2.48,0,12
12,2020,10,6,0928,53.96,102.40,2.92,0,2,5,2.49,0,12
13,2020,10,6,0934,44.04,124.90,3.56,0,2,1,1.48,0,13
14,2020,10,6,0934,42.72,126.12,3.64,0,2,3,1.32,0,15
15,2020,10,6,0934,42.72,126.14,3.64,0,2,3,1.35,0,15
16,2020,10,6,0934,42.72,126.16,3.64,0,2,3,1.35,0,15
17,2020,10,6,0934,41.70,120.98,3.70,0,1,1,6.11,0,17
18,2020,10,6,0934,41.70,121.00,3.70,0,1,1,6.11,0,17
19,2020,10,6,0934,41.30,125.42,3.72,0,2,1,2.99,0,19
20,2020,10,6,0934,41.28,125.42,3.72,0,2,1,2.99,0,19
21,2020,10,6,0934,41.28,125.44,3.72,0,2,1,2.99,0,19
22,2020,10,6,0934,41.14,122.98,3.73,0,2,1,4.07,0,22
23,2020,10,6,0934,41.12,122.08,3.73,0,2,1,1.14,0,23
24,2020,10,6,0934,41.12,122.98,3.73,0,2,1,4.07,0,22
25,2020,10,6,0934,41.12,123.00,3.73,0,2,1,4.07,0,22
26,2020,10,6,0934,40.66,122.56,3.76,0,2,1,2.93,0,26
27,2020,10,6,0934,40.64,122.56,3.76,0,2,1,2.93,0,26
28,2020,10,6,0934,40.54,127.22,3.77,0,2,1,2.43,0,28
29,2020,10,6,0934,36.00,129.38,4.01,0,1,1,8.23,0,29
30,2020,10,6,0934,36.00,129.40,4.01,0,1,1,8.23,0,29
31,2020,10,6,0934,35.22,100.92,4.05,0,2,1,2.11,0,31
32,2020,10,6,0934,35.04,136.86,4.06,0,2,1,3.44,0,32
33,2020,10,6,0934,34.46,133.44,4.09,0,2,1,6.27,0,33
34,2020,10,6,0934,34.20,132.52,4.10,0,2,1,3.32,0,34
35,2020,10,6,0934,34.20,132.54,4.10,0,2,1,3.32,0,34
36,2020,10,6,0934,34.10,117.52,4.10,0,2,1,.86,0,36
37,2020,10,6,0934,34.08,117.28,4.11,0,3,3,.43,0,37
38,2020,10,6,0934,32.72,118.58,4.17,0,2,3,1.25,0,38
39,2020,10,6,0934,31.44,119.50,4.23,0,2,3,.66,0,39
40,2020,10,6,0934,30.62,119.54,4.27,0,2,1,3.65,0,43
41,2020,10,6,0934,30.60,119.54,4.27,0,2,3,3.65,0,43
42,2020,10,6,0934,30.60,119.56,4.27,0,2,1,2.47,0,43
43,2020,10,6,0934,30.58,119.54,4.27,0,2,3,5.37,0,43
44,2020,10,6,0934,27.10,120.10,4.41,0,1,3,3.07,0,44
45,2020,10,6,0934,3.14,102.62,4.95,0,2,1,8.61,0,45
46,2020,10,6,0934,3.14,102.64,4.95,0,2,3,8.59,0,45
47,2020,10,6,0934,.40,111.32,4.96,0,2,3,19.03,0,47
48,2020,10,6,0934,-1.46,127.44,4.95,0,2,3,5.53,0,48
49,2020,10,6,0934,-3.72,138.88,4.95,0,1,1,7.64,0,49
50,2020,10,6,0934,-4.56,105.74,4.94,0,2,5,5.61,0,50
51,2020,10,6,0934,-9.70,119.80,4.89,0,2,1,4.52,0,51
52,2020,10,6,0934,-10.02,120.50,4.88,0,2,3,6.85,0,52
53,2020,10,6,0934,-10.02,120.52,4.88,0,2,3,4.08,0,52
54,2020,10,6,0939,-11.68,132.76,4.85,0,2,3,3.38,0,54
55,2020,10,6,0939,-11.68,132.78,4.85,0,2,3,2.71,0,54
56,2020,10,6,0939,-11.72,132.76,4.85,0,2,3,2.14,0,56
57,2020,10,6,0939,-12.36,142.72,4.84,0,2,5,18.69,0,58
58,2020,10,6,0939,-12.36,142.74,4.84,0,2,5,32.22,0,58
59,2020,10,6,0939,-12.36,142.76,4.84,0,2,5,10.32,0,58
60,2020,10,6,0939,-12.42,142.80,4.84,0,2,1,5.38,0,60
61,2020,10,6,0939,-12.46,142.78,4.84,0,2,3,8.00,0,62
62,2020,10,6,0939,-12.48,142.78,4.84,0,2,3,8.32,0,62
63,2020,10,6,0939,-12.50,142.76,4.84,0,2,3,8.52,0,64
64,2020,10,6,0939,-12.52,142.74,4.84,0,2,3,9.34,0,64
65,2020,10,6,0939,-12.52,142.76,4.84,0,2,3,7.08,0,64
66,2020,10,6,0939,-12.54,142.32,4.84,0,2,3,2.37,0,67
67,2020,10,6,0939,-12.56,142.32,4.84,0,2,5,4.71,0,67
68,2020,10,6,0939,-12.72,141.88,4.83,0,2,1,2.47,0,68
69,2020,10,6,0939,-12.80,132.80,4.83,0,2,3,12.87,0,71
70,2020,10,6,0939,-12.80,143.28,4.83,0,2,3,5.08,0,70
71,2020,10,6,0939,-12.82,132.78,4.83,0,2,3,22.90,0,71
72,2020,10,6,0939,-12.82,132.80,4.83,0,2,3,15.75,0,71
73,2020,10,6,0939,-13.12,141.68,4.83,0,2,1,2.45,0,74
74,2020,10,6,0939,-13.14,141.66,4.83,0,2,3,4.45,0,74
75,2020,10,6,0939,-13.14,141.68,4.83,0,2,3,3.42,0,74
76,2020,10,6,0939,-13.22,141.90,4.83,0,2,3,2.63,0,77
77,2020,10,6,0939,-13.24,141.90,4.82,0,2,3,3.20,0,77
78,2020,10,6,0939,-13.24,141.92,4.82,0,2,3,2.37,0,77
79,2020,10,6,0939,-13.82,133.06,4.81,0,1,3,41.02,0,79
80,2020,10,6,0939,-14.04,131.18,4.81,0,2,3,3.26,0,80
81,2020,10,6,0939,-14.10,134.14,4.81,0,1,3,10.47,0,81
82,2020,10,6,0939,-14.72,144.62,4.79,0,2,5,20.88,0,82
83,2020,10,6,0939,-14.72,144.64,4.79,0,2,3,5.49,0,82
84,2020,10,6,0939,-14.74,144.62,4.79,0,2,3,5.66,0,82
85,2020,10,6,0939,-14.82,144.70,4.79,0,2,3,6.20,0,86
86,2020,10,6,0939,-14.82,144.72,4.79,0,2,5,9.28,0,86
87,2020,10,6,0939,-14.84,144.72,4.79,0,2,3,5.08,0,86
88,2020,10,6,0939,-14.84,144.76,4.79,0,2,5,10.83,0,88
89,2020,10,6,0939,-14.84,144.78,4.79,0,2,3,6.98,0,88
90,2020,10,6,0939,-15.24,142.22,4.78,0,2,5,11.42,0,92
91,2020,10,6,0939,-15.26,142.20,4.78,0,2,5,5.23,0,92
92,2020,10,6,0939,-15.26,142.22,4.78,0,2,5,52.34,0,92
93,2020,10,6,0939,-15.26,142.24,4.78,0,2,5,8.43,0,92
94,2020,10,6,0939,-15.28,142.22,4.78,0,2,5,26.30,0,92
95,2020,10,6,0939,-15.28,142.24,4.78,0,3,5,6.15,0,92
96,2020,10,6,0939,-15.40,142.42,4.78,0,2,3,3.16,0,96
97,2020,10,6,0939,-15.40,144.98,4.78,0,2,5,4.56,0,97
98,2020,10,6,0939,-15.40,145.00,4.78,0,2,3,3.33,0,97
99,2020,10,6,0939,-15.46,133.56,4.78,0,1,3,9.04,0,99
100,2020,10,6,0939,-16.00,133.50,4.76,0,1,3,8.77,0,100
101,2020,10,6,0939,-16.22,136.90,4.76,0,2,3,2.87,0,101
102,2020,10,6,0939,-16.60,145.36,4.75,0,2,3,5.16,0,102
103,2020,10,6,0939,-17.00,122.60,4.74,0,2,3,3.51,0,103
104,2020,10,6,0939,-17.12,145.28,4.74,0,2,5,18.97,0,105
105,2020,10,6,0939,-17.14,145.28,4.74,0,2,5,35.46,0,105
106,2020,10,6,0939,-17.14,145.30,4.74,0,2,3,5.67,0,105
107,2020,10,6,0939,-17.16,145.28,4.74,0,2,5,14.79,0,105
108,2020,10,6,0939,-17.20,145.28,4.73,0,2,5,11.46,0,108
109,2020,10,6,0939,-17.20,145.30,4.73,0,2,3,5.91,0,108
110,2020,10,6,0939,-17.26,122.84,4.73,0,2,3,2.25,0,110
111,2020,10,6,0939,-18.20,133.04,4.71,0,2,3,3.21,0,111
112,2020,10,6,0939,-18.68,131.88,4.70,0,1,3,19.84,0,112
113,2020,10,6,0939,-18.82,136.48,4.69,0,1,3,20.33,0,113
114,2020,10,6,0939,-19.54,169.44,4.67,0,2,1,3.67,0,114
115,2020,10,6,0939,-20.66,131.34,4.64,0,2,3,1.31,0,115
116,2020,10,6,0939,-21.24,115.88,4.62,0,2,1,2.35,0,116
117,2020,10,6,0939,-21.26,115.86,4.62,0,3,1,1.55,0,117
118,2020,10,6,0939,-21.26,131.20,4.62,0,1,3,5.36,0,118
119,2020,10,6,0939,-21.28,119.02,4.62,0,2,3,2.07,0,120
120,2020,10,6,0939,-21.28,119.04,4.62,0,2,5,3.39,0,120
121,2020,10,6,0939,-21.76,148.64,4.60,0,2,3,4.53,0,124
122,2020,10,6,0939,-21.76,148.66,4.60,0,2,5,6.98,0,124
123,2020,10,6,0939,-21.78,148.64,4.60,0,2,5,12.25,0,124
124,2020,10,6,0939,-21.78,148.66,4.60,0,2,5,18.53,0,124
125,2020,10,6,0939,-22.14,123.02,4.59,0,1,1,4.60,0,125
126,2020,10,6,0939,-22.68,150.10,4.57,0,2,5,4.04,0,126
127,2020,10,6,0939,-22.70,150.10,4.57,0,2,3,3.08,0,126
128,2020,10,6,0939,-23.34,115.60,4.55,0,2,5,7.88,0,128
129,2020,10,6,0939,-23.34,115.62,4.55,0,2,3,5.03,0,128
130,2020,10,6,0939,-23.34,115.64,4.55,0,2,3,5.03,0,128
131,2020,10,6,0939,-23.50,149.60,4.55,0,2,3,4.68,0,131
132,2020,10,6,0939,-23.52,149.60,4.54,0,2,5,3.80,0,131
133,2020,10,6,0939,-23.72,151.18,4.54,0,2,5,4.51,0,134
134,2020,10,6,0939,-23.74,151.18,4.54,0,2,5,7.18,0,134
135,2020,10,6,0939,-23.76,151.18,4.54,0,2,3,6.17,0,134
136,2020,10,6,0939,-24.20,146.06,4.52,0,2,5,5.13,0,136
137,2020,10,6,0939,-24.66,152.10,4.50,0,2,3,3.22,0,137
138,2020,10,6,0939,-25.12,149.66,4.49,0,2,3,7.23,0,141
139,2020,10,6,0939,-25.12,149.68,4.49,0,2,5,10.78,0,141
140,2020,10,6,0939,-25.14,149.66,4.49,0,2,3,7.23,0,141
141,2020,10,6,0939,-25.14,149.68,4.49,0,2,5,10.78,0,141
142,2020,10,6,0939,-25.16,149.68,4.49,0,2,3,4.85,0,141
143,2020,10,6,0939,-25.24,149.46,4.48,0,2,3,2.83,0,143
144,2020,10,6,0939,-25.24,149.66,4.48,0,2,5,9.95,0,144
145,2020,10,6,0939,-25.26,149.42,4.48,0,2,3,3.33,0,145
146,2020,10,6,0939,-25.38,150.92,4.48,0,2,3,3.94,0,147
147,2020,10,6,0939,-25.38,150.94,4.48,0,2,3,4.92,0,147
148,2020,10,6,0939,-25.40,148.30,4.48,0,2,3,2.73,0,149
149,2020,10,6,0939,-25.40,148.32,4.48,0,2,3,2.94,0,149
150,2020,10,6,0939,-25.40,150.92,4.48,0,2,3,2.21,0,147
151,2020,10,6,0939,-25.40,150.94,4.48,0,2,3,2.21,0,147
152,2020,10,6,0939,-25.44,149.12,4.48,0,2,5,6.46,0,152
153,2020,10,6,0939,-25.44,149.94,4.48,0,2,5,7.43,0,153
154,2020,10,6,0939,-25.46,149.14,4.48,0,2,3,1.91,0,155
155,2020,10,6,0939,-25.46,149.16,4.48,0,2,3,3.38,0,155
156,2020,10,6,0939,-25.66,150.90,4.47,0,2,3,2.65,0,157
157,2020,10,6,0939,-25.66,150.92,4.47,0,2,5,4.06,0,157
158,2020,10,6,0939,-25.66,150.94,4.47,0,2,3,3.03,0,157
159,2020,10,6,0939,-25.72,150.30,4.47,0,2,5,6.44,0,160
160,2020,10,6,0939,-25.72,150.32,4.47,0,2,5,6.44,0,160
161,2020,10,6,0939,-25.72,150.34,4.47,0,2,5,5.00,0,160
162,2020,10,6,0939,-25.74,150.32,4.46,0,2,3,3.09,0,160
163,2020,10,6,0939,-25.74,150.34,4.46,0,2,3,2.36,0,160
164,2020,10,6,0939,-25.76,148.58,4.46,0,2,5,8.08,0,165
165,2020,10,6,0939,-25.76,148.60,4.46,0,2,5,8.51,0,165
166,2020,10,6,0939,-25.96,123.08,4.46,0,2,1,1.79,0,166
167,2020,10,6,0939,-26.00,151.26,4.45,0,2,3,2.60,0,168
168,2020,10,6,0939,-26.02,151.26,4.45,0,2,3,3.68,0,168
169,2020,10,6,0939,-26.06,147.02,4.45,0,2,3,2.78,0,170
170,2020,10,6,0939,-26.06,147.04,4.45,0,2,3,2.81,0,170
171,2020,10,6,0939,-26.08,148.16,4.45,0,2,5,6.53,0,174
172,2020,10,6,0939,-26.08,148.18,4.45,0,2,5,6.53,0,174
173,2020,10,6,0939,-26.08,148.20,4.45,0,2,5,5.34,0,174
174,2020,10,6,0939,-26.10,148.18,4.45,0,2,5,6.53,0,174
175,2020,10,6,0939,-26.10,148.20,4.45,0,2,5,5.35,0,174
176,2020,10,6,0939,-26.16,151.16,4.45,0,2,1,1.79,0,176
177,2020,10,6,0939,-26.36,149.58,4.44,0,2,5,13.98,0,177
178,2020,10,6,0939,-26.36,149.60,4.44,0,2,5,10.09,0,177
179,2020,10,6,0939,-26.38,149.58,4.44,0,2,5,11.03,0,177
180,2020,10,6,0939,-26.38,149.60,4.44,0,2,5,9.80,0,177
181,2020,10,6,0939,-26.68,123.18,4.43,0,1,1,4.29,0,181
182,2020,10,6,0939,-26.70,123.18,4.43,0,2,1,2.41,0,181
183,2020,10,6,0939,-26.70,123.22,4.43,0,1,3,4.67,0,184
184,2020,10,6,0939,-26.72,123.22,4.43,0,1,1,7.54,0,184
185,2020,10,6,0939,-26.72,123.24,4.43,0,1,3,4.67,0,184
186,2020,10,6,0939,-26.74,123.24,4.43,0,1,3,5.27,0,184
187,2020,10,6,0939,-27.16,149.48,4.41,0,2,1,1.98,0,189
188,2020,10,6,0939,-27.18,130.90,4.41,0,2,3,3.65,0,188
189,2020,10,6,0939,-27.18,149.48,4.41,0,2,3,2.61,0,189
190,2020,10,6,0939,-27.22,150.38,4.41,0,2,5,15.44,0,190
191,2020,10,6,0939,-27.22,150.40,4.41,0,2,3,2.56,0,190
192,2020,10,6,0939,-27.24,150.38,4.41,0,2,5,5.44,0,190
193,2020,10,6,0939,-27.34,150.96,4.40,0,1,3,9.21,0,193
194,2020,10,6,0939,-27.34,150.98,4.40,0,2,5,8.55,0,193
195,2020,10,6,0939,-27.36,150.96,4.40,0,2,5,6.17,0,193
196,2020,10,6,0939,-27.36,150.98,4.40,0,2,5,8.88,0,193
197,2020,10,6,0939,-27.80,150.74,4.38,0,2,5,3.99,0,198
198,2020,10,6,0939,-27.80,150.76,4.38,0,2,5,3.99,0,198
199,2020,10,6,0939,-28.06,148.58,4.37,0,2,1,2.22,0,200
200,2020,10,6,0939,-28.08,148.58,4.37,0,2,3,2.22,0,200
201,2020,10,6,0939,-28.24,147.60,4.37,0,2,5,3.63,0,201
202,2020,10,6,0939,-28.26,147.60,4.37,0,2,5,3.28,0,201
203,2020,10,6,0939,-28.80,120.84,4.34,0,2,1,2.99,0,203
204,2020,10,6,0939,-28.80,120.86,4.34,0,2,3,1.98,0,203
205,2020,10,6,0939,-28.80,120.88,4.34,0,2,3,1.98,0,203
