# 2020 10  9 23 30 UTC  2020 10 10  0 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,9,2332,59.68,142.98,2.50,0,2,1,1.76,0,2
2,2020,10,9,2332,59.68,143.00,2.50,0,2,1,1.76,0,2
3,2020,10,9,2332,41.28,123.72,3.72,0,2,1,1.48,0,4
4,2020,10,9,2332,41.26,123.72,3.73,0,2,1,1.48,0,4
5,2020,10,9,2332,40.12,94.92,3.79,0,1,1,1.95,0,8
6,2020,10,9,2332,40.12,94.94,3.79,0,1,1,1.95,0,8
7,2020,10,9,2332,40.10,94.94,3.79,0,1,1,1.95,0,8
8,2020,10,9,2332,40.10,94.96,3.79,0,1,1,1.95,0,8
9,2020,10,9,2332,39.04,97.40,3.85,0,1,1,2.88,0,9
10,2020,10,9,2332,38.94,93.86,3.86,0,2,1,3.66,0,10
11,2020,10,9,2332,37.14,96.82,3.95,0,1,1,8.51,0,11
12,2020,10,9,2332,36.88,98.38,3.96,0,1,3,5.36,0,13
13,2020,10,9,2332,36.88,98.40,3.96,0,1,1,5.36,0,13
14,2020,10,9,2332,36.04,93.16,4.01,0,1,1,4.61,0,15
15,2020,10,9,2332,36.04,93.18,4.01,0,1,1,4.61,0,15
16,2020,10,9,2332,34.84,92.14,4.07,0,1,1,5.43,0,16
17,2020,10,9,2332,34.84,92.16,4.07,0,2,1,1.40,0,16
18,2020,10,9,2332,34.84,92.18,4.07,0,2,1,1.41,0,16
19,2020,10,9,2332,34.42,91.42,4.09,0,2,3,.67,0,19
20,2020,10,9,2332,34.42,119.84,4.09,0,2,1,3.98,0,20
21,2020,10,9,2332,34.40,91.44,4.09,0,2,1,1.03,0,25
22,2020,10,9,2332,34.40,91.46,4.09,0,2,3,1.03,0,25
23,2020,10,9,2332,34.40,119.84,4.09,0,2,1,3.98,0,20
24,2020,10,9,2332,34.38,91.46,4.09,0,1,5,3.88,0,25
25,2020,10,9,2332,34.38,91.48,4.09,0,1,5,3.88,0,25
26,2020,10,9,2332,34.36,91.48,4.09,0,2,3,1.11,0,25
27,2020,10,9,2332,34.36,91.50,4.09,0,2,3,1.11,0,25
28,2020,10,9,2332,34.36,98.54,4.09,0,2,3,1.06,0,29
29,2020,10,9,2332,34.36,98.56,4.09,0,2,1,1.06,0,29
30,2020,10,9,2332,34.34,91.52,4.09,0,2,3,1.08,0,30
31,2020,10,9,2332,34.00,80.68,4.11,0,2,1,2.89,0,36
32,2020,10,9,2332,34.00,80.70,4.11,0,2,1,2.90,0,36
33,2020,10,9,2332,34.00,80.72,4.11,0,2,1,2.90,0,36
34,2020,10,9,2332,33.98,80.70,4.11,0,2,1,2.90,0,36
35,2020,10,9,2332,33.98,80.72,4.11,0,2,1,2.91,0,36
36,2020,10,9,2332,33.98,80.74,4.11,0,2,1,2.92,0,36
37,2020,10,9,2332,32.94,86.60,4.16,0,2,1,2.31,0,37
38,2020,10,9,2332,32.40,86.94,4.18,0,1,3,2.51,0,39
39,2020,10,9,2332,32.40,86.96,4.18,0,1,3,2.51,0,39
40,2020,10,9,2332,32.24,84.98,4.19,0,1,1,6.79,0,42
41,2020,10,9,2332,32.24,85.00,4.19,0,1,1,6.82,0,42
42,2020,10,9,2332,32.24,85.02,4.19,0,1,1,6.82,0,42
43,2020,10,9,2332,31.98,90.24,4.20,0,1,1,7.69,0,44
44,2020,10,9,2332,31.98,90.26,4.20,0,1,1,7.69,0,44
45,2020,10,9,2332,31.90,89.68,4.21,0,2,1,3.41,0,46
46,2020,10,9,2332,31.90,89.70,4.21,0,2,1,3.41,0,46
47,2020,10,9,2332,31.24,89.06,4.24,0,1,3,6.76,0,54
48,2020,10,9,2332,31.24,89.08,4.24,0,1,3,6.76,0,54
49,2020,10,9,2332,31.24,89.10,4.24,0,1,3,6.76,0,54
