# 2020 10 14 20  0 UTC  2020 10 14 20 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,14,1958,56.14,160.70,2.76,0,2,3,2.17,0,3
2,2020,10,14,1958,56.14,160.72,2.76,0,2,3,2.17,0,3
3,2020,10,14,1958,56.12,160.68,2.76,0,2,3,2.17,0,3
4,2020,10,14,1958,56.12,160.70,2.76,0,2,3,2.17,0,3
5,2020,10,14,1958,53.92,136.68,2.92,0,1,1,4.22,0,5
6,2020,10,14,1958,53.60,137.24,2.94,0,2,3,2.07,0,8
7,2020,10,14,1958,53.60,137.26,2.94,0,2,1,2.07,0,8
8,2020,10,14,1958,53.58,137.24,2.94,0,2,3,2.07,0,8
9,2020,10,14,1958,50.10,95.02,3.18,0,2,3,1.29,0,10
10,2020,10,14,1958,50.10,95.04,3.18,0,2,3,1.29,0,10
11,2020,10,14,1958,50.08,95.06,3.18,0,2,3,1.22,0,12
12,2020,10,14,1958,50.08,95.08,3.18,0,2,3,1.22,0,12
13,2020,10,14,1958,49.98,117.92,3.19,0,2,1,.98,0,15
14,2020,10,14,1958,49.96,117.92,3.19,0,2,1,.98,0,15
15,2020,10,14,1958,49.96,117.94,3.19,0,2,1,.98,0,15
16,2020,10,14,1958,49.94,126.96,3.19,0,2,3,.89,0,18
17,2020,10,14,1958,49.94,126.98,3.19,0,2,1,.89,0,18
18,2020,10,14,1958,49.92,126.98,3.19,0,2,1,.89,0,18
19,2020,10,14,1958,49.90,118.64,3.19,0,2,3,1.03,0,22
20,2020,10,14,1958,49.90,118.66,3.19,0,2,3,1.03,0,22
21,2020,10,14,1958,49.88,118.66,3.19,0,2,3,1.03,0,22
22,2020,10,14,1958,49.88,118.68,3.19,0,2,3,1.03,0,22
23,2020,10,14,1958,49.54,127.06,3.22,0,2,3,.94,0,24
24,2020,10,14,1958,49.54,127.08,3.22,0,2,3,.94,0,24
25,2020,10,14,1958,48.22,119.06,3.30,0,2,3,.68,0,27
26,2020,10,14,1958,48.22,119.08,3.30,0,2,3,.68,0,27
27,2020,10,14,1958,48.20,119.08,3.30,0,2,3,.68,0,27
28,2020,10,14,1958,47.40,127.50,3.36,0,2,3,1.47,0,30
29,2020,10,14,2004,47.38,127.50,3.36,0,2,3,1.47,0,30
30,2020,10,14,2004,47.38,127.52,3.36,0,2,3,1.47,0,30
31,2020,10,14,2004,47.24,126.50,3.37,0,2,3,1.70,0,37
32,2020,10,14,2004,47.24,126.52,3.37,0,2,3,1.15,0,37
33,2020,10,14,2004,47.24,126.54,3.37,0,2,1,1.15,0,37
34,2020,10,14,2004,47.24,130.18,3.37,0,2,3,.73,0,34
35,2020,10,14,2004,47.24,130.20,3.37,0,2,3,.73,0,34
36,2020,10,14,2004,47.22,126.50,3.37,0,2,3,1.70,0,37
37,2020,10,14,2004,47.22,126.52,3.37,0,2,3,1.70,0,37
