# 2020 10 31 23 20 UTC  2020 11  1  0  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,10,31,2321,47.16,88.84,3.37,0,2,3,2.06,0,5
2,2020,10,31,2321,47.16,88.86,3.37,0,2,3,2.07,0,5
3,2020,10,31,2321,47.16,88.88,3.37,0,2,1,2.07,0,5
4,2020,10,31,2321,47.14,88.88,3.37,0,2,3,2.08,0,5
5,2020,10,31,2321,47.14,88.90,3.37,0,2,3,2.08,0,5
6,2020,10,31,2321,44.76,90.18,3.52,0,2,1,1.51,0,10
7,2020,10,31,2321,44.76,90.20,3.52,0,2,1,1.52,0,10
8,2020,10,31,2321,44.74,90.20,3.52,0,2,1,1.52,0,10
9,2020,10,31,2321,44.74,90.22,3.52,0,2,1,1.52,0,10
10,2020,10,31,2321,44.74,90.24,3.52,0,2,1,1.52,0,10
11,2020,10,31,2321,43.72,94.96,3.58,0,2,1,1.07,0,12
12,2020,10,31,2321,43.72,94.98,3.58,0,2,1,1.07,0,12
13,2020,10,31,2321,43.04,117.26,3.62,0,2,3,.49,0,13
14,2020,10,31,2321,41.90,114.04,3.69,0,1,1,4.37,0,15
15,2020,10,31,2321,41.90,114.06,3.69,0,1,1,4.37,0,15
16,2020,10,31,2321,40.64,87.40,3.76,0,2,3,1.21,0,16
17,2020,10,31,2321,40.64,109.72,3.76,0,2,1,2.51,0,17
18,2020,10,31,2321,40.64,109.74,3.76,0,2,1,2.51,0,17
19,2020,10,31,2321,40.62,87.46,3.76,0,2,1,.64,0,19
20,2020,10,31,2321,39.68,118.88,3.81,0,2,1,3.11,0,21
21,2020,10,31,2321,39.68,118.90,3.81,0,2,1,3.11,0,21
22,2020,10,31,2321,39.66,118.90,3.82,0,2,1,3.11,0,21
23,2020,10,31,2321,39.50,118.68,3.82,0,2,1,1.06,0,25
24,2020,10,31,2321,39.48,118.68,3.83,0,2,1,1.06,0,25
25,2020,10,31,2321,39.48,118.70,3.83,0,2,1,1.06,0,25
26,2020,10,31,2321,39.28,110.14,3.84,0,2,1,.77,0,27
27,2020,10,31,2321,39.28,110.16,3.84,0,2,1,.77,0,27
28,2020,10,31,2321,39.10,110.74,3.85,0,2,1,1.72,0,29
29,2020,10,31,2321,39.10,110.76,3.85,0,2,1,1.72,0,29
30,2020,10,31,2321,38.94,106.40,3.86,0,2,1,3.32,0,30
31,2020,10,31,2321,38.94,106.42,3.86,0,2,1,3.32,0,30
32,2020,10,31,2321,38.94,106.44,3.86,0,2,1,1.40,0,30
33,2020,10,31,2321,38.92,106.46,3.86,0,2,1,1.55,0,33
34,2020,10,31,2321,38.62,109.28,3.87,0,2,3,.87,0,36
35,2020,10,31,2321,38.62,109.30,3.87,0,2,3,.87,0,36
36,2020,10,31,2321,38.60,109.30,3.87,0,2,3,.87,0,36
37,2020,10,31,2321,38.60,109.32,3.87,0,2,3,.83,0,36
38,2020,10,31,2321,38.60,109.34,3.87,0,2,3,.83,0,36
39,2020,10,31,2321,38.20,106.60,3.90,0,1,1,3.29,0,39
40,2020,10,31,2321,37.68,121.08,3.92,0,3,3,2.01,0,40
41,2020,10,31,2321,32.70,103.76,4.17,0,2,3,.97,0,42
42,2020,10,31,2321,32.70,103.78,4.17,0,2,3,.97,0,42
43,2020,10,31,2321,31.98,90.24,4.20,0,1,1,8.89,0,44
44,2020,10,31,2321,31.98,90.26,4.20,0,1,1,8.89,0,44
45,2020,10,31,2321,31.76,86.84,4.21,0,2,1,2.90,0,46
46,2020,10,31,2321,31.76,86.86,4.21,0,2,1,2.90,0,46
47,2020,10,31,2321,31.50,103.32,4.23,0,2,3,.49,0,51
48,2020,10,31,2321,31.50,103.34,4.23,0,2,3,.49,0,51
49,2020,10,31,2321,31.48,103.34,4.23,0,2,3,.49,0,51
50,2020,10,31,2321,31.46,103.34,4.23,0,2,3,.75,0,51
51,2020,10,31,2321,31.46,103.36,4.23,0,2,3,.75,0,51
52,2020,10,31,2321,31.28,91.06,4.24,0,1,1,5.23,0,52
53,2020,10,31,2321,30.66,93.10,4.26,0,2,3,1.21,0,54
54,2020,10,31,2321,30.66,93.12,4.26,0,2,3,1.21,0,54
55,2020,10,31,2321,30.14,102.24,4.29,0,2,3,1.36,0,55
56,2020,10,31,2321,30.06,91.76,4.29,0,2,3,1.53,0,56
57,2020,10,31,2321,28.36,91.84,4.36,0,2,3,2.21,0,60
58,2020,10,31,2321,28.36,91.86,4.36,0,2,1,2.21,0,60
59,2020,10,31,2321,28.34,91.86,4.36,0,2,3,3.14,0,60
60,2020,10,31,2321,28.34,91.88,4.36,0,2,3,3.14,0,60
61,2020,10,31,2321,25.38,99.90,4.48,0,2,1,2.86,0,61
62,2020,10,31,2321,24.38,100.44,4.51,0,1,3,8.39,0,62
63,2020,10,31,2321,24.38,100.46,4.51,0,1,3,8.39,0,62
64,2020,10,31,2321,24.36,100.46,4.52,0,1,3,8.39,0,62
65,2020,10,31,2321,23.92,101.62,4.53,0,1,3,5.59,0,65
66,2020,10,31,2321,23.92,101.64,4.53,0,1,3,5.59,0,65
67,2020,10,31,2321,23.62,99.76,4.54,0,1,1,3.23,0,67
68,2020,10,31,2321,23.14,101.84,4.56,0,2,3,2.28,0,68
69,2020,10,31,2321,23.14,101.86,4.56,0,2,3,2.28,0,68
70,2020,10,31,2321,22.94,102.70,4.56,0,2,3,.97,0,70
71,2020,10,31,2321,22.20,93.80,4.59,0,2,3,3.06,0,72
72,2020,10,31,2321,22.20,93.82,4.59,0,2,3,3.06,0,72
73,2020,10,31,2321,22.14,110.38,4.59,0,2,1,5.07,0,73
74,2020,10,31,2321,22.12,110.38,4.59,0,2,3,5.07,0,73
75,2020,10,31,2321,22.12,110.42,4.59,0,2,3,5.37,0,75
76,2020,10,31,2321,21.78,100.24,4.60,0,1,3,7.23,0,76
77,2020,10,31,2321,21.78,100.26,4.60,0,1,3,7.23,0,76
78,2020,10,31,2321,21.78,100.28,4.60,0,2,1,2.25,0,76
79,2020,10,31,2321,20.88,101.68,4.63,0,1,1,2.96,0,79
80,2020,10,31,2321,20.58,81.48,4.64,0,2,1,1.86,0,81
81,2020,10,31,2321,20.58,81.50,4.64,0,2,1,1.86,0,81
82,2020,10,31,2321,20.30,81.78,4.65,0,2,1,3.76,0,82
83,2020,10,31,2321,20.30,100.52,4.65,0,1,3,6.03,0,83
84,2020,10,31,2321,20.28,100.52,4.65,0,1,3,6.03,0,83
85,2020,10,31,2321,20.28,100.76,4.65,0,1,1,5.25,0,85
86,2020,10,31,2321,20.24,96.90,4.65,0,1,3,5.33,0,86
87,2020,10,31,2321,19.60,96.72,4.67,0,2,1,2.45,0,90
88,2020,10,31,2321,19.60,96.74,4.67,0,2,1,2.45,0,90
89,2020,10,31,2321,19.60,96.76,4.67,0,1,3,4.55,0,89
90,2020,10,31,2321,19.58,96.74,4.67,0,1,3,3.17,0,90
91,2020,10,31,2321,18.72,103.42,4.69,0,1,1,3.32,0,91
92,2020,10,31,2321,18.08,99.36,4.71,0,1,3,6.51,0,92
93,2020,10,31,2321,18.08,99.38,4.71,0,1,1,6.51,0,92
94,2020,10,31,2326,17.84,99.44,4.72,0,1,3,12.55,0,96
95,2020,10,31,2326,17.84,99.46,4.72,0,1,3,12.55,0,96
96,2020,10,31,2326,17.82,99.42,4.72,0,1,3,13.05,0,96
97,2020,10,31,2326,17.82,99.44,4.72,0,1,3,13.05,0,96
98,2020,10,31,2326,17.82,99.46,4.72,0,1,3,12.55,0,96
99,2020,10,31,2326,-2.58,121.36,4.95,0,3,1,4.96,0,100
100,2020,10,31,2326,-2.58,121.38,4.95,0,2,1,16.04,0,100
101,2020,10,31,2326,-2.60,121.36,4.95,0,2,1,4.63,0,100
102,2020,10,31,2326,-7.68,131.02,4.91,0,3,3,1.78,0,102
103,2020,10,31,2326,-8.54,141.44,4.90,0,2,3,6.32,0,103
104,2020,10,31,2326,-8.56,141.46,4.90,0,3,3,2.61,0,104
105,2020,10,31,2326,-8.56,146.48,4.90,0,3,3,3.34,0,105
106,2020,10,31,2326,-8.58,141.48,4.90,0,3,1,2.86,0,106
107,2020,10,31,2326,-8.72,140.74,4.90,0,3,3,3.23,0,107
108,2020,10,31,2326,-8.92,125.54,4.90,0,3,3,4.30,0,109
109,2020,10,31,2326,-8.94,125.54,4.90,0,2,3,5.81,0,109
110,2020,10,31,2326,-11.18,132.50,4.86,0,3,3,5.25,0,110
111,2020,10,31,2326,-12.28,132.96,4.84,0,2,3,4.08,0,111
112,2020,10,31,2326,-12.30,133.00,4.84,0,2,3,4.98,0,112
113,2020,10,31,2326,-12.32,133.02,4.84,0,2,1,6.37,0,113
114,2020,10,31,2326,-12.56,135.10,4.84,0,1,3,21.30,0,114
115,2020,10,31,2326,-12.84,132.94,4.83,0,2,3,3.21,0,116
116,2020,10,31,2326,-12.86,132.94,4.83,0,2,1,4.67,0,116
117,2020,10,31,2326,-13.52,187.42,4.82,0,2,1,7.49,0,117
118,2020,10,31,2326,-13.64,131.42,4.82,0,3,3,3.97,0,118
119,2020,10,31,2326,-14.38,131.90,4.80,0,3,3,2.73,0,119
120,2020,10,31,2326,-14.60,142.40,4.80,0,2,1,10.71,0,120
121,2020,10,31,2326,-14.60,143.94,4.80,0,2,3,8.45,0,121
122,2020,10,31,2326,-14.64,142.36,4.80,0,1,5,67.88,0,122
123,2020,10,31,2326,-14.66,142.36,4.80,0,2,5,33.95,0,122
124,2020,10,31,2326,-14.66,142.38,4.80,0,2,5,18.88,0,122
125,2020,10,31,2326,-14.80,143.52,4.79,0,2,3,9.38,0,125
126,2020,10,31,2326,-14.80,143.56,4.79,0,2,3,11.14,0,126
127,2020,10,31,2326,-15.24,144.98,4.78,0,2,3,17.84,0,127
128,2020,10,31,2326,-15.28,134.14,4.78,0,3,3,2.94,0,128
129,2020,10,31,2326,-15.28,144.96,4.78,0,2,3,21.16,0,129
130,2020,10,31,2326,-15.76,142.70,4.77,0,3,3,2.34,0,130
131,2020,10,31,2326,-16.06,142.60,4.76,0,3,3,3.12,0,131
132,2020,10,31,2326,-16.06,142.62,4.76,0,3,1,2.88,0,131
133,2020,10,31,2326,-16.46,141.50,4.75,0,2,1,4.23,0,133
134,2020,10,31,2326,-16.66,143.04,4.75,0,2,3,9.32,0,139
135,2020,10,31,2326,-16.66,143.06,4.75,0,1,3,26.22,0,135
136,2020,10,31,2326,-16.66,143.38,4.75,0,3,3,3.16,0,136
137,2020,10,31,2326,-16.68,143.04,4.75,0,2,3,11.11,0,139
138,2020,10,31,2326,-16.70,143.02,4.75,0,2,3,17.30,0,139
139,2020,10,31,2326,-16.70,143.04,4.75,0,2,5,41.32,0,139
140,2020,10,31,2326,-16.72,143.04,4.75,0,2,5,35.84,0,139
141,2020,10,31,2326,-16.86,137.12,4.74,0,2,1,2.41,0,141
142,2020,10,31,2326,-17.76,138.96,4.72,0,2,3,4.96,0,142
143,2020,10,31,2326,-18.06,144.80,4.71,0,3,3,4.84,0,143
144,2020,10,31,2326,-18.08,144.82,4.71,0,3,3,4.35,0,144
145,2020,10,31,2326,-18.50,121.94,4.70,0,3,3,2.49,0,146
146,2020,10,31,2326,-18.50,121.96,4.70,0,3,3,2.78,0,146
147,2020,10,31,2326,-18.50,121.98,4.70,0,3,3,2.70,0,146
148,2020,10,31,2326,-19.34,122.10,4.68,0,2,3,4.57,0,148
149,2020,10,31,2326,-19.90,144.62,4.66,0,2,3,9.85,0,151
150,2020,10,31,2326,-19.92,144.62,4.66,0,2,5,16.80,0,151
151,2020,10,31,2326,-19.92,144.64,4.66,0,2,5,21.62,0,151
152,2020,10,31,2326,-20.78,118.54,4.63,0,3,3,1.60,0,152
153,2020,10,31,2326,-21.26,118.52,4.62,0,2,3,1.98,0,153
154,2020,10,31,2326,-21.28,118.52,4.62,0,2,3,1.66,0,153
155,2020,10,31,2326,-21.76,118.84,4.60,0,3,3,1.91,0,156
