# 2020 11  1  1  0 UTC  2020 11  1  1 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,1,0102,46.58,130.72,3.41,0,3,3,2.38,2,3
2,2020,11,1,0102,46.58,130.74,3.41,0,3,3,2.38,2,3
3,2020,11,1,0102,46.56,130.74,3.41,0,3,3,2.38,2,3
4,2020,11,1,0102,45.74,122.70,3.46,0,3,3,1.34,0,6
5,2020,11,1,0102,45.74,122.72,3.46,0,3,3,1.34,0,6
6,2020,11,1,0102,45.72,122.72,3.46,0,3,1,1.34,0,6
7,2020,11,1,0102,44.76,90.18,3.52,0,2,1,1.00,0,13
8,2020,11,1,0102,44.76,90.20,3.52,0,2,1,1.00,0,13
9,2020,11,1,0102,44.76,90.22,3.52,0,2,1,1.14,0,13
10,2020,11,1,0102,44.74,90.20,3.52,0,2,1,1.00,0,13
11,2020,11,1,0102,44.74,90.22,3.52,0,2,1,1.00,0,13
12,2020,11,1,0102,44.74,90.24,3.52,0,2,1,1.00,0,13
13,2020,11,1,0102,44.74,90.26,3.52,0,2,1,1.14,0,13
14,2020,11,1,0102,44.74,90.28,3.52,0,2,1,1.07,0,13
15,2020,11,1,0102,43.60,127.62,3.59,0,3,3,1.45,0,15
16,2020,11,1,0102,43.02,101.12,3.62,0,2,1,.88,0,17
17,2020,11,1,0102,43.02,101.14,3.62,0,2,1,.88,0,17
18,2020,11,1,0102,43.02,101.16,3.62,0,2,1,.62,0,17
19,2020,11,1,0102,43.02,101.18,3.62,0,2,1,.62,0,17
20,2020,11,1,0102,42.84,90.10,3.63,0,2,1,1.00,0,24
21,2020,11,1,0102,42.84,90.12,3.63,0,2,1,1.01,0,24
22,2020,11,1,0102,42.84,90.14,3.63,0,2,1,1.01,0,24
23,2020,11,1,0102,42.82,90.14,3.64,0,2,3,1.01,0,24
24,2020,11,1,0102,42.82,90.16,3.64,0,2,3,1.01,0,24
25,2020,11,1,0102,40.66,122.56,3.76,0,2,1,5.87,0,25
26,2020,11,1,0102,40.64,109.72,3.76,0,2,1,8.12,0,26
27,2020,11,1,0102,40.64,109.74,3.76,0,2,1,8.12,0,26
28,2020,11,1,0102,40.64,122.56,3.76,0,2,1,5.87,0,25
29,2020,11,1,0102,37.14,139.20,3.95,0,3,1,1.35,0,29
30,2020,11,1,0102,36.70,139.42,3.97,0,3,3,2.14,2,30
31,2020,11,1,0102,36.70,139.44,3.97,0,3,1,1.04,0,30
32,2020,11,1,0102,33.32,130.94,4.14,0,3,1,2.07,0,32
33,2020,11,1,0102,24.32,116.10,4.52,0,3,1,1.05,0,33
34,2020,11,1,0102,24.32,116.12,4.52,0,3,1,1.05,0,33
35,2020,11,1,0102,23.80,86.34,4.54,0,2,1,1.69,0,39
36,2020,11,1,0102,23.80,86.36,4.54,0,2,1,1.69,0,39
37,2020,11,1,0102,23.78,86.34,4.54,0,2,1,2.45,0,39
38,2020,11,1,0102,23.78,86.36,4.54,0,2,1,2.45,0,39
39,2020,11,1,0102,23.78,86.38,4.54,0,2,1,2.45,0,39
40,2020,11,1,0102,23.30,112.82,4.55,0,3,3,1.89,2,40
41,2020,11,1,0102,22.06,120.72,4.59,0,3,3,3.18,2,41
42,2020,11,1,0102,20.96,85.12,4.63,0,2,1,1.70,0,46
43,2020,11,1,0102,20.96,85.14,4.63,0,2,1,1.70,0,46
44,2020,11,1,0102,20.96,85.16,4.63,0,2,1,1.70,0,46
45,2020,11,1,0102,20.96,85.18,4.63,0,2,1,1.72,0,46
46,2020,11,1,0102,20.96,85.20,4.63,0,2,1,1.72,0,46
47,2020,11,1,0108,.00,109.32,4.96,0,3,1,1.89,0,48
