# 2020 11  3 18  0 UTC  2020 11  3 18 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,3,1800,47.96,123.44,3.32,0,2,1,1.42,0,2
2,2020,11,3,1800,47.94,123.44,3.32,0,2,1,1.42,0,2
3,2020,11,3,1800,47.80,102.72,3.33,0,2,1,1.42,0,3
4,2020,11,3,1800,47.78,102.74,3.33,0,2,1,1.43,0,5
5,2020,11,3,1800,47.78,102.76,3.33,0,2,1,1.43,0,5
6,2020,11,3,1800,46.32,130.66,3.42,0,2,3,1.55,0,6
7,2020,11,3,1800,46.32,130.68,3.42,0,2,3,1.55,0,6
8,2020,11,3,1800,45.34,129.74,3.48,0,2,1,2.91,0,8
9,2020,11,3,1800,45.32,129.76,3.49,0,2,1,3.58,0,9
10,2020,11,3,1800,45.24,127.32,3.49,0,1,1,4.03,0,10
11,2020,11,3,1800,45.24,127.34,3.49,0,1,1,4.03,0,10
12,2020,11,3,1800,45.22,127.34,3.49,0,1,1,4.03,0,10
13,2020,11,3,1800,45.20,127.30,3.49,0,2,3,2.14,0,13
14,2020,11,3,1800,45.20,127.32,3.49,0,2,3,2.14,0,13
15,2020,11,3,1800,45.02,131.20,3.50,0,2,3,.69,0,15
16,2020,11,3,1800,45.00,125.08,3.50,0,2,1,2.11,0,18
17,2020,11,3,1800,44.98,125.08,3.51,0,1,1,3.44,0,18
18,2020,11,3,1800,44.96,125.08,3.51,0,1,1,3.44,0,18
19,2020,11,3,1800,44.96,125.10,3.51,0,1,1,3.44,0,18
20,2020,11,3,1800,44.76,90.18,3.52,0,2,1,1.77,0,27
21,2020,11,3,1800,44.76,90.20,3.52,0,2,1,1.77,0,27
22,2020,11,3,1800,44.76,90.22,3.52,0,1,1,5.13,0,27
23,2020,11,3,1800,44.74,90.20,3.52,0,2,1,1.77,0,27
24,2020,11,3,1800,44.74,90.22,3.52,0,2,1,1.66,0,27
25,2020,11,3,1800,44.74,90.24,3.52,0,2,1,1.66,0,27
26,2020,11,3,1800,44.74,90.26,3.52,0,1,1,5.13,0,27
27,2020,11,3,1800,44.74,90.28,3.52,0,1,1,5.13,0,27
28,2020,11,3,1800,44.70,131.48,3.52,0,2,3,1.32,0,28
29,2020,11,3,1800,44.64,121.60,3.53,0,2,3,.65,0,29
30,2020,11,3,1800,44.54,131.80,3.53,0,2,5,1.02,0,31
31,2020,11,3,1800,44.54,131.82,3.53,0,2,3,1.33,0,31
32,2020,11,3,1800,44.54,131.84,3.53,0,2,3,1.33,0,31
33,2020,11,3,1800,44.40,127.70,3.54,0,1,5,4.29,0,33
34,2020,11,3,1800,44.40,127.72,3.54,0,1,5,4.29,0,33
35,2020,11,3,1800,44.38,127.72,3.54,0,1,5,4.29,0,33
36,2020,11,3,1800,44.32,126.88,3.55,0,2,5,1.18,0,36
37,2020,11,3,1800,44.32,126.90,3.55,0,2,3,.68,0,36
38,2020,11,3,1800,44.32,126.92,3.55,0,2,3,.68,0,36
39,2020,11,3,1800,44.08,129.68,3.56,0,2,5,1.97,0,39
40,2020,11,3,1800,44.08,129.70,3.56,0,2,3,1.07,0,39
41,2020,11,3,1800,44.08,129.72,3.56,0,2,3,1.07,0,39
42,2020,11,3,1800,44.02,132.12,3.56,0,2,3,1.07,0,44
43,2020,11,3,1800,44.02,132.14,3.56,0,2,3,1.07,0,44
44,2020,11,3,1800,44.00,132.14,3.57,0,2,5,1.10,0,44
45,2020,11,3,1800,43.98,132.14,3.57,0,2,5,1.10,0,44
46,2020,11,3,1800,43.64,126.06,3.59,0,2,1,3.36,0,46
47,2020,11,3,1800,43.62,126.06,3.59,0,2,5,3.36,0,46
48,2020,11,3,1800,43.62,126.08,3.59,0,2,5,3.36,0,46
49,2020,11,3,1800,43.30,122.60,3.61,0,2,1,.58,0,49
50,2020,11,3,1800,43.20,124.34,3.61,0,2,1,.57,0,50
51,2020,11,3,1800,42.94,125.30,3.63,0,2,3,.72,0,51
52,2020,11,3,1800,42.94,125.32,3.63,0,2,3,.72,0,51
53,2020,11,3,1800,42.92,125.32,3.63,0,2,3,.72,0,51
54,2020,11,3,1800,42.90,125.34,3.63,0,2,3,1.67,0,54
55,2020,11,3,1800,42.90,125.36,3.63,0,2,3,1.67,0,54
56,2020,11,3,1800,42.68,130.70,3.64,0,2,3,1.47,0,56
57,2020,11,3,1800,41.84,123.76,3.69,0,2,1,.67,0,57
58,2020,11,3,1800,41.76,122.90,3.70,0,2,1,.87,0,58
59,2020,11,3,1800,41.72,126.70,3.70,0,2,3,2.70,0,59
60,2020,11,3,1800,41.16,122.98,3.73,0,2,1,2.46,0,61
61,2020,11,3,1800,41.14,122.98,3.73,0,2,1,3.01,0,61
62,2020,11,3,1800,41.12,122.98,3.73,0,2,1,3.00,0,61
63,2020,11,3,1800,41.12,123.00,3.73,0,2,1,3.00,0,61
64,2020,11,3,1800,41.06,123.32,3.74,0,2,1,1.49,0,64
65,2020,11,3,1800,41.00,125.26,3.74,0,2,3,.87,0,65
66,2020,11,3,1800,41.00,125.28,3.74,0,2,3,.87,0,65
67,2020,11,3,1800,40.98,125.28,3.74,0,2,3,.87,0,65
68,2020,11,3,1800,40.66,122.56,3.76,0,1,1,4.57,0,68
69,2020,11,3,1800,40.66,122.58,3.76,0,1,1,3.90,0,68
70,2020,11,3,1800,40.64,109.72,3.76,0,2,1,4.86,0,70
71,2020,11,3,1800,40.64,109.74,3.76,0,2,1,4.86,0,70
72,2020,11,3,1800,40.64,122.56,3.76,0,1,1,4.57,0,68
73,2020,11,3,1800,40.64,122.58,3.76,0,1,1,3.90,0,68
74,2020,11,3,1800,40.62,115.08,3.76,0,2,1,1.61,0,74
75,2020,11,3,1800,40.60,115.08,3.76,0,2,1,1.61,0,74
76,2020,11,3,1800,40.54,141.50,3.77,0,2,1,7.25,0,76
77,2020,11,3,1800,40.52,126.70,3.77,0,2,3,1.08,0,77
78,2020,11,3,1800,40.52,126.72,3.77,0,2,3,1.08,0,77
79,2020,11,3,1800,40.42,113.16,3.77,0,2,1,1.29,0,79
80,2020,11,3,1800,40.18,123.96,3.79,0,1,3,3.50,0,80
81,2020,11,3,1800,40.02,117.58,3.80,0,1,1,3.32,0,81
82,2020,11,3,1800,39.96,118.54,3.80,0,2,1,2.98,0,82
83,2020,11,3,1800,39.94,123.08,3.80,0,2,3,2.44,0,83
84,2020,11,3,1800,39.94,123.10,3.80,0,2,3,2.44,0,83
85,2020,11,3,1800,39.92,122.52,3.80,0,2,1,2.60,0,85
86,2020,11,3,1800,39.88,106.86,3.80,0,2,1,3.61,0,86
87,2020,11,3,1800,39.88,106.88,3.80,0,2,1,3.61,0,86
88,2020,11,3,1800,39.88,122.50,3.80,0,2,1,3.02,0,88
89,2020,11,3,1800,39.88,122.52,3.80,0,2,1,3.02,0,88
90,2020,11,3,1800,39.86,98.24,3.80,0,2,1,1.85,0,91
91,2020,11,3,1800,39.86,98.26,3.80,0,2,1,1.85,0,91
92,2020,11,3,1800,39.76,118.10,3.81,0,2,1,2.51,0,92
93,2020,11,3,1800,39.68,118.88,3.81,0,2,1,3.55,0,93
94,2020,11,3,1800,39.68,118.90,3.81,0,2,1,3.55,0,93
95,2020,11,3,1800,39.66,118.90,3.82,0,2,1,3.55,0,93
96,2020,11,3,1800,39.42,110.46,3.83,0,2,1,1.28,0,97
97,2020,11,3,1800,39.42,110.48,3.83,0,2,3,2.21,0,97
