# 2020 11  7  6 30 UTC  2020 11  7  7  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,7,0628,48.26,113.34,3.30,0,2,3,.96,0,9
2,2020,11,7,0628,48.24,113.14,3.30,0,3,1,.66,0,11
3,2020,11,7,0628,48.24,113.16,3.30,0,3,1,.66,0,11
4,2020,11,7,0628,48.24,113.18,3.30,0,2,3,.86,0,11
5,2020,11,7,0628,48.24,113.20,3.30,0,2,3,.86,0,11
6,2020,11,7,0628,48.24,113.22,3.30,0,2,3,1.50,0,11
7,2020,11,7,0628,48.24,113.24,3.30,0,2,3,1.33,0,11
8,2020,11,7,0628,48.24,113.34,3.30,0,2,3,.96,0,9
9,2020,11,7,0628,48.24,113.36,3.30,0,2,3,.96,0,9
10,2020,11,7,0628,48.22,113.20,3.30,0,2,3,.86,0,11
11,2020,11,7,0628,48.22,113.22,3.30,0,2,3,1.50,0,11
12,2020,11,7,0628,48.22,113.24,3.30,0,2,3,1.50,0,11
13,2020,11,7,0628,48.22,113.26,3.30,0,2,3,1.33,0,11
14,2020,11,7,0628,48.22,113.28,3.30,0,2,3,1.33,0,11
15,2020,11,7,0628,47.66,127.66,3.34,0,2,3,1.15,0,16
16,2020,11,7,0628,47.66,127.68,3.34,0,2,3,1.44,0,16
17,2020,11,7,0628,47.66,127.70,3.34,0,2,3,1.44,0,16
18,2020,11,7,0628,47.64,127.66,3.34,0,2,3,1.15,0,16
19,2020,11,7,0628,47.64,127.68,3.34,0,2,3,1.44,0,16
20,2020,11,7,0628,47.64,127.70,3.34,0,2,3,1.44,0,16
21,2020,11,7,0634,47.50,110.06,3.35,0,3,3,1.02,0,22
22,2020,11,7,0634,47.50,110.08,3.35,0,3,3,1.02,0,22
23,2020,11,7,0634,46.44,134.18,3.42,0,2,5,7.79,0,24
24,2020,11,7,0634,46.44,134.20,3.42,0,2,5,26.57,0,24
25,2020,11,7,0634,46.44,134.22,3.42,0,2,5,26.57,0,24
26,2020,11,7,0634,46.42,134.18,3.42,0,2,5,7.69,0,24
27,2020,11,7,0634,46.42,134.20,3.42,0,2,5,7.69,0,24
28,2020,11,7,0634,46.42,134.22,3.42,0,2,5,26.57,0,24
29,2020,11,7,0634,46.40,134.18,3.42,0,2,5,4.49,0,24
30,2020,11,7,0634,46.40,134.20,3.42,0,2,5,4.49,0,24
31,2020,11,7,0634,46.40,134.22,3.42,0,2,5,20.73,0,24
32,2020,11,7,0634,45.60,133.40,3.47,0,2,3,1.52,0,32
33,2020,11,7,0634,45.58,133.40,3.47,0,2,3,1.52,0,32
34,2020,11,7,0634,45.40,133.34,3.48,0,3,3,1.40,0,34
35,2020,11,7,0634,45.32,133.38,3.49,0,3,5,2.69,0,48
36,2020,11,7,0634,45.30,133.38,3.49,0,3,5,2.69,0,48
37,2020,11,7,0634,45.28,133.38,3.49,0,3,5,7.39,0,48
38,2020,11,7,0634,45.28,133.40,3.49,0,3,5,7.39,0,48
39,2020,11,7,0634,45.28,133.42,3.49,0,3,5,3.01,0,48
40,2020,11,7,0634,45.26,133.36,3.49,0,2,5,30.96,0,48
41,2020,11,7,0634,45.26,133.38,3.49,0,2,5,22.75,0,48
42,2020,11,7,0634,45.26,133.40,3.49,0,2,5,22.75,0,48
43,2020,11,7,0634,45.24,133.36,3.49,0,2,5,30.96,0,48
44,2020,11,7,0634,45.24,133.38,3.49,0,2,5,30.96,0,48
45,2020,11,7,0634,45.24,133.40,3.49,0,2,5,22.75,0,48
46,2020,11,7,0634,45.22,133.36,3.49,0,2,5,58.86,0,48
47,2020,11,7,0634,45.22,133.38,3.49,0,2,5,58.86,0,48
48,2020,11,7,0634,45.22,133.40,3.49,0,1,5,98.33,0,48
49,2020,11,7,0634,45.22,133.42,3.49,0,2,5,13.66,0,48
50,2020,11,7,0634,45.14,133.30,3.50,0,2,1,1.40,0,50
51,2020,11,7,0634,45.12,129.78,3.50,0,3,1,.89,0,52
52,2020,11,7,0634,45.12,129.80,3.50,0,3,3,.89,0,52
53,2020,11,7,0634,45.08,130.40,3.50,0,2,3,.82,0,55
54,2020,11,7,0634,45.08,130.48,3.50,0,3,3,.88,0,56
55,2020,11,7,0634,45.06,130.40,3.50,0,2,3,.82,0,55
56,2020,11,7,0634,45.06,130.48,3.50,0,3,3,.88,0,56
57,2020,11,7,0634,45.06,130.50,3.50,0,3,3,.88,0,56
58,2020,11,7,0634,44.86,133.06,3.51,0,2,3,1.94,0,58
59,2020,11,7,0634,44.86,133.08,3.51,0,2,3,1.94,0,58
60,2020,11,7,0634,44.84,133.08,3.51,0,2,3,1.94,0,58
61,2020,11,7,0634,44.80,132.76,3.52,0,2,5,7.16,0,66
62,2020,11,7,0634,44.80,132.96,3.52,0,2,3,2.92,0,72
63,2020,11,7,0634,44.80,132.98,3.52,0,2,3,2.92,0,72
64,2020,11,7,0634,44.78,132.72,3.52,0,3,3,2.66,0,66
65,2020,11,7,0634,44.78,132.74,3.52,0,3,3,2.66,0,66
66,2020,11,7,0634,44.78,132.76,3.52,0,2,5,23.69,0,66
67,2020,11,7,0634,44.78,132.98,3.52,0,2,3,2.92,0,72
68,2020,11,7,0634,44.76,132.74,3.52,0,3,3,2.66,0,66
69,2020,11,7,0634,44.76,132.76,3.52,0,2,5,23.69,0,66
70,2020,11,7,0634,44.76,132.94,3.52,0,2,5,5.67,0,72
71,2020,11,7,0634,44.76,132.96,3.52,0,2,5,5.67,0,72
72,2020,11,7,0634,44.76,132.98,3.52,0,2,5,7.04,0,72
73,2020,11,7,0634,44.76,133.00,3.52,0,2,3,4.40,0,72
74,2020,11,7,0634,44.74,132.76,3.52,0,2,5,3.20,0,66
75,2020,11,7,0634,44.72,133.66,3.52,0,2,5,12.75,0,85
76,2020,11,7,0634,44.72,133.68,3.52,0,2,5,3.02,0,85
77,2020,11,7,0634,44.70,133.66,3.52,0,2,5,16.15,0,85
78,2020,11,7,0634,44.70,133.68,3.52,0,2,5,20.87,0,85
79,2020,11,7,0634,44.70,133.70,3.52,0,2,5,5.70,0,85
80,2020,11,7,0634,44.70,133.72,3.52,0,2,5,5.70,0,85
81,2020,11,7,0634,44.68,133.66,3.52,0,2,5,16.15,0,85
82,2020,11,7,0634,44.68,133.68,3.52,0,2,5,20.87,0,85
83,2020,11,7,0634,44.68,133.70,3.52,0,2,5,20.85,0,85
84,2020,11,7,0634,44.68,133.72,3.52,0,2,5,5.70,0,85
85,2020,11,7,0634,44.66,133.68,3.53,0,1,5,37.08,0,85
86,2020,11,7,0634,44.66,133.70,3.53,0,1,5,37.08,0,85
87,2020,11,7,0634,44.60,131.84,3.53,0,2,5,4.49,0,92
88,2020,11,7,0634,44.60,131.86,3.53,0,2,5,4.49,0,92
89,2020,11,7,0634,44.60,131.88,3.53,0,2,5,3.60,0,92
90,2020,11,7,0634,44.58,131.84,3.53,0,2,5,7.22,0,92
91,2020,11,7,0634,44.58,131.86,3.53,0,2,5,7.22,0,92
92,2020,11,7,0634,44.58,131.88,3.53,0,2,5,9.67,0,92
93,2020,11,7,0634,44.56,131.86,3.53,0,2,5,7.22,0,92
94,2020,11,7,0634,44.56,131.88,3.53,0,2,5,9.67,0,92
95,2020,11,7,0634,44.50,132.24,3.54,0,2,3,4.24,0,95
96,2020,11,7,0634,44.44,127.28,3.54,0,2,3,1.08,0,98
97,2020,11,7,0634,44.44,127.30,3.54,0,2,3,1.08,0,98
98,2020,11,7,0634,44.44,127.32,3.54,0,2,5,2.32,0,98
99,2020,11,7,0634,44.42,127.30,3.54,0,2,3,1.08,0,98
100,2020,11,7,0634,44.42,127.32,3.54,0,2,5,2.32,0,98
101,2020,11,7,0634,44.40,127.36,3.54,0,2,3,.86,0,101
102,2020,11,7,0634,44.38,127.44,3.54,0,2,3,2.04,0,103
103,2020,11,7,0634,44.38,127.46,3.54,0,2,5,2.39,0,103
104,2020,11,7,0634,44.38,132.30,3.54,0,2,3,3.85,0,104
105,2020,11,7,0634,44.38,132.32,3.54,0,2,3,3.85,0,104
106,2020,11,7,0634,44.38,132.34,3.54,0,3,3,2.00,0,104
107,2020,11,7,0634,44.36,127.44,3.54,0,2,3,2.04,0,103
108,2020,11,7,0634,44.36,127.46,3.54,0,2,3,2.04,0,103
109,2020,11,7,0634,44.36,127.48,3.54,0,2,5,2.39,0,103
110,2020,11,7,0634,44.30,129.64,3.55,0,2,5,1.91,0,110
111,2020,11,7,0634,44.30,132.32,3.55,0,2,5,5.96,0,124
112,2020,11,7,0634,44.30,132.34,3.55,0,3,3,2.02,0,124
113,2020,11,7,0634,44.30,132.36,3.55,0,3,3,2.02,0,124
114,2020,11,7,0634,44.28,129.64,3.55,0,2,5,1.64,0,110
115,2020,11,7,0634,44.28,131.92,3.55,0,2,3,4.96,0,115
116,2020,11,7,0634,44.28,131.94,3.55,0,2,3,4.96,0,115
117,2020,11,7,0634,44.28,132.32,3.55,0,2,5,5.96,0,124
118,2020,11,7,0634,44.28,132.34,3.55,0,2,5,5.96,0,124
119,2020,11,7,0634,44.28,132.36,3.55,0,3,3,2.02,0,124
120,2020,11,7,0634,44.26,129.64,3.55,0,2,5,1.64,0,110
121,2020,11,7,0634,44.26,129.66,3.55,0,2,5,1.64,0,110
122,2020,11,7,0634,44.26,131.92,3.55,0,2,3,4.96,0,115
123,2020,11,7,0634,44.26,131.94,3.55,0,2,3,4.96,0,115
124,2020,11,7,0634,44.26,132.32,3.55,0,2,5,15.53,0,124
125,2020,11,7,0634,44.26,132.34,3.55,0,2,5,15.53,0,124
126,2020,11,7,0634,44.26,132.36,3.55,0,2,5,3.55,0,124
127,2020,11,7,0634,44.24,131.94,3.55,0,2,3,4.82,0,115
128,2020,11,7,0634,44.20,132.68,3.55,0,1,5,37.03,0,128
129,2020,11,7,0634,44.20,132.70,3.55,0,1,5,37.03,0,128
130,2020,11,7,0634,44.20,132.72,3.55,0,2,5,26.26,0,128
131,2020,11,7,0634,44.20,132.74,3.55,0,2,5,6.00,0,128
132,2020,11,7,0634,44.18,132.68,3.55,0,1,5,37.03,0,128
133,2020,11,7,0634,44.18,132.70,3.55,0,1,5,37.03,0,128
134,2020,11,7,0634,44.18,132.72,3.55,0,2,5,26.23,0,128
135,2020,11,7,0634,44.18,132.74,3.55,0,2,5,6.00,0,128
136,2020,11,7,0634,44.16,132.70,3.56,0,2,5,21.64,0,128
137,2020,11,7,0634,44.16,132.72,3.56,0,2,5,27.46,0,128
138,2020,11,7,0634,44.16,132.74,3.56,0,2,5,7.89,0,128
139,2020,11,7,0634,44.16,132.76,3.56,0,2,5,7.89,0,128
140,2020,11,7,0634,44.14,132.64,3.56,0,3,3,1.65,0,140
141,2020,11,7,0634,44.12,126.78,3.56,0,3,3,2.10,0,148
142,2020,11,7,0634,44.12,132.28,3.56,0,2,5,2.54,0,142
143,2020,11,7,0634,44.12,132.64,3.56,0,3,3,1.65,0,140
144,2020,11,7,0634,44.12,132.66,3.56,0,3,3,1.65,0,140
145,2020,11,7,0634,44.10,126.74,3.56,0,2,3,3.29,0,148
146,2020,11,7,0634,44.10,126.76,3.56,0,2,3,3.29,0,148
147,2020,11,7,0634,44.10,126.78,3.56,0,2,3,2.61,0,148
148,2020,11,7,0634,44.10,126.80,3.56,0,2,5,3.90,0,148
149,2020,11,7,0634,44.10,126.82,3.56,0,2,5,3.90,0,148
150,2020,11,7,0634,44.10,132.28,3.56,0,2,5,2.54,0,142
151,2020,11,7,0634,44.10,132.30,3.56,0,2,1,1.63,0,142
152,2020,11,7,0634,44.08,126.76,3.56,0,2,3,3.29,0,148
153,2020,11,7,0634,44.08,126.78,3.56,0,2,3,2.61,0,148
154,2020,11,7,0634,44.08,126.80,3.56,0,2,5,3.90,0,148
155,2020,11,7,0634,44.08,126.82,3.56,0,2,5,3.90,0,148
156,2020,11,7,0634,44.06,126.82,3.56,0,2,3,2.31,0,148
157,2020,11,7,0634,44.06,126.84,3.56,0,2,3,2.65,0,148
158,2020,11,7,0634,44.04,126.84,3.56,0,2,3,2.65,0,148
159,2020,11,7,0634,44.04,126.86,3.56,0,2,3,2.65,0,148
160,2020,11,7,0634,44.02,126.90,3.56,0,2,3,2.43,0,162
161,2020,11,7,0634,44.02,126.92,3.56,0,2,3,2.43,0,162
162,2020,11,7,0634,44.02,126.94,3.56,0,2,3,3.56,0,162
163,2020,11,7,0634,44.00,132.38,3.57,0,2,5,9.85,0,164
164,2020,11,7,0634,44.00,132.40,3.57,0,2,5,36.17,0,164
165,2020,11,7,0634,44.00,132.42,3.57,0,3,5,4.85,0,164
166,2020,11,7,0634,44.00,132.44,3.57,0,3,5,4.85,0,164
167,2020,11,7,0634,43.98,132.38,3.57,0,2,5,9.85,0,164
168,2020,11,7,0634,43.98,132.40,3.57,0,2,5,36.17,0,164
169,2020,11,7,0634,43.98,132.42,3.57,0,3,5,4.85,0,164
170,2020,11,7,0634,43.98,132.44,3.57,0,3,5,4.85,0,164
171,2020,11,7,0634,43.96,132.38,3.57,0,2,3,1.53,0,164
172,2020,11,7,0634,43.96,132.40,3.57,0,2,5,2.93,0,164
173,2020,11,7,0634,43.96,132.42,3.57,0,2,5,2.93,0,164
174,2020,11,7,0634,43.92,125.96,3.57,0,2,5,4.22,0,174
175,2020,11,7,0634,43.90,125.96,3.57,0,2,5,4.22,0,174
176,2020,11,7,0634,43.88,131.70,3.57,0,2,5,12.49,0,176
177,2020,11,7,0634,43.88,131.72,3.57,0,2,5,12.10,0,176
178,2020,11,7,0634,43.88,131.74,3.57,0,2,5,12.10,0,176
179,2020,11,7,0634,43.86,131.70,3.57,0,2,3,3.23,0,176
180,2020,11,7,0634,43.86,131.72,3.57,0,2,3,2.73,0,176
