# 2020 11 18  9 30 UTC  2020 11 18 10  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,18,0934,43.02,103.44,3.62,0,3,1,.67,0,3
2,2020,11,18,0934,43.02,103.46,3.62,0,3,1,.67,0,3
3,2020,11,18,0934,43.00,103.46,3.63,0,3,1,.67,0,3
4,2020,11,18,0934,39.90,116.44,3.80,0,2,1,.71,0,4
5,2020,11,18,0934,39.64,115.28,3.82,0,2,1,.92,0,5
6,2020,11,18,0934,35.94,140.66,4.01,0,2,1,2.25,0,7
7,2020,11,18,0934,35.94,140.68,4.01,0,1,1,6.54,0,7
8,2020,11,18,0934,35.94,140.70,4.01,0,1,1,6.54,0,7
9,2020,11,18,0934,35.56,140.10,4.03,0,2,1,1.20,0,9
10,2020,11,18,0934,35.04,136.86,4.06,0,2,1,3.88,0,10
11,2020,11,18,0934,35.04,136.88,4.06,0,2,1,1.68,0,10
12,2020,11,18,0934,27.38,115.40,4.40,0,2,3,26.82,0,12
13,2020,11,18,0934,26.76,105.74,4.43,0,2,1,1.42,0,13
14,2020,11,18,0934,26.62,104.98,4.43,0,2,3,2.26,0,14
15,2020,11,18,0934,26.62,105.00,4.43,0,2,3,2.25,0,14
16,2020,11,18,0934,25.90,116.88,4.46,0,2,1,2.65,0,16
17,2020,11,18,0934,25.72,114.74,4.47,0,2,5,26.91,0,17
18,2020,11,18,0934,25.70,114.74,4.47,0,2,5,15.09,0,17
19,2020,11,18,0934,25.44,101.20,4.48,0,3,3,2.33,0,19
20,2020,11,18,0934,24.42,117.84,4.51,0,1,3,9.51,0,20
21,2020,11,18,0934,24.42,117.86,4.51,0,1,3,9.51,0,20
22,2020,11,18,0934,24.40,117.88,4.51,0,1,3,8.15,0,22
23,2020,11,18,0934,21.02,110.32,4.63,0,2,5,4.95,0,23
24,2020,11,18,0934,21.02,110.34,4.63,0,2,5,4.10,0,23
25,2020,11,18,0934,20.96,85.12,4.63,0,2,1,4.90,0,27
26,2020,11,18,0934,20.96,85.14,4.63,0,2,1,4.90,0,27
27,2020,11,18,0934,20.96,85.16,4.63,0,2,1,4.91,0,27
28,2020,11,18,0934,20.44,85.00,4.64,0,3,1,2.63,2,28
29,2020,11,18,0934,20.44,85.02,4.64,0,3,1,2.63,2,28
30,2020,11,18,0934,20.44,85.04,4.64,0,3,1,2.63,2,28
31,2020,11,18,0934,20.12,99.58,4.65,0,2,5,9.09,0,31
32,2020,11,18,0934,20.12,99.60,4.65,0,2,5,9.09,0,31
33,2020,11,18,0934,5.14,116.38,4.94,0,2,3,22.31,0,33
34,2020,11,18,0934,-1.02,113.96,4.96,0,2,3,4.42,0,34
35,2020,11,18,0934,-2.58,121.38,4.95,0,2,1,8.08,0,35
36,2020,11,18,0934,-2.60,121.66,4.95,0,2,3,7.43,0,36
37,2020,11,18,0934,-2.60,121.68,4.95,0,2,3,5.77,0,36
38,2020,11,18,0934,-8.12,112.90,4.91,0,1,3,43.38,0,38
39,2020,11,18,0939,-11.20,142.16,4.86,0,2,3,13.92,0,39
40,2020,11,18,0939,-13.62,143.54,4.82,0,2,3,5.82,0,40
41,2020,11,18,0939,-13.90,130.70,4.81,0,2,5,7.40,0,41
42,2020,11,18,0939,-13.90,130.72,4.81,0,2,3,5.96,0,41
43,2020,11,18,0939,-13.92,130.70,4.81,0,2,5,5.40,0,41
44,2020,11,18,0939,-13.98,126.94,4.81,0,2,3,9.29,0,44
45,2020,11,18,0939,-14.06,131.26,4.81,0,2,5,7.54,0,45
46,2020,11,18,0939,-14.06,131.28,4.81,0,3,5,4.24,0,45
