# 2020 11 26 14 20 UTC  2020 11 26 15  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,26,1421,43.16,124.88,3.62,0,2,1,1.91,0,1
2,2020,11,26,1421,43.14,124.86,3.62,0,2,1,1.61,0,2
3,2020,11,26,1421,42.54,124.24,3.65,0,2,1,1.39,0,3
4,2020,11,26,1421,42.52,124.26,3.65,0,2,1,1.48,0,4
5,2020,11,26,1421,41.84,123.76,3.69,0,2,1,1.55,0,5
6,2020,11,26,1421,41.34,124.20,3.72,0,2,3,2.58,0,6
7,2020,11,26,1421,41.32,124.18,3.72,0,2,3,2.85,0,7
8,2020,11,26,1421,41.30,124.18,3.72,0,2,3,2.85,0,7
9,2020,11,26,1421,41.16,122.98,3.73,0,2,1,2.63,0,9
10,2020,11,26,1421,41.16,123.00,3.73,0,2,1,2.28,0,9
11,2020,11,26,1421,41.14,121.00,3.73,0,1,1,3.14,0,11
12,2020,11,26,1421,41.14,122.98,3.73,0,2,1,1.75,0,9
13,2020,11,26,1421,41.12,122.98,3.73,0,2,1,1.75,0,9
14,2020,11,26,1421,41.12,123.00,3.73,0,2,1,1.75,0,9
15,2020,11,26,1421,40.64,109.72,3.76,0,2,1,3.67,0,15
16,2020,11,26,1421,40.64,109.74,3.76,0,2,1,3.67,0,15
17,2020,11,26,1421,40.44,118.26,3.77,0,2,1,1.97,0,17
18,2020,11,26,1421,40.40,113.00,3.77,0,2,3,.96,0,18
19,2020,11,26,1421,39.96,118.54,3.80,0,2,1,1.53,0,19
20,2020,11,26,1421,39.96,118.56,3.80,0,2,1,1.30,0,19
21,2020,11,26,1421,39.76,118.06,3.81,0,2,1,1.60,0,21
22,2020,11,26,1421,39.76,118.08,3.81,0,2,1,1.60,0,21
23,2020,11,26,1421,39.62,118.46,3.82,0,2,1,2.32,0,23
24,2020,11,26,1421,39.60,110.56,3.82,0,2,3,1.94,0,24
25,2020,11,26,1421,39.60,118.46,3.82,0,2,1,2.32,0,23
26,2020,11,26,1421,39.60,118.48,3.82,0,2,3,1.38,0,23
27,2020,11,26,1421,39.38,110.56,3.83,0,2,3,.82,0,27
28,2020,11,26,1421,39.38,110.58,3.83,0,2,3,.82,0,27
29,2020,11,26,1421,39.34,106.98,3.83,0,2,3,.61,0,29
30,2020,11,26,1421,39.28,110.14,3.84,0,2,1,1.75,0,30
31,2020,11,26,1421,39.28,110.16,3.84,0,2,1,1.75,0,30
32,2020,11,26,1421,39.10,110.74,3.85,0,2,1,1.30,0,32
33,2020,11,26,1421,39.10,110.76,3.85,0,2,1,1.30,0,32
34,2020,11,26,1421,38.94,106.40,3.86,0,2,1,1.54,0,36
35,2020,11,26,1421,38.94,106.42,3.86,0,2,1,1.54,0,36
36,2020,11,26,1421,38.94,106.44,3.86,0,2,1,1.87,0,36
37,2020,11,26,1421,38.92,106.42,3.86,0,2,3,1.36,0,36
38,2020,11,26,1421,38.92,106.46,3.86,0,2,1,1.66,0,38
39,2020,11,26,1421,38.90,106.42,3.86,0,2,3,1.36,0,36
40,2020,11,26,1421,38.90,106.44,3.86,0,2,1,1.36,0,36
41,2020,11,26,1421,38.72,110.16,3.87,0,2,3,1.33,0,41
42,2020,11,26,1421,38.70,110.16,3.87,0,2,3,1.33,0,41
43,2020,11,26,1421,38.70,110.18,3.87,0,2,3,1.33,0,41
44,2020,11,26,1421,38.68,125.26,3.87,0,2,3,2.62,0,44
45,2020,11,26,1421,38.66,125.58,3.87,0,2,3,1.85,0,45
46,2020,11,26,1421,38.66,125.60,3.87,0,2,3,1.85,0,45
47,2020,11,26,1421,38.26,106.52,3.89,0,2,1,.48,0,47
48,2020,11,26,1421,38.26,109.72,3.89,0,2,1,.85,0,49
49,2020,11,26,1421,38.26,109.74,3.89,0,2,3,.85,0,49
50,2020,11,26,1421,38.08,111.88,3.90,0,2,1,2.55,0,50
51,2020,11,26,1421,38.08,111.90,3.90,0,2,1,2.55,0,50
52,2020,11,26,1421,37.94,112.52,3.91,0,2,1,1.28,0,52
53,2020,11,26,1421,37.60,112.18,3.93,0,2,3,1.15,0,53
54,2020,11,26,1421,37.58,112.18,3.93,0,2,3,1.15,0,53
55,2020,11,26,1421,37.58,112.20,3.93,0,2,3,1.15,0,53
56,2020,11,26,1421,37.10,111.80,3.95,0,2,1,.69,0,56
57,2020,11,26,1421,36.26,114.20,4.00,0,2,3,2.50,0,57
58,2020,11,26,1421,35.62,110.56,4.03,0,2,1,1.73,0,58
59,2020,11,26,1421,35.62,110.58,4.03,0,2,1,1.73,0,58
60,2020,11,26,1421,34.46,133.44,4.09,0,2,1,3.67,0,60
61,2020,11,26,1421,31.82,113.54,4.21,0,2,1,1.51,0,61
62,2020,11,26,1421,31.82,113.56,4.21,0,2,1,1.51,0,61
63,2020,11,26,1421,29.58,117.48,4.31,0,2,1,1.43,0,63
64,2020,11,26,1421,29.00,102.90,4.34,0,2,1,2.65,0,64
65,2020,11,26,1421,28.72,120.74,4.35,0,2,3,2.71,0,65
66,2020,11,26,1421,28.70,120.74,4.35,0,2,3,2.71,0,65
67,2020,11,26,1421,28.70,120.76,4.35,0,2,3,2.71,0,65
68,2020,11,26,1421,26.60,101.62,4.43,0,2,1,3.41,0,70
69,2020,11,26,1421,26.60,101.64,4.43,0,2,1,3.41,0,70
70,2020,11,26,1421,26.58,101.64,4.43,0,2,1,6.85,0,70
71,2020,11,26,1421,26.58,101.66,4.43,0,2,1,4.19,0,70
72,2020,11,26,1421,26.58,101.68,4.43,0,2,1,4.19,0,70
73,2020,11,26,1421,25.12,110.62,4.49,0,2,1,1.75,0,73
74,2020,11,26,1421,24.26,116.58,4.52,0,2,3,1.37,0,74
75,2020,11,26,1421,24.20,115.76,4.52,0,2,5,3.26,0,75
76,2020,11,26,1421,24.20,115.78,4.52,0,2,5,3.26,0,75
77,2020,11,26,1421,23.32,95.32,4.55,0,1,1,4.30,0,78
78,2020,11,26,1421,23.32,95.34,4.55,0,1,1,4.30,0,78
79,2020,11,26,1421,21.88,109.24,4.60,0,2,3,3.82,0,79
80,2020,11,26,1421,17.90,106.36,4.72,0,1,1,5.67,0,80
81,2020,11,26,1426,16.92,106.62,4.74,0,1,3,5.82,0,81
82,2020,11,26,1426,13.14,121.30,4.83,0,1,3,6.52,0,82
83,2020,11,26,1426,.08,117.48,4.96,0,1,1,5.58,0,83
84,2020,11,26,1426,-2.90,138.38,4.95,0,1,1,16.88,0,84
