# 2020 11 29 23 30 UTC  2020 11 30  0 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,29,2332,40.22,118.22,3.78,0,2,1,1.26,0,1
2,2020,11,29,2332,40.20,126.38,3.79,0,2,3,1.06,0,2
3,2020,11,29,2332,39.96,118.56,3.80,0,2,1,1.21,0,3
4,2020,11,29,2332,39.76,126.40,3.81,0,2,3,1.33,0,5
5,2020,11,29,2332,39.76,126.42,3.81,0,2,3,1.33,0,5
6,2020,11,29,2332,39.66,118.40,3.82,0,2,1,1.72,0,7
7,2020,11,29,2332,39.66,118.42,3.82,0,2,1,1.72,0,7
8,2020,11,29,2332,39.60,118.48,3.82,0,2,3,3.15,0,8
9,2020,11,29,2332,39.50,118.68,3.82,0,1,1,2.10,0,11
10,2020,11,29,2332,39.48,118.68,3.83,0,1,1,2.10,0,11
11,2020,11,29,2332,39.48,118.70,3.83,0,1,1,2.10,0,11
12,2020,11,29,2332,39.04,117.50,3.85,0,2,3,1.05,0,13
13,2020,11,29,2332,39.04,117.52,3.85,0,2,3,1.05,0,13
14,2020,11,29,2332,36.18,101.72,4.00,0,1,1,7.60,0,14
15,2020,11,29,2332,36.16,101.74,4.00,0,1,1,7.60,0,15
16,2020,11,29,2332,36.16,101.76,4.00,0,1,3,4.29,0,15
17,2020,11,29,2332,36.16,101.78,4.00,0,1,3,4.29,0,15
18,2020,11,29,2332,36.12,117.82,4.00,0,1,1,3.72,0,18
19,2020,11,29,2332,36.10,117.82,4.00,0,3,1,.75,0,18
20,2020,11,29,2332,36.08,117.82,4.01,0,3,1,.75,0,18
21,2020,11,29,2332,36.08,117.84,4.01,0,3,1,.75,0,18
22,2020,11,29,2332,36.00,129.38,4.01,0,2,1,5.70,0,22
23,2020,11,29,2332,36.00,129.40,4.01,0,2,1,5.70,0,22
24,2020,11,29,2332,35.86,102.50,4.02,0,2,3,.85,0,24
25,2020,11,29,2332,34.46,133.44,4.09,0,2,1,5.31,0,25
26,2020,11,29,2332,34.42,119.84,4.09,0,2,1,6.94,0,26
27,2020,11,29,2332,34.40,119.84,4.09,0,2,1,6.94,0,26
28,2020,11,29,2332,32.20,118.74,4.19,0,2,1,1.19,0,28
29,2020,11,29,2332,32.20,118.76,4.19,0,2,1,1.19,0,28
30,2020,11,29,2332,30.64,114.46,4.26,0,2,1,1.01,0,30
31,2020,11,29,2332,30.52,116.18,4.27,0,2,1,1.15,0,31
32,2020,11,29,2332,30.52,116.20,4.27,0,2,3,1.02,0,31
33,2020,11,29,2332,30.50,116.24,4.27,0,2,1,.98,0,33
34,2020,11,29,2332,30.48,116.24,4.27,0,2,1,.98,0,33
35,2020,11,29,2332,29.72,106.94,4.30,0,1,3,5.59,0,35
36,2020,11,29,2332,29.02,103.26,4.33,0,1,1,2.98,0,37
37,2020,11,29,2332,29.02,103.28,4.33,0,1,1,2.98,0,37
38,2020,11,29,2332,27.90,99.60,4.38,0,2,3,1.94,0,38
39,2020,11,29,2332,26.58,101.64,4.43,0,1,1,4.39,0,39
40,2020,11,29,2332,26.58,101.66,4.43,0,1,1,4.39,0,39
41,2020,11,29,2332,26.58,101.68,4.43,0,1,1,4.39,0,39
42,2020,11,29,2332,26.54,100.62,4.43,0,2,1,5.13,0,43
43,2020,11,29,2332,26.54,100.64,4.43,0,2,3,5.13,0,43
44,2020,11,29,2332,23.68,86.08,4.54,0,2,1,1.58,0,45
45,2020,11,29,2332,23.68,86.10,4.54,0,2,1,1.58,0,45
46,2020,11,29,2332,22.80,86.18,4.57,0,2,1,1.64,0,50
47,2020,11,29,2332,22.80,86.20,4.57,0,2,1,1.64,0,50
48,2020,11,29,2332,22.80,109.52,4.57,0,2,5,2.92,0,48
49,2020,11,29,2332,22.78,86.20,4.57,0,2,1,1.67,0,50
50,2020,11,29,2332,22.78,86.22,4.57,0,2,1,1.68,0,50
51,2020,11,29,2332,22.78,109.52,4.57,0,2,5,2.92,0,48
52,2020,11,29,2332,20.96,85.12,4.63,0,2,1,2.11,0,56
53,2020,11,29,2332,20.96,85.14,4.63,0,2,1,2.11,0,56
54,2020,11,29,2332,20.96,85.16,4.63,0,2,1,2.11,0,56
55,2020,11,29,2332,20.96,85.18,4.63,0,1,1,6.71,0,56
56,2020,11,29,2332,20.96,85.20,4.63,0,1,1,6.71,0,56
57,2020,11,29,2332,19.16,99.90,4.68,0,1,3,4.25,0,57
58,2020,11,29,2332,18.92,95.60,4.69,0,1,1,4.83,0,59
59,2020,11,29,2332,18.92,95.62,4.69,0,1,1,4.83,0,59
60,2020,11,29,2332,18.82,102.10,4.69,0,2,3,3.88,0,60
61,2020,11,29,2332,18.72,103.42,4.69,0,1,1,12.34,0,61
62,2020,11,29,2332,18.64,95.60,4.70,0,1,3,6.42,0,62
63,2020,11,29,2332,14.68,100.96,4.79,0,2,5,2.49,0,63
64,2020,11,29,2338,-11.70,130.80,4.85,0,2,3,6.86,0,64
65,2020,11,29,2338,-14.44,130.74,4.80,0,3,1,1.61,0,65
66,2020,11,29,2338,-14.80,132.08,4.79,0,2,5,15.53,0,68
67,2020,11,29,2338,-14.80,132.10,4.79,0,2,3,7.61,0,68
68,2020,11,29,2338,-14.82,132.08,4.79,0,2,5,19.36,0,68
69,2020,11,29,2338,-14.82,132.10,4.79,0,2,5,14.64,0,68
70,2020,11,29,2338,-15.46,132.98,4.78,0,2,3,7.32,0,70
71,2020,11,29,2338,-15.46,133.00,4.78,0,2,3,4.77,0,70
72,2020,11,29,2338,-15.74,130.22,4.77,0,2,3,7.76,0,72
73,2020,11,29,2338,-15.76,130.20,4.77,0,2,3,5.92,0,73
74,2020,11,29,2338,-15.80,133.38,4.77,0,3,3,2.90,0,74
75,2020,11,29,2338,-16.58,125.02,4.75,0,3,1,1.96,0,75
76,2020,11,29,2338,-16.90,144.06,4.74,0,2,3,7.86,0,76
77,2020,11,29,2338,-16.94,130.74,4.74,0,2,3,8.86,0,77
78,2020,11,29,2338,-17.26,129.36,4.73,0,2,1,8.02,0,79
79,2020,11,29,2338,-17.28,129.36,4.73,0,2,5,21.98,0,79
80,2020,11,29,2338,-17.34,145.12,4.73,0,2,3,22.04,0,82
81,2020,11,29,2338,-17.34,145.14,4.73,0,2,3,19.68,0,82
82,2020,11,29,2338,-17.36,145.10,4.73,0,1,3,65.90,0,82
83,2020,11,29,2338,-17.36,145.12,4.73,0,2,5,46.13,0,82
84,2020,11,29,2338,-17.36,145.14,4.73,0,2,5,38.24,0,82
85,2020,11,29,2338,-17.38,145.06,4.73,0,2,3,22.40,0,85
86,2020,11,29,2338,-17.38,145.12,4.73,0,2,5,44.51,0,82
87,2020,11,29,2338,-17.38,145.14,4.73,0,2,3,37.82,0,82
88,2020,11,29,2338,-17.78,144.10,4.72,0,1,3,25.78,0,88
89,2020,11,29,2338,-18.54,142.34,4.70,0,2,5,29.76,0,89
90,2020,11,29,2338,-18.56,142.34,4.70,0,2,5,24.03,0,89
91,2020,11,29,2338,-20.70,119.02,4.64,0,2,3,1.84,0,91
92,2020,11,29,2338,-20.72,118.98,4.64,0,3,3,1.89,0,94
93,2020,11,29,2338,-20.74,118.96,4.64,0,2,3,2.13,0,94
94,2020,11,29,2338,-20.74,118.98,4.64,0,2,3,2.86,0,94
95,2020,11,29,2338,-21.00,136.98,4.63,0,3,5,33.85,0,98
96,2020,11,29,2338,-21.00,137.00,4.63,0,2,5,71.70,0,98
97,2020,11,29,2338,-21.02,136.98,4.63,0,2,5,14.32,0,98
98,2020,11,29,2338,-21.02,137.00,4.63,0,2,5,94.27,0,98
99,2020,11,29,2338,-21.02,137.02,4.63,0,2,5,46.21,0,98
100,2020,11,29,2338,-21.04,137.00,4.63,0,2,5,19.34,0,98
101,2020,11,29,2338,-21.04,137.02,4.63,0,2,5,34.71,0,98
102,2020,11,29,2338,-21.38,119.00,4.62,0,2,5,4.99,0,104
103,2020,11,29,2338,-21.38,119.02,4.62,0,3,5,13.24,0,104
104,2020,11,29,2338,-21.38,119.04,4.62,0,1,3,21.69,0,104
105,2020,11,29,2338,-21.40,119.00,4.61,0,3,3,2.49,0,104
106,2020,11,29,2338,-21.40,119.02,4.61,0,2,5,9.21,0,104
107,2020,11,29,2338,-21.40,119.04,4.61,0,2,1,2.87,0,104
108,2020,11,29,2338,-25.34,153.10,4.48,0,2,1,12.63,0,109
109,2020,11,29,2338,-25.34,153.12,4.48,0,2,3,28.94,0,109
110,2020,11,29,2338,-25.36,153.06,4.48,0,2,3,23.06,0,113
111,2020,11,29,2338,-25.36,153.08,4.48,0,2,3,17.66,0,113
112,2020,11,29,2338,-25.38,153.06,4.48,0,2,3,18.82,0,113
113,2020,11,29,2338,-25.38,153.08,4.48,0,2,3,31.67,0,113
114,2020,11,29,2338,-25.48,150.92,4.47,0,2,3,15.54,0,114
115,2020,11,29,2338,-25.88,149.16,4.46,0,2,5,30.61,0,115
116,2020,11,29,2338,-25.98,150.86,4.46,0,2,3,23.73,0,116
117,2020,11,29,2338,-27.88,148.20,4.38,0,2,5,18.47,0,118
118,2020,11,29,2338,-27.88,148.22,4.38,0,2,5,28.78,0,118
119,2020,11,29,2338,-28.38,147.84,4.36,0,3,3,4.76,0,120
120,2020,11,29,2338,-28.40,147.84,4.36,0,3,3,4.76,0,120
121,2020,11,29,2338,-33.20,122.24,4.15,0,3,1,3.41,2,121
122,2020,11,29,2338,-33.28,136.92,4.14,0,3,3,2.86,0,122
123,2020,11,29,2338,-33.28,136.94,4.14,0,3,3,2.86,0,122
124,2020,11,29,2338,-33.28,136.96,4.14,0,3,3,2.57,0,122
125,2020,11,29,2338,-33.42,149.54,4.14,0,2,3,2.83,0,126
126,2020,11,29,2338,-33.42,149.56,4.14,0,2,3,2.83,0,126
127,2020,11,29,2338,-33.90,143.16,4.11,0,3,1,1.90,0,127
128,2020,11,29,2338,-35.38,141.94,4.04,0,3,3,2.50,0,129
129,2020,11,29,2338,-35.40,141.94,4.04,0,3,3,2.50,0,129
130,2020,11,29,2338,-36.46,141.84,3.99,0,3,3,4.15,0,133
131,2020,11,29,2338,-36.46,141.86,3.99,0,3,3,4.47,0,133
132,2020,11,29,2338,-36.48,141.84,3.99,0,3,3,4.15,0,133
133,2020,11,29,2338,-36.48,141.86,3.99,0,3,3,4.47,0,133
134,2020,11,29,2338,-37.28,141.08,3.94,0,3,1,2.39,2,134
135,2020,11,29,2338,-37.36,140.56,3.94,0,3,3,3.18,0,135
136,2020,11,29,2338,-37.36,140.58,3.94,0,3,3,3.18,0,135
