# 2020 11 30  0  0 UTC  2020 11 30  0 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,30,0000,41.04,126.28,3.74,0,2,3,1.17,0,1
2,2020,11,30,0000,40.76,125.54,3.75,0,3,1,1.07,0,2
3,2020,11,30,0000,39.76,118.06,3.81,0,3,1,.94,0,5
4,2020,11,30,0000,39.76,118.08,3.81,0,3,1,.94,0,5
5,2020,11,30,0000,39.76,118.10,3.81,0,3,1,1.01,0,5
6,2020,11,30,0000,39.04,117.48,3.85,0,2,1,2.11,0,6
7,2020,11,30,0000,38.88,115.46,3.86,0,2,1,.84,0,8
8,2020,11,30,0000,38.88,115.48,3.86,0,2,1,.84,0,8
9,2020,11,30,0000,36.62,116.22,3.98,0,3,1,.64,0,9
10,2020,11,30,0000,36.10,117.82,4.00,0,2,1,2.62,0,12
11,2020,11,30,0000,36.08,117.82,4.01,0,2,1,2.62,0,12
12,2020,11,30,0000,36.08,117.84,4.01,0,2,1,2.62,0,12
13,2020,11,30,0000,35.86,103.18,4.02,0,1,1,8.84,0,13
14,2020,11,30,0000,32.06,113.94,4.20,0,1,1,6.53,0,15
15,2020,11,30,0000,32.06,113.96,4.20,0,1,1,6.53,0,15
16,2020,11,30,0000,31.70,120.08,4.22,0,3,1,.67,0,16
17,2020,11,30,0000,30.64,114.46,4.26,0,3,1,.67,0,17
18,2020,11,30,0000,29.70,113.94,4.31,0,3,3,.69,0,18
19,2020,11,30,0000,29.68,113.92,4.31,0,2,3,.85,0,19
20,2020,11,30,0000,26.58,101.64,4.43,0,2,1,1.75,0,20
21,2020,11,30,0000,24.40,109.36,4.51,0,2,1,1.20,0,21
22,2020,11,30,0000,24.38,109.38,4.51,0,2,1,1.11,0,22
23,2020,11,30,0006,24.34,107.58,4.52,0,2,1,1.27,0,23
24,2020,11,30,0006,24.32,107.60,4.52,0,2,1,1.05,0,24
25,2020,11,30,0006,24.16,87.28,4.52,0,2,3,3.19,0,26
26,2020,11,30,0006,24.16,87.30,4.52,0,2,3,3.20,0,26
27,2020,11,30,0006,23.86,86.80,4.53,0,1,3,5.99,0,27
28,2020,11,30,0006,23.78,86.34,4.54,0,2,1,4.16,0,30
29,2020,11,30,0006,23.78,86.36,4.54,0,2,1,4.16,0,30
30,2020,11,30,0006,23.78,86.38,4.54,0,2,1,4.16,0,30
31,2020,11,30,0006,23.68,86.08,4.54,0,2,1,1.78,0,32
32,2020,11,30,0006,23.68,86.10,4.54,0,2,1,1.78,0,32
33,2020,11,30,0006,23.50,111.12,4.55,0,2,3,2.59,0,33
34,2020,11,30,0006,23.34,95.32,4.55,0,1,3,4.80,0,34
35,2020,11,30,0006,23.20,110.62,4.56,0,2,5,2.32,0,35
36,2020,11,30,0006,22.94,86.72,4.56,0,1,1,3.55,0,36
37,2020,11,30,0006,22.80,86.18,4.57,0,2,1,1.68,0,38
38,2020,11,30,0006,22.80,86.20,4.57,0,2,1,1.68,0,38
39,2020,11,30,0006,20.96,85.12,4.63,0,2,1,2.38,0,43
40,2020,11,30,0006,20.96,85.14,4.63,0,2,1,2.39,0,43
41,2020,11,30,0006,20.96,85.16,4.63,0,2,1,2.39,0,43
42,2020,11,30,0006,20.96,85.18,4.63,0,2,1,4.13,0,43
43,2020,11,30,0006,20.96,85.20,4.63,0,2,1,4.15,0,43
44,2020,11,30,0006,20.54,94.22,4.64,0,1,1,3.99,0,44
45,2020,11,30,0006,20.32,81.76,4.65,0,2,3,4.21,0,46
46,2020,11,30,0006,20.32,81.78,4.65,0,2,3,4.23,0,46
47,2020,11,30,0006,-11.70,130.80,4.85,0,2,5,13.42,0,47
48,2020,11,30,0006,-12.58,131.32,4.84,0,3,3,2.75,0,48
49,2020,11,30,0006,-14.20,136.62,4.81,0,1,3,76.36,0,49
50,2020,11,30,0006,-14.32,129.90,4.80,0,3,1,4.94,0,50
51,2020,11,30,0006,-14.78,132.08,4.79,0,2,5,20.50,0,51
52,2020,11,30,0006,-14.80,132.08,4.79,0,2,5,18.40,0,51
53,2020,11,30,0006,-14.82,132.08,4.79,0,2,3,18.05,0,51
54,2020,11,30,0006,-15.46,132.98,4.78,0,2,5,11.10,0,54
55,2020,11,30,0006,-15.46,133.00,4.78,0,2,5,10.48,0,54
56,2020,11,30,0006,-15.82,125.02,4.77,0,3,1,2.62,0,57
57,2020,11,30,0006,-15.82,125.04,4.77,0,2,1,2.93,0,57
58,2020,11,30,0006,-16.90,144.06,4.74,0,2,5,57.66,0,58
59,2020,11,30,0006,-16.90,144.08,4.74,0,2,5,34.04,0,58
60,2020,11,30,0006,-17.26,129.36,4.73,0,2,5,28.00,0,60
61,2020,11,30,0006,-17.32,145.12,4.73,0,2,3,16.12,0,69
62,2020,11,30,0006,-17.32,145.14,4.73,0,2,1,8.88,0,69
63,2020,11,30,0006,-17.34,145.12,4.73,0,2,5,22.74,0,69
64,2020,11,30,0006,-17.34,145.14,4.73,0,2,5,63.90,0,69
65,2020,11,30,0006,-17.34,145.16,4.73,0,2,3,17.95,0,69
66,2020,11,30,0006,-17.36,145.12,4.73,0,2,5,62.36,0,69
67,2020,11,30,0006,-17.36,145.14,4.73,0,2,5,51.28,0,69
68,2020,11,30,0006,-17.36,145.16,4.73,0,2,3,23.19,0,69
69,2020,11,30,0006,-17.38,145.12,4.73,0,2,5,84.44,0,69
70,2020,11,30,0006,-17.38,145.14,4.73,0,2,5,62.69,0,69
71,2020,11,30,0006,-18.54,142.34,4.70,0,3,3,12.63,0,71
72,2020,11,30,0006,-20.74,139.84,4.64,0,2,3,8.75,0,73
73,2020,11,30,0006,-20.76,139.84,4.63,0,2,3,14.27,0,73
74,2020,11,30,0006,-21.00,136.98,4.63,0,3,3,10.21,0,77
75,2020,11,30,0006,-21.00,137.00,4.63,0,2,5,34.83,0,77
76,2020,11,30,0006,-21.00,137.02,4.63,0,2,3,7.36,0,77
77,2020,11,30,0006,-21.02,137.00,4.63,0,2,5,37.02,0,77
78,2020,11,30,0006,-21.02,137.02,4.63,0,2,5,28.68,0,77
79,2020,11,30,0006,-21.04,137.02,4.63,0,2,5,18.14,0,77
80,2020,11,30,0006,-21.36,119.02,4.62,0,3,1,3.88,0,83
81,2020,11,30,0006,-21.38,119.00,4.62,0,2,3,8.23,0,83
82,2020,11,30,0006,-21.38,119.02,4.62,0,2,5,50.95,0,83
83,2020,11,30,0006,-21.38,119.04,4.62,0,2,5,55.43,0,83
84,2020,11,30,0006,-21.40,119.02,4.61,0,3,3,4.17,0,83
85,2020,11,30,0006,-23.76,118.54,4.54,0,2,5,7.48,0,87
86,2020,11,30,0006,-23.78,118.52,4.54,0,2,5,8.97,0,88
87,2020,11,30,0006,-23.78,118.54,4.54,0,2,5,9.37,0,87
88,2020,11,30,0006,-23.80,118.52,4.54,0,2,5,8.97,0,88
89,2020,11,30,0006,-25.40,150.56,4.48,0,2,3,13.76,0,89
90,2020,11,30,0006,-25.88,149.16,4.46,0,2,5,47.45,0,90
91,2020,11,30,0006,-27.86,148.20,4.38,0,2,5,12.24,0,93
92,2020,11,30,0006,-27.88,148.20,4.38,0,3,5,17.16,0,93
93,2020,11,30,0006,-27.88,148.22,4.38,0,2,5,24.43,0,93
94,2020,11,30,0006,-28.38,147.84,4.36,0,2,3,5.97,0,95
95,2020,11,30,0006,-28.40,147.84,4.36,0,2,3,5.97,0,95
96,2020,11,30,0011,-31.26,122.76,4.24,0,3,1,2.16,2,96
97,2020,11,30,0011,-31.26,122.78,4.24,0,3,1,2.16,2,96
98,2020,11,30,0011,-33.42,149.58,4.14,0,2,3,2.65,0,98
99,2020,11,30,0011,-36.46,141.84,3.99,0,3,3,6.03,0,101
100,2020,11,30,0011,-36.46,141.86,3.99,0,3,3,4.71,0,101
101,2020,11,30,0011,-36.48,141.84,3.99,0,3,3,6.03,0,101
102,2020,11,30,0011,-36.48,141.86,3.99,0,3,3,4.71,0,101
103,2020,11,30,0011,-36.50,141.82,3.98,0,3,1,5.68,0,103
104,2020,11,30,0011,-36.50,141.94,3.98,0,3,3,6.04,0,104
105,2020,11,30,0011,-36.52,141.94,3.98,0,3,3,5.28,0,104
106,2020,11,30,0011,-37.34,140.56,3.94,0,3,3,4.29,0,106
107,2020,11,30,0011,-37.34,140.58,3.94,0,3,3,4.29,0,106
108,2020,11,30,0011,-37.36,140.56,3.94,0,3,3,3.25,0,106
109,2020,11,30,0011,-37.36,140.58,3.94,0,3,3,3.25,0,106
