# 2020 11 30 23 50 UTC  2020 12  1  0 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,11,30,2349,42.66,131.00,3.65,0,3,5,3.07,0,2
2,2020,11,30,2349,42.66,131.02,3.65,0,2,3,5.55,0,2
3,2020,11,30,2349,41.90,124.22,3.69,0,3,3,.63,0,3
4,2020,11,30,2349,41.46,126.50,3.71,0,2,3,.81,0,6
5,2020,11,30,2349,41.44,126.50,3.72,0,2,3,.81,0,6
6,2020,11,30,2349,41.44,126.52,3.72,0,2,1,.81,0,6
7,2020,11,30,2349,41.32,125.44,3.72,0,2,3,1.16,0,7
8,2020,11,30,2349,39.96,118.54,3.80,0,2,1,.75,0,8
9,2020,11,30,2349,39.82,118.04,3.81,0,2,3,1.23,0,9
10,2020,11,30,2349,39.62,118.44,3.82,0,2,3,1.68,0,12
11,2020,11,30,2349,39.62,118.46,3.82,0,2,3,1.68,0,12
12,2020,11,30,2349,39.60,118.46,3.82,0,2,3,1.68,0,12
13,2020,11,30,2354,36.00,129.36,4.01,0,2,1,3.40,0,14
14,2020,11,30,2354,36.00,129.38,4.01,0,2,1,5.71,0,14
15,2020,11,30,2354,36.00,129.40,4.01,0,2,1,5.71,0,14
16,2020,11,30,2354,34.42,119.84,4.09,0,2,1,8.55,0,16
17,2020,11,30,2354,34.40,119.84,4.09,0,2,1,8.55,0,16
18,2020,11,30,2354,30.06,91.76,4.29,0,2,3,.95,0,18
19,2020,11,30,2354,30.04,91.78,4.29,0,2,3,.97,0,20
20,2020,11,30,2354,30.04,91.80,4.29,0,2,3,.97,0,20
21,2020,11,30,2354,27.74,100.74,4.39,0,1,1,10.96,0,24
22,2020,11,30,2354,27.74,100.76,4.39,0,1,1,10.96,0,24
23,2020,11,30,2354,27.72,100.72,4.39,0,1,3,17.01,0,24
24,2020,11,30,2354,27.72,100.74,4.39,0,1,3,17.01,0,24
25,2020,11,30,2354,27.72,100.76,4.39,0,1,1,15.29,0,24
26,2020,11,30,2354,26.60,101.62,4.43,0,2,1,1.86,0,26
27,2020,11,30,2354,26.60,101.64,4.43,0,2,1,1.86,0,26
28,2020,11,30,2354,25.94,100.10,4.46,0,1,3,9.83,0,28
29,2020,11,30,2354,25.94,100.12,4.46,0,1,3,9.83,0,28
30,2020,11,30,2354,25.92,100.12,4.46,0,1,3,9.60,0,28
31,2020,11,30,2354,25.90,100.12,4.46,0,1,3,9.24,0,28
32,2020,11,30,2354,25.90,100.14,4.46,0,1,3,9.60,0,28
33,2020,11,30,2354,25.88,100.14,4.46,0,1,3,9.24,0,28
34,2020,11,30,2354,25.84,100.16,4.46,0,2,3,4.23,0,34
35,2020,11,30,2354,25.82,100.14,4.46,0,1,3,6.88,0,37
