# 2020 12  5 23 20 UTC  2020 12  6  0  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,5,2321,41.34,124.16,3.72,0,2,3,.59,0,2
2,2020,12,5,2321,41.34,124.18,3.72,0,2,3,.59,0,2
3,2020,12,5,2321,41.16,122.98,3.73,0,2,1,1.95,0,3
4,2020,12,5,2321,40.54,141.50,3.77,0,2,1,6.91,0,4
5,2020,12,5,2321,40.12,118.72,3.79,0,2,3,.92,0,5
6,2020,12,5,2321,40.10,118.72,3.79,0,2,3,.92,0,5
7,2020,12,5,2321,38.76,114.44,3.87,0,1,3,8.30,0,10
8,2020,12,5,2321,38.74,114.44,3.87,0,1,3,8.30,0,10
9,2020,12,5,2321,38.74,114.46,3.87,0,1,3,8.30,0,10
10,2020,12,5,2321,38.74,114.48,3.87,0,1,1,8.68,0,10
11,2020,12,5,2321,37.94,112.52,3.91,0,2,1,2.85,0,11
12,2020,12,5,2321,37.58,112.24,3.93,0,2,1,1.14,0,12
13,2020,12,5,2321,37.58,115.58,3.93,0,2,1,.92,0,13
14,2020,12,5,2321,37.58,115.60,3.93,0,2,1,.92,0,13
15,2020,12,5,2321,36.74,114.10,3.97,0,1,1,2.50,0,15
16,2020,12,5,2321,36.62,114.42,3.98,0,2,1,.82,0,16
17,2020,12,5,2321,36.60,114.44,3.98,0,2,1,.58,0,17
18,2020,12,5,2321,36.44,117.56,3.99,0,1,1,7.11,0,18
19,2020,12,5,2321,36.44,117.58,3.99,0,1,1,7.11,0,18
20,2020,12,5,2321,36.42,114.26,3.99,0,1,3,3.07,0,21
21,2020,12,5,2321,36.42,114.28,3.99,0,1,3,3.28,0,21
22,2020,12,5,2321,36.42,114.30,3.99,0,1,3,3.28,0,21
23,2020,12,5,2321,36.42,117.58,3.99,0,1,1,7.11,0,18
24,2020,12,5,2321,35.74,138.42,4.02,0,2,3,1.14,0,24
25,2020,12,5,2321,35.70,111.42,4.03,0,2,1,.96,0,25
26,2020,12,5,2321,35.70,111.44,4.03,0,2,1,.96,0,25
27,2020,12,5,2321,35.68,111.44,4.03,0,2,1,.96,0,25
28,2020,12,5,2321,35.62,110.56,4.03,0,2,1,2.58,0,28
29,2020,12,5,2321,35.62,110.58,4.03,0,2,1,2.58,0,28
30,2020,12,5,2321,34.44,119.82,4.09,0,2,1,3.84,0,32
31,2020,12,5,2321,34.44,119.84,4.09,0,2,1,3.84,0,32
32,2020,12,5,2321,34.42,119.84,4.09,0,2,1,9.23,0,32
33,2020,12,5,2321,34.40,119.84,4.09,0,2,1,9.23,0,32
34,2020,12,5,2321,33.72,113.20,4.12,0,2,3,1.82,0,34
35,2020,12,5,2321,33.72,113.22,4.12,0,2,3,1.82,0,34
36,2020,12,5,2321,33.54,117.16,4.13,0,2,1,.85,0,38
37,2020,12,5,2321,33.54,117.18,4.13,0,2,1,.85,0,38
38,2020,12,5,2321,33.52,117.18,4.13,0,2,1,.85,0,38
39,2020,12,5,2321,33.40,113.30,4.14,0,2,3,2.78,0,39
40,2020,12,5,2321,33.40,113.32,4.14,0,2,3,2.78,0,39
41,2020,12,5,2321,33.38,113.28,4.14,0,2,3,2.54,0,39
42,2020,12,5,2321,33.38,113.30,4.14,0,2,3,2.54,0,39
43,2020,12,5,2321,32.98,113.54,4.16,0,1,3,3.26,0,43
44,2020,12,5,2321,32.98,113.56,4.16,0,1,3,3.26,0,43
45,2020,12,5,2321,32.98,113.58,4.16,0,2,3,1.69,0,43
46,2020,12,5,2321,32.98,113.60,4.16,0,2,3,1.37,0,43
47,2020,12,5,2321,32.20,118.74,4.19,0,2,1,1.00,0,47
48,2020,12,5,2321,31.70,120.08,4.22,0,2,1,1.31,0,48
49,2020,12,5,2321,30.52,116.20,4.27,0,2,3,1.50,0,49
50,2020,12,5,2321,26.58,101.64,4.43,0,2,1,3.91,0,50
51,2020,12,5,2321,26.58,101.66,4.43,0,2,1,3.37,0,50
52,2020,12,5,2321,26.58,101.68,4.43,0,2,1,3.37,0,50
53,2020,12,5,2321,26.40,114.84,4.44,0,2,1,2.05,0,53
54,2020,12,5,2321,25.74,114.24,4.46,0,2,5,6.62,0,54
55,2020,12,5,2321,25.72,114.24,4.47,0,2,5,5.23,0,54
56,2020,12,5,2321,25.66,114.20,4.47,0,2,3,2.87,0,56
57,2020,12,5,2321,24.86,109.90,4.50,0,2,3,1.83,0,57
58,2020,12,5,2321,24.84,109.90,4.50,0,2,3,1.83,0,57
59,2020,12,5,2321,24.48,115.38,4.51,0,2,3,2.03,0,60
60,2020,12,5,2321,24.46,115.38,4.51,0,1,1,6.27,0,60
61,2020,12,5,2321,24.26,113.40,4.52,0,2,3,1.01,0,61
62,2020,12,5,2321,24.00,115.72,4.53,0,2,5,2.49,0,62
63,2020,12,5,2321,23.78,86.34,4.54,0,2,1,4.08,0,65
64,2020,12,5,2321,23.78,86.36,4.54,0,2,1,4.08,0,65
65,2020,12,5,2321,23.78,86.38,4.54,0,2,1,4.08,0,65
66,2020,12,5,2321,23.76,85.74,4.54,0,2,1,3.43,0,66
67,2020,12,5,2321,23.74,85.76,4.54,0,2,3,3.71,0,70
68,2020,12,5,2321,23.74,85.78,4.54,0,2,3,3.73,0,70
69,2020,12,5,2321,23.74,85.80,4.54,0,1,3,4.55,0,70
70,2020,12,5,2321,23.74,85.82,4.54,0,1,3,4.55,0,70
71,2020,12,5,2321,23.04,108.88,4.56,0,2,5,6.69,0,73
72,2020,12,5,2321,23.04,108.90,4.56,0,2,5,6.69,0,73
73,2020,12,5,2321,23.02,108.90,4.56,0,2,5,12.40,0,73
74,2020,12,5,2321,22.96,86.68,4.56,0,2,3,2.24,0,74
75,2020,12,5,2321,22.60,109.20,4.58,0,2,3,1.74,0,75
76,2020,12,5,2321,22.58,108.30,4.58,0,2,3,1.80,0,76
77,2020,12,5,2321,22.54,105.30,4.58,0,1,1,5.83,0,77
78,2020,12,5,2321,22.38,110.68,4.58,0,2,5,3.91,0,78
79,2020,12,5,2321,21.96,107.86,4.60,0,2,5,3.14,0,79
80,2020,12,5,2321,21.58,105.68,4.61,0,1,5,9.20,0,80
81,2020,12,5,2321,21.56,105.70,4.61,0,1,5,6.32,0,81
82,2020,12,5,2321,21.56,105.72,4.61,0,1,3,5.40,0,81
83,2020,12,5,2321,21.56,106.56,4.61,0,2,3,1.71,0,84
84,2020,12,5,2321,21.54,106.56,4.61,0,2,3,2.83,0,84
85,2020,12,5,2321,20.96,85.12,4.63,0,2,1,5.02,0,87
86,2020,12,5,2321,20.96,85.14,4.63,0,2,1,5.02,0,87
87,2020,12,5,2321,20.96,85.16,4.63,0,2,1,5.02,0,87
88,2020,12,5,2321,20.96,85.18,4.63,0,2,1,4.48,0,87
89,2020,12,5,2321,20.96,85.20,4.63,0,2,1,4.48,0,87
90,2020,12,5,2321,20.82,105.24,4.63,0,1,3,8.39,0,90
91,2020,12,5,2321,20.82,105.26,4.63,0,1,3,8.35,0,90
92,2020,12,5,2321,20.80,105.22,4.63,0,1,1,6.41,0,90
93,2020,12,5,2321,20.80,105.24,4.63,0,1,3,6.41,0,90
94,2020,12,5,2321,20.60,96.90,4.64,0,1,1,5.10,0,94
95,2020,12,5,2321,19.08,95.44,4.68,0,2,1,2.56,0,95
96,2020,12,5,2321,18.72,103.42,4.69,0,1,1,11.61,0,96
97,2020,12,5,2321,18.38,96.28,4.70,0,1,1,5.40,0,97
98,2020,12,5,2321,18.10,96.92,4.71,0,1,1,3.39,0,98
99,2020,12,5,2321,18.08,96.94,4.71,0,1,3,3.94,0,99
100,2020,12,5,2326,17.34,98.86,4.73,0,1,3,7.90,0,100
101,2020,12,5,2326,17.34,102.60,4.73,0,1,3,5.42,0,101
102,2020,12,5,2326,17.32,102.58,4.73,0,1,3,7.51,0,102
103,2020,12,5,2326,17.26,98.88,4.73,0,1,3,12.63,0,103
104,2020,12,5,2326,17.24,104.18,4.73,0,1,3,7.56,0,104
105,2020,12,5,2326,15.78,105.40,4.77,0,2,3,1.73,0,105
106,2020,12,5,2326,15.70,99.48,4.77,0,1,3,3.14,0,106
107,2020,12,5,2326,15.36,104.06,4.78,0,2,1,1.35,0,107
108,2020,12,5,2326,15.36,104.08,4.78,0,2,1,1.35,0,107
109,2020,12,5,2326,14.94,101.02,4.79,0,1,1,5.42,0,109
110,2020,12,5,2326,14.94,101.04,4.79,0,1,1,5.42,0,109
111,2020,12,5,2326,14.80,101.48,4.79,0,1,3,4.03,0,113
112,2020,12,5,2326,14.80,101.50,4.79,0,1,3,4.03,0,113
113,2020,12,5,2326,14.78,101.48,4.79,0,1,3,6.75,0,113
114,2020,12,5,2326,14.78,101.50,4.79,0,1,3,6.75,0,113
115,2020,12,5,2326,12.90,99.58,4.83,0,1,1,7.63,0,115
116,2020,12,5,2326,12.72,105.98,4.83,0,1,1,5.03,0,116
117,2020,12,5,2326,1.44,125.12,4.96,0,3,1,1.77,0,117
118,2020,12,5,2326,-4.22,152.18,4.94,0,3,1,2.82,0,118
119,2020,12,5,2326,-9.28,147.02,4.89,0,3,3,4.08,0,119
120,2020,12,5,2326,-12.18,141.92,4.85,0,3,3,3.79,0,120
121,2020,12,5,2326,-13.42,135.62,4.82,0,3,1,1.72,0,121
122,2020,12,5,2326,-14.12,142.48,4.81,0,2,3,15.72,0,122
123,2020,12,5,2326,-14.78,132.02,4.79,0,3,1,2.51,0,125
124,2020,12,5,2326,-14.78,132.04,4.79,0,3,1,2.37,0,125
125,2020,12,5,2326,-14.80,132.02,4.79,0,3,3,2.91,0,125
126,2020,12,5,2326,-15.14,143.88,4.78,0,2,3,14.19,0,126
127,2020,12,5,2326,-15.54,144.66,4.78,0,2,1,6.68,0,128
128,2020,12,5,2326,-15.54,144.68,4.78,0,1,3,36.40,0,128
129,2020,12,5,2326,-15.92,142.26,4.77,0,2,3,6.09,0,129
130,2020,12,5,2326,-15.94,142.28,4.77,0,2,3,2.89,0,130
131,2020,12,5,2326,-16.18,142.08,4.76,0,2,3,10.86,0,132
132,2020,12,5,2326,-16.20,142.04,4.76,0,2,3,29.90,0,132
133,2020,12,5,2326,-16.20,142.06,4.76,0,2,3,20.17,0,132
134,2020,12,5,2326,-16.20,142.08,4.76,0,2,3,13.16,0,132
135,2020,12,5,2326,-16.22,142.04,4.76,0,2,1,8.11,0,132
136,2020,12,5,2326,-16.82,144.30,4.74,0,2,3,11.49,0,136
137,2020,12,5,2326,-16.84,143.74,4.74,0,2,5,20.67,0,137
138,2020,12,5,2326,-17.10,135.60,4.74,0,2,5,10.44,0,138
139,2020,12,5,2326,-17.16,142.62,4.74,0,3,3,2.33,0,139
140,2020,12,5,2326,-17.16,142.64,4.74,0,3,1,2.19,0,139
141,2020,12,5,2326,-17.44,143.94,4.73,0,2,3,14.68,0,141
142,2020,12,5,2326,-17.46,143.90,4.73,0,2,3,12.79,0,142
143,2020,12,5,2326,-17.90,144.14,4.72,0,2,3,7.31,0,143
144,2020,12,5,2326,-17.92,144.14,4.72,0,2,3,6.64,0,143
145,2020,12,5,2326,-17.96,145.04,4.72,0,2,1,7.87,0,145
146,2020,12,5,2326,-18.10,143.08,4.71,0,2,3,10.45,0,147
147,2020,12,5,2326,-18.10,143.10,4.71,0,2,5,46.25,0,147
148,2020,12,5,2326,-18.50,142.30,4.70,0,2,3,9.80,0,148
149,2020,12,5,2326,-18.58,143.06,4.70,0,2,3,8.95,0,149
150,2020,12,5,2326,-18.96,143.22,4.69,0,2,3,16.21,0,150
151,2020,12,5,2326,-19.06,143.48,4.68,0,2,3,7.57,0,151
152,2020,12,5,2326,-19.28,143.28,4.68,0,2,3,6.49,0,152
153,2020,12,5,2326,-19.52,143.60,4.67,0,2,3,10.03,0,154
154,2020,12,5,2326,-19.54,143.60,4.67,0,2,3,10.84,0,154
155,2020,12,5,2326,-19.92,140.06,4.66,0,2,1,2.80,0,155
156,2020,12,5,2326,-20.06,139.46,4.66,0,2,5,19.09,0,156
157,2020,12,5,2326,-21.00,136.96,4.63,0,2,3,3.72,0,160
158,2020,12,5,2326,-21.02,136.94,4.63,0,3,3,3.42,0,160
159,2020,12,5,2326,-21.02,136.96,4.63,0,2,3,4.08,0,160
160,2020,12,5,2326,-21.02,136.98,4.63,0,2,3,4.50,0,160
161,2020,12,5,2326,-21.04,136.96,4.63,0,3,3,3.57,0,160
162,2020,12,5,2326,-21.04,136.98,4.63,0,2,3,4.08,0,160
163,2020,12,5,2326,-21.04,137.00,4.63,0,3,1,3.04,0,160
164,2020,12,5,2326,-21.06,136.96,4.63,0,3,3,3.06,0,160
165,2020,12,5,2326,-21.06,136.98,4.63,0,2,3,3.98,0,160
166,2020,12,5,2326,-21.06,137.00,4.63,0,2,3,3.37,0,160
167,2020,12,5,2326,-21.08,136.96,4.62,0,3,1,2.90,0,160
168,2020,12,5,2326,-21.08,136.98,4.62,0,2,3,3.23,0,160
169,2020,12,5,2326,-21.08,137.00,4.62,0,3,1,2.95,0,160
170,2020,12,5,2326,-21.10,136.88,4.62,0,2,3,3.03,0,170
171,2020,12,5,2326,-21.10,136.90,4.62,0,2,3,2.97,0,170
172,2020,12,5,2326,-21.12,136.90,4.62,0,2,3,2.76,0,170
173,2020,12,5,2326,-24.94,148.16,4.49,0,2,3,17.32,0,173
174,2020,12,5,2326,-24.94,148.18,4.49,0,2,3,17.32,0,173
175,2020,12,5,2326,-29.04,130.14,4.33,0,3,3,2.31,2,175
176,2020,12,5,2326,-29.04,130.16,4.33,0,3,1,2.23,2,175
177,2020,12,5,2326,-29.06,130.16,4.33,0,3,3,2.22,2,175
178,2020,12,5,2326,-29.20,129.82,4.33,0,3,3,1.54,0,179
179,2020,12,5,2326,-29.20,129.84,4.33,0,3,3,2.37,2,179
180,2020,12,5,2326,-29.22,129.80,4.33,0,3,3,1.52,0,180
181,2020,12,5,2326,-29.26,129.68,4.32,0,3,3,3.75,2,181
182,2020,12,5,2326,-29.28,129.68,4.32,0,3,3,2.43,0,181
183,2020,12,5,2326,-29.28,129.70,4.32,0,3,3,2.79,0,181
184,2020,12,5,2326,-29.28,129.72,4.32,0,3,3,3.02,2,181
185,2020,12,5,2326,-32.24,148.62,4.19,0,2,3,2.27,0,185
186,2020,12,5,2326,-32.26,148.62,4.19,0,3,3,1.79,0,185
187,2020,12,5,2326,-32.28,148.62,4.19,0,3,3,1.79,0,185
