# 2020 12  7 23 40 UTC  2020 12  8  0 20 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,7,2343,40.68,122.42,3.76,0,2,1,.76,0,1
2,2020,12,7,2343,39.96,118.56,3.80,0,2,1,1.76,0,2
3,2020,12,7,2343,39.66,118.40,3.82,0,2,1,1.71,0,4
4,2020,12,7,2343,39.66,118.42,3.82,0,2,1,1.71,0,4
5,2020,12,7,2343,38.92,106.46,3.86,0,2,1,.74,0,5
6,2020,12,7,2343,38.88,115.46,3.86,0,2,1,.51,0,7
7,2020,12,7,2343,38.88,115.48,3.86,0,2,1,.51,0,7
8,2020,12,7,2343,38.58,114.16,3.87,0,2,3,.94,0,8
9,2020,12,7,2343,37.58,112.24,3.93,0,2,3,.55,0,9
10,2020,12,7,2343,36.74,114.10,3.97,0,2,1,.63,0,10
11,2020,12,7,2343,36.62,116.22,3.98,0,3,1,.34,0,11
12,2020,12,7,2343,36.60,116.20,3.98,0,2,1,.48,0,12
13,2020,12,7,2343,36.54,118.10,3.98,0,3,3,.51,0,15
14,2020,12,7,2343,36.52,118.10,3.98,0,3,3,.51,0,15
15,2020,12,7,2343,36.52,118.12,3.98,0,3,3,.51,0,15
16,2020,12,7,2343,36.10,117.82,4.00,0,1,1,3.13,0,18
17,2020,12,7,2343,36.08,117.82,4.01,0,1,1,3.13,0,18
18,2020,12,7,2343,36.08,117.84,4.01,0,1,1,3.13,0,18
19,2020,12,7,2343,34.44,119.82,4.09,0,3,1,1.44,0,21
20,2020,12,7,2343,34.44,119.84,4.09,0,3,1,1.44,0,21
21,2020,12,7,2343,34.42,119.84,4.09,0,2,1,3.11,0,21
22,2020,12,7,2343,34.40,119.84,4.09,0,2,1,3.11,0,21
23,2020,12,7,2343,30.92,105.00,4.25,0,1,3,3.41,0,23
24,2020,12,7,2343,26.60,101.62,4.43,0,2,1,1.08,0,26
25,2020,12,7,2343,26.60,101.64,4.43,0,2,1,1.08,0,26
26,2020,12,7,2343,26.58,101.64,4.43,0,2,1,2.08,0,26
27,2020,12,7,2343,26.58,101.66,4.43,0,2,1,2.01,0,26
28,2020,12,7,2343,26.58,101.68,4.43,0,2,1,2.01,0,26
29,2020,12,7,2343,26.18,99.90,4.45,0,2,1,2.10,0,29
30,2020,12,7,2343,24.28,113.42,4.52,0,2,3,.94,0,30
