# 2020 12  9 16 30 UTC  2020 12  9 17 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,9,1630,43.64,126.92,3.59,0,2,3,2.07,0,1
2,2020,12,9,1630,43.64,126.94,3.59,0,2,3,2.07,0,1
3,2020,12,9,1630,43.62,126.94,3.59,0,2,3,2.07,0,1
4,2020,12,9,1630,42.56,124.20,3.65,0,2,3,1.17,0,4
5,2020,12,9,1630,42.56,124.22,3.65,0,2,3,1.17,0,4
6,2020,12,9,1630,42.26,124.00,3.67,0,2,3,.95,0,7
7,2020,12,9,1630,42.24,124.00,3.67,0,2,3,.95,0,7
8,2020,12,9,1630,42.24,124.02,3.67,0,2,3,.95,0,7
9,2020,12,9,1630,41.28,123.72,3.72,0,2,1,1.40,0,9
10,2020,12,9,1630,41.26,123.72,3.73,0,2,1,1.40,0,9
11,2020,12,9,1630,41.22,123.62,3.73,0,1,1,2.20,0,11
12,2020,12,9,1630,41.16,122.98,3.73,0,1,1,6.13,0,12
13,2020,12,9,1630,41.16,123.00,3.73,0,2,1,1.50,0,12
14,2020,12,9,1630,41.14,122.98,3.73,0,2,1,4.10,0,12
15,2020,12,9,1630,41.12,122.98,3.73,0,2,1,4.10,0,12
16,2020,12,9,1630,41.12,123.00,3.73,0,2,1,4.10,0,12
17,2020,12,9,1630,40.66,122.56,3.76,0,2,1,2.13,0,17
18,2020,12,9,1630,40.66,122.58,3.76,0,2,1,1.22,0,17
19,2020,12,9,1630,40.64,122.56,3.76,0,2,1,2.13,0,17
20,2020,12,9,1630,40.64,122.58,3.76,0,2,1,1.22,0,17
21,2020,12,9,1630,40.62,122.56,3.76,0,2,1,.81,0,17
22,2020,12,9,1630,40.42,140.86,3.77,0,2,3,1.98,0,22
23,2020,12,9,1630,40.04,117.52,3.79,0,2,1,1.02,0,23
24,2020,12,9,1630,39.96,118.54,3.80,0,2,1,1.02,0,25
25,2020,12,9,1630,39.96,118.56,3.80,0,1,1,2.84,0,25
26,2020,12,9,1630,39.74,140.66,3.81,0,2,3,3.50,0,26
27,2020,12,9,1630,39.72,140.64,3.81,0,2,3,1.79,0,27
28,2020,12,9,1630,39.68,118.88,3.81,0,2,1,2.75,0,28
29,2020,12,9,1630,39.68,118.90,3.81,0,2,1,2.75,0,28
30,2020,12,9,1630,39.66,118.40,3.82,0,1,1,3.09,0,30
31,2020,12,9,1630,39.66,118.42,3.82,0,1,1,3.09,0,30
32,2020,12,9,1630,39.66,118.90,3.82,0,2,1,2.75,0,28
33,2020,12,9,1630,39.60,118.48,3.82,0,2,1,1.17,0,33
34,2020,12,9,1630,39.50,110.52,3.82,0,1,3,4.15,0,34
35,2020,12,9,1630,39.50,110.54,3.82,0,1,3,4.15,0,34
36,2020,12,9,1630,39.48,110.54,3.83,0,1,3,4.15,0,34
37,2020,12,9,1630,39.36,106.94,3.83,0,2,1,.61,0,37
38,2020,12,9,1630,39.10,110.74,3.85,0,2,1,.82,0,38
39,2020,12,9,1630,39.10,110.76,3.85,0,2,1,.82,0,38
40,2020,12,9,1630,38.94,106.40,3.86,0,2,1,2.19,0,42
41,2020,12,9,1630,38.94,106.42,3.86,0,2,1,2.19,0,42
42,2020,12,9,1630,38.94,106.44,3.86,0,2,1,2.58,0,42
43,2020,12,9,1630,38.92,106.46,3.86,0,2,1,2.35,0,43
44,2020,12,9,1630,38.26,106.52,3.89,0,2,1,.72,0,44
45,2020,12,9,1630,37.94,112.52,3.91,0,2,1,3.10,0,45
46,2020,12,9,1630,37.60,112.20,3.93,0,2,1,.51,0,46
47,2020,12,9,1630,37.58,112.22,3.93,0,2,1,.65,0,48
48,2020,12,9,1630,37.58,112.24,3.93,0,2,3,1.22,0,48
49,2020,12,9,1630,37.52,140.08,3.93,0,2,3,2.01,0,49
50,2020,12,9,1630,35.92,115.68,4.01,0,2,3,.96,0,50
51,2020,12,9,1630,35.92,115.70,4.01,0,2,3,.96,0,50
52,2020,12,9,1630,35.04,136.86,4.06,0,2,1,3.75,0,53
53,2020,12,9,1630,35.04,136.88,4.06,0,2,1,4.00,0,53
54,2020,12,9,1630,34.46,133.44,4.09,0,2,1,4.13,0,54
55,2020,12,9,1630,27.74,102.20,4.39,0,2,1,3.21,0,55
56,2020,12,9,1630,26.58,101.64,4.43,0,2,1,5.53,0,56
57,2020,12,9,1636,23.78,86.34,4.54,0,2,1,3.63,0,59
58,2020,12,9,1636,23.78,86.36,4.54,0,2,1,3.63,0,59
59,2020,12,9,1636,23.78,86.38,4.54,0,2,1,3.63,0,59
60,2020,12,9,1636,22.80,86.18,4.57,0,2,1,3.90,0,61
61,2020,12,9,1636,22.80,86.20,4.57,0,2,1,3.90,0,61
62,2020,12,9,1636,22.78,86.20,4.57,0,2,1,2.33,0,61
63,2020,12,9,1636,22.78,86.22,4.57,0,2,1,2.33,0,61
64,2020,12,9,1636,22.42,104.04,4.58,0,2,3,3.28,0,64
65,2020,12,9,1636,22.40,104.06,4.58,0,2,3,4.39,0,65
66,2020,12,9,1636,22.12,82.90,4.59,0,2,1,3.57,0,67
67,2020,12,9,1636,22.12,82.92,4.59,0,2,1,3.58,0,67
68,2020,12,9,1636,21.36,81.68,4.62,0,2,1,2.72,0,68
69,2020,12,9,1636,20.96,85.12,4.63,0,2,1,2.78,0,73
70,2020,12,9,1636,20.96,85.14,4.63,0,2,1,2.78,0,73
71,2020,12,9,1636,20.96,85.16,4.63,0,2,1,2.79,0,73
72,2020,12,9,1636,20.96,85.18,4.63,0,2,1,5.91,0,73
73,2020,12,9,1636,20.96,85.20,4.63,0,2,1,5.92,0,73
74,2020,12,9,1636,20.60,96.90,4.64,0,1,1,5.30,0,74
75,2020,12,9,1636,19.90,97.00,4.66,0,1,3,7.31,0,77
76,2020,12,9,1636,19.90,97.02,4.66,0,1,3,7.31,0,77
77,2020,12,9,1636,19.88,97.02,4.66,0,1,1,7.42,0,77
78,2020,12,9,1636,18.32,104.66,4.71,0,1,1,3.49,0,78
79,2020,12,9,1636,18.32,104.68,4.71,0,1,1,3.49,0,78
80,2020,12,9,1636,17.72,96.32,4.72,0,2,1,3.93,0,80
81,2020,12,9,1636,17.28,96.30,4.73,0,2,1,3.04,0,81
82,2020,12,9,1636,17.24,98.92,4.73,0,1,3,5.28,0,82
83,2020,12,9,1636,17.24,104.16,4.73,0,1,1,8.22,0,84
84,2020,12,9,1636,17.22,104.16,4.73,0,1,1,8.34,0,84
85,2020,12,9,1636,15.62,101.88,4.77,0,2,3,2.54,0,85
86,2020,12,9,1636,14.84,99.64,4.79,0,1,3,9.29,0,86
87,2020,12,9,1636,14.78,101.48,4.79,0,1,3,4.42,0,87
88,2020,12,9,1636,14.78,101.50,4.79,0,1,3,4.42,0,87
89,2020,12,9,1636,14.76,101.50,4.79,0,2,3,3.60,0,87
90,2020,12,9,1636,-6.26,142.98,4.93,0,1,3,6.85,0,90
91,2020,12,9,1636,-16.48,144.00,4.75,0,1,3,4.24,0,91
92,2020,12,9,1636,-18.70,143.08,4.69,0,2,3,3.31,0,92
93,2020,12,9,1636,-18.70,143.10,4.69,0,2,3,3.15,0,92
94,2020,12,9,1636,-18.72,141.96,4.69,0,2,3,2.54,0,94
95,2020,12,9,1636,-18.74,141.98,4.69,0,2,3,3.27,0,95
96,2020,12,9,1636,-19.04,143.52,4.69,0,2,3,3.12,0,96
97,2020,12,9,1636,-19.24,143.22,4.68,0,2,3,2.47,0,97
98,2020,12,9,1636,-19.32,143.36,4.68,0,2,3,2.88,0,98
99,2020,12,9,1636,-19.34,143.36,4.68,0,2,3,2.68,0,98
100,2020,12,9,1636,-19.42,143.60,4.67,0,2,3,1.86,0,101
101,2020,12,9,1636,-19.44,143.60,4.67,0,2,5,3.46,0,101
102,2020,12,9,1636,-19.44,143.62,4.67,0,2,3,2.19,0,101
103,2020,12,9,1636,-19.46,143.62,4.67,0,2,3,1.91,0,101
104,2020,12,9,1636,-19.46,143.64,4.67,0,2,3,2.25,0,101
105,2020,12,9,1636,-21.90,119.90,4.60,0,2,3,2.92,0,105
106,2020,12,9,1636,-22.92,137.66,4.57,0,1,1,3.81,0,106
107,2020,12,9,1636,-25.06,121.22,4.49,0,2,1,1.89,0,107
108,2020,12,9,1636,-25.72,151.10,4.47,0,2,3,2.11,0,109
