# 2020 12  9 23 20 UTC  2020 12 10  0  3 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,9,2321,41.74,120.98,3.70,0,2,1,1.25,0,3
2,2020,12,9,2321,41.72,120.98,3.70,0,2,1,1.25,0,3
3,2020,12,9,2321,41.70,120.98,3.70,0,2,1,1.69,0,3
4,2020,12,9,2321,41.70,121.00,3.70,0,2,1,1.69,0,3
5,2020,12,9,2321,41.42,124.28,3.72,0,2,3,.85,0,5
6,2020,12,9,2321,41.28,123.72,3.72,0,3,1,.83,0,8
7,2020,12,9,2321,41.28,123.74,3.72,0,2,1,.82,0,8
8,2020,12,9,2321,41.26,123.72,3.73,0,3,1,.83,0,8
9,2020,12,9,2321,41.26,123.74,3.73,0,2,1,.82,0,8
10,2020,12,9,2321,41.14,122.98,3.73,0,1,1,8.46,0,12
11,2020,12,9,2321,41.12,122.98,3.73,0,1,1,8.46,0,12
12,2020,12,9,2321,41.12,123.00,3.73,0,1,1,8.46,0,12
13,2020,12,9,2321,40.66,122.56,3.76,0,2,1,.95,0,14
14,2020,12,9,2321,40.64,122.56,3.76,0,2,1,.95,0,14
15,2020,12,9,2321,39.96,118.54,3.80,0,2,1,1.38,0,16
16,2020,12,9,2321,39.96,118.56,3.80,0,2,1,1.96,0,16
17,2020,12,9,2321,39.66,118.40,3.82,0,2,1,1.16,0,17
18,2020,12,9,2321,39.66,118.42,3.82,0,2,1,1.16,0,17
19,2020,12,9,2321,39.62,118.44,3.82,0,2,3,.97,0,19
20,2020,12,9,2321,39.62,118.46,3.82,0,2,3,.97,0,19
21,2020,12,9,2321,39.60,118.46,3.82,0,2,3,.97,0,19
22,2020,12,9,2321,39.04,117.48,3.85,0,2,1,.79,0,22
23,2020,12,9,2321,38.78,114.40,3.86,0,1,3,3.49,0,24
24,2020,12,9,2321,38.78,114.42,3.86,0,1,3,3.49,0,24
25,2020,12,9,2321,38.76,114.44,3.87,0,1,3,3.76,0,28
26,2020,12,9,2321,38.74,114.44,3.87,0,1,3,3.76,0,28
27,2020,12,9,2321,38.74,114.46,3.87,0,1,3,3.76,0,28
28,2020,12,9,2321,38.74,114.48,3.87,0,1,1,4.27,0,28
29,2020,12,9,2321,38.26,114.24,3.89,0,2,1,3.19,0,29
30,2020,12,9,2321,38.26,114.26,3.89,0,2,1,3.19,0,29
31,2020,12,9,2321,37.94,112.52,3.91,0,2,1,3.02,0,31
32,2020,12,9,2321,37.58,112.24,3.93,0,2,3,1.50,0,32
33,2020,12,9,2321,37.56,112.22,3.93,0,2,3,1.40,0,32
34,2020,12,9,2321,37.56,112.24,3.93,0,2,3,1.40,0,32
35,2020,12,9,2321,37.56,112.26,3.93,0,2,1,1.08,0,32
36,2020,12,9,2321,36.74,114.10,3.97,0,2,1,1.07,0,36
37,2020,12,9,2321,36.62,114.42,3.98,0,2,1,1.79,0,37
38,2020,12,9,2321,36.62,114.44,3.98,0,2,1,1.19,0,37
39,2020,12,9,2321,36.60,114.44,3.98,0,2,1,1.79,0,37
40,2020,12,9,2321,36.32,113.02,3.99,0,2,3,1.62,0,40
41,2020,12,9,2321,36.30,113.02,3.99,0,2,3,1.62,0,40
42,2020,12,9,2321,36.30,113.04,3.99,0,2,3,1.62,0,40
43,2020,12,9,2321,36.28,113.04,4.00,0,2,1,1.10,0,40
44,2020,12,9,2321,36.12,114.28,4.00,0,2,1,.91,0,44
45,2020,12,9,2321,36.10,114.30,4.00,0,2,1,.74,0,45
46,2020,12,9,2321,36.10,117.82,4.00,0,2,1,1.31,0,46
47,2020,12,9,2321,36.08,117.82,4.01,0,2,1,1.31,0,46
48,2020,12,9,2321,36.08,117.84,4.01,0,2,1,1.31,0,46
49,2020,12,9,2321,35.94,118.54,4.01,0,2,3,1.58,0,49
50,2020,12,9,2321,35.92,118.54,4.01,0,2,3,1.58,0,49
51,2020,12,9,2321,35.92,118.56,4.01,0,2,1,1.58,0,49
52,2020,12,9,2321,35.90,118.54,4.02,0,2,3,1.07,0,49
53,2020,12,9,2321,35.82,118.84,4.02,0,1,1,2.89,0,53
54,2020,12,9,2321,35.68,118.10,4.03,0,2,1,1.67,0,54
55,2020,12,9,2321,34.42,119.84,4.09,0,2,1,5.35,0,55
56,2020,12,9,2321,34.40,119.84,4.09,0,2,1,5.35,0,55
57,2020,12,9,2321,34.22,111.24,4.10,0,1,1,3.97,0,57
58,2020,12,9,2321,34.22,111.26,4.10,0,1,1,3.97,0,57
