# 2020 12 18  8 20 UTC  2020 12 18  9  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,18,0821,42.72,130.84,3.64,0,2,1,2.75,0,1
2,2020,12,18,0821,42.72,130.88,3.64,0,2,3,1.83,0,3
3,2020,12,18,0821,42.70,130.86,3.64,0,2,3,3.60,0,3
4,2020,12,18,0821,42.70,130.88,3.64,0,2,3,2.32,0,3
5,2020,12,18,0821,42.68,130.86,3.64,0,2,3,3.60,0,3
6,2020,12,18,0821,42.68,130.88,3.64,0,2,3,2.32,0,3
7,2020,12,18,0821,41.16,122.98,3.73,0,2,1,2.44,0,7
8,2020,12,18,0821,41.14,122.98,3.73,0,2,1,1.99,0,7
9,2020,12,18,0821,41.12,122.98,3.73,0,2,1,1.99,0,7
10,2020,12,18,0821,41.12,123.00,3.73,0,2,1,1.99,0,7
11,2020,12,18,0821,41.10,121.12,3.74,0,2,1,.41,0,11
12,2020,12,18,0821,41.02,121.38,3.74,0,1,3,7.02,0,15
13,2020,12,18,0821,41.02,121.40,3.74,0,1,3,7.02,0,15
14,2020,12,18,0821,41.00,121.40,3.74,0,1,1,7.02,0,15
15,2020,12,18,0821,41.00,121.42,3.74,0,2,5,7.58,0,15
16,2020,12,18,0821,41.00,121.44,3.74,0,2,3,2.58,0,15
17,2020,12,18,0821,41.00,121.46,3.74,0,2,3,2.58,0,15
18,2020,12,18,0821,40.96,122.32,3.74,0,2,3,.48,0,18
19,2020,12,18,0821,40.66,122.56,3.76,0,2,1,3.06,0,19
20,2020,12,18,0821,40.64,109.72,3.76,0,2,1,6.68,0,20
21,2020,12,18,0821,40.64,109.74,3.76,0,2,1,6.68,0,20
22,2020,12,18,0821,40.64,122.56,3.76,0,2,1,3.06,0,19
23,2020,12,18,0821,40.62,122.56,3.76,0,2,1,.77,0,19
24,2020,12,18,0821,40.58,115.10,3.76,0,2,3,.94,0,24
25,2020,12,18,0821,40.52,116.88,3.77,0,2,3,1.06,0,26
26,2020,12,18,0821,40.50,116.88,3.77,0,2,3,1.06,0,26
27,2020,12,18,0821,40.40,113.00,3.77,0,2,3,1.05,0,27
28,2020,12,18,0821,40.22,118.22,3.78,0,2,1,2.25,0,28
29,2020,12,18,0821,40.12,118.72,3.79,0,2,1,1.18,0,29
30,2020,12,18,0821,40.08,124.72,3.79,0,2,3,2.05,0,30
