# 2020 12 18 11 10 UTC  2020 12 18 11 40 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,18,1109,43.44,144.08,3.60,0,2,3,1.28,0,1
2,2020,12,18,1109,43.44,144.10,3.60,0,2,3,1.28,0,1
3,2020,12,18,1109,40.22,118.22,3.78,0,2,1,2.51,0,3
4,2020,12,18,1109,39.96,118.56,3.80,0,1,1,4.06,0,4
5,2020,12,18,1109,39.30,115.20,3.84,0,2,3,1.40,0,5
6,2020,12,18,1109,39.28,115.22,3.84,0,2,3,1.03,0,6
7,2020,12,18,1109,39.04,117.48,3.85,0,2,1,1.44,0,7
8,2020,12,18,1109,39.02,117.50,3.85,0,2,1,.94,0,8
9,2020,12,18,1109,39.00,117.50,3.85,0,2,1,.94,0,8
10,2020,12,18,1109,38.56,114.94,3.88,0,2,1,.87,0,10
11,2020,12,18,1109,38.56,114.96,3.88,0,2,3,.87,0,10
12,2020,12,18,1109,38.54,127.76,3.88,0,2,1,2.35,0,12
13,2020,12,18,1109,38.42,125.98,3.88,0,2,1,2.01,0,13
14,2020,12,18,1109,38.32,125.72,3.89,0,2,3,1.24,0,15
15,2020,12,18,1109,38.32,125.74,3.89,0,2,5,2.36,0,15
16,2020,12,18,1109,38.32,125.76,3.89,0,2,3,2.36,0,15
17,2020,12,18,1109,38.30,125.72,3.89,0,2,1,.96,0,15
18,2020,12,18,1109,38.02,126.00,3.90,0,2,3,1.28,0,18
19,2020,12,18,1109,37.94,112.52,3.91,0,2,1,2.70,0,19
20,2020,12,18,1109,37.92,112.52,3.91,0,2,3,1.96,0,19
21,2020,12,18,1109,37.92,112.54,3.91,0,2,1,1.96,0,19
22,2020,12,18,1109,37.90,112.54,3.91,0,2,3,1.96,0,19
23,2020,12,18,1109,36.68,114.18,3.98,0,2,1,.85,0,23
24,2020,12,18,1109,36.60,128.86,3.98,0,2,1,2.35,0,24
25,2020,12,18,1109,36.58,128.84,3.98,0,2,1,1.45,0,25
26,2020,12,18,1109,36.56,128.84,3.98,0,2,1,1.45,0,25
27,2020,12,18,1109,35.62,110.56,4.03,0,2,1,2.22,0,27
28,2020,12,18,1109,35.62,110.58,4.03,0,2,1,2.22,0,27
29,2020,12,18,1109,35.62,117.54,4.03,0,2,3,1.38,0,29
30,2020,12,18,1109,35.62,117.56,4.03,0,2,3,1.38,0,29
31,2020,12,18,1109,35.58,128.04,4.03,0,2,3,.73,0,31
32,2020,12,18,1109,35.56,140.10,4.03,0,2,1,5.04,0,32
33,2020,12,18,1109,35.04,136.86,4.06,0,2,1,7.28,0,33
34,2020,12,18,1109,35.02,136.86,4.06,0,2,1,6.15,0,33
35,2020,12,18,1109,35.00,136.86,4.06,0,2,1,6.15,0,33
36,2020,12,18,1109,34.60,107.18,4.08,0,2,3,1.51,0,36
37,2020,12,18,1109,34.60,107.20,4.08,0,2,3,1.51,0,36
38,2020,12,18,1109,34.46,133.44,4.09,0,2,1,6.44,0,38
39,2020,12,18,1109,33.28,131.52,4.14,0,1,3,8.18,0,39
40,2020,12,18,1109,33.26,131.52,4.14,0,1,1,6.83,0,39
41,2020,12,18,1115,27.64,101.88,4.39,0,2,3,6.26,0,41
42,2020,12,18,1115,27.64,101.90,4.39,0,2,3,6.26,0,41
43,2020,12,18,1115,27.62,101.90,4.39,0,2,3,6.24,0,41
44,2020,12,18,1115,27.40,101.22,4.40,0,2,3,9.89,0,44
45,2020,12,18,1115,27.40,101.24,4.40,0,2,3,9.89,0,44
46,2020,12,18,1115,27.28,101.26,4.41,0,2,1,10.68,0,47
47,2020,12,18,1115,27.28,101.28,4.41,0,2,3,13.72,0,47
48,2020,12,18,1115,27.28,101.30,4.41,0,2,3,13.68,0,47
49,2020,12,18,1115,27.22,102.10,4.41,0,2,3,3.16,0,49
50,2020,12,18,1115,25.38,83.52,4.48,0,2,1,2.73,0,52
51,2020,12,18,1115,25.38,83.54,4.48,0,2,1,2.73,0,52
