# 2020 12 19  6 10 UTC  2020 12 19  6 50 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,19,0611,43.00,133.12,3.63,0,3,3,.94,0,1
2,2020,12,19,0611,43.00,133.14,3.63,0,3,3,.94,0,1
3,2020,12,19,0611,42.98,133.12,3.63,0,3,3,.94,0,1
4,2020,12,19,0611,42.98,133.14,3.63,0,3,3,.94,0,1
5,2020,12,19,0611,42.86,130.40,3.63,0,2,3,2.36,0,12
6,2020,12,19,0611,42.86,130.42,3.63,0,2,3,2.36,0,12
7,2020,12,19,0611,42.86,130.44,3.63,0,2,3,1.58,0,12
8,2020,12,19,0611,42.84,130.40,3.63,0,2,3,2.36,0,12
9,2020,12,19,0611,42.84,130.42,3.63,0,2,3,2.36,0,12
10,2020,12,19,0611,42.84,130.44,3.63,0,2,3,1.58,0,12
11,2020,12,19,0611,42.82,130.42,3.64,0,2,3,1.38,0,12
12,2020,12,19,0611,42.82,130.44,3.64,0,2,3,4.22,0,12
13,2020,12,19,0611,42.76,130.72,3.64,0,2,5,9.24,0,18
14,2020,12,19,0611,42.76,130.74,3.64,0,2,5,26.39,0,18
15,2020,12,19,0611,42.74,130.68,3.64,0,3,3,1.41,0,18
16,2020,12,19,0611,42.74,130.70,3.64,0,3,3,1.41,0,18
17,2020,12,19,0611,42.74,130.72,3.64,0,2,5,37.97,0,18
18,2020,12,19,0611,42.74,130.74,3.64,0,2,5,61.53,0,18
19,2020,12,19,0611,42.74,130.76,3.64,0,2,5,15.21,0,18
20,2020,12,19,0611,42.72,130.70,3.64,0,3,3,1.41,0,18
21,2020,12,19,0611,42.72,130.72,3.64,0,2,5,37.97,0,18
22,2020,12,19,0611,42.72,130.74,3.64,0,2,5,61.53,0,18
23,2020,12,19,0611,42.72,130.76,3.64,0,2,5,61.53,0,18
24,2020,12,19,0611,42.72,130.78,3.64,0,2,5,15.21,0,18
25,2020,12,19,0611,42.70,130.74,3.64,0,2,5,37.48,0,18
26,2020,12,19,0611,42.70,130.76,3.64,0,2,5,37.48,0,18
27,2020,12,19,0611,42.70,130.78,3.64,0,2,5,20.86,0,18
28,2020,12,19,0611,42.70,130.88,3.64,0,2,5,5.02,0,34
29,2020,12,19,0611,42.70,130.90,3.64,0,2,5,3.21,0,34
30,2020,12,19,0611,42.70,130.92,3.64,0,2,5,3.21,0,34
31,2020,12,19,0611,42.68,130.88,3.64,0,2,5,5.02,0,34
32,2020,12,19,0611,42.68,130.90,3.64,0,2,5,3.21,0,34
33,2020,12,19,0611,42.68,130.92,3.64,0,2,5,3.21,0,34
34,2020,12,19,0611,42.66,130.88,3.65,0,2,5,41.90,0,34
35,2020,12,19,0611,42.66,130.90,3.65,0,2,5,41.90,0,34
36,2020,12,19,0611,42.66,130.92,3.65,0,2,5,17.13,0,34
37,2020,12,19,0611,42.46,124.94,3.66,0,3,3,.67,0,38
38,2020,12,19,0611,42.44,124.94,3.66,0,3,3,.67,0,38
39,2020,12,19,0611,42.38,92.94,3.66,0,3,1,1.09,0,40
40,2020,12,19,0611,42.38,92.96,3.66,0,3,1,1.09,0,40
41,2020,12,19,0611,42.32,125.24,3.66,0,2,3,.64,0,41
42,2020,12,19,0611,41.44,121.90,3.72,0,2,3,2.73,0,42
43,2020,12,19,0611,41.42,121.90,3.72,0,2,1,2.73,0,42
44,2020,12,19,0611,41.38,123.10,3.72,0,2,5,6.04,0,44
45,2020,12,19,0611,41.38,123.12,3.72,0,2,3,1.88,0,44
46,2020,12,19,0611,41.00,120.82,3.74,0,2,3,2.69,0,46
47,2020,12,19,0611,41.00,120.84,3.74,0,2,3,2.69,0,46
48,2020,12,19,0611,39.88,118.16,3.80,0,2,1,2.41,0,48
49,2020,12,19,0611,39.24,116.94,3.84,0,2,3,1.34,0,49
50,2020,12,19,0611,39.22,116.94,3.84,0,2,3,1.34,0,49
51,2020,12,19,0611,39.22,116.96,3.84,0,2,3,1.34,0,49
52,2020,12,19,0611,36.34,116.16,3.99,0,3,1,.88,0,52
53,2020,12,19,0611,33.90,116.72,4.11,0,3,3,.87,0,53
54,2020,12,19,0611,33.90,118.20,4.11,0,3,3,.92,0,55
55,2020,12,19,0611,33.90,118.22,4.11,0,3,3,.94,0,55
56,2020,12,19,0611,33.90,118.24,4.11,0,3,3,.94,0,55
57,2020,12,19,0611,33.88,116.72,4.12,0,3,3,.87,0,53
58,2020,12,19,0611,33.64,115.22,4.13,0,3,3,.98,0,58
59,2020,12,19,0611,33.22,131.18,4.15,0,2,3,3.46,0,59
60,2020,12,19,0611,33.14,131.26,4.15,0,2,3,1.90,0,60
61,2020,12,19,0611,32.36,118.36,4.19,0,3,1,.89,0,63
62,2020,12,19,0611,32.34,118.34,4.19,0,3,3,1.00,0,63
63,2020,12,19,0611,32.34,118.36,4.19,0,3,5,2.12,0,63
64,2020,12,19,0611,32.34,118.38,4.19,0,3,5,2.12,0,63
65,2020,12,19,0611,32.34,118.40,4.19,0,3,3,1.85,0,63
66,2020,12,19,0611,32.32,118.38,4.19,0,3,5,2.12,0,63
67,2020,12,19,0611,32.32,118.40,4.19,0,3,3,1.85,0,63
68,2020,12,19,0611,32.30,118.38,4.19,0,3,5,1.90,0,63
69,2020,12,19,0611,32.30,118.40,4.19,0,3,3,1.86,0,63
70,2020,12,19,0611,31.74,118.50,4.22,0,3,3,1.66,0,70
71,2020,12,19,0611,31.72,117.22,4.22,0,3,1,1.32,0,71
72,2020,12,19,0611,31.72,117.24,4.22,0,3,1,1.32,0,71
73,2020,12,19,0611,31.68,118.46,4.22,0,3,3,1.46,0,73
74,2020,12,19,0611,31.66,118.46,4.22,0,3,3,1.46,0,73
75,2020,12,19,0611,31.66,118.48,4.22,0,3,3,1.46,0,73
76,2020,12,19,0611,29.38,100.98,4.32,0,3,1,3.39,0,76
77,2020,12,19,0611,29.38,101.00,4.32,0,3,1,3.39,0,76
78,2020,12,19,0611,28.70,100.86,4.35,0,1,1,27.87,0,78
79,2020,12,19,0611,28.70,100.88,4.35,0,1,1,27.87,0,78
80,2020,12,19,0611,28.08,100.96,4.37,0,2,3,10.83,0,80
81,2020,12,19,0611,28.02,101.14,4.38,0,2,3,7.56,0,81
82,2020,12,19,0611,28.00,101.16,4.38,0,2,3,7.41,0,83
83,2020,12,19,0611,27.98,101.16,4.38,0,2,3,14.25,0,83
84,2020,12,19,0611,27.98,101.18,4.38,0,2,3,14.25,0,83
85,2020,12,19,0611,27.72,95.22,4.39,0,3,3,3.01,0,85
86,2020,12,19,0611,27.70,95.24,4.39,0,3,3,2.58,0,87
87,2020,12,19,0611,27.70,95.26,4.39,0,3,3,2.58,0,87
88,2020,12,19,0611,27.58,94.94,4.39,0,3,3,4.00,2,90
89,2020,12,19,0611,27.56,94.94,4.39,0,3,3,4.00,2,90
90,2020,12,19,0611,27.56,94.96,4.39,0,3,3,4.00,2,90
91,2020,12,19,0611,27.50,101.20,4.40,0,2,3,7.13,0,91
92,2020,12,19,0611,27.50,101.22,4.40,0,2,1,7.13,0,91
93,2020,12,19,0611,27.48,101.22,4.40,0,2,1,7.13,0,91
94,2020,12,19,0611,27.38,91.92,4.40,0,3,3,6.11,0,94
95,2020,12,19,0611,27.38,91.94,4.40,0,3,3,6.11,0,94
96,2020,12,19,0611,27.06,94.46,4.41,0,3,1,2.27,0,97
97,2020,12,19,0611,27.06,94.48,4.41,0,3,1,2.27,0,97
98,2020,12,19,0611,26.84,93.94,4.42,0,3,1,2.51,0,98
99,2020,12,19,0611,26.68,94.86,4.43,0,2,5,15.43,0,100
100,2020,12,19,0611,26.66,94.86,4.43,0,2,5,69.54,0,100
101,2020,12,19,0611,26.66,94.88,4.43,0,2,5,69.54,0,100
102,2020,12,19,0611,26.64,94.84,4.43,0,2,5,36.25,0,100
103,2020,12,19,0611,26.64,94.86,4.43,0,2,5,36.25,0,100
104,2020,12,19,0611,26.64,94.88,4.43,0,2,5,36.69,0,100
105,2020,12,19,0611,26.64,94.90,4.43,0,2,5,36.69,0,100
106,2020,12,19,0611,26.62,94.88,4.43,0,2,5,36.24,0,100
107,2020,12,19,0611,26.62,94.90,4.43,0,2,5,36.62,0,100
108,2020,12,19,0611,26.48,94.94,4.44,0,3,5,5.77,0,112
109,2020,12,19,0611,26.48,94.96,4.44,0,3,5,5.77,0,112
110,2020,12,19,0611,26.46,94.96,4.44,0,3,5,5.77,0,112
111,2020,12,19,0611,26.46,94.98,4.44,0,3,5,5.77,0,112
112,2020,12,19,0611,26.44,94.98,4.44,0,2,1,19.67,0,112
113,2020,12,19,0611,26.44,95.00,4.44,0,2,5,7.19,0,112
114,2020,12,19,0611,26.44,95.02,4.44,0,2,5,7.19,0,112
115,2020,12,19,0611,26.34,92.06,4.44,0,3,1,1.10,0,116
116,2020,12,19,0611,26.34,92.08,4.44,0,3,1,1.10,0,116
117,2020,12,19,0611,26.32,92.10,4.44,0,3,1,1.39,0,117
118,2020,12,19,0611,25.76,89.80,4.46,0,3,3,2.85,2,118
119,2020,12,19,0611,25.76,89.82,4.46,0,3,1,2.85,2,118
120,2020,12,19,0611,25.66,96.32,4.47,0,3,1,2.02,0,121
121,2020,12,19,0611,25.66,96.34,4.47,0,3,1,2.02,0,121
122,2020,12,19,0611,25.60,96.26,4.47,0,3,1,2.01,0,123
123,2020,12,19,0611,25.60,96.28,4.47,0,3,1,2.01,0,123
124,2020,12,19,0611,25.44,94.68,4.48,0,3,1,2.22,0,125
125,2020,12,19,0611,25.44,94.70,4.48,0,3,1,2.22,0,125
126,2020,12,19,0611,24.84,94.94,4.50,0,3,3,2.15,0,127
127,2020,12,19,0611,24.84,94.96,4.50,0,3,3,2.15,0,127
128,2020,12,19,0611,24.82,89.66,4.50,0,3,3,3.33,2,128
129,2020,12,19,0611,24.82,89.68,4.50,0,3,3,3.33,2,128
130,2020,12,19,0611,24.80,94.82,4.50,0,3,3,2.69,0,139
131,2020,12,19,0611,24.80,94.84,4.50,0,3,3,2.69,0,139
132,2020,12,19,0611,24.80,94.86,4.50,0,3,1,3.91,0,139
133,2020,12,19,0611,24.80,94.88,4.50,0,3,1,3.91,0,139
134,2020,12,19,0611,24.80,94.90,4.50,0,3,3,3.08,0,139
135,2020,12,19,0611,24.80,94.92,4.50,0,3,3,3.08,0,139
136,2020,12,19,0611,24.78,94.80,4.50,0,3,3,2.54,0,139
137,2020,12,19,0611,24.78,94.82,4.50,0,3,3,2.55,0,139
138,2020,12,19,0611,24.78,94.84,4.50,0,3,1,4.37,0,139
139,2020,12,19,0611,24.78,94.86,4.50,0,3,1,4.37,0,139
140,2020,12,19,0611,24.78,94.88,4.50,0,3,3,3.10,0,139
141,2020,12,19,0611,24.76,94.78,4.50,0,3,3,2.98,0,139
142,2020,12,19,0611,24.76,94.80,4.50,0,3,3,2.98,0,139
143,2020,12,19,0611,24.76,94.82,4.50,0,3,3,3.12,0,139
144,2020,12,19,0611,24.76,94.84,4.50,0,3,3,3.12,0,139
145,2020,12,19,0611,24.70,97.90,4.50,0,3,3,2.68,0,146
146,2020,12,19,0611,24.70,97.92,4.50,0,3,3,2.68,0,146
147,2020,12,19,0611,24.68,97.88,4.50,0,3,1,2.59,0,146
148,2020,12,19,0611,24.68,97.90,4.50,0,3,1,2.59,0,146
149,2020,12,19,0611,24.66,97.82,4.50,0,3,1,2.94,0,151
150,2020,12,19,0611,24.66,97.84,4.50,0,3,1,2.94,0,151
151,2020,12,19,0611,24.66,97.86,4.50,0,3,3,3.51,0,151
152,2020,12,19,0611,24.40,98.50,4.51,0,3,1,2.13,0,152
153,2020,12,19,0611,24.38,89.74,4.51,0,3,1,2.96,0,154
154,2020,12,19,0611,24.38,89.76,4.51,0,3,1,2.96,0,154
155,2020,12,19,0611,24.38,98.50,4.51,0,3,1,1.62,0,152
156,2020,12,19,0611,24.38,98.52,4.51,0,3,1,1.62,0,152
157,2020,12,19,0611,24.36,89.74,4.52,0,3,3,2.96,0,154
158,2020,12,19,0611,24.34,89.76,4.52,0,3,3,3.93,0,158
159,2020,12,19,0611,24.34,89.78,4.52,0,3,3,3.93,0,158
160,2020,12,19,0611,24.14,88.78,4.52,0,3,1,2.59,2,161
161,2020,12,19,0611,24.14,88.80,4.52,0,3,1,2.59,2,161
162,2020,12,19,0611,23.80,86.34,4.54,0,2,1,6.16,0,166
163,2020,12,19,0611,23.80,86.36,4.54,0,2,1,6.16,0,166
164,2020,12,19,0611,23.78,86.34,4.54,0,1,1,18.90,0,166
165,2020,12,19,0611,23.78,86.36,4.54,0,1,1,18.90,0,166
166,2020,12,19,0611,23.78,86.38,4.54,0,1,1,18.90,0,166
167,2020,12,19,0611,23.78,86.40,4.54,0,2,1,3.14,0,166
168,2020,12,19,0611,23.78,86.42,4.54,0,2,1,3.15,0,166
169,2020,12,19,0611,23.74,92.70,4.54,0,3,1,1.24,0,170
170,2020,12,19,0611,23.74,92.72,4.54,0,3,1,1.24,0,170
171,2020,12,19,0611,23.72,92.68,4.54,0,3,1,1.20,0,170
172,2020,12,19,0611,23.72,92.70,4.54,0,3,1,1.20,0,170
173,2020,12,19,0611,22.62,93.54,4.58,0,3,1,.92,0,174
174,2020,12,19,0611,22.62,93.56,4.58,0,3,1,.92,0,174
175,2020,12,19,0611,20.96,85.18,4.63,0,2,1,3.74,0,176
176,2020,12,19,0611,20.96,85.20,4.63,0,2,1,3.74,0,176
177,2020,12,19,0611,18.72,80.20,4.69,0,3,1,2.17,0,177
178,2020,12,19,0611,16.60,102.88,4.75,0,2,1,4.96,0,178
179,2020,12,19,0611,16.60,102.90,4.75,0,2,1,4.96,0,178
180,2020,12,19,0611,15.96,100.52,4.77,0,2,1,4.15,0,180
181,2020,12,19,0611,15.06,99.66,4.79,0,2,3,11.90,0,181
182,2020,12,19,0611,14.10,101.26,4.81,0,2,3,5.96,0,182
