# 2020 12 20  9 50 UTC  2020 12 20 10 20 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,20,0951,46.04,122.06,3.44,0,2,3,.39,0,1
2,2020,12,20,0951,46.04,122.08,3.44,0,2,3,.39,0,1
3,2020,12,20,0951,44.94,93.32,3.51,0,2,1,.59,0,3
4,2020,12,20,0951,43.42,92.78,3.60,0,2,1,.76,0,4
5,2020,12,20,0951,42.28,124.32,3.67,0,2,3,.78,0,5
6,2020,12,20,0951,42.26,124.32,3.67,0,2,3,.78,0,5
7,2020,12,20,0951,42.02,121.64,3.68,0,2,1,.54,0,7
8,2020,12,20,0951,41.84,123.76,3.69,0,2,1,.52,0,8
9,2020,12,20,0951,41.28,123.72,3.72,0,2,1,1.40,0,9
10,2020,12,20,0951,41.28,123.74,3.72,0,2,1,.74,0,9
11,2020,12,20,0951,41.26,123.72,3.73,0,2,1,1.40,0,9
12,2020,12,20,0951,41.26,123.74,3.73,0,2,1,.74,0,9
13,2020,12,20,0951,41.22,123.62,3.73,0,2,1,.98,0,13
14,2020,12,20,0951,41.14,122.98,3.73,0,2,1,3.23,0,14
15,2020,12,20,0951,41.12,122.98,3.73,0,2,1,3.23,0,14
16,2020,12,20,0951,41.12,123.00,3.73,0,2,1,3.23,0,14
17,2020,12,20,0951,40.66,122.40,3.76,0,2,1,1.35,0,17
18,2020,12,20,0951,40.66,122.56,3.76,0,1,1,3.85,0,18
19,2020,12,20,0951,40.64,122.56,3.76,0,1,1,3.85,0,18
20,2020,12,20,0951,40.62,115.04,3.76,0,2,1,1.40,0,20
21,2020,12,20,0951,40.62,115.06,3.76,0,2,1,1.40,0,20
22,2020,12,20,0951,40.60,115.06,3.76,0,2,1,1.40,0,20
23,2020,12,20,0951,40.54,141.50,3.77,0,3,1,2.81,0,23
24,2020,12,20,0951,40.48,125.82,3.77,0,2,3,1.79,0,29
25,2020,12,20,0951,40.48,140.90,3.77,1,1,3,4.28,0,25
26,2020,12,20,0951,40.48,140.92,3.77,1,1,3,4.28,0,25
27,2020,12,20,0951,40.46,125.82,3.77,0,2,3,1.79,0,29
28,2020,12,20,0951,40.44,115.34,3.77,0,2,5,1.17,0,28
29,2020,12,20,0951,40.44,125.82,3.77,0,2,3,2.07,0,29
30,2020,12,20,0951,40.44,125.84,3.77,0,2,3,2.07,0,29
31,2020,12,20,0951,40.44,140.92,3.77,0,1,3,4.36,0,31
32,2020,12,20,0951,40.42,115.34,3.77,0,2,5,1.17,0,28
33,2020,12,20,0951,40.38,99.68,3.78,0,2,3,1.52,0,36
34,2020,12,20,0951,40.38,99.70,3.78,0,2,1,1.52,0,36
35,2020,12,20,0951,40.36,99.70,3.78,0,2,1,1.52,0,36
36,2020,12,20,0951,40.36,99.72,3.78,0,2,1,1.52,0,36
37,2020,12,20,0951,40.04,124.90,3.79,0,2,3,.71,0,37
38,2020,12,20,0951,39.96,118.54,3.80,0,2,1,2.11,0,39
39,2020,12,20,0951,39.96,118.56,3.80,0,2,1,2.35,0,39
40,2020,12,20,0951,39.88,106.86,3.80,0,2,1,1.04,0,41
41,2020,12,20,0951,39.88,106.88,3.80,0,2,1,1.04,0,41
42,2020,12,20,0951,39.88,118.16,3.80,0,2,1,1.03,0,42
43,2020,12,20,0951,39.86,118.16,3.80,0,2,1,1.03,0,42
44,2020,12,20,0951,39.86,118.18,3.80,0,2,1,1.03,0,42
45,2020,12,20,0951,39.68,118.88,3.81,0,1,1,5.16,0,45
46,2020,12,20,0951,39.68,118.90,3.81,0,1,1,5.16,0,45
47,2020,12,20,0951,39.66,118.40,3.82,0,1,1,3.37,0,47
48,2020,12,20,0951,39.66,118.42,3.82,0,1,1,3.37,0,47
49,2020,12,20,0951,39.66,118.90,3.82,0,1,1,5.16,0,45
50,2020,12,20,0951,39.60,118.46,3.82,0,2,1,1.11,0,50
51,2020,12,20,0951,39.58,127.08,3.82,0,1,1,2.74,0,51
52,2020,12,20,0951,39.52,110.52,3.82,0,2,1,.98,0,54
53,2020,12,20,0951,39.52,118.08,3.82,0,2,3,1.10,0,53
54,2020,12,20,0951,39.50,110.50,3.82,0,2,1,1.15,0,54
55,2020,12,20,0951,39.50,110.52,3.82,0,2,3,.94,0,54
56,2020,12,20,0951,39.50,110.54,3.82,0,2,3,.94,0,54
57,2020,12,20,0951,39.48,110.52,3.83,0,2,1,1.15,0,54
58,2020,12,20,0951,39.48,110.54,3.83,0,2,3,.94,0,54
59,2020,12,20,0951,39.44,118.46,3.83,0,2,1,1.24,0,59
60,2020,12,20,0951,39.42,116.28,3.83,0,2,3,.73,0,60
61,2020,12,20,0951,39.42,116.30,3.83,0,2,3,.73,0,60
62,2020,12,20,0951,39.38,106.94,3.83,0,2,1,1.43,0,62
63,2020,12,20,0951,39.10,110.74,3.85,0,2,1,1.40,0,63
64,2020,12,20,0951,39.10,110.76,3.85,0,2,1,1.40,0,63
65,2020,12,20,0951,38.94,106.40,3.86,0,2,1,1.03,0,66
66,2020,12,20,0951,38.94,106.42,3.86,0,2,1,1.03,0,66
67,2020,12,20,0951,38.68,125.26,3.87,0,2,3,1.68,0,67
68,2020,12,20,0951,38.54,127.74,3.88,0,2,3,2.19,0,68
69,2020,12,20,0951,38.54,127.76,3.88,0,2,1,2.00,0,68
70,2020,12,20,0951,38.40,114.14,3.88,0,2,1,1.49,0,70
71,2020,12,20,0951,38.26,106.52,3.89,0,2,1,.91,0,71
72,2020,12,20,0951,38.18,106.60,3.90,0,3,1,.45,0,72
73,2020,12,20,0951,37.94,112.52,3.91,0,1,1,5.12,0,73
74,2020,12,20,0951,37.92,110.12,3.91,0,2,1,.52,0,77
75,2020,12,20,0951,37.92,112.52,3.91,0,2,3,1.99,0,73
76,2020,12,20,0951,37.92,112.54,3.91,0,2,1,1.99,0,73
77,2020,12,20,0951,37.90,110.12,3.91,0,2,3,.60,0,77
78,2020,12,20,0951,37.90,110.14,3.91,0,2,3,.60,0,77
79,2020,12,20,0951,37.90,112.54,3.91,0,2,3,1.99,0,73
80,2020,12,20,0951,37.66,108.90,3.92,0,2,3,.63,0,80
81,2020,12,20,0951,37.66,108.92,3.92,0,2,3,.63,0,80
82,2020,12,20,0951,37.56,112.24,3.93,0,2,1,.70,0,82
83,2020,12,20,0951,37.56,117.76,3.93,0,2,3,.76,0,83
84,2020,12,20,0951,37.54,117.76,3.93,0,2,3,.76,0,83
85,2020,12,20,0951,37.54,117.78,3.93,0,2,3,.76,0,83
86,2020,12,20,0951,37.44,116.28,3.94,0,2,1,1.18,0,86
87,2020,12,20,0951,37.44,116.30,3.94,0,2,1,1.18,0,86
88,2020,12,20,0951,37.42,112.54,3.94,0,2,1,.56,0,90
89,2020,12,20,0951,37.42,112.56,3.94,0,2,3,.56,0,90
90,2020,12,20,0951,37.42,112.58,3.94,0,2,3,.87,0,90
