# 2020 12 29 23 20 UTC  2020 12 30  0  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,29,2321,37.40,118.82,3.94,0,2,1,.95,0,1
2,2020,12,29,2321,37.04,114.16,3.96,0,2,3,1.22,0,2
3,2020,12,29,2321,36.68,114.18,3.98,0,2,1,.69,0,3
4,2020,12,29,2321,34.92,113.24,4.06,0,2,1,.88,0,4
5,2020,12,29,2321,34.92,113.26,4.06,0,2,1,.88,0,4
6,2020,12,29,2321,34.42,119.84,4.09,0,2,1,8.09,0,6
7,2020,12,29,2321,34.40,119.84,4.09,0,2,1,8.09,0,6
8,2020,12,29,2321,33.48,113.06,4.13,0,2,3,1.59,0,8
9,2020,12,29,2321,33.28,113.52,4.14,0,2,3,1.94,0,9
10,2020,12,29,2321,33.26,113.52,4.14,0,2,3,1.94,0,9
11,2020,12,29,2321,33.06,114.22,4.15,0,1,1,3.22,0,11
12,2020,12,29,2321,33.04,114.28,4.16,0,2,3,1.33,0,12
13,2020,12,29,2321,33.00,114.28,4.16,0,2,3,1.83,0,13
14,2020,12,29,2321,32.60,116.58,4.18,0,2,1,2.43,0,14
15,2020,12,29,2321,32.60,116.60,4.18,0,2,1,1.38,0,14
16,2020,12,29,2321,32.44,111.62,4.18,0,1,3,3.96,0,16
17,2020,12,29,2321,32.44,111.64,4.18,0,1,3,3.96,0,16
18,2020,12,29,2321,32.32,116.66,4.19,0,2,1,3.52,0,25
19,2020,12,29,2321,32.32,116.68,4.19,0,2,3,3.52,0,25
20,2020,12,29,2321,32.32,116.70,4.19,0,2,3,3.99,0,25
21,2020,12,29,2321,32.30,116.68,4.19,0,2,3,3.52,0,25
22,2020,12,29,2321,32.30,116.70,4.19,0,2,3,3.99,0,25
23,2020,12,29,2321,32.28,112.96,4.19,0,2,3,1.12,0,23
