# 2020 12 31 23 20 UTC  2021  1  1  0  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,31,2321,38.28,117.80,3.89,0,2,3,.82,0,1
2,2020,12,31,2321,38.28,117.82,3.89,0,2,3,.82,0,1
3,2020,12,31,2321,36.74,114.10,3.97,0,2,1,1.18,0,3
4,2020,12,31,2321,36.38,127.48,3.99,0,2,3,.92,0,5
5,2020,12,31,2321,36.38,127.50,3.99,0,2,3,.92,0,5
6,2020,12,31,2321,35.62,110.56,4.03,0,2,1,2.20,0,6
7,2020,12,31,2321,35.62,110.58,4.03,0,2,1,2.20,0,6
8,2020,12,31,2321,35.46,116.00,4.04,0,2,3,1.48,0,8
9,2020,12,31,2321,35.44,116.00,4.04,0,2,3,1.48,0,8
10,2020,12,31,2321,35.44,116.02,4.04,0,2,3,1.48,0,8
11,2020,12,31,2321,35.24,117.20,4.05,0,1,1,5.40,0,11
12,2020,12,31,2321,35.22,117.36,4.05,0,2,3,1.60,0,12
13,2020,12,31,2321,35.20,114.66,4.05,0,2,1,.61,0,13
14,2020,12,31,2321,35.20,117.36,4.05,0,2,3,1.60,0,12
15,2020,12,31,2321,35.18,114.66,4.05,0,2,1,.61,0,13
16,2020,12,31,2321,35.18,117.86,4.05,0,2,3,.77,0,16
17,2020,12,31,2321,34.90,117.80,4.07,0,2,1,1.96,0,17
18,2020,12,31,2321,34.88,117.80,4.07,0,2,1,1.96,0,17
19,2020,12,31,2321,34.84,115.36,4.07,0,2,1,.77,0,19
20,2020,12,31,2321,34.84,115.38,4.07,0,2,1,.77,0,19
21,2020,12,31,2321,34.64,115.94,4.08,0,1,1,1.79,0,21
22,2020,12,31,2321,34.64,115.96,4.08,0,2,1,1.12,0,21
23,2020,12,31,2321,34.64,115.98,4.08,0,2,1,1.12,0,21
24,2020,12,31,2321,34.62,115.98,4.08,0,2,1,1.12,0,21
25,2020,12,31,2321,34.48,112.20,4.09,0,2,3,.65,0,25
26,2020,12,31,2321,34.46,107.22,4.09,0,2,1,1.20,0,26
27,2020,12,31,2321,34.46,107.24,4.09,0,2,3,1.20,0,26
28,2020,12,31,2321,34.44,107.24,4.09,0,2,1,1.20,0,26
29,2020,12,31,2321,34.42,119.84,4.09,0,2,1,4.53,0,29
30,2020,12,31,2321,34.40,119.84,4.09,0,2,1,4.53,0,29
31,2020,12,31,2321,34.18,112.10,4.10,0,2,3,2.40,0,31
32,2020,12,31,2321,33.52,116.18,4.13,0,2,3,.74,0,32
33,2020,12,31,2321,33.52,116.20,4.13,0,2,3,.74,0,32
34,2020,12,31,2321,33.52,116.22,4.13,0,2,3,.59,0,32
35,2020,12,31,2321,33.50,116.20,4.13,0,2,1,.53,0,32
36,2020,12,31,2321,32.66,113.90,4.17,0,1,3,3.70,0,36
37,2020,12,31,2321,32.66,113.92,4.17,0,1,3,3.70,0,36
38,2020,12,31,2321,32.38,117.24,4.19,0,2,3,.70,0,38
39,2020,12,31,2321,32.28,116.66,4.19,0,2,3,1.04,0,39
40,2020,12,31,2321,31.82,113.52,4.21,0,2,3,.92,0,40
41,2020,12,31,2321,31.78,114.92,4.21,0,1,3,3.21,0,41
42,2020,12,31,2321,31.78,114.94,4.21,0,2,3,1.36,0,41
43,2020,12,31,2321,31.70,120.08,4.22,0,2,1,.83,0,43
44,2020,12,31,2321,31.56,116.06,4.22,0,2,3,4.34,0,44
45,2020,12,31,2321,31.56,116.08,4.22,0,2,3,4.34,0,44
46,2020,12,31,2321,31.32,116.26,4.23,0,2,1,.68,0,46
47,2020,12,31,2321,31.28,113.16,4.24,0,1,3,4.25,0,47
48,2020,12,31,2321,31.22,114.84,4.24,0,1,3,3.92,0,48
49,2020,12,31,2321,31.22,116.36,4.24,0,2,3,1.74,0,49
50,2020,12,31,2321,31.20,114.30,4.24,0,2,3,2.18,0,50
51,2020,12,31,2321,31.20,114.32,4.24,0,2,3,2.18,0,50
52,2020,12,31,2321,31.20,114.86,4.24,0,1,3,2.76,0,52
53,2020,12,31,2321,31.16,112.76,4.24,0,1,3,1.85,0,53
54,2020,12,31,2321,31.12,114.20,4.24,0,2,3,1.25,0,54
55,2020,12,31,2321,31.12,114.22,4.24,0,2,3,1.25,0,54
56,2020,12,31,2321,31.10,114.22,4.24,0,2,3,1.25,0,54
57,2020,12,31,2321,31.02,113.04,4.25,0,1,5,4.63,0,57
58,2020,12,31,2321,31.02,113.06,4.25,0,1,5,4.63,0,57
59,2020,12,31,2321,31.02,113.08,4.25,0,1,3,2.27,0,57
60,2020,12,31,2321,30.88,110.96,4.25,0,1,3,9.25,0,62
61,2020,12,31,2321,30.88,110.98,4.25,0,1,3,9.25,0,62
62,2020,12,31,2321,30.86,110.98,4.25,0,1,3,12.84,0,62
63,2020,12,31,2321,30.84,110.98,4.26,0,1,3,12.84,0,62
