# 2020 12 31 23 50 UTC  2021  1  1  0 30 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2020,12,31,2354,38.28,117.80,3.89,0,2,3,.52,0,2
2,2020,12,31,2354,38.28,117.82,3.89,0,2,3,.52,0,2
3,2020,12,31,2354,37.10,111.80,3.95,0,2,1,.41,0,4
4,2020,12,31,2354,37.08,111.80,3.95,0,2,3,.71,0,4
5,2020,12,31,2354,37.06,111.82,3.96,0,2,3,.68,0,5
6,2020,12,31,2354,34.34,113.54,4.09,0,3,1,.34,0,6
7,2020,12,31,2354,32.70,105.48,4.17,0,2,1,.87,0,7
8,2020,12,31,2354,32.68,105.48,4.17,0,2,1,.87,0,7
9,2020,12,31,2354,32.68,105.50,4.17,0,2,1,.87,0,7
10,2020,12,31,2354,32.66,113.90,4.17,0,1,3,7.54,0,10
11,2020,12,31,2354,32.66,113.92,4.17,0,1,3,7.54,0,10
12,2020,12,31,2354,32.64,113.92,4.17,0,2,1,1.20,0,10
13,2020,12,31,2354,32.62,113.92,4.17,0,2,1,1.20,0,10
14,2020,12,31,2354,31.70,120.08,4.22,0,2,1,1.65,0,14
15,2020,12,31,2354,30.92,105.00,4.25,0,2,3,2.21,0,15
16,2020,12,31,2354,30.74,111.28,4.26,0,2,3,1.74,0,16
17,2020,12,31,2354,30.64,114.42,4.26,0,2,1,1.63,0,18
18,2020,12,31,2354,30.64,114.44,4.26,0,2,1,1.63,0,18
19,2020,12,31,2354,30.52,118.84,4.27,0,3,3,.58,0,19
20,2020,12,31,2354,30.50,118.82,4.27,0,2,1,1.12,0,20
21,2020,12,31,2354,29.56,81.68,4.31,0,2,3,1.98,0,22
22,2020,12,31,2354,29.56,81.70,4.31,0,2,3,1.98,0,22
23,2020,12,31,2354,29.56,119.18,4.31,0,3,1,1.31,0,23
24,2020,12,31,2354,29.56,119.54,4.31,0,2,3,.91,0,24
25,2020,12,31,2354,29.54,119.18,4.31,0,3,1,1.31,0,23
26,2020,12,31,2354,29.52,119.50,4.31,0,2,3,.66,0,26
27,2020,12,31,2354,28.82,118.26,4.34,0,2,3,.70,0,27
28,2020,12,31,2354,28.68,118.84,4.35,0,3,3,.89,0,30
29,2020,12,31,2354,28.66,118.84,4.35,0,2,3,1.07,0,30
30,2020,12,31,2354,28.66,118.86,4.35,0,1,3,3.67,0,30
31,2020,12,31,2354,28.64,120.38,4.35,0,2,3,.67,0,31
32,2020,12,31,2354,28.58,118.92,4.35,0,2,3,1.29,0,32
33,2020,12,31,2354,28.16,117.98,4.37,0,2,3,.97,0,33
34,2020,12,31,2354,28.04,117.62,4.37,0,2,3,.89,0,34
35,2020,12,31,2354,28.02,100.46,4.38,0,2,3,4.99,0,37
36,2020,12,31,2354,28.02,100.48,4.38,0,2,3,4.99,0,37
37,2020,12,31,2354,28.02,100.50,4.38,0,2,5,7.52,0,37
38,2020,12,31,2354,28.00,100.88,4.38,0,2,3,3.07,0,38
39,2020,12,31,2354,27.82,112.90,4.38,0,2,1,2.30,0,39
40,2020,12,31,2354,27.78,114.92,4.39,0,3,3,.61,0,40
41,2020,12,31,2354,27.46,116.78,4.40,0,3,3,.71,0,42
42,2020,12,31,2354,27.46,116.80,4.40,0,2,3,.85,0,42
43,2020,12,31,2354,27.14,109.60,4.41,0,2,1,1.63,0,46
44,2020,12,31,2354,27.14,109.62,4.41,0,2,3,1.13,0,46
45,2020,12,31,2354,27.12,109.62,4.41,0,2,3,1.82,0,46
46,2020,12,31,2354,27.12,109.64,4.41,0,2,3,1.82,0,46
47,2020,12,31,2354,27.12,109.66,4.41,0,2,1,1.49,0,46
48,2020,12,31,2354,26.90,119.26,4.42,0,2,3,1.38,0,49
49,2020,12,31,2354,26.90,119.28,4.42,0,2,5,1.50,0,49
50,2020,12,31,2354,26.90,119.30,4.42,0,2,3,1.25,0,49
51,2020,12,31,2354,26.90,119.32,4.42,0,2,3,1.25,0,49
52,2020,12,31,2354,26.82,117.04,4.42,0,2,3,3.58,0,52
53,2020,12,31,2354,26.68,113.72,4.43,0,2,3,.61,0,54
54,2020,12,31,2354,26.68,113.74,4.43,0,2,3,1.23,0,54
55,2020,12,31,2354,26.62,109.04,4.43,0,2,3,1.13,0,55
56,2020,12,31,2354,26.62,118.78,4.43,0,3,3,.55,0,59
57,2020,12,31,2354,26.60,101.62,4.43,0,2,1,2.30,0,60
58,2020,12,31,2354,26.60,101.64,4.43,0,2,1,2.30,0,60
59,2020,12,31,2354,26.60,118.78,4.43,0,2,1,1.79,0,59
60,2020,12,31,2354,26.58,101.64,4.43,0,2,1,3.26,0,60
61,2020,12,31,2354,26.42,112.88,4.44,0,2,1,.47,0,61
62,2020,12,31,2354,26.16,118.20,4.45,0,2,3,1.33,0,62
63,2020,12,31,2354,25.50,118.94,4.47,0,3,3,.92,0,63
64,2020,12,31,2354,24.84,117.82,4.50,0,2,3,1.08,0,64
65,2020,12,31,2354,24.80,113.18,4.50,0,1,3,4.48,0,65
66,2020,12,31,2354,24.70,113.64,4.50,0,2,3,.86,0,66
67,2020,12,31,2354,24.34,85.44,4.52,0,2,3,2.62,0,68
68,2020,12,31,2354,24.34,85.46,4.52,0,2,3,2.62,0,68
