# 2021  1  2 12 40 UTC  2021  1  2 13 20 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,1,2,1239,40.52,116.84,3.77,0,2,1,1.00,0,1
2,2021,1,2,1239,40.50,116.86,3.77,0,2,1,.77,0,2
3,2021,1,2,1239,40.44,118.26,3.77,0,2,1,1.02,0,3
4,2021,1,2,1239,40.22,118.22,3.78,0,2,1,1.86,0,4
5,2021,1,2,1239,40.18,119.04,3.79,0,2,1,.87,0,6
6,2021,1,2,1239,40.18,119.06,3.79,0,2,1,.87,0,6
7,2021,1,2,1239,39.96,118.54,3.80,0,2,1,1.95,0,7
8,2021,1,2,1239,39.68,118.88,3.81,0,2,1,1.08,0,13
9,2021,1,2,1239,39.68,118.90,3.81,0,2,1,1.08,0,13
10,2021,1,2,1239,39.66,118.40,3.82,0,2,1,2.19,0,10
11,2021,1,2,1239,39.66,118.42,3.82,0,2,1,2.19,0,10
12,2021,1,2,1239,39.66,118.90,3.82,0,2,1,1.08,0,13
13,2021,1,2,1239,39.64,118.90,3.82,0,2,1,1.11,0,13
14,2021,1,2,1239,39.52,118.08,3.82,0,2,3,.79,0,14
15,2021,1,2,1239,39.22,127.38,3.84,0,2,1,2.66,0,15
16,2021,1,2,1239,38.68,125.26,3.87,0,2,3,.99,0,16
17,2021,1,2,1239,38.32,113.98,3.89,0,2,3,.46,0,17
18,2021,1,2,1239,38.30,116.84,3.89,0,2,1,.56,0,18
19,2021,1,2,1239,38.28,114.24,3.89,0,2,1,.81,0,20
20,2021,1,2,1239,38.26,114.24,3.89,0,2,1,1.15,0,20
21,2021,1,2,1239,38.26,114.26,3.89,0,2,1,1.15,0,20
22,2021,1,2,1239,37.94,112.52,3.91,0,2,1,2.82,0,22
23,2021,1,2,1239,37.94,127.88,3.91,0,1,1,3.71,0,23
24,2021,1,2,1239,36.74,114.10,3.97,0,2,1,1.40,0,24
25,2021,1,2,1239,36.68,114.18,3.98,0,2,1,1.21,0,25
26,2021,1,2,1239,36.62,116.22,3.98,0,2,1,1.12,0,26
27,2021,1,2,1239,34.98,127.22,4.06,0,2,1,.67,0,27
