# 2021  1  5 23 20 UTC  2021  1  6  0  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,1,5,2321,39.04,117.48,3.85,0,2,1,1.29,0,1
2,2021,1,5,2321,38.76,114.74,3.87,0,2,1,1.48,0,2
3,2021,1,5,2321,38.76,114.76,3.87,0,2,1,1.48,0,2
4,2021,1,5,2321,38.56,114.94,3.88,0,2,3,.70,0,4
5,2021,1,5,2321,38.56,114.96,3.88,0,2,3,.70,0,4
6,2021,1,5,2321,36.64,126.78,3.98,0,2,3,.43,0,6
7,2021,1,5,2321,36.62,126.80,3.98,0,2,3,.53,0,7
8,2021,1,5,2321,36.44,127.50,3.99,0,2,1,.77,0,9
9,2021,1,5,2321,36.42,127.50,3.99,0,2,1,.77,0,9
10,2021,1,5,2321,36.10,117.82,4.00,0,2,1,1.72,0,10
11,2021,1,5,2321,36.08,117.82,4.01,0,2,1,1.72,0,10
12,2021,1,5,2321,36.08,117.84,4.01,0,2,1,1.72,0,10
13,2021,1,5,2321,35.92,127.50,4.01,0,3,1,.91,0,17
14,2021,1,5,2321,35.92,127.52,4.01,0,3,1,.91,0,17
15,2021,1,5,2321,35.90,127.48,4.02,0,3,3,.69,0,17
16,2021,1,5,2321,35.90,127.50,4.02,0,3,3,.69,0,17
17,2021,1,5,2321,35.90,127.52,4.02,0,1,3,3.63,0,17
18,2021,1,5,2321,35.84,118.84,4.02,0,2,3,.65,0,19
19,2021,1,5,2321,35.82,118.84,4.02,0,2,1,1.23,0,19
20,2021,1,5,2321,35.70,118.12,4.03,0,1,3,2.30,0,20
21,2021,1,5,2321,35.48,119.26,4.04,0,2,1,1.46,0,21
22,2021,1,5,2321,35.46,119.26,4.04,0,2,1,1.46,0,21
23,2021,1,5,2321,35.42,117.54,4.04,0,2,3,.86,0,23
24,2021,1,5,2321,35.34,118.86,4.04,0,2,1,1.31,0,24
25,2021,1,5,2321,35.34,118.88,4.04,0,2,1,1.31,0,24
26,2021,1,5,2321,34.96,118.94,4.06,0,2,1,.97,0,26
27,2021,1,5,2321,34.92,112.48,4.06,0,2,3,3.85,0,27
28,2021,1,5,2321,34.92,112.50,4.06,0,2,1,3.85,0,27
29,2021,1,5,2321,34.90,112.50,4.07,0,2,1,3.85,0,27
30,2021,1,5,2321,34.42,119.84,4.09,0,2,1,5.69,0,30
31,2021,1,5,2321,34.40,119.84,4.09,0,2,1,5.69,0,30
32,2021,1,5,2321,28.00,100.90,4.38,0,2,5,19.46,0,32
33,2021,1,5,2321,28.00,100.92,4.38,0,2,3,19.46,0,32
34,2021,1,5,2321,26.60,101.62,4.43,0,2,1,1.77,0,37
35,2021,1,5,2321,26.60,101.64,4.43,0,2,1,1.77,0,37
36,2021,1,5,2321,26.58,101.64,4.43,0,2,1,2.38,0,37
37,2021,1,5,2321,26.58,101.66,4.43,0,2,1,2.43,0,37
38,2021,1,5,2321,26.58,101.68,4.43,0,2,1,2.43,0,37
39,2021,1,5,2321,25.70,114.18,4.47,0,2,5,18.81,0,40
40,2021,1,5,2321,25.68,114.18,4.47,0,2,5,23.00,0,40
41,2021,1,5,2321,25.04,86.20,4.49,0,1,1,5.19,0,42
42,2021,1,5,2321,25.04,86.22,4.49,0,1,1,5.19,0,42
43,2021,1,5,2321,23.78,86.34,4.54,0,2,1,2.29,0,45
44,2021,1,5,2321,23.78,86.36,4.54,0,2,1,2.29,0,45
45,2021,1,5,2321,23.78,86.38,4.54,0,2,1,2.29,0,45
46,2021,1,5,2321,22.80,86.18,4.57,0,2,1,2.76,0,47
47,2021,1,5,2321,22.80,86.20,4.57,0,2,1,2.76,0,47
48,2021,1,5,2321,22.12,81.16,4.59,0,2,1,2.81,0,50
49,2021,1,5,2321,22.12,81.18,4.59,0,2,1,2.81,0,50
50,2021,1,5,2321,22.10,81.18,4.59,0,2,1,2.82,0,50
51,2021,1,5,2321,21.98,94.04,4.60,0,1,3,5.95,0,51
52,2021,1,5,2321,20.96,85.12,4.63,0,2,1,3.30,0,54
53,2021,1,5,2321,20.96,85.14,4.63,0,2,1,3.30,0,54
54,2021,1,5,2321,20.96,85.16,4.63,0,2,1,3.31,0,54
55,2021,1,5,2321,20.96,85.18,4.63,0,2,1,2.67,0,54
