# 2021  2  7 23 30 UTC  2021  2  8  0 10 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,2,7,2332,40.22,118.22,3.78,0,2,1,.70,0,1
2,2021,2,7,2332,39.96,118.54,3.80,0,3,1,.67,0,3
3,2021,2,7,2332,39.96,118.56,3.80,0,2,1,.98,0,3
4,2021,2,7,2332,39.88,106.86,3.80,0,2,1,2.62,0,4
5,2021,2,7,2332,39.88,106.88,3.80,0,2,1,2.62,0,4
6,2021,2,7,2332,39.66,118.40,3.82,0,2,1,1.14,0,7
7,2021,2,7,2332,39.66,118.42,3.82,0,2,1,1.14,0,7
8,2021,2,7,2332,39.60,118.48,3.82,0,3,3,.78,0,8
9,2021,2,7,2332,39.54,116.70,3.82,0,2,1,1.16,0,10
10,2021,2,7,2332,39.54,116.72,3.82,0,2,1,1.16,0,10
11,2021,2,7,2332,39.52,116.68,3.82,0,2,1,.94,0,10
12,2021,2,7,2332,39.52,116.70,3.82,0,2,1,.94,0,10
13,2021,2,7,2332,39.52,118.08,3.82,0,2,3,1.25,0,13
14,2021,2,7,2332,39.50,116.70,3.82,0,2,1,.94,0,10
15,2021,2,7,2332,39.38,117.04,3.83,0,2,1,.48,0,15
16,2021,2,7,2332,39.04,117.48,3.85,0,2,1,.92,0,16
17,2021,2,7,2332,38.94,106.40,3.86,0,2,1,2.71,0,17
18,2021,2,7,2332,38.94,106.42,3.86,0,2,1,2.71,0,17
19,2021,2,7,2332,38.88,115.46,3.86,0,2,1,1.36,0,20
20,2021,2,7,2332,38.88,115.48,3.86,0,2,1,1.36,0,20
21,2021,2,7,2332,38.88,115.50,3.86,0,2,3,.54,0,20
22,2021,2,7,2332,38.44,116.10,3.88,0,2,1,.92,0,22
23,2021,2,7,2332,38.36,113.98,3.89,0,2,1,.58,0,23
24,2021,2,7,2332,38.34,114.00,3.89,0,2,1,.76,0,24
25,2021,2,7,2332,38.34,116.82,3.89,0,2,1,.46,0,25
26,2021,2,7,2332,38.08,116.56,3.90,0,2,1,.47,0,27
27,2021,2,7,2332,38.08,116.58,3.90,0,2,1,.47,0,27
28,2021,2,7,2332,37.94,112.52,3.91,0,2,1,1.06,0,28
29,2021,2,7,2332,37.94,115.22,3.91,0,2,1,.87,0,29
30,2021,2,7,2332,37.40,111.14,3.94,0,2,1,.81,0,30
31,2021,2,7,2332,36.94,116.64,3.96,0,2,1,.58,0,33
32,2021,2,7,2332,36.94,116.66,3.96,0,2,1,.58,0,33
33,2021,2,7,2332,36.92,116.66,3.96,0,2,1,.58,0,33
34,2021,2,7,2332,36.90,117.76,3.96,0,2,1,.61,0,35
35,2021,2,7,2332,36.90,117.78,3.96,0,2,1,.61,0,35
36,2021,2,7,2332,36.86,116.22,3.97,0,2,1,1.20,0,37
37,2021,2,7,2332,36.86,116.24,3.97,0,2,1,1.20,0,37
38,2021,2,7,2332,36.84,116.24,3.97,0,2,1,1.20,0,37
39,2021,2,7,2332,36.82,118.02,3.97,0,2,3,.50,0,40
40,2021,2,7,2332,36.82,118.04,3.97,0,2,3,.50,0,40
41,2021,2,7,2332,36.72,119.14,3.97,0,1,1,2.16,0,41
42,2021,2,7,2332,36.72,119.16,3.97,0,1,1,2.13,0,41
43,2021,2,7,2332,36.60,114.46,3.98,0,1,1,2.48,0,43
44,2021,2,7,2332,36.46,115.98,3.99,0,2,1,1.20,0,44
45,2021,2,7,2332,36.30,117.54,3.99,0,2,1,1.67,0,45
46,2021,2,7,2332,36.12,114.28,4.00,0,2,1,1.18,0,46
47,2021,2,7,2332,36.12,117.82,4.00,0,2,1,1.17,0,51
48,2021,2,7,2332,36.10,114.30,4.00,0,2,1,1.05,0,48
49,2021,2,7,2332,36.10,117.82,4.00,0,2,1,1.27,0,51
50,2021,2,7,2332,36.08,117.82,4.01,0,2,1,1.27,0,51
51,2021,2,7,2332,36.08,117.84,4.01,0,2,1,1.27,0,51
52,2021,2,7,2332,35.86,103.18,4.02,0,2,1,1.69,0,52
53,2021,2,7,2332,35.78,115.02,4.02,0,1,1,2.08,0,55
54,2021,2,7,2332,35.78,115.04,4.02,0,1,1,2.08,0,55
55,2021,2,7,2332,35.76,115.04,4.02,0,1,1,2.08,0,55
56,2021,2,7,2332,35.74,107.62,4.02,0,2,3,.93,0,56
57,2021,2,7,2332,35.74,107.64,4.02,0,2,3,.93,0,56
58,2021,2,7,2332,35.54,109.08,4.03,0,2,3,.98,0,58
59,2021,2,7,2332,35.52,109.08,4.03,0,2,1,.98,0,58
60,2021,2,7,2332,35.46,116.00,4.04,0,2,1,1.06,0,60
61,2021,2,7,2332,34.42,119.84,4.09,0,2,1,3.31,0,61
62,2021,2,7,2332,34.40,119.84,4.09,0,2,1,3.31,0,61
63,2021,2,7,2332,24.34,85.44,4.52,0,2,3,2.45,0,64
64,2021,2,7,2332,24.34,85.46,4.52,0,2,1,2.46,0,64
65,2021,2,7,2332,23.96,85.70,4.53,0,2,3,2.39,0,65
66,2021,2,7,2332,23.86,86.72,4.53,0,2,3,2.50,0,68
67,2021,2,7,2332,23.86,86.74,4.53,0,2,3,2.50,0,68
68,2021,2,7,2332,23.86,86.76,4.53,0,2,3,2.50,0,68
69,2021,2,7,2332,23.80,86.34,4.54,0,2,1,3.42,0,73
70,2021,2,7,2332,23.80,86.36,4.54,0,2,1,3.42,0,73
71,2021,2,7,2332,23.78,86.34,4.54,0,2,1,3.78,0,73
72,2021,2,7,2332,23.78,86.36,4.54,0,2,1,3.78,0,73
73,2021,2,7,2332,23.78,86.38,4.54,0,2,1,3.78,0,73
74,2021,2,7,2332,23.76,109.44,4.54,0,1,3,9.39,0,74
75,2021,2,7,2332,23.74,109.44,4.54,0,2,3,4.79,0,74
76,2021,2,7,2332,23.74,109.46,4.54,0,2,3,4.79,0,74
77,2021,2,7,2332,23.68,86.08,4.54,0,2,1,2.02,0,78
78,2021,2,7,2332,23.68,86.10,4.54,0,2,1,2.03,0,78
79,2021,2,7,2332,23.56,87.22,4.54,0,2,1,1.36,0,80
80,2021,2,7,2332,23.56,87.24,4.54,0,2,1,1.37,0,80
81,2021,2,7,2332,23.46,91.84,4.55,0,1,1,3.93,0,82
82,2021,2,7,2332,23.46,91.86,4.55,0,1,1,3.93,0,82
83,2021,2,7,2332,22.54,120.36,4.58,0,2,1,2.06,0,84
84,2021,2,7,2332,22.52,120.36,4.58,0,2,3,4.53,0,84
85,2021,2,7,2332,22.34,82.60,4.58,0,2,3,2.62,0,87
86,2021,2,7,2332,22.34,82.62,4.58,0,2,3,2.62,0,87
87,2021,2,7,2332,22.34,82.64,4.58,0,2,3,2.62,0,87
88,2021,2,7,2332,20.96,85.12,4.63,0,2,1,2.10,0,92
89,2021,2,7,2332,20.96,85.14,4.63,0,2,1,2.11,0,92
