# 2021  3 29 15 30 UTC  2021  3 29 16  0 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,3,29,1528,58.48,107.54,2.59,0,2,1,2.07,0,5
2,2021,3,29,1528,58.48,107.56,2.59,0,2,1,2.07,0,5
3,2021,3,29,1528,58.46,107.56,2.59,0,2,1,2.07,0,5
4,2021,3,29,1528,58.46,107.58,2.59,0,2,1,2.08,0,5
5,2021,3,29,1528,58.44,107.58,2.59,0,2,1,2.08,0,5
6,2021,3,29,1528,58.44,107.60,2.59,0,2,1,2.08,0,5
7,2021,3,29,1534,47.00,135.36,3.38,0,2,1,.47,0,9
8,2021,3,29,1534,46.98,135.36,3.38,0,2,1,.47,0,9
9,2021,3,29,1534,46.98,135.38,3.38,0,2,1,.47,0,9
10,2021,3,29,1534,46.96,123.04,3.38,0,2,3,.85,0,11
11,2021,3,29,1534,46.94,123.04,3.38,0,2,3,.85,0,11
12,2021,3,29,1534,46.94,123.06,3.38,0,2,3,.85,0,11
13,2021,3,29,1534,46.08,122.04,3.44,0,1,1,2.90,0,15
14,2021,3,29,1534,46.08,122.06,3.44,0,1,1,2.90,0,15
15,2021,3,29,1534,46.06,122.06,3.44,0,1,1,2.90,0,15
16,2021,3,29,1534,45.32,122.78,3.49,0,2,1,1.13,0,16
17,2021,3,29,1534,45.10,122.48,3.50,0,2,1,1.18,0,18
18,2021,3,29,1534,45.08,122.48,3.50,0,2,1,1.18,0,18
19,2021,3,29,1534,45.08,122.50,3.50,0,2,3,1.18,0,18
20,2021,3,29,1534,44.84,123.12,3.51,0,2,5,2.95,0,21
21,2021,3,29,1534,44.82,123.12,3.52,0,2,5,3.22,0,21
22,2021,3,29,1534,44.82,123.14,3.52,0,2,5,3.22,0,21
23,2021,3,29,1534,44.80,123.14,3.52,0,2,5,3.21,0,21
