# 2021  4 27  7  0 UTC  2021  4 27  7 43 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2021,4,27,0702,51.68,135.88,3.07,0,2,3,2.94,0,3
2,2021,4,27,0702,51.68,135.90,3.07,0,2,3,2.94,0,3
3,2021,4,27,0702,51.66,135.88,3.07,0,2,3,2.94,0,3
4,2021,4,27,0702,51.66,135.90,3.07,0,2,3,2.94,0,3
5,2021,4,27,0702,49.44,124.74,3.22,0,2,5,81.33,0,5
6,2021,4,27,0702,49.42,124.74,3.22,0,2,5,81.33,0,5
7,2021,4,27,0702,49.42,124.76,3.22,0,2,5,81.33,0,5
8,2021,4,27,0702,49.40,124.72,3.23,0,2,5,15.53,0,5
9,2021,4,27,0702,49.40,124.74,3.23,0,2,5,43.21,0,5
10,2021,4,27,0702,49.40,124.76,3.23,0,2,5,43.21,0,5
11,2021,4,27,0702,49.38,124.72,3.23,0,2,5,15.53,0,5
12,2021,4,27,0702,49.38,124.74,3.23,0,2,5,15.53,0,5
13,2021,4,27,0702,49.38,124.76,3.23,0,2,5,43.17,0,5
14,2021,4,27,0702,46.44,134.12,3.42,0,2,5,43.33,0,14
15,2021,4,27,0702,46.44,134.14,3.42,0,2,5,43.33,0,14
16,2021,4,27,0702,46.44,134.16,3.42,0,2,5,32.28,0,14
17,2021,4,27,0702,46.42,134.12,3.42,0,2,5,43.32,0,14
18,2021,4,27,0702,46.42,134.14,3.42,0,2,5,43.32,0,14
19,2021,4,27,0702,46.42,134.16,3.42,0,2,5,32.28,0,14
20,2021,4,27,0702,46.12,133.92,3.44,0,2,5,12.16,0,20
21,2021,4,27,0702,44.38,90.68,3.54,0,2,3,5.90,0,24
22,2021,4,27,0702,44.38,90.70,3.54,0,2,3,5.90,0,24
23,2021,4,27,0702,44.36,90.70,3.54,0,2,1,5.91,0,24
24,2021,4,27,0702,44.36,90.72,3.54,0,2,1,5.93,0,24
25,2021,4,27,0702,44.36,90.74,3.54,0,2,1,4.37,0,24
26,2021,4,27,0702,44.36,90.76,3.54,0,2,1,4.38,0,24
27,2021,4,27,0702,44.36,90.78,3.54,0,2,1,4.38,0,24
28,2021,4,27,0702,39.64,141.96,3.82,0,3,1,1.06,0,28
29,2021,4,27,0702,38.80,109.64,3.86,0,3,5,11.37,0,29
30,2021,4,27,0702,38.78,109.68,3.86,0,3,3,11.18,0,30
31,2021,4,27,0702,38.76,109.68,3.87,0,3,3,11.18,0,30
32,2021,4,27,0702,38.76,109.70,3.87,0,3,3,11.18,0,30
33,2021,4,27,0702,38.74,109.88,3.87,0,3,3,5.81,0,33
34,2021,4,27,0702,38.72,109.62,3.87,0,3,3,8.62,2,34
35,2021,4,27,0702,38.72,109.88,3.87,0,3,3,5.81,0,33
36,2021,4,27,0702,38.72,109.90,3.87,0,3,3,5.81,0,33
37,2021,4,27,0702,38.70,109.60,3.87,0,3,3,5.62,0,34
38,2021,4,27,0702,38.70,109.62,3.87,0,3,3,5.62,0,34
39,2021,4,27,0702,37.18,116.82,3.95,0,3,1,1.54,0,39
40,2021,4,27,0702,36.02,116.26,4.01,0,3,1,2.86,0,40
41,2021,4,27,0702,36.00,116.26,4.01,0,3,1,2.86,0,40
42,2021,4,27,0702,36.00,116.28,4.01,0,3,1,2.86,0,40
43,2021,4,27,0702,35.60,115.92,4.03,0,3,3,2.05,0,43
44,2021,4,27,0702,35.60,115.98,4.03,0,3,3,2.04,0,44
45,2021,4,27,0702,35.26,115.40,4.05,0,3,1,1.15,0,45
46,2021,4,27,0702,35.26,115.44,4.05,0,3,3,1.12,0,46
47,2021,4,27,0702,35.26,115.46,4.05,0,3,3,1.12,0,46
48,2021,4,27,0702,35.24,115.46,4.05,0,3,1,1.12,0,46
49,2021,4,27,0702,35.20,114.68,4.05,0,3,3,2.22,0,49
50,2021,4,27,0702,35.18,114.68,4.05,0,3,1,2.22,0,49
51,2021,4,27,0702,35.18,114.70,4.05,0,3,1,2.22,0,49
52,2021,4,27,0702,35.14,114.68,4.05,0,3,3,2.59,0,52
53,2021,4,27,0702,34.82,114.80,4.07,0,3,3,2.43,0,53
54,2021,4,27,0702,34.80,114.82,4.07,0,3,3,2.44,0,54
55,2021,4,27,0702,34.66,115.12,4.08,0,3,3,3.98,0,55
56,2021,4,27,0702,34.66,115.14,4.08,0,3,3,3.98,0,55
57,2021,4,27,0702,34.64,115.14,4.08,0,3,3,3.98,0,55
58,2021,4,27,0702,34.64,115.16,4.08,0,3,3,2.93,0,55
59,2021,4,27,0702,34.62,115.14,4.08,0,3,3,3.22,0,55
60,2021,4,27,0702,33.74,135.38,4.12,0,3,1,1.63,0,60
61,2021,4,27,0702,33.72,135.42,4.12,0,3,1,1.01,0,61
62,2021,4,27,0702,28.10,82.86,4.37,0,2,3,8.89,0,64
63,2021,4,27,0702,28.10,82.88,4.37,0,2,3,8.90,0,64
64,2021,4,27,0702,28.10,82.90,4.37,0,2,3,8.90,0,64
65,2021,4,27,0702,27.80,94.46,4.38,0,2,3,7.32,0,65
66,2021,4,27,0702,27.80,94.48,4.38,0,2,3,7.32,0,65
67,2021,4,27,0702,27.28,95.90,4.41,0,2,3,6.50,0,67
68,2021,4,27,0702,27.08,94.46,4.41,0,3,1,3.19,0,68
69,2021,4,27,0702,27.06,94.42,4.41,0,3,3,3.67,0,70
70,2021,4,27,0702,27.06,94.44,4.41,0,3,3,3.67,0,70
71,2021,4,27,0702,26.92,94.20,4.42,0,3,3,4.75,0,72
72,2021,4,27,0702,26.92,94.22,4.42,0,3,3,4.75,0,72
73,2021,4,27,0702,26.18,91.42,4.45,0,3,3,3.49,0,76
74,2021,4,27,0702,26.18,91.44,4.45,0,3,3,3.50,0,76
75,2021,4,27,0702,26.16,91.44,4.45,0,3,3,3.50,0,76
76,2021,4,27,0702,26.16,91.46,4.45,0,3,3,3.50,0,76
77,2021,4,27,0702,26.14,91.34,4.45,0,3,1,3.75,0,78
78,2021,4,27,0702,26.14,91.36,4.45,0,3,1,3.75,0,78
79,2021,4,27,0702,26.14,93.32,4.45,0,2,3,14.99,0,82
80,2021,4,27,0702,26.14,93.34,4.45,0,2,3,14.99,0,82
81,2021,4,27,0702,26.12,91.36,4.45,0,3,1,3.75,0,78
82,2021,4,27,0702,26.12,93.32,4.45,0,2,3,16.83,0,82
83,2021,4,27,0702,26.12,93.34,4.45,0,2,3,16.83,0,82
84,2021,4,27,0702,25.48,95.38,4.47,0,2,5,18.36,0,84
85,2021,4,27,0702,25.48,95.40,4.47,0,2,5,18.36,0,84
86,2021,4,27,0702,25.46,95.42,4.48,0,2,5,18.12,0,86
87,2021,4,27,0702,25.34,95.16,4.48,0,2,3,9.14,0,87
88,2021,4,27,0702,25.34,95.18,4.48,0,2,3,9.14,0,87
89,2021,4,27,0702,25.32,95.18,4.48,0,2,3,9.14,0,87
90,2021,4,27,0702,25.10,97.08,4.49,0,2,3,16.16,0,90
91,2021,4,27,0702,25.08,97.10,4.49,0,2,3,19.97,0,91
92,2021,4,27,0702,24.98,97.14,4.49,0,2,3,15.76,0,92
93,2021,4,27,0702,24.98,97.16,4.49,0,2,3,15.76,0,92
