# 2019  1  1  5 50 UTC  2020  4 30  7 46 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,1,0549,42.72,124.78,3.64,0,2,3,1.22,0,1
2,2019,1,1,0549,42.70,124.78,3.64,0,2,3,1.22,0,1
3,2019,1,1,0549,42.70,124.80,3.64,0,2,3,1.22,0,1
4,2019,1,1,0549,42.62,126.02,3.65,0,2,3,4.91,0,4
5,2019,1,1,0549,42.60,126.02,3.65,0,2,3,4.91,0,4
6,2019,1,1,0549,42.58,126.02,3.65,0,2,3,3.80,0,4
7,2019,1,1,0549,42.58,126.04,3.65,0,2,3,3.80,0,4
8,2019,1,1,0549,42.50,123.74,3.65,0,2,1,3.57,0,8
9,2019,1,1,0549,41.96,118.26,3.69,0,3,1,1.53,2,9
10,2019,1,1,0549,41.94,118.26,3.69,0,3,3,1.53,2,9
11,2019,1,1,0549,41.14,117.70,3.73,0,3,1,.85,0,11
12,2019,1,1,0549,41.12,117.70,3.73,0,3,1,.85,0,11
13,2019,1,1,0549,41.12,117.72,3.73,0,3,1,.85,0,11
14,2019,1,1,0554,35.94,140.66,4.01,0,2,1,2.76,0,15
15,2019,1,1,0554,35.92,140.66,4.01,0,2,1,3.68,0,15
16,2019,1,1,0554,35.78,107.60,4.02,0,3,1,.77,0,16
17,2019,1,1,0554,35.78,107.62,4.02,0,3,3,.77,0,16
18,2019,1,1,0554,35.76,107.62,4.02,0,3,1,.77,0,16
19,2019,1,1,0554,35.74,107.60,4.02,0,3,3,.61,0,19
20,2019,1,1,0554,35.34,139.86,4.04,0,2,1,7.36,0,20
21,2019,1,1,0554,35.34,139.88,4.04,0,2,1,7.36,0,20
22,2019,1,1,0554,34.42,119.84,4.09,0,2,1,4.19,0,22
23,2019,1,1,0554,34.40,119.84,4.09,0,2,1,4.19,0,22
24,2019,1,1,0554,34.14,118.82,4.10,0,3,1,.81,0,25
25,2019,1,1,0554,34.14,118.84,4.10,0,3,1,.81,0,25
26,2019,1,1,0554,32.70,116.42,4.17,0,2,3,6.70,0,26
27,2019,1,1,0554,32.36,118.36,4.19,0,3,3,1.20,0,29
28,2019,1,1,0554,32.34,118.34,4.19,0,3,3,1.39,0,29
29,2019,1,1,0554,32.34,118.36,4.19,0,3,5,2.31,0,29
30,2019,1,1,0554,32.34,118.38,4.19,0,3,5,2.31,0,29
31,2019,1,1,0554,32.32,118.38,4.19,0,3,5,2.31,0,29
32,2019,1,1,0554,32.30,118.38,4.19,0,3,3,1.36,0,29
33,2019,1,1,0554,27.54,93.68,4.39,0,2,3,3.54,0,33
34,2019,1,1,0554,27.52,93.68,4.40,0,2,3,2.60,0,33
35,2019,1,1,0554,27.52,93.70,4.40,0,2,3,2.60,0,33
36,2019,1,1,0554,27.50,93.70,4.40,0,2,3,2.60,0,33
37,2019,1,1,0554,27.50,93.72,4.40,0,2,3,2.60,0,33
