# 2019  1  1 12 30 UTC  2020  4 30  7 15 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,1,1234,40.54,141.50,3.77,0,2,1,6.05,0,2
2,2019,1,1,1234,40.52,141.50,3.77,0,2,1,6.97,0,2
3,2019,1,1,1234,40.50,141.50,3.77,0,2,1,6.97,0,2
4,2019,1,1,1234,40.18,119.04,3.79,0,2,1,.99,0,4
5,2019,1,1,1234,40.18,119.06,3.79,0,2,1,.99,0,4
6,2019,1,1,1234,39.64,127.06,3.82,0,2,3,1.18,0,6
7,2019,1,1,1234,39.64,127.08,3.82,0,2,1,1.18,0,6
8,2019,1,1,1234,38.88,115.46,3.86,0,2,1,.70,0,8
9,2019,1,1,1234,38.88,115.48,3.86,0,2,1,.70,0,8
10,2019,1,1,1234,38.36,113.98,3.89,0,1,1,3.58,0,10
11,2019,1,1,1234,38.34,114.00,3.89,0,1,1,3.96,0,11
12,2019,1,1,1234,38.26,114.24,3.89,0,2,1,1.20,0,12
13,2019,1,1,1234,38.26,114.26,3.89,0,2,1,1.20,0,12
14,2019,1,1,1234,38.10,127.78,3.90,0,2,1,1.03,0,14
15,2019,1,1,1234,38.08,128.54,3.90,0,2,5,3.11,0,17
16,2019,1,1,1234,38.08,128.56,3.90,0,2,5,2.94,0,17
17,2019,1,1,1234,38.06,128.54,3.90,0,2,5,29.62,0,17
18,2019,1,1,1234,38.06,128.56,3.90,0,2,5,24.22,0,17
19,2019,1,1,1234,38.06,128.58,3.90,0,2,5,24.22,0,17
20,2019,1,1,1234,38.04,128.54,3.90,0,2,5,29.62,0,17
21,2019,1,1,1234,38.04,128.56,3.90,0,2,5,24.22,0,17
22,2019,1,1,1234,38.04,128.58,3.90,0,2,5,24.22,0,17
23,2019,1,1,1234,38.02,128.54,3.90,0,2,5,4.58,0,17
24,2019,1,1,1234,38.02,128.56,3.90,0,2,5,4.58,0,17
25,2019,1,1,1234,38.02,128.58,3.90,0,1,5,4.30,0,17
26,2019,1,1,1234,37.98,127.92,3.91,0,1,3,2.86,0,26
27,2019,1,1,1234,37.94,127.88,3.91,0,1,1,4.27,0,27
28,2019,1,1,1234,36.68,114.18,3.98,0,2,1,1.03,0,28
29,2019,1,1,1234,36.62,114.44,3.98,0,2,1,.90,0,29
30,2019,1,1,1234,36.60,128.86,3.98,0,2,1,2.33,0,30
31,2019,1,1,1234,36.58,114.10,3.98,0,2,3,.83,0,31
32,2019,1,1,1234,36.58,114.12,3.98,0,2,3,.83,0,31
33,2019,1,1,1234,36.58,114.46,3.98,0,2,3,.62,0,33
34,2019,1,1,1234,36.46,113.10,3.99,0,2,1,.78,0,34
35,2019,1,1,1234,36.44,119.44,3.99,0,2,1,.76,0,35
36,2019,1,1,1234,36.44,119.46,3.99,0,2,1,.76,0,35
37,2019,1,1,1234,36.12,114.28,4.00,0,2,1,.94,0,37
38,2019,1,1,1234,36.10,114.30,4.00,0,2,1,.83,0,38
39,2019,1,1,1234,35.94,140.68,4.01,0,2,1,4.13,0,39
40,2019,1,1,1234,35.62,110.56,4.03,0,2,1,2.72,0,40
41,2019,1,1,1234,35.62,110.58,4.03,0,2,1,2.72,0,40
42,2019,1,1,1234,35.40,111.32,4.04,0,2,1,.88,0,42
43,2019,1,1,1234,34.42,119.84,4.09,0,2,1,7.32,0,43
44,2019,1,1,1234,34.40,119.84,4.09,0,2,1,7.32,0,43
45,2019,1,1,1234,34.38,119.84,4.09,0,2,1,4.31,0,43
46,2019,1,1,1234,34.38,119.86,4.09,0,2,1,4.31,0,43
47,2019,1,1,1234,34.22,111.24,4.10,0,2,1,2.45,0,47
48,2019,1,1,1234,34.22,111.26,4.10,0,2,1,2.44,0,47
49,2019,1,1,1234,34.20,111.26,4.10,0,2,3,1.43,0,47
50,2019,1,1,1234,34.18,111.26,4.10,0,2,3,1.43,0,47
51,2019,1,1,1234,33.60,116.56,4.13,0,2,3,1.52,0,51
52,2019,1,1,1234,33.60,116.58,4.13,0,2,3,1.52,0,51
53,2019,1,1,1234,32.96,118.08,4.16,0,2,3,1.43,0,53
54,2019,1,1,1234,32.26,119.46,4.19,0,2,3,1.81,0,54
