# 2019  1  1 16  0 UTC  2020  4 30  7  2 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,1,1602,43.60,144.54,3.59,1,1,1,4.72,0,1
2,2019,1,1,1602,43.58,144.54,3.59,1,1,1,4.72,0,1
3,2019,1,1,1602,40.70,129.24,3.76,0,2,3,3.97,0,3
4,2019,1,1,1602,40.54,141.50,3.77,0,2,1,6.34,0,4
5,2019,1,1,1602,40.54,141.52,3.77,0,2,1,4.17,0,4
6,2019,1,1,1602,40.52,141.50,3.77,0,2,1,4.66,0,4
7,2019,1,1,1602,40.50,141.50,3.77,0,2,1,4.66,0,4
8,2019,1,1,1602,39.04,117.48,3.85,0,2,1,1.93,0,8
9,2019,1,1,1602,38.68,125.26,3.87,0,2,3,1.42,0,9
10,2019,1,1,1602,38.28,114.24,3.89,0,2,1,.98,0,10
11,2019,1,1,1602,38.06,128.54,3.90,0,2,3,4.52,0,12
12,2019,1,1,1602,38.06,128.56,3.90,0,2,3,6.37,0,12
13,2019,1,1,1602,38.06,128.58,3.90,0,2,3,6.37,0,12
14,2019,1,1,1602,38.04,128.54,3.90,0,2,3,4.52,0,12
15,2019,1,1,1602,38.04,128.56,3.90,0,2,3,6.37,0,12
16,2019,1,1,1602,38.04,128.58,3.90,0,2,3,6.37,0,12
17,2019,1,1,1602,37.60,112.18,3.93,0,2,3,.66,0,17
18,2019,1,1,1602,37.58,112.18,3.93,0,2,1,.66,0,17
19,2019,1,1,1602,37.58,112.20,3.93,0,2,3,.66,0,17
20,2019,1,1,1602,36.90,117.76,3.96,0,2,1,1.03,0,20
21,2019,1,1,1602,36.90,117.78,3.96,0,2,1,1.03,0,20
22,2019,1,1,1602,36.74,114.10,3.97,0,2,1,1.43,0,22
23,2019,1,1,1602,36.62,116.22,3.98,0,2,1,.59,0,23
24,2019,1,1,1602,36.60,114.10,3.98,0,1,3,2.14,0,24
