# 2019  1  1 19  0 UTC  2020  4 30  6 50 UTC
# ID,Year,Month,Day,Time(UTC),Lat,Lon,Area(km^2),Volcano,Level,Reliability,FRP(Wm^-2),QF,Hot(ID)
1,2019,1,1,1902,40.54,141.50,3.77,0,2,1,7.72,0,1
2,2019,1,1,1902,40.54,141.52,3.77,0,2,1,5.72,0,1
3,2019,1,1,1902,40.52,141.50,3.77,0,2,1,5.08,0,1
4,2019,1,1,1902,40.50,141.50,3.77,0,2,1,5.08,0,1
5,2019,1,1,1902,39.04,117.48,3.85,0,2,1,1.03,0,5
6,2019,1,1,1902,38.76,114.74,3.87,0,1,1,2.72,0,6
7,2019,1,1,1902,38.76,114.76,3.87,0,1,1,2.56,0,6
8,2019,1,1,1902,38.76,114.78,3.87,0,1,3,2.72,0,6
9,2019,1,1,1902,38.36,113.96,3.89,0,2,3,1.78,0,10
10,2019,1,1,1902,38.36,113.98,3.89,0,1,1,3.55,0,10
11,2019,1,1,1902,38.34,113.96,3.89,0,2,3,1.78,0,10
12,2019,1,1,1902,37.14,118.72,3.95,0,2,3,.85,0,12
13,2019,1,1,1902,36.90,117.74,3.96,0,2,1,1.01,0,14
14,2019,1,1,1902,36.90,117.76,3.96,0,2,1,2.14,0,14
15,2019,1,1,1902,36.90,117.78,3.96,0,2,1,2.14,0,14
16,2019,1,1,1902,36.74,114.10,3.97,0,2,1,.61,0,16
17,2019,1,1,1902,36.64,129.42,3.98,0,1,1,7.98,0,17
18,2019,1,1,1902,36.62,114.44,3.98,0,2,1,1.70,0,18
19,2019,1,1,1902,36.62,129.42,3.98,0,1,1,7.98,0,17
20,2019,1,1,1902,36.60,114.46,3.98,0,2,1,1.27,0,20
21,2019,1,1,1902,36.30,117.54,3.99,0,2,1,1.14,0,21
22,2019,1,1,1902,36.10,117.82,4.00,0,2,1,2.14,0,22
23,2019,1,1,1902,36.08,117.82,4.01,0,2,1,2.14,0,22
24,2019,1,1,1902,36.08,117.84,4.01,0,2,1,2.14,0,22
25,2019,1,1,1902,36.00,119.38,4.01,0,2,1,.54,0,25
26,2019,1,1,1902,36.00,119.40,4.01,0,2,1,.54,0,25
27,2019,1,1,1902,35.98,119.40,4.01,0,2,1,.54,0,25
28,2019,1,1,1902,35.86,103.18,4.02,0,2,1,2.10,0,28
29,2019,1,1,1902,35.82,118.84,4.02,0,1,1,3.54,0,29
30,2019,1,1,1902,35.68,118.10,4.03,0,2,1,.99,0,30
31,2019,1,1,1902,35.64,110.56,4.03,0,2,1,1.31,0,32
32,2019,1,1,1902,35.62,110.56,4.03,0,2,1,3.25,0,32
33,2019,1,1,1902,35.62,110.58,4.03,0,2,1,3.25,0,32
34,2019,1,1,1902,35.56,140.10,4.03,0,2,1,2.81,0,34
35,2019,1,1,1902,35.48,119.26,4.04,0,2,1,1.48,0,35
36,2019,1,1,1902,35.46,119.26,4.04,0,2,1,1.48,0,35
37,2019,1,1,1902,35.42,111.28,4.04,0,2,1,1.22,0,37
38,2019,1,1,1902,35.40,115.50,4.04,0,2,3,.74,0,38
39,2019,1,1,1902,35.28,115.96,4.05,0,2,3,.60,0,39
40,2019,1,1,1902,35.10,111.86,4.06,0,2,3,1.62,0,40
41,2019,1,1,1902,35.10,111.88,4.06,0,2,3,1.62,0,40
42,2019,1,1,1902,35.08,111.88,4.06,0,2,3,1.62,0,40
43,2019,1,1,1902,34.92,112.48,4.06,0,1,3,4.04,0,43
44,2019,1,1,1902,34.92,112.50,4.06,0,1,1,4.04,0,43
45,2019,1,1,1902,34.90,112.50,4.07,0,1,1,4.04,0,43
46,2019,1,1,1902,34.68,116.06,4.08,0,2,3,1.44,0,46
47,2019,1,1,1902,34.62,107.18,4.08,0,2,3,1.15,0,47
48,2019,1,1,1902,34.40,118.72,4.09,0,2,1,1.18,0,48
49,2019,1,1,1902,34.22,111.24,4.10,0,2,1,2.46,0,49
50,2019,1,1,1902,34.22,111.26,4.10,0,2,1,2.46,0,49
51,2019,1,1,1902,34.20,111.26,4.10,0,2,3,1.28,0,49
52,2019,1,1,1902,34.20,112.14,4.10,0,1,1,3.67,0,52
53,2019,1,1,1902,34.20,112.16,4.10,0,1,1,3.67,0,52
54,2019,1,1,1902,34.18,111.26,4.10,0,2,3,1.28,0,49
55,2019,1,1,1902,34.18,112.16,4.10,0,1,1,3.67,0,52
56,2019,1,1,1902,34.14,112.12,4.10,0,2,3,1.84,0,56
57,2019,1,1,1902,34.04,113.82,4.11,0,2,3,.48,0,57
58,2019,1,1,1902,34.02,113.82,4.11,0,2,3,.48,0,57
59,2019,1,1,1902,34.02,113.84,4.11,0,2,3,.48,0,57
60,2019,1,1,1902,33.74,112.74,4.12,0,1,1,3.73,0,60
61,2019,1,1,1902,33.74,112.76,4.12,0,1,1,3.73,0,60
62,2019,1,1,1902,33.72,113.20,4.12,0,2,3,1.71,0,62
63,2019,1,1,1902,33.72,113.22,4.12,0,2,3,1.71,0,62
64,2019,1,1,1902,26.58,101.64,4.43,0,2,1,3.05,0,65
65,2019,1,1,1902,26.58,101.66,4.43,0,2,1,3.54,0,65
66,2019,1,1,1902,26.58,101.68,4.43,0,2,1,3.54,0,65
67,2019,1,1,1902,24.34,85.44,4.52,0,2,3,2.62,0,68
68,2019,1,1,1902,24.34,85.46,4.52,0,2,1,2.62,0,68
69,2019,1,1,1902,23.78,86.34,4.54,0,2,1,6.96,0,71
70,2019,1,1,1902,23.78,86.36,4.54,0,2,1,6.96,0,71
71,2019,1,1,1902,23.78,86.38,4.54,0,2,1,6.96,0,71
72,2019,1,1,1902,23.74,85.80,4.54,0,2,3,1.86,0,73
73,2019,1,1,1902,23.74,85.82,4.54,0,2,3,1.86,0,73
74,2019,1,1,1902,22.08,95.86,4.59,0,2,3,3.66,0,77
75,2019,1,1,1902,22.08,95.88,4.59,0,2,3,3.66,0,77
76,2019,1,1,1902,22.06,95.88,4.59,0,1,1,5.43,0,77
77,2019,1,1,1902,22.06,95.90,4.59,0,1,1,5.43,0,77
78,2019,1,1,1902,22.04,95.88,4.59,0,1,3,4.15,0,77
79,2019,1,1,1902,22.04,95.90,4.59,0,1,3,4.15,0,77
80,2019,1,1,1902,20.96,85.12,4.63,0,2,1,2.09,0,84
81,2019,1,1,1902,20.96,85.14,4.63,0,2,1,2.09,0,84
82,2019,1,1,1902,20.96,85.16,4.63,0,2,1,2.09,0,84
83,2019,1,1,1902,20.96,85.18,4.63,0,2,1,5.67,0,84
84,2019,1,1,1902,20.96,85.20,4.63,0,2,1,5.67,0,84
85,2019,1,1,1902,19.68,95.92,4.67,0,1,3,4.24,0,86
86,2019,1,1,1902,19.68,95.94,4.67,0,1,3,4.24,0,86
87,2019,1,1,1902,17.78,121.56,4.72,0,2,3,2.90,0,87
88,2019,1,1,1902,17.32,82.04,4.73,0,2,1,2.31,0,90
89,2019,1,1,1902,17.32,82.06,4.73,0,2,1,2.32,0,90
90,2019,1,1,1902,17.32,82.08,4.73,0,2,1,2.32,0,90
91,2019,1,1,1902,17.26,98.88,4.73,0,1,3,8.78,0,91
92,2019,1,1,1902,17.26,98.90,4.73,0,1,3,8.78,0,91
93,2019,1,1,1902,17.26,98.92,4.73,0,1,1,8.78,0,91
94,2019,1,1,1902,13.82,107.40,4.81,0,1,3,4.34,0,94
95,2019,1,1,1902,12.44,106.00,4.84,0,2,3,2.04,0,95
96,2019,1,1,1908,-7.74,111.82,4.91,0,1,3,18.10,0,96
97,2019,1,1,1908,-7.74,111.84,4.91,0,1,1,14.67,0,96
98,2019,1,1,1908,-19.10,129.30,4.68,0,1,1,16.21,0,98
99,2019,1,1,1908,-19.72,143.90,4.67,0,2,3,2.13,0,99
100,2019,1,1,1908,-20.38,148.34,4.65,0,1,1,6.65,0,100
101,2019,1,1,1908,-20.54,138.56,4.64,0,1,3,6.51,0,101
102,2019,1,1,1908,-20.72,139.46,4.64,0,2,1,2.02,0,103
103,2019,1,1,1908,-20.72,139.48,4.64,0,2,1,2.56,0,103
104,2019,1,1,1908,-21.70,115.00,4.61,0,3,1,4.84,0,104
105,2019,1,1,1908,-21.76,133.36,4.60,0,1,3,7.91,0,105
106,2019,1,1,1908,-21.80,124.94,4.60,0,1,3,38.75,0,107
